ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.197, -1.273, -1.585, 4.37, 8.51, -4.83, -4.83, -2.20036, -1.25307, -1.68088, 0.184356, 0.0218203, 0.472307, 2, 6
5, -2.198, -1.276, -1.5816, 10.12, 5.06, -6.21, -3.68, -2.20063, -1.25481, -1.68088, 0.183715, 0.0229107, 0.474671, 2, 6
5, -2.198, -1.276, -1.5816, 10.12, 5.06, -6.21, -3.68, -2.20236, -1.25847, -1.64792, 0.184582, 0.0248433, 0.342842, 2, 6
5, -2.196, -1.282, -1.5748, 7.82, 4.14, -4.6, -5.98, -2.20313, -1.26092, -1.64792, 0.182918, 0.0289695, 0.368257, 2, 6
5, -2.196, -1.282, -1.5748, 7.82, 4.14, -4.6, -5.98, -2.19933, -1.26697, -1.62213, -0, 0, 0.286102, 2, 6
5, -2.196, -1.288, -1.5638, 6.67, 5.75, -2.53, -2.99, -2.19852, -1.27061, -1.62213, -0.0962033, 0.14833, 8.58143, 2, 6
5, -2.196, -1.289, -1.559, 3.22, 1.38, 0.92, -0.46, -2.19844, -1.27337, -1.61556, -0.00926564, 0.283649, 6.41166, 2, 6
5, -2.196, -1.289, -1.5532, 7.13, 11.04, 1.38, 0.46, -2.19785, -1.27699, -1.61556, -0.00972182, 0.283345, 6.41753, 2, 6
5, -2.197, -1.293, -1.4809, 24.16, 17.71, 11.96, 12.42, -2.19732, -1.27793, -1.60104, -0.00578537, 0.286317, 6.35946, 2, 6
5, -2.193, -1.294, -1.3542, 29.91, 16.1, 18.17, 31.06, -2.19675, -1.28052, -1.60104, -0.00611499, 0.285984, 6.36607, 2, 6
5, -2.19, -1.293, -1.2738, 31.98, 21.85, 19.09, 35.89, -2.1964, -1.28209, -1.60104, -0.00631792, 0.285916, 6.36736, 2, 6
5, -2.175, -1.284, -0.881, 28.53, 14.95, 11.27, 28.07, -2.19772, -1.28349, -1.44292, 0.0427826, 0.31407, 5.73908, 2, 6
5, -2.173, -1.283, -0.8159, 24.62, 12.19, 12.19, 26.23, -2.19531, -1.28423, -1.21789, 0.12728, 0.338053, 4.84181, 2, 6
5, -2.169, -1.279, -0.6985, 28.99, 11.27, 6.67, 25.31, -2.194, -1.28519, -1.21789, 0.127112, 0.33805, 4.84306, 2, 6
5, -2.165, -1.275, -0.6182, 28.99, 8.28, 3.68, 23.46, -2.18977, -1.2842, -1.02485, 0.209699, 0.339616, 4.0729, 2, 6
5, -2.162, -1.273, -0.5648, 26, 10.35, 3.45, 22.31, -2.18767, -1.2844, -1.02485, 0.209728, 0.339727, 4.07067, 2, 6
5, -2.157, -1.268, -0.4669, 27.15, 8.74, -0.69, 15.41, -2.18523, -1.28463, -1.02485, 0.209695, 0.339748, 4.07067, 2, 6
5, -2.138, -1.255, -0.2418, 25.54, 9.2, -3.45, 11.27, -2.18042, -1.28148, -0.66259, 0.373532, 0.286383, 2.62222, 2, 6
5, -2.135, -1.252, -0.2013, 28.76, 10.81, -2.76, 11.04, -2.17039, -1.27714, -0.551195, 0.422388, 0.253571, 2.17664, 2, 6
5, -2.126, -1.245, -0.1104, 31.75, 12.65, -9.2, 2.76, -2.1637, -1.27431, -0.551195, 0.423353, 0.253379, 2.16188, 2, 6
5, -2.126, -1.245, -0.1104, 31.75, 12.65, -9.2, 2.76, -2.15682, -1.27261, -0.452649, 0.464262, 0.218537, 1.76158, 2, 6
5, -2.126, -1.245, -0.1104, 31.75, 12.65, -9.2, 2.76, -2.1514, -1.27092, -0.452649, 0.464552, 0.21821, 1.75907, 2, 6
5, -2.126, -1.245, -0.1104, 31.75, 12.65, -9.2, 2.76, -2.14461, -1.26861, -0.452649, 0.464995, 0.217782, 1.75463, 2, 6
5, -2.126, -1.245, -0.1104, 31.75, 12.65, -9.2, 2.76, -2.13942, -1.26729, -0.301989, 0.521157, 0.15365, 1.14902, 2, 6
5, -2.126, -1.245, -0.1104, 31.75, 12.65, -9.2, 2.76, -2.1341, -1.2656, -0.301989, 0.521284, 0.153217, 1.14902, 2, 6
5, -2.088, -1.225, 0.0477, 25.31, 14.49, -15.87, -9.89, -2.12606, -1.26387, -0.25809, 0.536241, 0.131852, 0.968981, 2, 6
5, -2.075, -1.221, 0.0786, 28.07, 15.87, -17.25, -13.34, -2.11923, -1.26198, -0.25809, 0.536534, 0.131384, 0.965489, 2, 6
5, -2.07, -1.219, 0.0888, 25.77, 14.72, -15.87, -13.11, -2.11388, -1.25829, -0.198035, 0.555471, 0.100107, 0.721483, 2, 6
5, -2.059, -1.215, 0.1082, 23.93, 14.72, -15.41, -11.96, -2.10846, -1.25615, -0.198035, 0.555909, 0.0995743, 0.714643, 2, 6
5, -2.059, -1.215, 0.1082, 23.93, 14.72, -15.41, -11.96, -2.09751, -1.2539, -0.154528, 0.568552, 0.0758073, 0.535647, 2, 6
5, -2.059, -1.215, 0.1082, 23.93, 14.72, -15.41, -11.96, -2.09751, -1.2539, -0.154528, 0.568784, 0.0758381, 0.530915, 2, 6
5, -2.059, -1.215, 0.1082, 23.93, 14.72, -15.41, -11.96, -2.07831, -1.24929, -0.13334, 0.574605, 0.0628498, 0.445458, 2, 6
5, -2.016, -1.202, 0.1604, 23.46, 15.64, -16.56, -17.02, -2.06284, -1.24639, -0.0805706, 0.588152, 0.0321369, 0.222453, 2, 6
5, -2.016, -1.202, 0.1604, 23.46, 15.64, -16.56, -17.02, -2.06141, -1.24608, -0.0805706, 0.588157, 0.0320398, 0.222453, 2, 6
5, -1.999, -1.197, 0.1742, 22.54, 16.79, -16.33, -19.55, -2.04156, -1.24509, -0.0609052, 0.592801, 0.0201736, 0.139023, 2, 6
5, -1.987, -1.194, 0.1787, 21.62, 15.64, -16.79, -18.63, -2.03379, -1.24421, -0.0609052, 0.592812, 0.0198548, 0.139023, 2, 6
5, -1.961, -1.189, 0.184, 22.08, 17.02, -16.33, -20.01, -2.01789, -1.24292, -0.0226767, 0.600927, -0.00336652, -0.0189932, 2, 6
5, -1.955, -1.188, 0.1862, 21.62, 17.48, -17.02, -19.78, -2.0085, -1.24199, -0.0226767, 0.600925, -0.00372347, -0.0189932, 2, 6
5, -1.941, -1.185, 0.1876, 19.09, 15.87, -17.02, -21.39, -1.99648, -1.24194, -0.0065938, 0.604142, -0.0135818, -0.0870742, 2, 6
5, -1.941, -1.185, 0.1876, 19.09, 15.87, -17.02, -21.39, -1.98528, -1.24133, -0.0065938, 0.604315, -0.0138715, -0.090718, 2, 6
5, -1.923, -1.182, 0.1868, 20.93, 17.94, -18.17, -22.54, -1.97677, -1.24203, -0.00919836, 0.603838, -0.0121493, -0.0802998, 2, 6
5, -1.913, -1.18, 0.1831, 21.85, 16.33, -17.71, -23, -1.96677, -1.24194, -0.00919836, 0.603928, -0.0122708, -0.0821783, 2, 6
5, -1.913, -1.18, 0.1831, 21.85, 16.33, -17.71, -23, -1.95687, -1.24184, -0.00919836, 0.603858, -0.0123892, -0.0808045, 2, 6
5, -1.913, -1.18, 0.1831, 21.85, 16.33, -17.71, -23, -1.95442, -1.24182, -0.0267818, 0.600575, -0.00178762, -0.0117213, 2, 6
5, -1.913, -1.18, 0.1831, 21.85, 16.33, -17.71, -23, -1.94635, -1.24175, -0.0267818, 0.600612, -0.00188544, -0.0124646, 2, 6
5, -1.913, -1.18, 0.1831, 21.85, 16.33, -17.71, -23, -1.93927, -1.24116, -0.0258188, 0.600878, -0.00271283, -0.0179203, 2, 6
5, -1.913, -1.18, 0.1831, 21.85, 16.33, -17.71, -23, -1.93154, -1.24091, -0.0258188, 0.600933, -0.00286231, -0.0190523, 2, 6
5, -1.863, -1.171, 0.1799, 20.47, 17.48, -16.56, -20.7, -1.92226, -1.24194, -0.0285337, 0.600403, -0.000997652, -0.00819261, 2, 6
5, -1.848, -1.169, 0.1798, 20.24, 17.48, -17.71, -21.39, -1.91349, -1.24214, -0.0285337, 0.600328, -0.00101816, -0.00666662, 2, 6
5, -1.848, -1.169, 0.1798, 20.24, 17.48, -17.71, -21.39, -1.90389, -1.24201, -0.0337441, 0.599298, 0.00197367, 0.0141748, 2, 6
5, -1.848, -1.169, 0.1798, 20.24, 17.48, -17.71, -21.39, -1.90389, -1.24201, -0.0337441, 0.599304, 0.00197369, 0.0140376, 2, 6
5, -1.81, -1.162, 0.1798, 21.39, 15.87, -18.17, -20.01, -1.87944, -1.24279, -0.0326601, 0.599563, 0.00133756, 0.00883721, 2, 6
5, -1.804, -1.161, 0.1791, 21.39, 17.25, -17.48, -21.39, -1.86887, -1.24157, -0.0405959, 0.597973, 0.00558699, 0.0405804, 2, 6
5, -1.787, -1.158, 0.1797, 20.7, 17.25, -16.79, -21.16, -1.84749, -1.24295, -0.0418483, 0.597874, 0.0065655, 0.0423815, 2, 6
5, -1.771, -1.155, 0.1797, 19.32, 17.25, -16.79, -20.93, -1.83835, -1.24336, -0.0418483, 0.597796, 0.00660452, 0.0439613, 2, 6
5, -1.766, -1.154, 0.1795, 20.01, 17.94, -17.25, -20.24, -1.83145, -1.24369, -0.0177731, 0.602531, -0.0078114, -0.0523394, 2, 6
5, -1.754, -1.152, 0.1801, 21.16, 16.1, -16.56, -20.7, -1.82338, -1.24406, -0.0177731, 0.602504, -0.00777194, -0.0517811, 2, 6
5, -1.748, -1.151, 0.1806, 21.62, 17.25, -16.33, -22.08, -1.81335, -1.24587, -0.0189214, 0.602276, -0.00657761, -0.0468861, 2, 6
5, -1.733, -1.148, 0.1812, 20.7, 17.02, -17.02, -21.85, -1.80546, -1.2467, -0.0189214, 0.602089, -0.00637828, -0.0430354, 2, 6
5, -1.733, -1.148, 0.1812, 20.7, 17.02, -17.02, -21.85, -1.8015, -1.24711, -0.0189214, 0.60209, -0.00627848, -0.0430354, 2, 6
5, -1.7, -1.142, 0.1771, 21.16, 16.33, -16.56, -20.93, -1.77835, -1.24633, -0.0459596, 0.596649, 0.00942053, 0.0664433, 2, 6
5, -1.7, -1.142, 0.1771, 21.16, 16.33, -16.56, -20.93, -1.77694, -1.24635, -0.0459596, 0.596649, 0.0094143, 0.0664433, 2, 6
5, -1.683, -1.139, 0.1767, 21.62, 18.17, -17.25, -21.39, -1.74905, -1.24707, -0.0374283, 0.598555, 0.0042957, 0.0289838, 2, 6
5, -1.671, -1.137, 0.1791, 21.39, 15.64, -17.02, -20.47, -1.73634, -1.24737, -0.0374283, 0.598555, 0.00426719, 0.0289838, 2, 6
5, -1.662, -1.135, 0.1791, 21.16, 16.33, -16.1, -21.62, -1.73082, -1.24968, -0.0335719, 0.59934, 0.00269968, 0.0132538, 2, 6
5, -1.651, -1.133, 0.1788, 20.24, 16.79, -18.17, -20.7, -1.72197, -1.25048, -0.0335719, 0.599349, 0.00288852, 0.0130636, 2, 6
5, -1.645, -1.132, 0.1783, 21.62, 16.79, -17.94, -20.7, -1.7161, -1.24903, -0.038034, 0.59819, 0.00498922, 0.0362813, 2, 6
5, -1.63, -1.129, 0.1789, 20.24, 17.94, -17.02, -21.39, -1.70744, -1.24915, -0.038034, 0.598294, 0.00494277, 0.0341803, 2, 6
5, -1.63, -1.129, 0.1789, 20.24, 17.94, -17.02, -21.39, -1.69714, -1.25052, -0.0481432, 0.596262, 0.0113295, 0.0736188, 2, 6
5, -1.618, -1.127, 0.1807, 21.85, 16.56, -16.56, -20.93, -1.68805, -1.25106, -0.0481432, 0.596156, 0.0114236, 0.0757194, 2, 6
5, -1.606, -1.125, 0.1809, 21.62, 17.48, -17.25, -20.01, -1.68027, -1.25085, -0.0372276, 0.598368, 0.0047761, 0.0326978, 2, 6
5, -1.606, -1.125, 0.1809, 21.62, 17.48, -17.25, -20.01, -1.67292, -1.25108, -0.0372276, 0.598398, 0.00478259, 0.0320912, 2, 6
5, -1.586, -1.121, 0.1832, 23.46, 19.55, -18.17, -21.85, -1.66552, -1.25131, -0.0372276, 0.598405, 0.00478898, 0.0319616, 2, 6
