ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.152, -1.348, 0.0603, 16.79, 19.55, -14.72, -22.77, -2.18658, -1.347, 0.0859988, 0.611569, -0.0395042, -0.162775, 0, 1
5, -2.137, -1.35, 0.0508, 17.48, 18.17, -15.41, -22.77, -2.18356, -1.34733, 0.0859988, 0.611586, -0.0393955, -0.162891, 0, 1
5, -2.137, -1.35, 0.0508, 17.48, 18.17, -15.41, -22.77, -2.18315, -1.34738, 0.0859988, 0.611453, -0.0393717, -0.161201, 0, 1
5, -2.116, -1.351, 0.0461, 19.78, 20.01, -17.02, -24.16, -2.14922, -1.35054, 0.0708047, 0.609006, -0.0288234, -0.122769, 0, 1
5, -2.116, -1.351, 0.0461, 19.78, 20.01, -17.02, -24.16, -2.12544, -1.35274, 0.0554757, 0.606034, -0.0185899, -0.0800875, 0, 1
5, -2.116, -1.351, 0.0461, 19.78, 20.01, -17.02, -24.16, -2.11171, -1.35391, 0.0554757, 0.606047, -0.0181585, -0.0800875, 0, 1
5, -2.116, -1.351, 0.0461, 19.78, 20.01, -17.02, -24.16, -2.0896, -1.35336, 0.0353478, 0.601909, -0.00590922, -0.024563, 0, 1
5, -2.007, -1.353, 0.0358, 22.77, 20.01, -18.63, -22.54, -2.07709, -1.35355, 0.0353478, 0.601911, -0.00576282, -0.024563, 0, 1
5, -1.998, -1.353, 0.0357, 22.31, 17.94, -17.71, -23.23, -2.05744, -1.35301, 0.0618786, 0.606768, -0.0219269, -0.0907864, 0, 1
5, -1.992, -1.353, 0.0352, 22.31, 17.94, -18.17, -22.31, -2.04197, -1.35293, 0.0618786, 0.606754, -0.0218317, -0.0905769, 0, 1
5, -1.975, -1.352, 0.0357, 22.31, 17.94, -17.02, -22.08, -2.03734, -1.35276, 0.0455866, 0.603786, -0.0118943, -0.0494632, 0, 1
5, -1.969, -1.352, 0.036, 21.39, 17.25, -16.33, -21.62, -2.02646, -1.35266, 0.0455866, 0.603784, -0.0118394, -0.0494239, 0, 1
5, -1.96, -1.352, 0.0357, 21.62, 16.33, -17.48, -21.16, -2.01911, -1.3521, 0.0592701, 0.606236, -0.0203011, -0.0833385, 0, 1
5, -1.954, -1.351, 0.0357, 21.85, 18.4, -18.63, -22.31, -2.00762, -1.35181, 0.0592701, 0.606264, -0.0202994, -0.0836912, 0, 1
5, -1.938, -1.351, 0.0349, 20.7, 17.71, -17.25, -21.85, -2.00383, -1.35078, 0.0714266, 0.608354, -0.0280586, -0.114072, 0, 1
5, -1.932, -1.351, 0.0342, 20.93, 17.02, -17.48, -21.85, -1.99438, -1.3502, 0.0714266, 0.608464, -0.0281679, -0.115529, 0, 1
5, -1.923, -1.351, 0.0331, 20.93, 18.17, -17.94, -22.54, -1.98522, -1.34892, 0.0616042, 0.606869, -0.022446, -0.0923121, 0, 1
5, -1.907, -1.35, 0.0298, 20.93, 17.25, -16.56, -21.62, -1.97541, -1.34804, 0.0616042, 0.606925, -0.0226414, -0.0931071, 0, 1
5, -1.907, -1.35, 0.0298, 20.93, 17.25, -16.56, -21.62, -1.97633, -1.34808, 0.0616042, 0.606925, -0.0226384, -0.0931071, 0, 1
5, -1.856, -1.35, 0.0202, 20.01, 17.94, -15.87, -21.39, -1.93299, -1.34793, 0.0354281, 0.602157, -0.00640619, -0.027767, 0, 1
5, -1.834, -1.351, 0.0175, 21.16, 17.25, -16.1, -22.08, -1.90187, -1.34788, 0.0258983, 0.600213, -0.000438429, -0.00270444, 0, 1
5, -1.829, -1.351, 0.0172, 19.78, 17.25, -16.1, -21.16, -1.87539, -1.3478, 0.0258983, 0.600213, -0.000249649, -0.00270444, 0, 1
5, -1.82, -1.351, 0.0158, 20.93, 17.25, -16.79, -22.08, -1.88789, -1.34787, 0.0324695, 0.601345, -0.00428072, -0.0172374, 0, 1
5, -1.808, -1.351, 0.0132, 19.78, 16.56, -17.25, -21.62, -1.87608, -1.34784, 0.0324695, 0.60138, -0.00419317, -0.0176754, 0, 1
5, -1.799, -1.35, 0.0123, 19.55, 17.02, -16.56, -20.93, -1.8744, -1.34778, 0.0370234, 0.602214, -0.00695019, -0.0285716, 0, 1
5, -1.799, -1.35, 0.0123, 19.55, 17.02, -16.56, -20.93, -1.86773, -1.34774, 0.0370234, 0.602226, -0.0069063, -0.0287061, 0, 1
5, -1.748, -1.351, 0.0065, 20.24, 16.56, -17.02, -21.62, -1.82852, -1.34803, 0.0181355, 0.598517, 0.0048627, 0.0185511, 0, 1
5, -1.726, -1.351, 0.006, 20.01, 17.48, -17.48, -20.47, -1.80704, -1.3483, 0.0181355, 0.598362, 0.00513833, 0.0204766, 0, 1
5, -1.721, -1.351, 0.0054, 20.24, 17.02, -15.87, -20.7, -1.79933, -1.34881, -0.00444208, 0.593531, 0.0187407, 0.0782403, 0, 1
5, -1.712, -1.351, 0.0048, 20.01, 17.71, -16.33, -21.39, -1.78327, -1.3492, -0.00444208, 0.593443, 0.0190121, 0.0792398, 0, 1
5, -1.706, -1.351, 0.0045, 19.78, 17.94, -17.71, -21.62, -1.76685, -1.3496, -0.00444208, 0.593328, 0.0192939, 0.0805759, 0, 1
5, -1.691, -1.351, 0.0035, 21.16, 16.56, -17.48, -20.7, -1.77389, -1.34916, 0.0142028, 0.597266, 0.00806488, 0.0339637, 0, 1
5, -1.685, -1.351, 0.0046, 21.62, 15.87, -17.94, -19.09, -1.76826, -1.34924, 0.0142028, 0.597261, 0.00814624, 0.0340102, 0, 1
5, -1.634, -1.35, 0.0078, 21.39, 15.87, -17.48, -19.55, -1.736, -1.34703, 0.0140356, 0.597226, 0.00779363, 0.0345144, 0, 1
5, -1.628, -1.35, 0.0081, 21.16, 17.48, -15.87, -20.01, -1.71663, -1.34706, 0.0140356, 0.597372, 0.0079884, 0.0326233, 0, 1
5, -1.619, -1.35, 0.0098, 22.08, 16.56, -17.25, -21.39, -1.68765, -1.34656, 0.011702, 0.596826, 0.00947754, 0.0392766, 0, 1
5, -1.619, -1.35, 0.0098, 22.08, 16.56, -17.25, -21.39, -1.69256, -1.34652, 0.011702, 0.596782, 0.00941608, 0.0398397, 0, 1
5, -1.598, -1.349, 0.0107, 21.62, 17.94, -17.71, -20.7, -1.67901, -1.34559, 0.0126819, 0.597014, 0.00863532, 0.0370483, 0, 1
5, -1.583, -1.349, 0.0132, 22.77, 16.56, -16.33, -21.85, -1.66564, -1.34511, 0.0126819, 0.597091, 0.0085944, 0.0360816, 0, 1
5, -1.577, -1.349, 0.0135, 19.55, 15.87, -16.79, -19.09, -1.6661, -1.3447, 0.0312984, 0.600866, -0.00269018, -0.0110538, 0, 1
5, -1.553, -1.348, 0.0155, 21.62, 17.02, -18.17, -21.62, -1.63869, -1.34343, 0.0324355, 0.601097, -0.00357129, -0.0140358, 0, 1
5, -1.553, -1.348, 0.0155, 21.62, 17.02, -18.17, -21.62, -1.61113, -1.34133, 0.0230688, 0.599258, 0.00154662, 0.00938096, 0, 1
5, -1.505, -1.347, 0.0169, 21.62, 16.56, -17.25, -21.39, -1.59195, -1.33997, 0.0230688, 0.599329, 0.00121808, 0.00848879, 0, 1
5, -1.497, -1.347, 0.017, 21.85, 16.79, -17.48, -20.24, -1.58871, -1.34037, 0.0231987, 0.599546, 0.00132336, 0.00573842, 0, 1
5, -1.491, -1.347, 0.0172, 21.16, 17.71, -17.25, -21.62, -1.57445, -1.33957, 0.0231987, 0.599542, 0.00115761, 0.0057953, 0, 1
5, -1.475, -1.347, 0.0178, 21.16, 17.02, -17.71, -20.7, -1.57259, -1.33965, 0.0277467, 0.600483, -0.00152283, -0.00614313, 0, 1
5, -1.469, -1.347, 0.0168, 20.24, 17.48, -16.56, -21.39, -1.56318, -1.33917, 0.0277467, 0.600445, -0.00161819, -0.00566857, 0, 1
5, -1.469, -1.347, 0.0168, 20.24, 17.48, -16.56, -21.39, -1.55843, -1.33892, 0.0277467, 0.600514, -0.00166714, -0.00653761, 0, 1
5, -1.409, -1.346, 0.0162, 21.62, 17.25, -17.94, -20.47, -1.53257, -1.33692, 0.0199268, 0.599, 0.00248972, 0.0126092, 0, 1
5, -1.403, -1.346, 0.0159, 20.47, 16.33, -17.48, -21.39, -1.5014, -1.33472, 0.0236119, 0.599927, -0.000294771, 0.000920091, 0, 1
5, -1.388, -1.345, 0.0158, 21.16, 16.33, -17.02, -21.39, -1.47684, -1.33284, 0.0236119, 0.593546, -0.000817466, 0.000920091, 0, 1
5, -1.382, -1.345, 0.015, 20.7, 17.71, -16.33, -21.39, -1.4817, -1.33422, 0.0216188, 0.594716, 0.000874023, 0.00343682, 0, 1
5, -1.367, -1.345, 0.016, 21.85, 15.87, -17.25, -20.24, -1.46719, -1.33347, 0.0216188, 0.59065, 0.000701685, 0.00347413, 0, 1
5, -1.367, -1.345, 0.016, 21.85, 15.87, -17.25, -20.24, -1.469, -1.33376, 0.0142417, 0.589765, 0.00515033, 0.0210991, 0, 1
5, -1.367, -1.345, 0.016, 21.85, 15.87, -17.25, -20.24, -1.45959, -1.33334, 0.0142417, 0.587095, 0.0050478, 0.0216385, 0, 1
