ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.107, -1.353, 1.0433, 0, 0, 0, 0, -2.15457, -1.26363, 1.11954, 0.239968, -0.517255, -1.4041, 0, 0
5, -2.107, -1.353, 1.0424, 0, 2.53, -0.46, -3.45, -2.15426, -1.2633, 1.11859, 0.240457, -0.517235, -1.40029, 0, 0
5, -2.153, -1.262, 1.1187, 0.46, 1.84, 1.15, -2.76, -2.15411, -1.26308, 1.11859, 0.240405, -0.517259, -1.40029, 0, 0
5, -2.152, -1.262, 1.1181, 0.46, 2.99, 0.69, -4.37, -2.15448, -1.26361, 1.11787, 0.240956, -0.517123, -1.39808, 0, 0
5, -2.149, -1.261, 1.1139, 0.92, 5.98, 0, -8.05, -2.15454, -1.26369, 1.11787, 0.240966, -0.517097, -1.39848, 0, 0
5, -2.146, -1.261, 1.1094, -1.61, 8.28, -0.23, -11.27, -2.15451, -1.26365, 1.10504, 0.248693, -0.516294, -1.34608, 0, 0
5, -2.142, -1.26, 1.1023, 1.15, 10.12, 0.23, -11.96, -2.15451, -1.26366, 1.10504, 0.248698, -0.5163, -1.34594, 0, 0
5, -2.111, -1.256, 1.0506, -2.07, 15.87, 1.38, -22.54, -2.14809, -1.26142, 1.08762, 0.258636, -0.515238, -1.27633, 0, 0
5, -2.104, -1.255, 1.0383, 1.15, 16.56, 1.15, -19.55, -2.13969, -1.2583, 1.06988, 0.268463, -0.513873, -1.21013, 0, 0
5, -2.099, -1.254, 1.033, -3.68, 17.48, 2.07, -23.46, -2.13668, -1.25726, 1.06988, 0.268054, -0.513729, -1.21656, 0, 0
5, -2.099, -1.254, 1.033, -3.68, 17.48, 2.07, -23.46, -2.12832, -1.25496, 1.06336, 0.27135, -0.513322, -1.19278, 0, 0
5, -2.077, -1.253, 1.0024, -3.91, 17.02, 2.53, -24.39, -2.1221, -1.25297, 1.06336, 0.270727, -0.513381, -1.19762, 0, 0
5, -2.077, -1.253, 1.0024, -3.91, 17.02, 2.53, -24.39, -2.11923, -1.25322, 1.02749, 0.292518, -0.509435, -1.05459, 0, 0
5, -2.077, -1.253, 1.0024, -3.91, 17.02, 2.53, -24.39, -2.11344, -1.25183, 1.02749, 0.292155, -0.509644, -1.05459, 0, 0
5, -2.077, -1.253, 1.0024, -3.91, 17.02, 2.53, -24.39, -2.11179, -1.25144, 1.02749, 0.29205, -0.509704, -1.05459, 0, 0
5, -2.006, -1.254, 0.906, 1.15, 21.16, 3.45, -24.16, -2.08426, -1.24758, 0.982889, 0.317959, -0.504054, -0.881929, 0, 0
5, -2.006, -1.254, 0.906, 1.15, 21.16, 3.45, -24.16, -2.06721, -1.24524, 0.982889, 0.317037, -0.504086, -0.89133, 0, 0
5, -2.006, -1.254, 0.906, 1.15, 21.16, 3.45, -24.16, -2.051, -1.24391, 0.967839, 0.325689, -0.501892, -0.834367, 0, 0
5, -2.006, -1.254, 0.906, 1.15, 21.16, 3.45, -24.16, -2.03419, -1.24196, 0.967839, 0.32493, -0.502025, -0.840482, 0, 0
5, -2.006, -1.254, 0.906, 1.15, 21.16, 3.45, -24.16, -2.03526, -1.24208, 0.933218, 0.34607, -0.496072, -0.701511, 0, 0
5, -2.006, -1.254, 0.906, 1.15, 21.16, 3.45, -24.16, -2.02454, -1.24084, 0.933218, 0.345579, -0.496174, -0.70551, 0, 0
5, -2.006, -1.254, 0.906, 1.15, 21.16, 3.45, -24.16, -2.02173, -1.24126, 0.924168, 0.351166, -0.494417, -0.669472, 0, 0
5, -2.006, -1.254, 0.906, 1.15, 21.16, 3.45, -24.16, -2.01402, -1.24062, 0.924168, 0.350888, -0.494471, -0.67184, 0, 0
5, -2.006, -1.254, 0.906, 1.15, 21.16, 3.45, -24.16, -2.00678, -1.24082, 0.901232, 0.364837, -0.489933, -0.579947, 0, 0
5, -2.006, -1.254, 0.906, 1.15, 21.16, 3.45, -24.16, -1.99822, -1.2404, 0.901232, 0.364617, -0.48998, -0.581845, 0, 0
5, -1.914, -1.264, 0.7905, 0.92, 22.31, 1.15, -24.85, -1.99096, -1.23977, 0.866692, 0.385366, -0.482574, -0.443865, 0, 0
5, -1.872, -1.272, 0.7387, 0.92, 21.85, 1.38, -25.31, -1.96029, -1.23917, 0.825337, 0.402187, -0.463735, -0.280716, 0, 0
5, -1.857, -1.275, 0.7213, -2.07, 22.08, 1.38, -26, -1.94813, -1.23921, 0.825337, 0.402211, -0.463927, -0.283967, 0, 0
5, -1.851, -1.277, 0.7124, 0.23, 20.24, 1.84, -25.08, -1.92554, -1.24004, 0.802401, 0.409732, -0.451202, -0.192187, 0, 0
5, -1.837, -1.28, 0.6965, 2.07, 22.77, 2.07, -23.46, -1.92468, -1.24038, 0.802401, 0.409819, -0.451153, -0.192642, 0, 0
5, -1.827, -1.283, 0.6859, -1.38, 23, 1.15, -24.62, -1.91158, -1.24142, 0.779226, 0.417096, -0.43802, -0.0981262, 0, 0
5, -1.821, -1.284, 0.6791, 1.15, 23.23, 1.38, -25.31, -1.90965, -1.24178, 0.779226, 0.41715, -0.437936, -0.0976446, 0, 0
