ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.252, -1.325, 0.2125, 0, 5.98, -3.68, -4.37, -2.26023, -1.32286, 0.205554, 0.186072, 0.0294958, 0.592444, 0, 0
5, -2.252, -1.325, 0.2125, 0, 5.98, -3.68, -4.37, -2.25956, -1.32286, 0.205554, 0.18508, 0.030033, 0.637204, 0, 0
5, -2.252, -1.325, 0.2125, 0, 5.98, -3.68, -4.37, -2.25928, -1.32301, 0.193509, 0.183514, 0.0327656, 0.700482, 0, 0
5, -2.247, -1.327, 0.1922, 0.23, 5.75, -3.22, -5.52, -2.25874, -1.32305, 0.193509, 0.182996, 0.0333759, 0.717316, 0, 0
5, -2.247, -1.327, 0.1922, 0.23, 5.75, -3.22, -5.52, -2.25759, -1.32332, 0.17186, 0.17956, 0.0388054, 0.843883, 0, 0
5, -2.244, -1.328, 0.1859, 0, 6.44, -3.22, -5.06, -2.2568, -1.32345, 0.17186, 0.178697, 0.0398879, 0.870557, 0, 0
5, -2.242, -1.329, 0.1815, 0, 5.98, -3.68, -5.98, -2.25657, -1.32348, 0.17186, 0.178569, 0.0402249, 0.870557, 0, 0
5, -2.234, -1.332, 0.163, 1.38, 5.06, -2.07, -5.06, -2.25022, -1.32396, 0.134946, 0.170416, 0.0546371, 1.03391, 0, 0
5, -2.23, -1.331, 0.1835, 15.64, 7.13, -1.84, -3.91, -2.24738, -1.32442, 0.134946, 0.168089, 0.0596498, 1.03391, 0, 0
5, -2.227, -1.329, 0.2013, 20.47, 8.74, -1.15, -2.99, -2.24627, -1.32468, 0.102855, 0.159742, 0.0651277, 1.38584, 0, 0
5, -2.224, -1.327, 0.2312, 22.31, 9.66, -1.61, -3.22, -2.24442, -1.32501, 0.102855, 0.156044, 0.0678144, 1.51121, 0, 0
5, -2.208, -1.314, 0.3943, 21.62, 12.88, -3.91, -0.46, -2.23963, -1.32625, 0.199786, 0.160703, 0.06517, 1.25212, 0, 0
5, -2.204, -1.31, 0.4333, 22.54, 12.42, -4.6, -0.46, -2.2348, -1.32529, 0.199786, 0.152279, 0.069587, 1.55978, 0, 0
5, -2.198, -1.304, 0.4911, 20.47, 13.57, -3.22, -0.92, -2.22591, -1.32089, 0.264576, 0.526678, 0.146322, 1.08228, 0, 0
5, -2.196, -1.302, 0.5154, 20.47, 13.34, -3.68, -0.23, -2.2257, -1.31991, 0.264576, 0.569922, -0.148947, -1.02176, 0, 0
5, -2.196, -1.302, 0.5154, 20.47, 13.34, -3.68, -0.23, -2.21885, -1.31475, 0.356223, 0.536451, -0.195561, -1.38835, 0, 0
5, -2.19, -1.295, 0.572, 21.39, 12.88, -6.67, -5.52, -2.2177, -1.31322, 0.356223, 0.535989, -0.195812, -1.3954, 0, 0
5, -2.184, -1.289, 0.6078, 18.17, 14.03, -8.05, -8.51, -2.21025, -1.3068, 0.417955, 0.510851, -0.225, -1.64746, 0, 0
5, -2.181, -1.286, 0.6169, 17.02, 11.04, -9.43, -9.89, -2.20618, -1.30364, 0.417955, 0.510159, -0.225565, -1.65569, 0, 0
5, -2.178, -1.284, 0.6211, 14.95, 10.35, -10.58, -13.11, -2.20405, -1.30092, 0.485547, 0.481312, -0.253722, -1.93366, 0, 0
5, -2.173, -1.28, 0.6212, 14.95, 10.58, -12.65, -15.18, -2.20224, -1.29934, 0.485547, 0.48091, -0.253953, -1.93868, 0, 0
5, -2.164, -1.274, 0.6082, 11.73, 10.58, -13.34, -17.25, -2.19554, -1.29382, 0.519069, 0.465444, -0.267661, -2.07914, 0, 0
