ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -1.982, -0.4, -0.1896, 0, 0, 0, 0, -2.28642, -1.33525, 0.485087, 0.21175, -0.0207732, -0.244698, 2, 1
5, -2.286, -1.335, 0.485, 1.15, 1.15, -0.92, -1.38, -2.28648, -1.33525, 0.509923, 0.209793, -0.0259078, -0.306789, 2, 1
5, -2.285, -1.334, 0.4835, 0.69, 0.92, -1.15, -1.38, -2.28648, -1.33525, 0.509923, 0.209782, -0.0259028, -0.307189, 2, 1
5, -2.284, -1.334, 0.4825, 1.15, 1.15, -1.61, -2.3, -2.28649, -1.33525, 0.507953, 0.209968, -0.0255165, -0.302227, 2, 1
5, -2.278, -1.332, 0.4659, 0.92, 3.22, -4.6, -6.67, -2.28533, -1.33404, 0.505063, 0.209607, -0.0264396, -0.295107, 2, 1
5, -2.278, -1.332, 0.4659, 0.92, 3.22, -4.6, -6.67, -2.28418, -1.33284, 0.505063, 0.208395, -0.0279131, -0.316418, 2, 1
5, -2.278, -1.332, 0.4659, 0.92, 3.22, -4.6, -6.67, -2.28271, -1.3313, 0.505063, 0.207036, -0.0298732, -0.335883, 2, 1
5, -2.278, -1.332, 0.4659, 0.92, 3.22, -4.6, -6.67, -2.27986, -1.32879, 0.48718, 0.206187, -0.0293102, -0.332471, 2, 1
5, -2.278, -1.332, 0.4659, 0.92, 3.22, -4.6, -6.67, -2.27971, -1.32881, 0.48718, 0.205404, -0.0290196, -0.361474, 2, 1
5, -2.278, -1.332, 0.4659, 0.92, 3.22, -4.6, -6.67, -2.27915, -1.32836, 0.48718, 0.205401, -0.0295988, -0.351296, 2, 1
5, -2.278, -1.332, 0.4659, 0.92, 3.22, -4.6, -6.67, -2.27812, -1.32745, 0.48718, 0.20445, -0.0307528, -0.366561, 2, 1
5, -2.278, -1.332, 0.4659, 0.92, 3.22, -4.6, -6.67, -2.2744, -1.32636, 0.457389, 0.20621, -0.0242037, -0.292085, 2, 1
5, -2.251, -1.323, 0.4229, 8.97, 5.75, -7.36, -9.2, -2.27269, -1.32548, 0.457389, 0.205689, -0.0248379, -0.288099, 2, 1
5, -2.246, -1.32, 0.4191, 6.67, 6.21, -6.44, -8.97, -2.26645, -1.32341, 0.43135, 0.204952, -0.0190277, -0.232506, 2, 1
5, -2.246, -1.32, 0.4191, 6.67, 6.21, -6.44, -8.97, -2.26543, -1.32301, 0.43135, 0.204559, -0.0191216, -0.229916, 2, 1
5, -2.223, -1.31, 0.4021, 7.36, 5.06, -6.9, -8.28, -2.2495, -1.31567, 0.456666, 0.197504, -0.0298712, -0.296305, 2, 1
5, -2.218, -1.308, 0.3998, 7.36, 5.75, -6.44, -9.43, -2.24226, -1.31139, 0.440128, 0.190697, -0.034082, -0.44214, 2, 1
5, -2.215, -1.307, 0.3969, 7.36, 5.52, -6.44, -9.2, -2.2356, -1.30796, 0.440128, 0.58008, 0.0519014, 0.223088, 2, 1
5, -2.213, -1.306, 0.3942, 5.52, 4.83, -5.29, -7.59, -2.23525, -1.3075, 0.451855, 0.582959, 0.0452237, 0.19377, 2, 1
5, -2.21, -1.305, 0.3909, 6.21, 5.98, -6.67, -9.66, -2.23074, -1.30511, 0.451855, 0.496204, -0.239428, -1.12164, 2, 1
5, -2.208, -1.304, 0.388, 8.74, 8.28, -8.74, -10.58, -2.22823, -1.30378, 0.451855, 0.496062, -0.239723, -1.12164, 2, 1
5, -2.183, -1.3, 0.3484, 9.66, 13.11, -9.89, -17.02, -2.21964, -1.30149, 0.42955, 0.504783, -0.230819, -1.06963, 2, 1
