ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -0.477, -7.293, 0.7889, 0, 0, 0, 0, -2.24984, -1.37915, 0.226119, 0.0392324, 0.0126864, -0.763346, 1, 0
5, -2.249, -1.379, 0.2243, 0, -0.46, -0.46, -1.15, -2.24983, -1.37898, 0.216311, 0.0849411, 0.00302047, -0.72472, 1, 0
5, -2.249, -1.379, 0.2243, 0, -0.46, -0.46, -1.15, -2.24985, -1.37885, 0.216311, 0.134675, -0.00794514, -0.72472, 1, 0
5, -2.249, -1.379, 0.2243, 0, -0.46, -0.46, -1.15, -2.24981, -1.37904, 0.239918, 0.187228, -0.0241491, -0.819182, 1, 0
5, -2.248, -1.378, 0.2138, 0, -0.23, -1.84, -2.07, -2.24981, -1.37906, 0.239918, 0.242893, -0.0377597, -0.819154, 1, 0
5, -2.247, -1.378, 0.2093, -0.23, 0.92, -2.76, -3.22, -2.2498, -1.37908, 0.228407, 0.301605, -0.0484264, -0.77311, 1, 0
5, -2.247, -1.378, 0.2046, 0, 0.69, -3.68, -3.45, -2.2498, -1.37907, 0.228407, 0.361988, -0.0624646, -0.773101, 1, 0
5, -2.245, -1.378, 0.1865, 0, 0, -4.83, -5.06, -2.24943, -1.37931, 0.22908, 0.42414, -0.0771457, -0.775349, 1, 0
5, -2.245, -1.378, 0.1865, 0, 0, -4.83, -5.06, -2.24931, -1.37938, 0.22908, 0.487873, -0.0919869, -0.775349, 1, 0
5, -2.245, -1.378, 0.1865, 0, 0, -4.83, -5.06, -2.24895, -1.37891, 0.189469, 0.556768, -0.0850261, -0.616756, 1, 0
5, -2.241, -1.378, 0.1554, 1.61, 2.3, -7.59, -8.74, -2.24875, -1.37879, 0.189469, 0.601746, -0.0936831, -0.617615, 1, 0
5, -2.236, -1.379, 0.1193, -0.46, 5.52, -9.89, -14.03, -2.2477, -1.3786, 0.162566, 0.609296, -0.0781782, -0.510227, 1, 0
5, -2.233, -1.38, 0.1044, -0.23, 7.59, -11.04, -15.64, -2.24716, -1.37846, 0.162566, 0.609277, -0.078209, -0.51051, 1, 0
5, -2.233, -1.38, 0.1044, -0.23, 7.59, -11.04, -15.64, -2.24415, -1.37777, 0.145739, 0.613803, -0.0684734, -0.442904, 1, 0
5, -2.222, -1.384, 0.0425, 0.23, 11.96, -13.8, -19.78, -2.24245, -1.37734, 0.145739, 0.6137, -0.0685657, -0.444766, 1, 0
5, -2.216, -1.387, 0.0117, 0.69, 11.04, -14.72, -21.85, -2.24141, -1.37681, 0.145739, 0.613652, -0.0686977, -0.44544, 1, 0
5, -2.216, -1.387, 0.0117, 0.69, 11.04, -14.72, -21.85, -2.23631, -1.37688, 0.100346, 0.611676, -0.0404169, -0.263811, 1, 0
5, -2.216, -1.387, 0.0117, 0.69, 11.04, -14.72, -21.85, -2.23595, -1.37684, 0.100346, 0.611676, -0.0404248, -0.263811, 1, 0
5, -2.175, -1.401, -0.0999, 23.23, 18.17, -15.18, -26.69, -2.2178, -1.38349, -0.107603, 0.565975, 0.0827805, 0.567827, 1, 0
5, -2.152, -1.406, -0.0959, 21.85, 20.7, -16.1, -23.46, -2.20673, -1.38741, -0.107603, 0.565121, 0.0837882, 0.58198, 1, 0
5, -2.145, -1.406, -0.0906, 26.92, 21.16, -16.79, -22.31, -2.19636, -1.39052, -0.118631, 0.561483, 0.0905075, 0.634047, 1, 0
5, -2.128, -1.407, -0.0725, 24.62, 19.09, -15.87, -20.7, -2.18625, -1.39385, -0.118631, 0.561073, 0.0914278, 0.639275, 1, 0
5, -2.122, -1.408, -0.0657, 26.69, 20.7, -17.48, -20.01, -2.17892, -1.3947, -0.101621, 0.565441, 0.0825989, 0.579086, 1, 0
5, -2.111, -1.408, -0.0532, 27.38, 20.24, -18.63, -20.7, -2.16923, -1.3973, -0.101621, 0.565325, 0.0833863, 0.579086, 1, 0
5, -2.104, -1.407, -0.0447, 27.84, 20.47, -17.94, -20.47, -2.16296, -1.39787, -0.0673086, 0.574459, 0.0649163, 0.443766, 1, 0
