ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.539, -1.176, 0.1838, 0, 0, 0, 0, -2.18918, -1.35727, 0.431855, 0.0382639, -0.00152532, -1.01423, 1, 1
5, -2.539, -1.176, 0.1838, 0, 0, 0, 0, -2.18895, -1.35726, 0.431855, 0.080879, -0.0211675, -1.01409, 1, 1
5, -2.189, -1.357, 0.4331, 0, -0.69, -1.15, -1.38, -2.18949, -1.3571, 0.422408, 0.127529, -0.0412778, -0.990809, 1, 1
5, -2.189, -1.357, 0.4331, 0, -0.69, -1.15, -1.38, -2.18953, -1.35703, 0.422408, 0.177105, -0.0635791, -0.990883, 1, 1
5, -2.189, -1.357, 0.4331, 0, -0.69, -1.15, -1.38, -2.18982, -1.35727, 0.420709, 0.229549, -0.0866202, -0.986419, 1, 1
5, -2.188, -1.356, 0.4132, -0.23, -0.23, -2.99, -3.91, -2.18994, -1.35731, 0.420709, 0.284165, -0.111045, -0.986374, 1, 1
5, -2.187, -1.356, 0.4078, -0.23, 0.23, -3.45, -3.68, -2.18958, -1.3571, 0.419462, 0.340903, -0.135979, -0.983257, 1, 1
5, -2.187, -1.356, 0.4078, -0.23, 0.23, -3.45, -3.68, -2.18953, -1.35705, 0.419462, 0.39921, -0.161995, -0.983522, 1, 1
5, -2.187, -1.356, 0.4078, -0.23, 0.23, -3.45, -3.68, -2.18884, -1.35649, 0.408781, 0.460931, -0.183811, -0.957443, 1, 1
5, -2.187, -1.356, 0.4078, -0.23, 0.23, -3.45, -3.68, -2.18852, -1.35623, 0.408781, 0.522203, -0.210424, -0.957728, 1, 1
5, -2.187, -1.356, 0.4078, -0.23, 0.23, -3.45, -3.68, -2.1876, -1.35582, 0.399319, 0.52668, -0.206592, -0.934075, 1, 1
5, -2.187, -1.356, 0.4078, -0.23, 0.23, -3.45, -3.68, -2.18703, -1.35549, 0.399319, 0.526613, -0.206653, -0.934578, 1, 1
5, -2.187, -1.356, 0.4078, -0.23, 0.23, -3.45, -3.68, -2.18685, -1.35539, 0.399319, 0.526577, -0.206666, -0.934939, 1, 1
5, -2.166, -1.358, 0.2768, 0.69, 8.97, -9.43, -18.86, -2.18378, -1.35532, 0.354705, 0.543606, -0.18582, -0.82332, 1, 1
5, -2.166, -1.358, 0.2768, 0.69, 8.97, -9.43, -18.86, -2.1836, -1.3553, 0.354705, 0.543604, -0.185826, -0.82332, 1, 1
