ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.073, -1.203, -0.1266, 0, 0, -0.23, -0.23, -2.07332, -1.2584, -0.226722, 0.912223, 0.19125, 0.61998, 2, 1
5, -2.073, -1.258, -0.2302, 0, 5.52, -7.36, -10.58, -2.07332, -1.2584, -0.226722, 0.912222, 0.191251, 0.619983, 2, 1
5, -2.067, -1.261, -0.2709, 0.92, 11.73, -20.93, -21.85, -2.07332, -1.2584, -0.226722, 0.912223, 0.19125, 0.619979, 2, 1
5, -2.057, -1.269, -0.3302, 0.23, 26.92, -33.36, -35.43, -2.07332, -1.2584, -0.229368, 0.910863, 0.193482, 0.627918, 2, 1
5, -2.051, -1.274, -0.3667, -0.69, 22.77, -32.9, -30.6, -2.07332, -1.2584, -0.229368, 0.910863, 0.193482, 0.627917, 2, 1
5, -2.04, -1.285, -0.4578, -0.23, 15.41, -24.62, -36.81, -2.07313, -1.25914, -0.250862, 0.899454, 0.211696, 0.693204, 2, 1
5, -2.036, -1.291, -0.4966, 0, 22.08, -29.45, -36.58, -2.07307, -1.25938, -0.250862, 0.899391, 0.211792, 0.693561, 2, 1
5, -2.032, -1.296, -0.5346, -0.46, 15.18, -24.39, -31.29, -2.06946, -1.26159, -0.289012, 0.878061, 0.243437, 0.810448, 2, 1
5, -2.024, -1.307, -0.6053, 1.15, 20.47, -26.69, -28.07, -2.06822, -1.26248, -0.289012, 0.877828, 0.243771, 0.811676, 2, 1
5, -2.02, -1.312, -0.6344, 2.76, 20.47, -26.46, -30.14, -2.06078, -1.26568, -0.381446, 0.822585, 0.314135, 1.09017, 2, 1
5, -2.02, -1.312, -0.6344, 2.76, 20.47, -26.46, -30.14, -2.05749, -1.26734, -0.381446, 0.821807, 0.314571, 1.09538, 2, 1
5, -2.02, -1.312, -0.6344, 2.76, 20.47, -26.46, -30.14, -2.05074, -1.27082, -0.484488, 0.753768, 0.383134, 1.4093, 2, 1
5, -1.961, -1.327, -0.517, 69.48, 27.61, -34.28, -9.2, -2.04597, -1.27326, -0.484488, 0.752985, 0.383835, 1.41277, 2, 1
5, -1.95, -1.326, -0.4811, 52.69, 21.39, -28.76, -11.04, -2.03997, -1.27709, -0.60603, 0.666402, 0.450841, 1.78317, 2, 1
5, -1.94, -1.326, -0.4488, 51.54, 22.54, -29.68, -11.04, -2.03456, -1.28014, -0.60603, 0.665339, 0.451547, 1.78758, 2, 1
5, -1.916, -1.323, -0.3801, 39.57, 15.87, -26.92, -11.27, -2.0278, -1.28436, -0.682986, 0.607312, 0.486378, 2.02507, 2, 1
5, -1.916, -1.323, -0.3801, 39.57, 15.87, -26.92, -11.27, -2.02246, -1.2875, -0.682986, 0.60611, 0.486941, 2.03041, 2, 1
5, -1.916, -1.323, -0.3801, 39.57, 15.87, -26.92, -11.27, -2.01992, -1.289, -0.682986, 0.605561, 0.487237, 2.03263, 2, 1
5, -1.916, -1.323, -0.3801, 39.57, 15.87, -26.92, -11.27, -2.00584, -1.29714, -0.667291, 0.615267, 0.48332, 1.98554, 2, 1
5, -1.916, -1.323, -0.3801, 39.57, 15.87, -26.92, -11.27, -1.99823, -1.30157, -0.667291, 0.613079, 0.483798, 1.99853, 2, 1
5, -1.864, -1.309, -0.2554, 37.04, 9.89, -22.31, -2.3, -1.98831, -1.30562, -0.626164, 0.642334, 0.467341, 1.87646, 2, 1
5, -1.857, -1.306, -0.2332, 37.5, 11.04, -24.39, -2.76, -1.98306, -1.30776, -0.626164, 0.640719, 0.467236, 1.88893, 2, 1
5, -1.85, -1.302, -0.2126, 37.04, 8.97, -21.85, -7.36, -1.96601, -1.31307, -0.569714, 0.679917, 0.441933, 1.72531, 2, 1
5, -1.841, -1.298, -0.1879, 36.58, 10.81, -25.54, -8.51, -1.95522, -1.3173, -0.569714, 0.678335, 0.443028, 1.73195, 2, 1
5, -1.841, -1.298, -0.1879, 36.58, 10.81, -25.54, -8.51, -1.94656, -1.3168, -0.528235, 0.707824, 0.421278, 1.60866, 2, 1
5, -1.841, -1.298, -0.1879, 36.58, 10.81, -25.54, -8.51, -1.93473, -1.31996, -0.528235, 0.70663, 0.422187, 1.61377, 2, 1
5, -1.799, -1.279, -0.0807, 39.8, 12.19, -27.84, -9.43, -1.92806, -1.31827, -0.468838, 0.748183, 0.387911, 1.43474, 2, 1
5, -1.792, -1.275, -0.064, 38.42, 11.73, -27.84, -9.89, -1.91824, -1.31963, -0.468838, 0.74789, 0.388475, 1.43474, 2, 1
5, -1.776, -1.266, -0.0271, 39.34, 17.25, -26.69, -11.27, -1.90148, -1.31838, -0.409879, 0.787165, 0.351095, 1.26, 2, 1
5, -1.769, -1.263, -0.0086, 40.26, 16.33, -26.69, -11.73, -1.88742, -1.31879, -0.409879, 0.787162, 0.351368, 1.25901, 2, 1
5, -1.769, -1.263, -0.0086, 40.26, 16.33, -26.69, -11.73, -1.86891, -1.31765, -0.349747, 0.825624, 0.310004, 1.07758, 2, 1
5, -1.769, -1.263, -0.0086, 40.26, 16.33, -26.69, -11.73, -1.85583, -1.31752, -0.349747, 0.825627, 0.310001, 1.07757, 2, 1
5, -1.769, -1.263, -0.0086, 40.26, 16.33, -26.69, -11.73, -1.84787, -1.31532, -0.290095, 0.861684, 0.265027, 0.89861, 2, 1
5, -1.769, -1.263, -0.0086, 40.26, 16.33, -26.69, -11.73, -1.8375, -1.31461, -0.290095, 0.861817, 0.264749, 0.89819, 2, 1
5, -1.769, -1.263, -0.0086, 40.26, 16.33, -26.69, -11.73, -1.82144, -1.31199, -0.243909, 0.888513, 0.227342, 0.756108, 2, 1
5, -1.769, -1.263, -0.0086, 40.26, 16.33, -26.69, -11.73, -1.80736, -1.3105, -0.243909, 0.889076, 0.226752, 0.752468, 2, 1
5, -1.769, -1.263, -0.0086, 40.26, 16.33, -26.69, -11.73, -1.79459, -1.30744, -0.199639, 0.913052, 0.188685, 0.617346, 2, 1
5, -1.769, -1.263, -0.0086, 40.26, 16.33, -26.69, -11.73, -1.78056, -1.30531, -0.199639, 0.913753, 0.187725, 0.612842, 2, 1
5, -1.769, -1.263, -0.0086, 40.26, 16.33, -26.69, -11.73, -1.77197, -1.30269, -0.175106, 0.926693, 0.1654, 0.535281, 2, 1
5, -1.769, -1.263, -0.0086, 40.26, 16.33, -26.69, -11.73, -1.75846, -1.30016, -0.175106, 0.927445, 0.164166, 0.530491, 2, 1
5, -1.769, -1.263, -0.0086, 40.26, 16.33, -26.69, -11.73, -1.74674, -1.29796, -0.13087, 0.948906, 0.123772, 0.392875, 2, 1
5, -1.769, -1.263, -0.0086, 40.26, 16.33, -26.69, -11.73, -1.73359, -1.2955, -0.13087, 0.949491, 0.122468, 0.389112, 2, 1
