ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.147, -1.26, -1.037, 0, 0, 0, 0, -2.17382, -1.30273, -0.933491, 0.246892, 0.334351, 2.80393, 2, 10
5, -2.147, -1.26, -1.037, 0, 0, 0, 0, -2.17367, -1.30254, -0.930447, 0.248296, 0.334057, 2.79481, 2, 10
5, -2.147, -1.26, -1.037, 0, 0, 0, 0, -2.17349, -1.30231, -0.930447, 0.248328, 0.334029, 2.79486, 2, 10
5, -2.147, -1.26, -1.037, 0, 0, 0, 0, -2.17352, -1.30166, -0.930013, 0.248663, 0.333969, 2.79255, 2, 10
5, -2.147, -1.26, -1.037, 0, 0, 0, 0, -2.1735, -1.30139, -0.930013, 0.248721, 0.333957, 2.79217, 2, 10
5, -2.147, -1.26, -1.037, 0, 0, 0, 0, -2.17359, -1.30133, -0.927073, 0.250063, 0.33369, 2.78322, 2, 10
5, -2.147, -1.26, -1.037, 0, 0, 0, 0, -2.1736, -1.30113, -0.927073, 0.250104, 0.333681, 2.78294, 2, 10
5, -2.147, -1.26, -1.037, 0, 0, 0, 0, -2.17304, -1.3019, -0.896557, 0.263776, 0.330651, 2.69219, 2, 10
5, -2.147, -1.26, -1.037, 0, 0, 0, 0, -2.17273, -1.3022, -0.896557, 0.263723, 0.330679, 2.69236, 2, 10
5, -2.147, -1.26, -1.037, 0, 0, 0, 0, -2.16788, -1.30346, -0.83926, 0.289508, 0.323542, 2.5221, 2, 10
5, -2.147, -1.26, -1.037, 0, 0, 0, 0, -2.16597, -1.30404, -0.83926, 0.28938, 0.323575, 2.52303, 2, 10
5, -2.147, -1.26, -1.037, 0, 0, 0, 0, -2.15974, -1.30584, -0.747449, 0.330736, 0.308208, 2.24953, 2, 10
5, -2.157, -1.304, -0.7239, 23.93, 8.51, -8.05, 4.6, -2.1567, -1.30674, -0.747449, 0.330535, 0.308281, 2.251, 2, 10
5, -2.153, -1.304, -0.698, 23.23, 7.36, -7.82, 3.91, -2.14755, -1.30861, -0.681089, 0.360015, 0.294177, 2.05428, 2, 10
5, -2.149, -1.304, -0.6727, 23.23, 8.97, -8.74, 4.14, -2.14233, -1.30986, -0.681089, 0.359737, 0.294308, 2.0563, 2, 10
5, -2.14, -1.303, -0.6213, 26.46, 8.51, -11.27, 1.84, -2.13531, -1.30987, -0.619984, 0.3868, 0.278838, 1.8732, 2, 10
5, -2.133, -1.302, -0.585, 26, 8.28, -9.89, 0.23, -2.12912, -1.31077, -0.619984, 0.386585, 0.27894, 1.87494, 2, 10
5, -2.128, -1.301, -0.5631, 23.93, 8.74, -10.58, -0.23, -2.12323, -1.30994, -0.546343, 0.41859, 0.257231, 1.65295, 2, 10
5, -2.128, -1.301, -0.5631, 23.93, 8.74, -10.58, -0.23, -2.12026, -1.30975, -0.546343, 0.418587, 0.25718, 1.65341, 2, 10
5, -2.128, -1.301, -0.5631, 23.93, 8.74, -10.58, -0.23, -2.1096, -1.30837, -0.463755, 0.453192, 0.228909, 1.40335, 2, 10
5, -2.128, -1.301, -0.5631, 23.93, 8.74, -10.58, -0.23, -2.10668, -1.30769, -0.463755, 0.453331, 0.228799, 1.40222, 2, 10
5, -2.128, -1.301, -0.5631, 23.93, 8.74, -10.58, -0.23, -2.09609, -1.30517, -0.394121, 0.481271, 0.201543, 1.18975, 2, 10
5, -2.128, -1.301, -0.5631, 23.93, 8.74, -10.58, -0.23, -2.08845, -1.30376, -0.394121, 0.481405, 0.201223, 1.18975, 2, 10
5, -2.128, -1.301, -0.5631, 23.93, 8.74, -10.58, -0.23, -2.08186, -1.30158, -0.347876, 0.499228, 0.181461, 1.04654, 2, 10
5, -2.079, -1.301, -0.3402, 25.31, 12.65, -16.56, -8.51, -2.07613, -1.30027, -0.347876, 0.49948, 0.181195, 1.04433, 2, 10
5, -2.074, -1.301, -0.3285, 24.16, 11.27, -15.87, -9.66, -2.06766, -1.29848, -0.303438, 0.515722, 0.161061, 0.908116, 2, 10
5, -2.066, -1.301, -0.3129, 25.31, 11.5, -15.41, -10.35, -2.06003, -1.29679, -0.303438, 0.515855, 0.160636, 0.908116, 2, 10
5, -2.056, -1.3, -0.2927, 24.16, 12.65, -16.1, -11.73, -2.05141, -1.29447, -0.255567, 0.532405, 0.137575, 0.762027, 2, 10
5, -2.05, -1.3, -0.2823, 26.46, 14.03, -15.87, -12.42, -2.04344, -1.29256, -0.255567, 0.532779, 0.137133, 0.758205, 2, 10
5, -2.036, -1.3, -0.2579, 23.46, 12.65, -15.87, -11.5, -2.03715, -1.29193, -0.21662, 0.545444, 0.117773, 0.638527, 2, 10
5, -2.031, -1.3, -0.2495, 24.39, 13.11, -16.33, -13.57, -2.02639, -1.28983, -0.21662, 0.545647, 0.117215, 0.637286, 2, 10
5, -2.033, -1.291, -0.2166, 23.46, 14.03, -17.48, -14.49, -2.0178, -1.28895, -0.184983, 0.555428, 0.100789, 0.539898, 2, 10
5, -2.019, -1.29, -0.201, 24.62, 14.95, -17.02, -14.72, -2.00846, -1.28742, -0.184983, 0.555507, 0.100352, 0.539898, 2, 10
5, -2.008, -1.29, -0.1871, 23.7, 14.72, -17.25, -15.64, -2.00101, -1.28608, -0.162597, 0.562172, 0.0882103, 0.470684, 2, 10
5, -2.002, -1.291, -0.181, 25.08, 15.18, -15.64, -17.25, -1.9923, -1.28461, -0.162597, 0.562391, 0.087803, 0.468345, 2, 10
