ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.29, -2.007, 2.7588, 0, 0, 0, 0, -2.20505, -1.30427, 2.92444, -0.153601, -0.0342015, -8.76751, 2, 10
5, -2.29, -2.007, 2.7588, 0, 0, 0, 0, -2.20505, -1.30427, 2.92444, -0.153601, -0.0342015, -8.76751, 2, 10
5, -2.29, -2.007, 2.7588, 0, 0, 0, 0, -2.20505, -1.30427, 2.92444, -0.153601, -0.0342015, -8.76751, 2, 10
5, -2.29, -2.007, 2.7588, 0, 0, 0, 0, -2.20505, -1.30427, 2.92444, -0.153601, -0.0342015, -8.76751, 2, 10
5, -2.29, -2.007, 2.7588, 0, 0, 0, 0, -2.20505, -1.30427, 2.92444, -0.153601, -0.0342015, -8.76751, 2, 10
5, -2.29, -2.007, 2.7588, 0, 0, 0, 0, -2.20505, -1.30427, 2.92345, -0.154042, -0.0344587, -8.76455, 2, 10
5, -2.199, -1.31, 2.306, -42.79, -35.43, -29.22, -28.3, -2.20505, -1.30427, 2.83524, -0.19186, -0.0610967, -8.49991, 2, 10
5, -2.199, -1.31, 2.306, -42.79, -35.43, -29.22, -28.3, -2.20505, -1.30427, 2.83524, -0.19186, -0.0610967, -8.49991, 2, 10
5, -2.199, -1.31, 2.306, -42.79, -35.43, -29.22, -28.3, -2.20505, -1.30427, 2.83524, -0.19186, -0.0610967, -8.49991, 2, 10
5, -2.199, -1.31, 2.306, -42.79, -35.43, -29.22, -28.3, -2.20505, -1.30427, 2.83524, -0.19186, -0.0610967, -8.49991, 2, 10
5, -2.199, -1.31, 2.306, -42.79, -35.43, -29.22, -28.3, -2.20505, -1.30427, 2.83524, -0.19186, -0.0610967, -8.49991, 2, 10
5, -2.199, -1.31, 2.306, -42.79, -35.43, -29.22, -28.3, -2.20505, -1.30427, 2.83524, -0.19186, -0.0610967, -8.49991, 2, 10
5, -2.199, -1.31, 2.306, -42.79, -35.43, -29.22, -28.3, -2.20283, -1.30484, 1.88016, -0.203292, -0.640894, -5.63466, 2, 10
5, -2.199, -1.31, 2.306, -42.79, -35.43, -29.22, -28.3, -2.20283, -1.30484, 1.88016, -0.203331, -0.641018, -5.63387, 2, 10
5, -2.199, -1.31, 2.306, -42.79, -35.43, -29.22, -28.3, -2.20283, -1.30484, 1.88016, -0.203331, -0.641018, -5.63387, 2, 10
