ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -1.489, -1.418, 2.7618, -33.59, -35.66, -25.08, -25.08, -1.49112, -1.41694, 2.93008, -0.183841, -0.0548168, -8.55543, 1, 10
5, -1.487, -1.419, 2.6686, -42.56, -40.95, -28.53, -27.38, -1.49112, -1.41694, 2.93008, -0.183841, -0.0548168, -8.55543, 1, 10
5, -1.484, -1.42, 2.5018, -42.1, -39.57, -28.99, -29.22, -1.4913, -1.41729, 2.80861, -0.230645, -0.10065, -8.19102, 1, 10
5, -1.482, -1.421, 2.3932, -45.55, -37.73, -29.22, -29.91, -1.4913, -1.41729, 2.80861, -0.230645, -0.10065, -8.19102, 1, 10
5, -1.48, -1.422, 2.2849, -46.01, -37.27, -28.99, -30.37, -1.4913, -1.41729, 2.80861, -0.230744, -0.100693, -8.19036, 1, 10
5, -1.478, -1.422, 2.175, -44.17, -37.5, -29.22, -31.52, -1.4913, -1.41729, 2.80861, -0.230744, -0.100693, -8.19036, 1, 10
5, -1.477, -1.423, 2.0639, -43.71, -37.5, -29.68, -33.13, -1.4913, -1.41729, 2.80861, -0.230744, -0.100693, -8.19036, 1, 10
5, -1.475, -1.424, 1.9105, -44.63, -37.96, -31.06, -35.43, -1.4913, -1.41729, 2.80861, -0.230744, -0.100693, -8.19036, 1, 10
5, -1.473, -1.425, 1.8037, -44.86, -36.35, -19.55, -29.91, -1.4913, -1.41729, 2.80861, -0.230744, -0.100693, -8.19036, 1, 10
5, -1.471, -1.428, 1.7094, -41.87, -33.36, -14.72, -16.79, -1.48636, -1.41651, 1.87283, -0.157736, -0.692981, -5.38303, 1, 10
5, -1.469, -1.431, 1.6236, -43.02, -34.74, -16.56, -24.39, -1.48636, -1.41651, 1.87283, -0.157708, -0.692857, -5.38381, 1, 10
5, -1.466, -1.438, 1.3992, -34.97, -29.45, -17.02, -21.85, -1.48636, -1.41651, 1.87283, -0.157708, -0.692857, -5.38381, 1, 10
5, -1.466, -1.44, 1.3165, -36.35, -28.53, -20.47, -20.47, -1.48636, -1.41651, 1.87283, -0.157708, -0.692857, -5.38381, 1, 10
5, -1.465, -1.442, 1.2349, -37.27, -27.38, -18.86, -22.31, -1.48636, -1.41651, 1.87283, -0.157708, -0.692857, -5.38381, 1, 10
5, -1.464, -1.447, 1.0691, -37.5, -27.84, -14.72, -22.77, -1.48636, -1.41651, 1.87283, -0.157708, -0.692857, -5.38381, 1, 10
5, -1.463, -1.451, 0.9605, -38.88, -26.92, -4.83, -23.93, -1.47026, -1.42668, 1.05036, 0.630616, -0.909246, -2.91639, 1, 10
