ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.167, -0.305, 1.1301, 0, -0.46, 0, 0, -2.19121, -1.30458, 1.24071, 0.214748, -0.622529, -3.71585, 1, 10
5, -2.167, -0.305, 1.1301, 0, -0.46, 0, 0, -2.19121, -1.30458, 1.24071, 0.214748, -0.622529, -3.71585, 1, 10
5, -2.167, -0.305, 1.1301, 0, -0.46, 0, 0, -2.19121, -1.30458, 1.24071, 0.214748, -0.622529, -3.71585, 1, 10
5, -2.158, -0.303, 1.0857, 0.23, 8.74, -2.3, -31.29, -2.19121, -1.30458, 1.24071, 0.214748, -0.622529, -3.71585, 1, 10
5, -2.158, -0.303, 1.0857, 0.23, 8.74, -2.3, -31.29, -2.19152, -1.30515, 1.2497, 0.208365, -0.621577, -3.74283, 1, 10
5, -2.158, -0.303, 1.0857, 0.23, 8.74, -2.3, -31.29, -2.19152, -1.30515, 1.2497, 0.208392, -0.621659, -3.74205, 1, 10
5, -2.158, -0.303, 1.0857, 0.23, 8.74, -2.3, -31.29, -2.19152, -1.30515, 1.2497, 0.208392, -0.621659, -3.74205, 1, 10
5, -2.158, -0.303, 1.0857, 0.23, 8.74, -2.3, -31.29, -2.19152, -1.30515, 1.2497, 0.208392, -0.621659, -3.74205, 1, 10
5, -2.158, -0.303, 1.0857, 0.23, 8.74, -2.3, -31.29, -2.19152, -1.30515, 1.2497, 0.208392, -0.621659, -3.74205, 1, 10
5, -2.158, -0.303, 1.0857, 0.23, 8.74, -2.3, -31.29, -2.19152, -1.30515, 1.2497, 0.208392, -0.621659, -3.74205, 1, 10
5, -2.158, -0.303, 1.0857, 0.23, 8.74, -2.3, -31.29, -2.18649, -1.30205, 1.21721, 0.231314, -0.6249, -3.64459, 1, 10
5, -2.158, -0.303, 1.0857, 0.23, 8.74, -2.3, -31.29, -2.18649, -1.30205, 1.21721, 0.231314, -0.6249, -3.64459, 1, 10
5, -2.158, -0.303, 1.0857, 0.23, 8.74, -2.3, -31.29, -2.18649, -1.30205, 1.21721, 0.231153, -0.624465, -3.64882, 1, 10
5, -2.158, -0.303, 1.0857, 0.23, 8.74, -2.3, -31.29, -2.18649, -1.30205, 1.21721, 0.231153, -0.624465, -3.64882, 1, 10
5, -2.158, -0.303, 1.0857, 0.23, 8.74, -2.3, -31.29, -2.18649, -1.30205, 1.21721, 0.231153, -0.624465, -3.64882, 1, 10
5, -2.158, -0.303, 1.0857, 0.23, 8.74, -2.3, -31.29, -2.18649, -1.30205, 1.21721, 0.231153, -0.624465, -3.64882, 1, 10
5, -2.158, -0.303, 1.0857, 0.23, 8.74, -2.3, -31.29, -2.18649, -1.30205, 1.21721, 0.231153, -0.624465, -3.64882, 1, 10
5, -2.158, -0.303, 1.0857, 0.23, 8.74, -2.3, -31.29, -2.15868, -1.28827, 0.913229, 0.464761, -0.608665, -2.73687, 1, 10
5, -2.158, -0.303, 1.0857, 0.23, 8.74, -2.3, -31.29, -2.15868, -1.28827, 0.913229, 0.463489, -0.606999, -2.75599, 1, 10
5, -2.158, -0.303, 1.0857, 0.23, 8.74, -2.3, -31.29, -2.15868, -1.28827, 0.913229, 0.463489, -0.606999, -2.75599, 1, 10
5, -2.158, -0.303, 1.0857, 0.23, 8.74, -2.3, -31.29, -2.15868, -1.28827, 0.913229, 0.463489, -0.606999, -2.75599, 1, 10
5, -2.158, -0.303, 1.0857, 0.23, 8.74, -2.3, -31.29, -2.15868, -1.28827, 0.913229, 0.463489, -0.606999, -2.75599, 1, 10
5, -2.158, -0.303, 1.0857, 0.23, 8.74, -2.3, -31.29, -2.15868, -1.28827, 0.913229, 0.463489, -0.606999, -2.75599, 1, 10
5, -2.158, -0.303, 1.0857, 0.23, 8.74, -2.3, -31.29, -2.11254, -1.28945, 0.527705, 0.765111, -0.45107, -1.62036, 1, 10
5, -2.158, -0.303, 1.0857, 0.23, 8.74, -2.3, -31.29, -2.11254, -1.28945, 0.527705, 0.767213, -0.452309, -1.5981, 1, 10
5, -2.158, -0.303, 1.0857, 0.23, 8.74, -2.3, -31.29, -2.11254, -1.28945, 0.527705, 0.767213, -0.452309, -1.5981, 1, 10
5, -2.158, -0.303, 1.0857, 0.23, 8.74, -2.3, -31.29, -2.11254, -1.28945, 0.527705, 0.767213, -0.452309, -1.5981, 1, 10
5, -1.971, -0.477, -0.2847, 1.61, 29.22, -11.5, -45.09, -2.11254, -1.28945, 0.527705, 0.767213, -0.452309, -1.5981, 1, 10
5, -1.971, -0.477, -0.2847, 1.61, 29.22, -11.5, -45.09, -2.11254, -1.28945, 0.527705, 0.767213, -0.452309, -1.5981, 1, 10
5, -1.961, -0.492, -0.3314, 13.8, 29.91, -14.03, -43.25, -2.06833, -1.3106, 0.243692, 0.956125, -0.232527, -0.746054, 1, 10
5, -1.956, -0.499, -0.3496, 18.4, 29.91, -15.41, -45.09, -2.06833, -1.3106, 0.243692, 0.958236, -0.23304, -0.726226, 1, 10
5, -1.949, -0.506, -0.3628, 20.7, 31.75, -15.41, -42.79, -2.06833, -1.3106, 0.243692, 0.959358, -0.233313, -0.715698, 1, 10
5, -1.938, -0.517, -0.3772, 19.78, 29.45, -15.64, -40.49, -2.06833, -1.3106, 0.243692, 0.959358, -0.233313, -0.715698, 1, 10
5, -1.932, -0.523, -0.387, 19.55, 31.29, -15.64, -40.49, -2.06833, -1.3106, 0.243692, 0.959358, -0.233313, -0.715698, 1, 10
5, -1.925, -0.53, -0.3968, 19.09, 34.28, -19.55, -40.72, -2.06833, -1.3106, 0.243692, 0.959358, -0.233313, -0.715698, 1, 10
5, -1.918, -0.537, -0.4067, 19.78, 31.98, -22.31, -40.72, -2.06833, -1.3106, 0.243692, 0.959358, -0.233313, -0.715698, 1, 10
5, -1.911, -0.543, -0.4178, 24.85, 34.05, -21.85, -43.94, -2.01483, -1.3396, 0.0692218, 1.01505, -0.0503587, -0.148714, 1, 10
5, -1.901, -0.552, -0.4302, 25.31, 31.98, -21.62, -40.95, -2.01483, -1.3396, 0.0692218, 1.01505, -0.0503587, -0.148714, 1, 10
5, -1.893, -0.559, -0.4384, 26.92, 33.59, -23.46, -43.25, -2.01483, -1.3396, 0.0692218, 1.01505, -0.0503587, -0.148714, 1, 10
5, -1.885, -0.565, -0.4473, 27.15, 30.14, -23.46, -39.8, -2.01483, -1.3396, 0.0692218, 1.01505, -0.0503587, -0.148714, 1, 10
5, -1.877, -0.572, -0.455, 28.53, 31.75, -23.23, -41.41, -2.01483, -1.3396, 0.0692218, 1.01505, -0.0503587, -0.148714, 1, 10
5, -1.832, -0.605, -0.4868, 30.83, 28.07, -26.23, -37.5, -2.01483, -1.3396, 0.0692218, 1.01505, -0.0503587, -0.148714, 1, 10
5, -1.832, -0.605, -0.4868, 30.83, 28.07, -26.23, -37.5, -1.93891, -1.37484, 0.00360075, 0.994115, 0.0347877, 0.0481489, 1, 10
5, -1.832, -0.605, -0.4868, 30.83, 28.07, -26.23, -37.5, -1.93891, -1.37484, 0.00360075, 0.988306, 0.0345844, 0.101188, 1, 10
5, -1.832, -0.605, -0.4868, 30.83, 28.07, -26.23, -37.5, -1.93891, -1.37484, 0.00360075, 0.987895, 0.03457, 0.104938, 1, 10
5, -1.832, -0.605, -0.4868, 30.83, 28.07, -26.23, -37.5, -1.93891, -1.37484, 0.00360075, 0.987895, 0.03457, 0.104938, 1, 10
5, -1.832, -0.605, -0.4868, 30.83, 28.07, -26.23, -37.5, -1.93891, -1.37484, 0.00360075, 0.987895, 0.03457, 0.104938, 1, 10
5, -1.832, -0.605, -0.4868, 30.83, 28.07, -26.23, -37.5, -1.93891, -1.37484, 0.00360075, 0.987895, 0.03457, 0.104938, 1, 10
5, -1.832, -0.605, -0.4868, 30.83, 28.07, -26.23, -37.5, -1.82545, -1.40423, -0.044799, 0.967548, 0.0988732, 0.250137, 1, 10
5, -1.704, -0.675, -0.4837, 34.97, 27.84, -28.99, -33.13, -1.82545, -1.40423, -0.044799, 0.961511, 0.0982563, 0.305508, 1, 10
5, -1.686, -0.683, -0.4797, 33.82, 26, -28.07, -32.67, -1.82545, -1.40423, -0.044799, 0.961511, 0.0982563, 0.305508, 1, 10
5, -1.677, -0.687, -0.4793, 35.66, 26.69, -28.07, -32.44, -1.82545, -1.40423, -0.044799, 0.961511, 0.0982563, 0.305508, 1, 10
5, -1.668, -0.691, -0.478, 34.97, 25.54, -26.92, -31.29, -1.82545, -1.40423, -0.044799, 0.961511, 0.0982563, 0.305508, 1, 10
5, -1.645, -0.701, -0.4728, 36.12, 24.85, -30.6, -31.06, -1.82545, -1.40423, -0.044799, 0.961511, 0.0982563, 0.305508, 1, 10
5, -1.636, -0.704, -0.4715, 35.89, 25.77, -29.22, -30.37, -1.82545, -1.40423, -0.044799, 0.961511, 0.0982563, 0.305508, 1, 10
5, -1.627, -0.708, -0.4679, 37.5, 27.15, -28.99, -30.6, -1.75763, -1.41018, -0.0340764, 0.963691, 0.093465, 0.290052, 1, 10
5, -1.605, -0.716, -0.458, 37.73, 25.08, -29.45, -30.37, -1.75763, -1.41018, -0.0340764, 0.963691, 0.093465, 0.290052, 1, 10
5, -1.596, -0.719, -0.4537, 37.04, 24.62, -28.3, -29.91, -1.75763, -1.41018, -0.0340764, 0.963691, 0.093465, 0.290052, 1, 10
5, -1.587, -0.722, -0.4498, 35.66, 25.08, -29.45, -29.22, -1.75763, -1.41018, -0.0340764, 0.963691, 0.093465, 0.290052, 1, 10
5, -1.578, -0.725, -0.4475, 35.43, 25.08, -29.45, -29.22, -1.75763, -1.41018, -0.0340764, 0.963691, 0.093465, 0.290052, 1, 10
5, -1.545, -0.737, -0.4358, 36.58, 23.93, -29.22, -30.6, -1.75763, -1.41018, -0.0340764, 0.963691, 0.093465, 0.290052, 1, 10
5, -1.536, -0.74, -0.4333, 36.58, 25.77, -28.76, -31.29, -1.67707, -1.41752, -0.0340764, 0.962978, 0.100547, 0.290052, 1, 10
5, -1.526, -0.743, -0.4303, 35.43, 24.62, -28.99, -29.68, -1.67707, -1.41752, -0.0340764, 0.960574, 0.100296, 0.312107, 1, 10
5, -1.517, -0.746, -0.4277, 37.73, 26.69, -29.91, -31.98, -1.67707, -1.41752, -0.0340764, 0.960574, 0.100296, 0.312107, 1, 10
5, -1.505, -0.751, -0.4227, 35.66, 25.08, -27.61, -29.68, -1.67707, -1.41752, -0.0340764, 0.960574, 0.100296, 0.312107, 1, 10
5, -1.486, -0.757, -0.4172, 35.2, 25.08, -28.76, -29.91, -1.67707, -1.41752, -0.0340764, 0.960574, 0.100296, 0.312107, 1, 10
5, -1.468, -0.762, -0.4093, 35.43, 24.62, -28.07, -28.99, -1.67707, -1.41752, -0.0340764, 0.960574, 0.100296, 0.312107, 1, 10
5, -1.458, -0.765, -0.406, 35.43, 23.7, -27.84, -28.99, -1.67707, -1.41752, -0.0340764, 0.960574, 0.100296, 0.312107, 1, 10
5, -1.443, -0.77, -0.4011, 37.04, 25.31, -29.22, -30.83, -1.59785, -1.42473, -0.0340764, 0.957151, 0.107633, 0.335942, 1, 10
5, -1.434, -0.773, -0.3983, 37.27, 26.23, -30.14, -31.52, -1.59785, -1.42473, -0.0340764, 0.957151, 0.107633, 0.335942, 1, 10
5, -1.425, -0.775, -0.3945, 36.58, 26.23, -28.99, -30.37, -1.59785, -1.42473, -0.0340764, 0.957151, 0.107633, 0.335942, 1, 10
5, -1.416, -0.778, -0.3905, 37.96, 25.77, -29.68, -30.14, -1.59785, -1.42473, -0.0340764, 0.957151, 0.107633, 0.335942, 1, 10
5, -1.407, -0.781, -0.3873, 37.04, 25.31, -28.53, -30.37, -1.59785, -1.42473, -0.0340764, 0.957151, 0.107633, 0.335942, 1, 10
5, -1.394, -0.785, -0.3824, 37.04, 26.23, -29.68, -30.83, -1.59785, -1.42473, -0.0340764, 0.957151, 0.107633, 0.335942, 1, 10
5, -1.384, -0.787, -0.3794, 36.35, 24.62, -29.91, -30.14, -1.51755, -1.43204, -0.0340764, 0.956156, 0.116135, 0.335942, 1, 10
