ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -1.975, -1.348, 0.7151, -0.69, 4.83, -1.61, -1.38, -2.05722, -1.33375, 0.653509, 1.03246, -0.764074, -1.91132, 2, 10
5, -1.975, -1.348, 0.7151, -0.69, 4.83, -1.61, -1.38, -2.05722, -1.33375, 0.652618, 1.03349, -0.763415, -1.90865, 2, 10
5, -2.047, -1.334, 0.6584, -3.22, 35.89, -6.44, -13.11, -2.05722, -1.33375, 0.652618, 1.03349, -0.763415, -1.90864, 2, 10
5, -2.047, -1.334, 0.6584, -3.22, 35.89, -6.44, -13.11, -2.05722, -1.33375, 0.661233, 1.02348, -0.769737, -1.93449, 2, 10
5, -2.047, -1.334, 0.6584, -3.22, 35.89, -6.44, -13.11, -2.05722, -1.33375, 0.661233, 1.02348, -0.769737, -1.93449, 2, 10
5, -2.047, -1.334, 0.6584, -3.22, 35.89, -6.44, -13.11, -2.05722, -1.33375, 0.656049, 1.02951, -0.765947, -1.91894, 2, 10
5, -2.047, -1.334, 0.6584, -3.22, 35.89, -6.44, -13.11, -2.05722, -1.33375, 0.656049, 1.02951, -0.765947, -1.91894, 2, 10
5, -2.047, -1.334, 0.6584, -3.22, 35.89, -6.44, -13.11, -2.05282, -1.33248, 0.629195, 1.0601, -0.746261, -1.83838, 2, 10
5, -2.047, -1.334, 0.6584, -3.22, 35.89, -6.44, -13.11, -2.05102, -1.33197, 0.629195, 1.05992, -0.746513, -1.83838, 2, 10
5, -2.047, -1.334, 0.6584, -3.22, 35.89, -6.44, -13.11, -2.04314, -1.32999, 0.583174, 1.11135, -0.709989, -1.70236, 2, 10
5, -2.047, -1.334, 0.6584, -3.22, 35.89, -6.44, -13.11, -2.03859, -1.32881, 0.583174, 1.11087, -0.710534, -1.70306, 2, 10
5, -2.047, -1.334, 0.6584, -3.22, 35.89, -6.44, -13.11, -2.02564, -1.32708, 0.527722, 1.17134, -0.661912, -1.54032, 2, 10
5, -2.047, -1.334, 0.6584, -3.22, 35.89, -6.44, -13.11, -2.01843, -1.32582, 0.527722, 1.17073, -0.662458, -1.5419, 2, 10
5, -2.047, -1.334, 0.6584, -3.22, 35.89, -6.44, -13.11, -2.00593, -1.32449, 0.463438, 1.23874, -0.600258, -1.35119, 2, 10
5, -2.047, -1.334, 0.6584, -3.22, 35.89, -6.44, -13.11, -1.99613, -1.32312, 0.463438, 1.23811, -0.600912, -1.35293, 2, 10
5, -2.047, -1.334, 0.6584, -3.22, 35.89, -6.44, -13.11, -1.9927, -1.32255, 0.463438, 1.23768, -0.601109, -1.35476, 2, 10
5, -2.047, -1.334, 0.6584, -3.22, 35.89, -6.44, -13.11, -1.96902, -1.31888, 0.415417, 1.2856, -0.552399, -1.21286, 2, 10
