ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.194, -1.156, -1.605, 11.27, 7.82, -8.74, -9.89, -2.17194, -1.27983, -0.768819, 0.544108, 0.516663, 2.27818, 2, 32
5, -2.194, -1.156, -1.605, 11.27, 7.82, -8.74, -9.89, -2.17212, -1.27989, -0.768819, 0.544067, 0.516652, 2.27853, 2, 32
5, -2.194, -1.156, -1.605, 11.27, 7.82, -8.74, -9.89, -2.1718, -1.27982, -0.768805, 0.544085, 0.516622, 2.2786, 2, 32
5, -2.194, -1.156, -1.605, 11.27, 7.82, -8.74, -9.89, -2.17155, -1.27973, -0.768805, 0.544112, 0.516605, 2.27852, 2, 32
5, -2.194, -1.156, -1.605, 11.27, 7.82, -8.74, -9.89, -2.17144, -1.27969, -0.769643, 0.543487, 0.516859, 2.28107, 2, 32
5, -2.194, -1.156, -1.605, 11.27, 7.82, -8.74, -9.89, -2.17146, -1.27969, -0.769643, 0.543502, 0.51687, 2.2809, 2, 32
5, -2.194, -1.156, -1.605, 11.27, 7.82, -8.74, -9.89, -2.17101, -1.28028, -0.772703, 0.541054, 0.517985, 2.29003, 2, 32
5, -2.194, -1.156, -1.605, 11.27, 7.82, -8.74, -9.89, -2.17083, -1.28059, -0.772703, 0.540925, 0.518012, 2.29071, 2, 32
5, -2.194, -1.156, -1.605, 11.27, 7.82, -8.74, -9.89, -2.16636, -1.28286, -0.719377, 0.580519, 0.500455, 2.13102, 2, 32
5, -2.194, -1.156, -1.605, 11.27, 7.82, -8.74, -9.89, -2.1584, -1.28443, -0.662131, 0.622568, 0.47813, 1.96198, 2, 32
5, -2.194, -1.156, -1.605, 11.27, 7.82, -8.74, -9.89, -2.15398, -1.28555, -0.662131, 0.622219, 0.478362, 1.96321, 2, 32
5, -2.194, -1.156, -1.605, 11.27, 7.82, -8.74, -9.89, -2.14337, -1.28829, -0.576009, 0.684042, 0.438974, 1.70834, 2, 32
5, -2.194, -1.156, -1.605, 11.27, 7.82, -8.74, -9.89, -2.13624, -1.29021, -0.576009, 0.683314, 0.439361, 1.71202, 2, 32
5, -2.194, -1.156, -1.605, 11.27, 7.82, -8.74, -9.89, -2.12196, -1.2935, -0.502782, 0.733915, 0.400669, 1.49498, 2, 32
5, -2.194, -1.156, -1.605, 11.27, 7.82, -8.74, -9.89, -2.11606, -1.29441, -0.502782, 0.733387, 0.400786, 1.4987, 2, 32
5, -2.194, -1.156, -1.605, 11.27, 7.82, -8.74, -9.89, -2.09659, -1.29543, -0.425021, 0.78529, 0.353366, 1.26714, 2, 32
5, -2.194, -1.156, -1.605, 11.27, 7.82, -8.74, -9.89, -2.08466, -1.2967, -0.425021, 0.784992, 0.353799, 1.268, 2, 32
5, -2.194, -1.156, -1.605, 11.27, 7.82, -8.74, -9.89, -2.07317, -1.29409, -0.355791, 0.829136, 0.305426, 1.06211, 2, 32
5, -2.194, -1.156, -1.605, 11.27, 7.82, -8.74, -9.89, -2.06917, -1.29302, -0.355791, 0.829634, 0.305114, 1.05883, 2, 32
5, -2.046, -1.291, -0.325, 42.33, 18.4, -30.14, -17.48, -2.04431, -1.29002, -0.273729, 0.878219, 0.241963, 0.812637, 2, 32
5, -2.046, -1.291, -0.325, 42.33, 18.4, -30.14, -17.48, -2.03116, -1.28683, -0.214498, 0.910871, 0.192256, 0.630159, 2, 32
5, -2.013, -1.289, -0.28, 40.49, 20.01, -29.22, -21.39, -2.01919, -1.28497, -0.214498, 0.911253, 0.191424, 0.628311, 2, 32
5, -1.995, -1.281, -0.1811, 39.57, 22.77, -29.68, -22.31, -1.99522, -1.28008, -0.16908, 0.934899, 0.150007, 0.484915, 2, 32
5, -1.995, -1.281, -0.1811, 39.57, 22.77, -29.68, -22.31, -1.96867, -1.27476, -0.116947, 0.959563, 0.100277, 0.321298, 2, 32
5, -1.995, -1.281, -0.1811, 39.57, 22.77, -29.68, -22.31, -1.94891, -1.27067, -0.0728693, 0.97862, 0.0566455, 0.180141, 2, 32
