ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.179, -1.302, 2.9895, 0, 0, 0, 0, -2.20175, -1.30148, 2.96835, -0.0532186, -0.00934989, -8.90304, 2, 22
5, -2.179, -1.302, 2.9895, 0, 0, 0, 0, -2.20178, -1.30146, 2.96835, -0.0532181, -0.00934933, -8.90304, 2, 22
5, -2.179, -1.302, 2.9895, 0, 0, 0, 0, -2.20175, -1.30147, 2.96835, -0.0532184, -0.0093497, -8.90304, 2, 22
5, -2.179, -1.302, 2.9895, 0, 0, 0, 0, -2.20177, -1.30091, 2.96954, -0.0529607, -0.00922563, -8.90722, 2, 22
5, -2.179, -1.302, 2.9895, 0, 0, 0, 0, -2.20177, -1.30077, 2.96954, -0.0529416, -0.00921899, -8.90753, 2, 22
5, -2.179, -1.302, 2.9895, 0, 0, 0, 0, -2.20238, -1.30034, 2.9289, -0.0603616, -0.0130457, -8.78561, 2, 22
5, -2.179, -1.302, 2.9895, 0, 0, 0, 0, -2.2027, -1.30025, 2.9289, -0.060329, -0.0130359, -8.78612, 2, 22
5, -2.179, -1.302, 2.9895, 0, 0, 0, 0, -2.20311, -1.30119, 2.71867, -0.094068, -0.0423996, -8.15559, 2, 22
5, -2.189, -1.304, 1.7552, -44.4, -38.19, -28.99, -38.88, -2.20328, -1.30183, 2.71867, -0.0941687, -0.042478, -8.1537, 2, 22
5, -2.189, -1.304, 1.7552, -44.4, -38.19, -28.99, -38.88, -2.20496, -1.29998, 2.31586, -0.123826, -0.13424, -6.94736, 2, 22
5, -2.189, -1.304, 1.7552, -44.4, -38.19, -28.99, -38.88, -2.20311, -1.30126, 1.91001, -0.0872439, -0.247702, -5.73091, 2, 22
5, -2.189, -1.304, 1.7552, -44.4, -38.19, -28.99, -38.88, -2.20255, -1.30179, 1.91001, -0.08725, -0.247907, -5.72793, 2, 22
5, -2.189, -1.304, 1.7552, -44.4, -38.19, -28.99, -38.88, -2.20068, -1.30352, 1.91001, -0.087099, -0.248102, -5.7259, 2, 22
5, -2.189, -1.304, 1.7552, -44.4, -38.19, -28.99, -38.88, -2.19649, -1.30394, 1.51458, 0.0197726, -0.340433, -4.53876, 2, 22
5, -2.189, -1.304, 1.7552, -44.4, -38.19, -28.99, -38.88, -2.19352, -1.30669, 1.17832, 0.156945, -0.375889, -3.53, 2, 22
