ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.151, -1.314, 1.1781, 0, 0, 0, 0, -2.16474, -1.30847, 1.20653, 0.24127, -0.625439, -3.60787, 1, 21
5, -2.151, -1.314, 1.1781, 0, 0, 0, 0, -2.16474, -1.30847, 1.21022, 0.238532, -0.625192, -3.61893, 1, 21
5, -2.151, -1.314, 1.1781, 0, 0, 0, 0, -2.16474, -1.30847, 1.21022, 0.238532, -0.625192, -3.61893, 1, 21
5, -2.151, -1.314, 1.1781, 0, 0, 0, 0, -2.16474, -1.30847, 1.21666, 0.233761, -0.624732, -3.63824, 1, 21
5, -2.151, -1.314, 1.1781, 0, 0, 0, 0, -2.16474, -1.30847, 1.21666, 0.233761, -0.624732, -3.63824, 1, 21
5, -2.151, -1.314, 1.1781, 0, 0, 0, 0, -2.16443, -1.30808, 1.19457, 0.250088, -0.626205, -3.57197, 1, 21
5, -2.164, -1.308, 1.1944, -0.69, 20.47, -12.42, -40.26, -2.16429, -1.3079, 1.19457, 0.250013, -0.626172, -3.5725, 1, 21
5, -2.164, -1.308, 1.1944, -0.69, 20.47, -12.42, -40.26, -2.16094, -1.30484, 1.15707, 0.277414, -0.627995, -3.46026, 1, 21
5, -2.164, -1.308, 1.1944, -0.69, 20.47, -12.42, -40.26, -2.15874, -1.30286, 1.15707, 0.27665, -0.627826, -3.46448, 1, 21
5, -2.164, -1.308, 1.1944, -0.69, 20.47, -12.42, -40.26, -2.15152, -1.29718, 1.09662, 0.32141, -0.628269, -3.28533, 1, 21
5, -2.164, -1.308, 1.1944, -0.69, 20.47, -12.42, -40.26, -2.14953, -1.2957, 1.09662, 0.320587, -0.627724, -3.29318, 1, 21
5, -2.142, -1.296, 1.0832, 0.46, 14.49, -7.59, -37.5, -2.13926, -1.28851, 1.01942, 0.379044, -0.623808, -3.06425, 1, 21
5, -2.142, -1.296, 1.0832, 0.46, 14.49, -7.59, -37.5, -2.13725, -1.28731, 1.01942, 0.378202, -0.623219, -3.07283, 1, 21
5, -2.142, -1.296, 1.0832, 0.46, 14.49, -7.59, -37.5, -2.12284, -1.27968, 0.929705, 0.447624, -0.611969, -2.80633, 1, 21
5, -2.142, -1.296, 1.0832, 0.46, 14.49, -7.59, -37.5, -2.1178, -1.27749, 0.929705, 0.446292, -0.611509, -2.8169, 1, 21
5, -2.142, -1.296, 1.0832, 0.46, 14.49, -7.59, -37.5, -2.10198, -1.27143, 0.846701, 0.511361, -0.594327, -2.57061, 1, 21
5, -2.142, -1.296, 1.0832, 0.46, 14.49, -7.59, -37.5, -2.09982, -1.27133, 0.846701, 0.510656, -0.593577, -2.58, 1, 21
5, -2.142, -1.296, 1.0832, 0.46, 14.49, -7.59, -37.5, -2.08411, -1.26718, 0.750207, 0.587156, -0.564754, -2.29103, 1, 21
5, -2.142, -1.296, 1.0832, 0.46, 14.49, -7.59, -37.5, -2.08008, -1.26661, 0.750207, 0.586546, -0.564511, -2.29657, 1, 21
5, -2.142, -1.296, 1.0832, 0.46, 14.49, -7.59, -37.5, -2.06465, -1.26564, 0.674385, 0.646379, -0.534593, -2.07086, 1, 21
5, -2.142, -1.296, 1.0832, 0.46, 14.49, -7.59, -37.5, -2.05124, -1.26599, 0.578262, 0.720741, -0.487644, -1.78431, 1, 21
5, -2.142, -1.296, 1.0832, 0.46, 14.49, -7.59, -37.5, -2.04185, -1.2653, 0.578262, 0.720584, -0.487976, -1.7838, 1, 21
5, -2.142, -1.296, 1.0832, 0.46, 14.49, -7.59, -37.5, -2.04117, -1.26566, 0.578262, 0.720509, -0.487743, -1.78556, 1, 21
5, -2.025, -1.27, 0.5491, 0, 26.23, -12.19, -44.17, -2.02106, -1.26661, 0.499378, 0.779432, -0.442038, -1.54849, 1, 21
5, -2.017, -1.271, 0.5163, 0.69, 23.23, -15.64, -44.63, -2.00864, -1.26877, 0.386011, 0.85917, -0.36483, -1.20753, 1, 21
5, -2.015, -1.267, 0.4646, 0.92, 26.23, -18.86, -47.4, -1.9984, -1.26957, 0.386011, 0.859367, -0.364591, -1.20672, 1, 21
5, -2.015, -1.267, 0.4646, 0.92, 26.23, -18.86, -47.4, -1.98293, -1.27214, 0.282446, 0.925639, -0.28278, -0.893179, 1, 21
5, -1.99, -1.273, 0.3548, 2.07, 28.3, -18.17, -43.71, -1.96978, -1.2737, 0.282446, 0.925961, -0.282175, -0.891983, 1, 21
5, -1.99, -1.273, 0.3548, 2.07, 28.3, -18.17, -43.71, -1.97128, -1.27379, 0.282446, 0.926367, -0.28224, -0.888264, 1, 21
5, -1.99, -1.273, 0.3548, 2.07, 28.3, -18.17, -43.71, -1.94972, -1.28008, 0.173315, 0.987511, -0.183305, -0.560037, 1, 21
5, -1.99, -1.273, 0.3548, 2.07, 28.3, -18.17, -43.71, -1.9386, -1.28607, 0.0454694, 1.01707, -0.0536016, -0.168643, 1, 21
5, -1.99, -1.273, 0.3548, 2.07, 28.3, -18.17, -43.71, -1.92814, -1.28959, 0.0454694, 1.01682, -0.0517696, -0.165521, 1, 21
5, -1.99, -1.273, 0.3548, 2.07, 28.3, -18.17, -43.71, -1.91447, -1.29653, -0.0789985, 0.97309, 0.0752578, 0.219037, 1, 21
5, -1.99, -1.273, 0.3548, 2.07, 28.3, -18.17, -43.71, -1.9022, -1.30149, -0.0789985, 0.971882, 0.0777056, 0.228269, 1, 21
5, -1.99, -1.273, 0.3548, 2.07, 28.3, -18.17, -43.71, -1.8973, -1.30505, -0.182273, 0.924154, 0.172881, 0.545796, 1, 21
5, -1.99, -1.273, 0.3548, 2.07, 28.3, -18.17, -43.71, -1.88945, -1.30895, -0.182273, 0.923726, 0.174786, 0.546416, 1, 21
5, -1.99, -1.273, 0.3548, 2.07, 28.3, -18.17, -43.71, -1.87208, -1.31846, -0.239216, 0.891462, 0.22675, 0.731366, 1, 21
5, -1.99, -1.273, 0.3548, 2.07, 28.3, -18.17, -43.71, -1.86629, -1.32186, -0.239216, 0.890581, 0.228284, 0.7357, 1, 21
5, -1.99, -1.273, 0.3548, 2.07, 28.3, -18.17, -43.71, -1.84209, -1.33467, -0.220401, 0.897342, 0.218854, 0.696723, 1, 21
5, -1.99, -1.273, 0.3548, 2.07, 28.3, -18.17, -43.71, -1.83955, -1.33596, -0.220401, 0.895685, 0.219137, 0.710799, 1, 21
5, -1.99, -1.273, 0.3548, 2.07, 28.3, -18.17, -43.71, -1.81888, -1.34369, -0.225187, 0.890803, 0.2267, 0.737314, 1, 21
5, -1.99, -1.273, 0.3548, 2.07, 28.3, -18.17, -43.71, -1.80993, -1.34641, -0.225187, 0.888691, 0.2277, 0.75373, 1, 21
5, -1.99, -1.273, 0.3548, 2.07, 28.3, -18.17, -43.71, -1.78642, -1.35539, -0.233693, 0.881971, 0.239058, 0.786602, 1, 21
5, -1.99, -1.273, 0.3548, 2.07, 28.3, -18.17, -43.71, -1.78225, -1.35691, -0.233693, 0.881749, 0.239875, 0.786602, 1, 21
5, -1.99, -1.273, 0.3548, 2.07, 28.3, -18.17, -43.71, -1.75199, -1.36553, -0.202521, 0.895515, 0.219061, 0.712468, 1, 21
5, -1.99, -1.273, 0.3548, 2.07, 28.3, -18.17, -43.71, -1.74875, -1.36559, -0.202521, 0.89441, 0.218888, 0.722643, 1, 21
5, -1.99, -1.273, 0.3548, 2.07, 28.3, -18.17, -43.71, -1.72581, -1.37046, -0.18363, 0.903849, 0.206332, 0.66519, 1, 21
5, -1.99, -1.273, 0.3548, 2.07, 28.3, -18.17, -43.71, -1.71381, -1.37289, -0.18363, 0.902396, 0.207616, 0.675494, 1, 21
5, -1.711, -1.37, -0.1761, 40.49, 26, -28.07, -25.08, -1.6905, -1.37671, -0.146238, 0.920541, 0.178551, 0.568501, 1, 21
5, -1.711, -1.37, -0.1761, 40.49, 26, -28.07, -25.08, -1.68956, -1.37636, -0.146238, 0.919784, 0.178232, 0.575836, 1, 21
5, -1.679, -1.369, -0.1353, 38.88, 24.16, -27.84, -23.7, -1.65939, -1.3781, -0.114227, 0.935189, 0.152129, 0.479215, 1, 21
5, -1.67, -1.368, -0.1262, 37.96, 23.23, -28.76, -23.46, -1.65045, -1.37643, -0.072973, 0.953724, 0.11427, 0.360015, 1, 21
5, -1.649, -1.375, -0.0991, 40.95, 23.46, -30.37, -25.54, -1.63556, -1.37697, -0.072973, 0.953851, 0.115016, 0.358057, 1, 21
5, -1.64, -1.374, -0.0913, 38.19, 22.77, -30.83, -26, -1.61881, -1.37495, -0.0419667, 0.966929, 0.0855345, 0.267309, 1, 21
5, -1.64, -1.374, -0.0913, 38.19, 22.77, -30.83, -26, -1.6034, -1.37441, -0.0419667, 0.9672, 0.0856662, 0.264739, 1, 21
5, -1.64, -1.374, -0.0913, 38.19, 22.77, -30.83, -26, -1.5865, -1.37184, -0.0171814, 0.977192, 0.0610861, 0.190715, 1, 21
5, -1.579, -1.369, -0.0295, 37.27, 23.93, -30.6, -31.29, -1.56765, -1.37034, -0.0171814, 0.977608, 0.0607093, 0.18714, 1, 21
5, -1.579, -1.369, -0.0295, 37.27, 23.93, -30.6, -31.29, -1.55906, -1.36756, 0.0110209, 0.988366, 0.0319215, 0.101454, 1, 21
5, -1.56, -1.369, -0.015, 38.19, 26.23, -30.14, -31.52, -1.54429, -1.36554, 0.0110209, 0.988898, 0.0310543, 0.0968579, 1, 21
5, -1.535, -1.367, -0.0094, 34.05, 26.23, -26.69, -30.14, -1.52741, -1.36224, 0.0246321, 0.994025, 0.0159963, 0.0533444, 1, 21
5, -1.525, -1.361, 0.0267, 37.27, 27.15, -29.22, -31.52, -1.51996, -1.36115, 0.0246321, 0.994535, 0.0154908, 0.0487705, 1, 21
5, -1.525, -1.361, 0.0267, 37.27, 27.15, -29.22, -31.52, -1.49585, -1.35773, 0.0378217, 0.99938, 0.000754479, 0.00565366, 1, 21
5, -1.495, -1.359, 0.0318, 35.89, 28.76, -28.76, -34.05, -1.49071, -1.35711, 0.0378217, 0.999697, 0.000466706, 0.00276398, 1, 21
5, -1.475, -1.354, 0.038, 34.97, 27.84, -28.53, -33.13, -1.46706, -1.35303, 0.0526435, 1.00485, -0.0165947, -0.0454785, 1, 21
5, -1.465, -1.354, 0.038, 36.35, 28.99, -29.45, -35.2, -1.45442, -1.35103, 0.0526435, 1.00516, -0.0176673, -0.0484928, 1, 21
5, -1.44, -1.353, 0.0377, 33.82, 27.15, -28.76, -33.36, -1.43584, -1.34791, 0.0461556, 1.0035, -0.0128459, -0.032721, 1, 21
5, -1.44, -1.353, 0.0377, 33.82, 27.15, -28.76, -33.36, -1.43169, -1.34739, 0.0461556, 1.00391, -0.0131162, -0.0364927, 1, 21
5, -1.43, -1.347, 0.0458, 36.12, 29.45, -29.45, -36.35, -1.40599, -1.34237, 0.0496172, 1.00541, -0.0195985, -0.0511202, 1, 21
5, -1.4, -1.346, 0.0446, 33.36, 28.07, -26.92, -34.74, -1.39968, -1.34082, 0.0496172, 1.00604, -0.0205858, -0.057009, 1, 21
5, -1.4, -1.346, 0.0446, 33.36, 28.07, -26.92, -34.74, -1.37537, -1.3384, 0.049503, 1.00662, -0.0217379, -0.0625879, 1, 21
5, -1.4, -1.346, 0.0446, 33.36, 28.07, -26.92, -34.74, -1.36709, -1.33806, 0.049503, 1.00668, -0.0218177, -0.0630917, 1, 21
5, -1.4, -1.346, 0.0446, 33.36, 28.07, -26.92, -34.74, -1.3383, -1.33543, 0.0501156, 1.00731, -0.0238232, -0.0692871, 1, 21
5, -1.337, -1.334, 0.0491, 34.51, 28.76, -27.84, -37.27, -1.33271, -1.33507, 0.0501156, 1.00739, -0.0239838, -0.0700713, 1, 21
5, -1.327, -1.334, 0.0469, 29.91, 25.08, -23.93, -32.9, -1.30778, -1.33376, 0.0473376, 1.00653, -0.0216697, -0.0617371, 1, 21
5, -1.327, -1.334, 0.0469, 29.91, 25.08, -23.93, -32.9, -1.29537, -1.33345, 0.0423338, 1.00542, -0.0166051, -0.0507199, 1, 21
5, -1.3, -1.334, 0.0452, 31.29, 24.62, -26, -32.21, -1.2799, -1.33252, 0.0423338, 1.00534, -0.0170232, -0.0500622, 1, 21
5, -1.28, -1.332, 0.0404, 29.45, 25.08, -23.7, -30.14, -1.26592, -1.33199, 0.0551535, 1.00925, -0.0301765, -0.0885212, 1, 21
5, -1.262, -1.332, 0.0388, 30.83, 26.23, -25.31, -31.75, -1.24708, -1.33101, 0.0551535, 1.00943, -0.0305905, -0.0902759, 1, 21
5, -1.253, -1.331, 0.038, 31.98, 26, -26.46, -32.21, -1.23314, -1.32967, 0.0451073, 1.0064, -0.0211854, -0.0603984, 1, 21
5, -1.231, -1.33, 0.052, 31.29, 25.31, -26.92, -31.75, -1.217, -1.32857, 0.0451073, 1.00677, -0.0217826, -0.0639018, 1, 21
5, -1.213, -1.329, 0.0504, 30.37, 25.31, -25.54, -31.75, -1.2059, -1.32772, 0.0361637, 1.00409, -0.0132353, -0.0381058, 1, 21
5, -1.21, -1.328, 0.0361, 32.44, 26.69, -25.31, -33.36, -1.19151, -1.32674, 0.0361637, 1.00429, -0.013786, -0.0400035, 1, 21
5, -1.197, -1.327, 0.0368, 28.99, 24.85, -23.7, -29.45, -1.17914, -1.32667, 0.0408208, 1.00576, -0.0183136, -0.0541185, 1, 21
5, -1.18, -1.327, 0.0348, 29.22, 25.31, -24.85, -32.44, -1.16949, -1.32641, 0.0408208, 1.00587, -0.0183535, -0.0550527, 1, 21
5, -1.171, -1.327, 0.0333, 30.6, 24.85, -24.16, -31.75, -1.14743, -1.32505, 0.0378572, 1.0049, -0.016111, -0.045911, 1, 21
5, -1.171, -1.327, 0.0333, 30.6, 24.85, -24.16, -31.75, -1.13219, -1.32427, 0.0378572, 1.00517, -0.0165143, -0.0484297, 1, 21
5, -1.132, -1.324, 0.0384, 29.22, 24.62, -23, -30.37, -1.11881, -1.32319, 0.0364761, 1.00481, -0.015831, -0.0450255, 1, 21
5, -1.132, -1.324, 0.0384, 29.22, 24.62, -23, -30.37, -1.11212, -1.32279, 0.0364761, 1.00507, -0.0160677, -0.0474797, 1, 21
5, -1.132, -1.324, 0.0384, 29.22, 24.62, -23, -30.37, -1.08871, -1.32202, 0.032648, 1.00394, -0.012471, -0.0366406, 1, 21
5, -1.132, -1.324, 0.0384, 29.22, 24.62, -23, -30.37, -1.08178, -1.32195, 0.032648, 1.00402, -0.0124142, -0.0374156, 1, 21
5, -1.132, -1.324, 0.0384, 29.22, 24.62, -23, -30.37, -1.05899, -1.32175, 0.0241205, 1.00117, -0.00359258, -0.0106946, 1, 21
5, -1.132, -1.324, 0.0384, 29.22, 24.62, -23, -30.37, -1.05797, -1.32198, 0.0241205, 1.00118, -0.00335478, -0.0107781, 1, 21
5, -1.132, -1.324, 0.0384, 29.22, 24.62, -23, -30.37, -1.03537, -1.32181, 0.0256587, 1.00159, -0.00460838, -0.0146328, 1, 21
5, -1.132, -1.324, 0.0384, 29.22, 24.62, -23, -30.37, -1.03232, -1.32181, 0.0256587, 1.0015, -0.00454403, -0.0138031, 1, 21
5, -1.132, -1.324, 0.0384, 29.22, 24.62, -23, -30.37, -1.01221, -1.32151, 0.0172698, 0.998726, 0.00397687, 0.0115553, 1, 21
5, -1.132, -1.324, 0.0384, 29.22, 24.62, -23, -30.37, -0.99633, -1.32057, 0.0182549, 0.999006, 0.00238996, 0.00904132, 1, 21
5, -1.132, -1.324, 0.0384, 29.22, 24.62, -23, -30.37, -0.982485, -1.32007, 0.0182549, 0.999013, 0.00216505, 0.00898233, 1, 21
5, -1.132, -1.324, 0.0384, 29.22, 24.62, -23, -30.37, -0.980364, -1.31961, 0.0182549, 0.999275, 0.00174708, 0.00660099, 1, 21
5, -1.132, -1.324, 0.0384, 29.22, 24.62, -23, -30.37, -0.957364, -1.31865, 0.0124311, 0.997486, 0.00702445, 0.0227162, 1, 21
5, -1.132, -1.324, 0.0384, 29.22, 24.62, -23, -30.37, -0.946693, -1.31848, 0.0091149, 0.996523, 0.0103672, 0.0312346, 1, 21
5, -0.944, -1.317, 0.0125, 25.08, 21.39, -21.62, -25.54, -0.934226, -1.31804, 0.0091149, 0.996524, 0.0101563, 0.0312461, 1, 21
5, -0.944, -1.317, 0.0125, 25.08, 21.39, -21.62, -25.54, -0.921439, -1.31759, 0.0139282, 0.998218, 0.00515256, 0.0161345, 1, 21
5, -0.929, -1.317, 0.0094, 27.38, 21.39, -20.47, -26, -0.905922, -1.31704, 0.0139282, 0.998354, 0.00486761, 0.0149155, 1, 21
5, -0.915, -1.317, 0.0098, 25.54, 20.24, -21.39, -25.31, -0.897684, -1.31657, 0.0206463, 1.00057, -0.00219282, -0.00523878, 1, 21
5, -0.915, -1.317, 0.0098, 25.54, 20.24, -21.39, -25.31, -0.882823, -1.31595, 0.0206463, 1.00079, -0.00257772, -0.00721063, 1, 21
5, -0.915, -1.317, 0.0098, 25.54, 20.24, -21.39, -25.31, -0.871251, -1.31578, 0.0135081, 0.998485, 0.00459629, 0.0137286, 1, 21
5, -0.915, -1.317, 0.0098, 25.54, 20.24, -21.39, -25.31, -0.86318, -1.31566, 0.0135081, 0.998485, 0.00461953, 0.0137286, 1, 21
5, -0.915, -1.317, 0.0098, 25.54, 20.24, -21.39, -25.31, -0.853877, -1.31541, 0.0135081, 0.998514, 0.00453235, 0.0134617, 1, 21
5, -0.915, -1.317, 0.0098, 25.54, 20.24, -21.39, -25.31, -0.838321, -1.31381, 0.0138545, 0.998608, 0.00261367, 0.0126662, 1, 21
5, -0.915, -1.317, 0.0098, 25.54, 20.24, -21.39, -25.31, -0.826443, -1.31307, 0.0118038, 0.998398, 0.00400499, 0.0145452, 1, 21
5, -0.915, -1.317, 0.0098, 25.54, 20.24, -21.39, -25.31, -0.811545, -1.31221, 0.0118038, 0.998597, 0.00323515, 0.01275, 1, 21
5, -0.915, -1.317, 0.0098, 25.54, 20.24, -21.39, -25.31, -0.805768, -1.3127, 0.0184513, 1.00105, -0.00269747, -0.00963765, 1, 21
5, -0.915, -1.317, 0.0098, 25.54, 20.24, -21.39, -25.31, -0.794487, -1.31238, 0.0184513, 0.996231, -0.00285722, -0.00892954, 1, 21
5, -0.915, -1.317, 0.0098, 25.54, 20.24, -21.39, -25.31, -0.782004, -1.31295, 0.00594716, 0.981061, 0.0104069, 0.0299562, 1, 21
