ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.089, -1.274, -0.6077, 0, 0, 0, 0, -2.07522, -1.25892, -0.183824, 0.56002, 0.0926932, 0.492139, 1, 1
5, -2.089, -1.274, -0.6077, 0, 0, 0, 0, -2.07522, -1.2589, -0.183824, 0.560025, 0.0926897, 0.492069, 1, 1
5, -2.089, -1.274, -0.6077, 0, 0, 0, 0, -2.07491, -1.25865, -0.183811, 0.560061, 0.0926164, 0.491722, 1, 1
5, -2.063, -1.257, -0.167, 44.17, 12.19, -14.26, -14.26, -2.07479, -1.25854, -0.183811, 0.560075, 0.092588, 0.49157, 1, 1
5, -2.055, -1.255, -0.1415, 49.24, 21.62, -23.23, -17.94, -2.07496, -1.25872, -0.181322, 0.560769, 0.0913182, 0.484289, 1, 1
5, -2.055, -1.255, -0.1415, 49.24, 21.62, -23.23, -17.94, -2.07516, -1.2589, -0.181322, 0.560762, 0.0913697, 0.484266, 1, 1
5, -2.055, -1.255, -0.1415, 49.24, 21.62, -23.23, -17.94, -2.07349, -1.25864, -0.170452, 0.563854, 0.0855112, 0.451657, 1, 1
5, -2.055, -1.255, -0.1415, 49.24, 21.62, -23.23, -17.94, -2.07303, -1.2586, -0.170452, 0.563864, 0.0854999, 0.451535, 1, 1
5, -2.013, -1.251, -0.0602, 17.25, 19.55, -22.31, -22.08, -2.06718, -1.26066, -0.213002, 0.551383, 0.108315, 0.579106, 1, 1
5, -2.013, -1.251, -0.0602, 17.25, 19.55, -22.31, -22.08, -2.06456, -1.26187, -0.213002, 0.55114, 0.108589, 0.581919, 1, 1
5, -2.013, -1.251, -0.0602, 17.25, 19.55, -22.31, -22.08, -2.05501, -1.26428, -0.206088, 0.552994, 0.105611, 0.562862, 1, 1
5, -2.013, -1.251, -0.0602, 17.25, 19.55, -22.31, -22.08, -2.05012, -1.26569, -0.206088, 0.552715, 0.105928, 0.566125, 1, 1
5, -2.013, -1.251, -0.0602, 17.25, 19.55, -22.31, -22.08, -2.04075, -1.26685, -0.202645, 0.553547, 0.104393, 0.558053, 1, 1
5, -2.013, -1.251, -0.0602, 17.25, 19.55, -22.31, -22.08, -2.03345, -1.26835, -0.202645, 0.553383, 0.104752, 0.559493, 1, 1
5, -2.013, -1.251, -0.0602, 17.25, 19.55, -22.31, -22.08, -2.02553, -1.26825, -0.201229, 0.553771, 0.103952, 0.555958, 1, 1
5, -2.013, -1.251, -0.0602, 17.25, 19.55, -22.31, -22.08, -2.01685, -1.26928, -0.201229, 0.553641, 0.104182, 0.557244, 1, 1
5, -2.013, -1.251, -0.0602, 17.25, 19.55, -22.31, -22.08, -2.00983, -1.27033, -0.20909, 0.551148, 0.108474, 0.58215, 1, 1
5, -2.013, -1.251, -0.0602, 17.25, 19.55, -22.31, -22.08, -2.0026, -1.2713, -0.20909, 0.551005, 0.108692, 0.583638, 1, 1
5, -2.013, -1.251, -0.0602, 17.25, 19.55, -22.31, -22.08, -1.99174, -1.27336, -0.197125, 0.554394, 0.103032, 0.549216, 1, 1
5, -2.013, -1.251, -0.0602, 17.25, 19.55, -22.31, -22.08, -1.98176, -1.27494, -0.197125, 0.554086, 0.103392, 0.55281, 1, 1
5, -2.013, -1.251, -0.0602, 17.25, 19.55, -22.31, -22.08, -1.98019, -1.27512, -0.197125, 0.554048, 0.103432, 0.553262, 1, 1
5, -2.013, -1.251, -0.0602, 17.25, 19.55, -22.31, -22.08, -1.9644, -1.27761, -0.183324, 0.55778, 0.0968519, 0.515148, 1, 1
5, -2.013, -1.251, -0.0602, 17.25, 19.55, -22.31, -22.08, -1.96219, -1.27797, -0.183324, 0.557764, 0.0969471, 0.515148, 1, 1
5, -2.013, -1.251, -0.0602, 17.25, 19.55, -22.31, -22.08, -1.94638, -1.28071, -0.181044, 0.558241, 0.0964782, 0.509211, 1, 1
5, -2.013, -1.251, -0.0602, 17.25, 19.55, -22.31, -22.08, -1.94361, -1.28127, -0.181044, 0.557967, 0.0965883, 0.513039, 1, 1
5, -2.013, -1.251, -0.0602, 17.25, 19.55, -22.31, -22.08, -1.92821, -1.28303, -0.172847, 0.560181, 0.0927291, 0.489636, 1, 1
5, -2.013, -1.251, -0.0602, 17.25, 19.55, -22.31, -22.08, -1.92556, -1.28303, -0.172847, 0.56002, 0.0926945, 0.49214, 1, 1
5, -2.013, -1.251, -0.0602, 17.25, 19.55, -22.31, -22.08, -1.91255, -1.2843, -0.181724, 0.557382, 0.0976959, 0.518911, 1, 1
5, -2.013, -1.251, -0.0602, 17.25, 19.55, -22.31, -22.08, -1.9097, -1.28451, -0.181724, 0.557253, 0.0977313, 0.520755, 1, 1
5, -2.013, -1.251, -0.0602, 17.25, 19.55, -22.31, -22.08, -1.89639, -1.28573, -0.1762, 0.558788, 0.0951565, 0.504417, 1, 1
5, -2.013, -1.251, -0.0602, 17.25, 19.55, -22.31, -22.08, -1.8865, -1.28668, -0.1762, 0.558602, 0.0953923, 0.506604, 1, 1
5, -2.013, -1.251, -0.0602, 17.25, 19.55, -22.31, -22.08, -1.87774, -1.2878, -0.166349, 0.561364, 0.0905081, 0.477326, 1, 1
5, -2.013, -1.251, -0.0602, 17.25, 19.55, -22.31, -22.08, -1.86771, -1.28888, -0.166349, 0.561125, 0.0907826, 0.480251, 1, 1
5, -2.013, -1.251, -0.0602, 17.25, 19.55, -22.31, -22.08, -1.86195, -1.2905, -0.159888, 0.562842, 0.0878218, 0.461534, 1, 1
5, -2.013, -1.251, -0.0602, 17.25, 19.55, -22.31, -22.08, -1.85234, -1.29194, -0.159888, 0.562508, 0.0882047, 0.465644, 1, 1
5, -2.013, -1.251, -0.0602, 17.25, 19.55, -22.31, -22.08, -1.84487, -1.29262, -0.164688, 0.561051, 0.0909382, 0.480982, 1, 1
5, -2.013, -1.251, -0.0602, 17.25, 19.55, -22.31, -22.08, -1.83551, -1.29382, -0.164688, 0.560834, 0.0912689, 0.483426, 1, 1
5, -2.013, -1.251, -0.0602, 17.25, 19.55, -22.31, -22.08, -1.82629, -1.2952, -0.171027, 0.558786, 0.0949975, 0.504845, 1, 1
5, -2.013, -1.251, -0.0602, 17.25, 19.55, -22.31, -22.08, -1.81582, -1.29669, -0.171027, 0.558553, 0.0954206, 0.507265, 1, 1
5, -2.013, -1.251, -0.0602, 17.25, 19.55, -22.31, -22.08, -1.80758, -1.2979, -0.168857, 0.559033, 0.0946344, 0.502075, 1, 1
5, -2.013, -1.251, -0.0602, 17.25, 19.55, -22.31, -22.08, -1.79699, -1.29936, -0.168857, 0.558757, 0.095051, 0.505151, 1, 1
5, -2.013, -1.251, -0.0602, 17.25, 19.55, -22.31, -22.08, -1.79771, -1.299, -0.168857, 0.558775, 0.0949414, 0.505151, 1, 1
5, -2.013, -1.251, -0.0602, 17.25, 19.55, -22.31, -22.08, -1.78811, -1.30114, -0.164023, 0.560074, 0.0930641, 0.490408, 1, 1
5, -2.013, -1.251, -0.0602, 17.25, 19.55, -22.31, -22.08, -1.779, -1.30308, -0.164023, 0.559612, 0.0936183, 0.495958, 1, 1
5, -1.671, -1.26, -0.0094, 19.78, 17.25, -16.33, -21.39, -1.76516, -1.30664, -0.175879, 0.555653, 0.100907, 0.536224, 1, 1
5, -1.659, -1.26, -0.0112, 20.7, 17.25, -17.02, -21.39, -1.76185, -1.30771, -0.175879, 0.555349, 0.101204, 0.53996, 1, 1
5, -1.659, -1.26, -0.0112, 20.7, 17.25, -17.02, -21.39, -1.75043, -1.3088, -0.161282, 0.559411, 0.0939025, 0.498245, 1, 1
5, -1.659, -1.26, -0.0112, 20.7, 17.25, -17.02, -21.39, -1.74132, -1.31031, -0.161282, 0.559184, 0.0943801, 0.50045, 1, 1
5, -1.659, -1.26, -0.0112, 20.7, 17.25, -17.02, -21.39, -1.73423, -1.31101, -0.166996, 0.557393, 0.0975991, 0.519, 1, 1
5, -1.659, -1.26, -0.0112, 20.7, 17.25, -17.02, -21.39, -1.72528, -1.31234, -0.166996, 0.557314, 0.0980501, 0.519, 1, 1
5, -1.659, -1.26, -0.0112, 20.7, 17.25, -17.02, -21.39, -1.71646, -1.31462, -0.168019, 0.556701, 0.0993116, 0.524829, 1, 1
5, -1.659, -1.26, -0.0112, 20.7, 17.25, -17.02, -21.39, -1.70726, -1.31634, -0.168019, 0.556345, 0.0998527, 0.528713, 1, 1
5, -1.659, -1.26, -0.0112, 20.7, 17.25, -17.02, -21.39, -1.69951, -1.31686, -0.159011, 0.558706, 0.0952919, 0.505294, 1, 1
5, -1.659, -1.26, -0.0112, 20.7, 17.25, -17.02, -21.39, -1.68938, -1.31827, -0.159011, 0.558523, 0.095775, 0.506798, 1, 1
5, -1.659, -1.26, -0.0112, 20.7, 17.25, -17.02, -21.39, -1.68904, -1.31758, -0.159011, 0.558562, 0.0955487, 0.506798, 1, 1
5, -1.566, -1.26, 0.0014, 20.01, 17.02, -16.33, -20.93, -1.67569, -1.32007, -0.159198, 0.558184, 0.0964899, 0.510042, 1, 1
5, -1.566, -1.26, 0.0014, 20.01, 17.02, -16.33, -20.93, -1.66495, -1.321, -0.148319, 0.56134, 0.0911246, 0.47619, 1, 1
5, -1.566, -1.26, 0.0014, 20.01, 17.02, -16.33, -20.93, -1.65469, -1.32214, -0.148319, 0.560943, 0.0915013, 0.481233, 1, 1
