ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -1.475, 0.587, 2.2529, 0, 0, 0, 0, -2.25379, -1.30136, 3.12574, -0.0090387, -0.000371307, -9.30161, 2, 10
5, -1.475, 0.587, 2.2529, 0, 0, 0, 0, -2.25402, -1.30138, 3.12257, -0.0092432, -0.000411391, -9.29212, 2, 10
5, -1.475, 0.587, 2.2529, 0, 0, 0, 0, -2.25402, -1.30138, 3.12257, -0.00925974, -0.000412127, -9.29134, 2, 10
5, -2.257, -1.304, 2.8791, -48.55, -38.88, -33.59, -34.28, -2.25402, -1.30138, 3.12257, -0.00925974, -0.000412127, -9.29134, 2, 10
5, -2.257, -1.304, 2.8791, -48.55, -38.88, -33.59, -34.28, -2.25402, -1.30138, 3.12257, -0.00925974, -0.000412127, -9.29134, 2, 10
5, -2.25, -1.303, 2.5707, -60.05, -40.95, -34.97, -38.65, -2.25402, -1.30138, 3.12257, -0.00925974, -0.000412127, -9.29134, 2, 10
5, -2.25, -1.303, 2.5707, -60.05, -40.95, -34.97, -38.65, -2.25402, -1.30138, 3.12257, -0.00925974, -0.000412127, -9.29134, 2, 10
5, -2.245, -1.302, 2.19, -41.87, -39.11, -38.42, -39.34, -2.25397, -1.30192, 2.99545, -0.0171367, -0.00314858, -8.90997, 2, 10
5, -2.245, -1.302, 2.19, -41.87, -39.11, -38.42, -39.34, -2.25397, -1.30192, 2.99545, -0.0171367, -0.00314858, -8.90997, 2, 10
5, -2.245, -1.302, 2.19, -41.87, -39.11, -38.42, -39.34, -2.25397, -1.30192, 2.99545, -0.0177742, -0.0032657, -8.87966, 2, 10
5, -2.245, -1.302, 2.19, -41.87, -39.11, -38.42, -39.34, -2.25397, -1.30192, 2.99545, -0.0177742, -0.0032657, -8.87966, 2, 10
5, -2.245, -1.302, 2.19, -41.87, -39.11, -38.42, -39.34, -2.25397, -1.30192, 2.99545, -0.0177742, -0.0032657, -8.87966, 2, 10
5, -2.245, -1.302, 2.19, -41.87, -39.11, -38.42, -39.34, -2.25397, -1.30192, 2.99545, -0.0177742, -0.0032657, -8.87966, 2, 10
5, -2.245, -1.302, 2.19, -41.87, -39.11, -38.42, -39.34, -2.25397, -1.30192, 2.99545, -0.0177742, -0.0032657, -8.87966, 2, 10
5, -2.245, -1.302, 2.19, -41.87, -39.11, -38.42, -39.34, -2.25522, -1.30413, 1.94785, -0.0254417, -0.0815683, -5.73687, 2, 10
5, -2.245, -1.302, 2.19, -41.87, -39.11, -38.42, -39.34, -2.25522, -1.30413, 1.94785, -0.026191, -0.0839706, -5.61942, 2, 10
5, -2.245, -1.302, 2.19, -41.87, -39.11, -38.42, -39.34, -2.25522, -1.30413, 1.94785, -0.026191, -0.0839706, -5.61942, 2, 10
5, -2.245, -1.302, 2.19, -41.87, -39.11, -38.42, -39.34, -2.25522, -1.30413, 1.94785, -0.026191, -0.0839706, -5.61942, 2, 10
5, -2.245, -1.302, 2.19, -41.87, -39.11, -38.42, -39.34, -2.25522, -1.30413, 1.94785, -0.026191, -0.0839706, -5.61942, 2, 10
5, -2.245, -1.302, 2.19, -41.87, -39.11, -38.42, -39.34, -2.25522, -1.30413, 1.94785, -0.026191, -0.0839706, -5.61942, 2, 10
5, -2.245, -1.302, 2.19, -41.87, -39.11, -38.42, -39.34, -2.24943, -1.30456, 0.963644, 0.0965188, -0.114795, -2.66679, 2, 10
5, -2.245, -1.302, 2.19, -41.87, -39.11, -38.42, -39.34, -2.24943, -1.30456, 0.963644, 0.0965188, -0.114795, -2.66679, 2, 10
5, -2.245, -1.302, 2.19, -41.87, -39.11, -38.42, -39.34, -2.24943, -1.30456, 0.963644, 0.0972268, -0.115637, -2.61502, 2, 10
5, -2.245, -1.302, 2.19, -41.87, -39.11, -38.42, -39.34, -2.24943, -1.30456, 0.963644, 0.0972268, -0.115637, -2.61502, 2, 10
5, -2.245, -1.302, 2.19, -41.87, -39.11, -38.42, -39.34, -2.24943, -1.30456, 0.963644, 0.0972268, -0.115637, -2.61502, 2, 10
5, -2.245, -1.302, 2.19, -41.87, -39.11, -38.42, -39.34, -2.24943, -1.30456, 0.963644, 0.0972268, -0.115637, -2.61502, 2, 10
5, -2.245, -1.302, 2.19, -41.87, -39.11, -38.42, -39.34, -2.24943, -1.30456, 0.963644, 0.0972268, -0.115637, -2.61502, 2, 10
5, -2.245, -1.302, 2.19, -41.87, -39.11, -38.42, -39.34, -2.24615, -1.30598, 0.469727, 0.171289, -0.0607706, -1.13327, 2, 10
5, -2.245, -1.302, 2.19, -41.87, -39.11, -38.42, -39.34, -2.24615, -1.30598, 0.469727, 0.173491, -0.0615521, -1.02279, 2, 10
5, -2.245, -1.302, 2.19, -41.87, -39.11, -38.42, -39.34, -2.24615, -1.30598, 0.469727, 0.173491, -0.0615521, -1.02279, 2, 10
5, -2.245, -1.302, 2.19, -41.87, -39.11, -38.42, -39.34, -2.24615, -1.30598, 0.469727, 0.173491, -0.0615521, -1.02279, 2, 10
5, -2.245, -1.302, 2.19, -41.87, -39.11, -38.42, -39.34, -2.24615, -1.30598, 0.469727, 0.173491, -0.0615521, -1.02279, 2, 10
5, -2.245, -1.302, 2.19, -41.87, -39.11, -38.42, -39.34, -2.24615, -1.30598, 0.469727, 0.173491, -0.0615521, -1.02279, 2, 10
5, -2.245, -1.302, 2.19, -41.87, -39.11, -38.42, -39.34, -2.24399, -1.31169, 0.129389, 0.191145, 0.025075, -0.00177611, 2, 10
5, -2.245, -1.302, 2.19, -41.87, -39.11, -38.42, -39.34, -2.24399, -1.31169, 0.129389, 0.191145, 0.025075, -0.00177611, 2, 10
5, -2.245, -1.302, 2.19, -41.87, -39.11, -38.42, -39.34, -2.24399, -1.31169, 0.129389, 0.182912, 0.023995, 0.391314, 2, 10
5, -2.245, -1.302, 2.19, -41.87, -39.11, -38.42, -39.34, -2.24399, -1.31169, 0.129389, 0.182912, 0.023995, 0.391314, 2, 10
5, -2.245, -1.302, 2.19, -41.87, -39.11, -38.42, -39.34, -2.24399, -1.31169, 0.129389, 0.182912, 0.023995, 0.391314, 2, 10
5, -2.245, -1.302, 2.19, -41.87, -39.11, -38.42, -39.34, -2.24399, -1.31169, 0.129389, 0.182912, 0.023995, 0.391314, 2, 10
5, -2.245, -1.302, 2.19, -41.87, -39.11, -38.42, -39.34, -2.24399, -1.31169, 0.129389, 0.182912, 0.023995, 0.391314, 2, 10
5, -2.245, -1.302, 2.19, -41.87, -39.11, -38.42, -39.34, -2.22911, -1.3186, 0.039745, 0, 0, 0.880327, 2, 10
5, -2.245, -1.302, 2.19, -41.87, -39.11, -38.42, -39.34, -2.22911, -1.3186, 0.039745, 0.442291, 0.238435, 1.48329, 2, 10
5, -2.198, -1.337, -0.1888, 8.97, 3.45, -2.07, 0.23, -2.22911, -1.3186, 0.039745, 0.605895, -0.019031, -0.0941981, 2, 10
5, -2.196, -1.337, -0.1793, 12.42, 6.67, -4.6, -1.61, -2.22911, -1.3186, 0.039745, 0.605895, -0.019031, -0.0941981, 2, 10
5, -2.196, -1.337, -0.1793, 12.42, 6.67, -4.6, -1.61, -2.22911, -1.3186, 0.039745, 0.605895, -0.019031, -0.0941981, 2, 10
5, -2.19, -1.337, -0.1664, 17.71, 11.96, -10.35, -11.73, -2.22911, -1.3186, 0.039745, 0.605895, -0.019031, -0.0941981, 2, 10
5, -2.181, -1.338, -0.1624, 25.08, 13.11, -16.79, -21.85, -2.21116, -1.3236, 0.0995165, 0.615548, -0.0548314, -0.273513, 2, 10
5, -2.166, -1.339, -0.1588, 22.08, 17.02, -19.78, -18.86, -2.21116, -1.3236, 0.0995165, 0.61509, -0.0547906, -0.266529, 2, 10
5, -2.166, -1.339, -0.1588, 22.08, 17.02, -19.78, -18.86, -2.21116, -1.3236, 0.0995165, 0.61509, -0.0547906, -0.266529, 2, 10
5, -2.166, -1.339, -0.1588, 22.08, 17.02, -19.78, -18.86, -2.21116, -1.3236, 0.0995165, 0.61509, -0.0547906, -0.266529, 2, 10
5, -2.166, -1.339, -0.1588, 22.08, 17.02, -19.78, -18.86, -2.21116, -1.3236, 0.0995165, 0.61509, -0.0547906, -0.266529, 2, 10
5, -2.166, -1.339, -0.1588, 22.08, 17.02, -19.78, -18.86, -2.21116, -1.3236, 0.0995165, 0.61509, -0.0547906, -0.266529, 2, 10
5, -2.166, -1.339, -0.1588, 22.08, 17.02, -19.78, -18.86, -2.19368, -1.31839, 0.135706, 0.609812, -0.0780667, -0.375097, 2, 10
5, -2.102, -1.354, -0.1844, 19.32, 16.1, -17.25, -23.93, -2.19368, -1.31839, 0.135706, 0.609812, -0.0780667, -0.375097, 2, 10
5, -2.102, -1.354, -0.1844, 19.32, 16.1, -17.25, -23.93, -2.19368, -1.31839, 0.135706, 0.609363, -0.0780093, -0.381976, 2, 10
5, -2.102, -1.354, -0.1844, 19.32, 16.1, -17.25, -23.93, -2.19368, -1.31839, 0.135706, 0.609363, -0.0780093, -0.381976, 2, 10
5, -2.102, -1.354, -0.1844, 19.32, 16.1, -17.25, -23.93, -2.19368, -1.31839, 0.135706, 0.609363, -0.0780093, -0.381976, 2, 10
5, -2.071, -1.363, -0.1985, 19.09, 18.86, -17.94, -24.62, -2.19368, -1.31839, 0.135706, 0.609363, -0.0780093, -0.381976, 2, 10
5, -2.056, -1.367, -0.2104, 19.09, 17.25, -17.48, -23.23, -2.19368, -1.31839, 0.135706, 0.609363, -0.0780093, -0.381976, 2, 10
5, -2.05, -1.369, -0.2143, 17.94, 17.94, -16.1, -23.93, -2.14646, -1.30809, 0.112249, 0.615325, -0.0670143, -0.311604, 2, 10
5, -2.044, -1.371, -0.219, 17.48, 17.71, -15.41, -23.23, -2.14646, -1.30809, 0.112249, 0.61442, -0.0669158, -0.325444, 2, 10
5, -2.044, -1.371, -0.219, 17.48, 17.71, -15.41, -23.23, -2.14646, -1.30809, 0.112249, 0.61442, -0.0669158, -0.325444, 2, 10
5, -2.044, -1.371, -0.219, 17.48, 17.71, -15.41, -23.23, -2.14646, -1.30809, 0.112249, 0.61442, -0.0669158, -0.325444, 2, 10
5, -2.044, -1.371, -0.219, 17.48, 17.71, -15.41, -23.23, -2.14646, -1.30809, 0.112249, 0.61442, -0.0669158, -0.325444, 2, 10
5, -2.044, -1.371, -0.219, 17.48, 17.71, -15.41, -23.23, -2.14646, -1.30809, 0.112249, 0.61442, -0.0669158, -0.325444, 2, 10
5, -2.044, -1.371, -0.219, 17.48, 17.71, -15.41, -23.23, -2.08924, -1.30229, 0.0715242, 0.611845, -0.0431637, -0.203269, 2, 10
