ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.017, -1.243, -0.2197, 0, 0, 0, 0, -2.04729, -1.28297, -0.314162, 0.857706, 0.270821, 0.917531, 2, 2
5, -2.017, -1.243, -0.2197, 0, 0, 0, 0, -2.04729, -1.28297, -0.321381, 0.85347, 0.276275, 0.939188, 2, 2
5, -2.017, -1.243, -0.2197, 0, 0, 0, 0, -2.04729, -1.28297, -0.321381, 0.85347, 0.276275, 0.939188, 2, 2
5, -2.017, -1.243, -0.2197, 0, 0, 0, 0, -2.04729, -1.28297, -0.317532, 0.855733, 0.273373, 0.927642, 2, 2
5, -2.017, -1.243, -0.2197, 0, 0, 0, 0, -2.04729, -1.28297, -0.317532, 0.855733, 0.273373, 0.927642, 2, 2
5, -2.017, -1.243, -0.2197, 0, 0, 0, 0, -2.04596, -1.28362, -0.309412, 0.86039, 0.267478, 0.903282, 2, 2
5, -2.017, -1.243, -0.2197, 0, 0, 0, 0, -2.04521, -1.28399, -0.309412, 0.860265, 0.267606, 0.904025, 2, 2
5, -2.017, -1.243, -0.2197, 0, 0, 0, 0, -2.03899, -1.28341, -0.282432, 0.875801, 0.24644, 0.822937, 2, 2
5, -2.017, -1.243, -0.2197, 0, 0, 0, 0, -2.03644, -1.28338, -0.282432, 0.875816, 0.246419, 0.822853, 2, 2
5, -2.017, -1.243, -0.2197, 0, 0, 0, 0, -2.02848, -1.28355, -0.254388, 0.8913, 0.224058, 0.738827, 2, 2
5, -2.017, -1.243, -0.2197, 0, 0, 0, 0, -2.02504, -1.28394, -0.254388, 0.89126, 0.224217, 0.738827, 2, 2
5, -2.017, -1.243, -0.2197, 0, 0, 0, 0, -2.01101, -1.28513, -0.208424, 0.915326, 0.186526, 0.600975, 2, 2
5, -2.017, -1.243, -0.2197, 0, 0, 0, 0, -2.00319, -1.2857, -0.208424, 0.915075, 0.186721, 0.602869, 2, 2
5, -2.017, -1.243, -0.2197, 0, 0, 0, 0, -1.99396, -1.28664, -0.176279, 0.930856, 0.159386, 0.507313, 2, 2
5, -2.017, -1.243, -0.2197, 0, 0, 0, 0, -1.98608, -1.28731, -0.176279, 0.930553, 0.159628, 0.509663, 2, 2
5, -2.017, -1.243, -0.2197, 0, 0, 0, 0, -1.97086, -1.28731, -0.141561, 0.946849, 0.128727, 0.405508, 2, 2
