ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.083, -1.277, -0.3227, 23.23, 22.31, -17.25, -13.57, -2.07712, -1.28338, -0.282172, 0.525733, 0.147865, 0.819234, 1, 21
5, -2.083, -1.277, -0.3227, 23.23, 22.31, -17.25, -13.57, -2.06941, -1.28578, -0.282172, 0.525324, 0.14839, 0.82305, 1, 21
5, -2.083, -1.277, -0.3227, 23.23, 22.31, -17.25, -13.57, -2.05724, -1.2868, -0.207057, 0.549235, 0.111703, 0.601036, 1, 21
5, -2.083, -1.277, -0.3227, 23.23, 22.31, -17.25, -13.57, -2.04699, -1.28885, -0.207057, 0.549016, 0.112211, 0.60276, 1, 21
5, -2.083, -1.277, -0.3227, 23.23, 22.31, -17.25, -13.57, -2.03199, -1.28891, -0.165271, 0.561174, 0.0904546, 0.480311, 1, 21
5, -2.083, -1.277, -0.3227, 23.23, 22.31, -17.25, -13.57, -2.0203, -1.29008, -0.165271, 0.561181, 0.0907712, 0.479441, 1, 21
5, -2.083, -1.277, -0.3227, 23.23, 22.31, -17.25, -13.57, -2.0109, -1.28955, -0.136744, 0.569034, 0.0752889, 0.395506, 1, 21
5, -2.083, -1.277, -0.3227, 23.23, 22.31, -17.25, -13.57, -1.99531, -1.29035, -0.136744, 0.568993, 0.0754939, 0.395728, 1, 21
5, -2.083, -1.277, -0.3227, 23.23, 22.31, -17.25, -13.57, -1.9934, -1.28981, -0.0958124, 0.579661, 0.0527206, 0.272933, 1, 21
5, -1.988, -1.288, -0.1278, 20.01, 11.04, -15.18, -14.26, -1.98837, -1.28984, -0.0958124, 0.579712, 0.0527256, 0.272148, 1, 21
5, -1.988, -1.288, -0.1278, 20.01, 11.04, -15.18, -14.26, -1.97579, -1.28906, -0.083319, 0.582884, 0.0454292, 0.233413, 1, 21
5, -1.988, -1.288, -0.1278, 20.01, 11.04, -15.18, -14.26, -1.97261, -1.28868, -0.083319, 0.582926, 0.0453141, 0.232922, 1, 21
5, -1.988, -1.288, -0.1278, 20.01, 11.04, -15.18, -14.26, -1.96036, -1.28743, -0.064569, 0.587532, 0.0342086, 0.174475, 1, 21
5, -1.988, -1.288, -0.1278, 20.01, 11.04, -15.18, -14.26, -1.95246, -1.28653, -0.064569, 0.587634, 0.0339281, 0.173176, 1, 21
5, -1.988, -1.288, -0.1278, 20.01, 11.04, -15.18, -14.26, -1.94286, -1.28312, -0.056145, 0.589949, 0.0280176, 0.142742, 1, 21
5, -1.988, -1.288, -0.1278, 20.01, 11.04, -15.18, -14.26, -1.94076, -1.28192, -0.056145, 0.590091, 0.0276534, 0.140843, 1, 21
5, -1.988, -1.288, -0.1278, 20.01, 11.04, -15.18, -14.26, -1.92618, -1.28058, -0.0341205, 0.595045, 0.014307, 0.0727407, 1, 21
5, -1.988, -1.288, -0.1278, 20.01, 11.04, -15.18, -14.26, -1.92276, -1.28067, -0.0341205, 0.595045, 0.0143227, 0.0727407, 1, 21
5, -1.988, -1.288, -0.1278, 20.01, 11.04, -15.18, -14.26, -1.90939, -1.27834, -0.036258, 0.594633, 0.0148187, 0.0788119, 1, 21
