ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.133, -1.305, 3.0599, 10.12, 8.05, -8.28, -10.58, -2.18467, -1.30413, 3.04036, -0.0664277, -0.00687474, -9.1154, 1, 1
5, -2.133, -1.305, 3.0599, 10.12, 8.05, -8.28, -10.58, -2.18467, -1.30413, 3.04212, -0.0658626, -0.00669883, -9.1207, 1, 1
5, -2.133, -1.305, 3.0599, 10.12, 8.05, -8.28, -10.58, -2.18467, -1.30413, 3.04212, -0.0658626, -0.00669883, -9.1207, 1, 1
5, -2.133, -1.305, 3.0599, 10.12, 8.05, -8.28, -10.58, -2.18467, -1.30413, 3.03579, -0.0678902, -0.00734001, -9.10168, 1, 1
5, -2.183, -1.308, 2.5403, -51.77, -47.16, -37.27, -42.56, -2.18467, -1.30413, 3.03579, -0.0678902, -0.00734001, -9.10168, 1, 1
5, -2.183, -1.308, 2.5403, -51.77, -47.16, -37.27, -42.56, -2.18467, -1.30413, 2.86906, -0.118495, -0.0333593, -8.60151, 1, 1
5, -2.183, -1.308, 2.5403, -51.77, -47.16, -37.27, -42.56, -2.18467, -1.30413, 2.86906, -0.118495, -0.0333593, -8.60151, 1, 1
5, -2.183, -1.308, 2.5403, -51.77, -47.16, -37.27, -42.56, -2.18467, -1.30413, 2.52413, -0.192576, -0.137295, -7.56671, 1, 1
5, -2.183, -1.308, 2.5403, -51.77, -47.16, -37.27, -42.56, -2.18467, -1.30413, 2.52413, -0.192576, -0.137295, -7.56671, 1, 1
5, -2.183, -1.308, 2.5403, -51.77, -47.16, -37.27, -42.56, -2.18467, -1.30413, 2.52413, -0.192576, -0.137295, -7.56671, 1, 1
5, -2.183, -1.308, 2.5403, -51.77, -47.16, -37.27, -42.56, -2.18194, -1.3027, 2.10043, -0.189463, -0.324554, -6.29562, 1, 1
5, -2.134, -1.316, 1.3867, -38.65, -0.23, -0.23, -28.53, -2.18096, -1.30219, 2.10043, -0.189539, -0.324509, -6.29562, 1, 1
5, -2.121, -1.32, 1.2838, -26, 4.37, -2.3, -29.45, -2.17644, -1.30297, 1.70357, -0.0663076, -0.501686, -5.1072, 1, 1
5, -2.116, -1.321, 1.2356, -19.55, 0.69, -11.5, -28.99, -2.17424, -1.30291, 1.70357, -0.0663321, -0.501753, -5.10656, 1, 1
5, -2.104, -1.321, 1.1086, -17.71, 3.91, -2.53, -35.66, -2.16892, -1.30509, 1.43162, 0.0839981, -0.589564, -4.29081, 1, 1
5, -2.104, -1.321, 1.1086, -17.71, 3.91, -2.53, -35.66, -2.16642, -1.30582, 1.43162, 0.0842368, -0.589815, -4.28824, 1, 1
5, -2.104, -1.321, 1.1086, -17.71, 3.91, -2.53, -35.66, -2.16336, -1.30654, 1.43162, 0.0844522, -0.589894, -4.28724, 1, 1
5, -2.104, -1.321, 1.1086, -17.71, 3.91, -2.53, -35.66, -2.15618, -1.3116, 1.19531, 0.250436, -0.625436, -3.5773, 1, 1
5, -2.104, -1.321, 1.1086, -17.71, 3.91, -2.53, -35.66, -2.15133, -1.31407, 1.08034, 0.339592, -0.626075, -3.22571, 1, 1
5, -2.104, -1.321, 1.1086, -17.71, 3.91, -2.53, -35.66, -2.14628, -1.31649, 1.08034, 0.340509, -0.626054, -3.22188, 1, 1
5, -2.046, -1.326, 0.7742, 0, 21.62, -11.04, -43.48, -2.14104, -1.31612, 0.991935, 0.410648, -0.618132, -2.95324, 1, 1
5, -2.046, -1.326, 0.7742, 0, 21.62, -11.04, -43.48, -2.13627, -1.31737, 0.991935, 0.411005, -0.617857, -2.95353, 1, 1
5, -2.046, -1.326, 0.7742, 0, 21.62, -11.04, -43.48, -2.13371, -1.31704, 0.991935, 0.411042, -0.618111, -2.95141, 1, 1
5, -2.046, -1.326, 0.7742, 0, 21.62, -11.04, -43.48, -2.11808, -1.31443, 0.902703, 0.48211, -0.602434, -2.68416, 1, 1
5, -2.046, -1.326, 0.7742, 0, 21.62, -11.04, -43.48, -2.10841, -1.31153, 0.807208, 0.558173, -0.576721, -2.40124, 1, 1
5, -1.968, -1.329, 0.5091, 10.35, 28.3, -17.02, -44.17, -2.09909, -1.31011, 0.807208, 0.557472, -0.576751, -2.4055, 1, 1
5, -1.968, -1.329, 0.5091, 10.35, 28.3, -17.02, -44.17, -2.096, -1.30928, 0.807208, 0.55725, -0.576965, -2.4055, 1, 1
5, -1.968, -1.329, 0.5091, 10.35, 28.3, -17.02, -44.17, -2.07672, -1.30644, 0.728875, 0.619086, -0.549338, -2.17246, 1, 1
5, -1.93, -1.331, 0.4216, 14.26, 28.76, -18.63, -43.71, -2.07246, -1.30592, 0.728875, 0.618703, -0.549266, -2.17551, 1, 1
