ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.199, -1.199, -1.6195, 3.91, 2.07, -1.61, -2.76, -2.19924, -1.19949, -1.62862, 0.204433, 0.0102928, 0.151301, 2, 1111
5, -2.199, -1.199, -1.6195, 3.91, 2.07, -1.61, -2.76, -2.19924, -1.19948, -1.62712, 0.20456, 0.00999082, 0.146514, 2, 1111
5, -2.199, -1.201, -1.6262, -0.46, 2.07, -4.37, -4.83, -2.19925, -1.19952, -1.62712, 0.204552, 0.00999335, 0.146386, 2, 1111
5, -2.201, -1.203, -1.6416, 0, 4.6, -5.52, -7.36, -2.19927, -1.20001, -1.6242, 0.204644, 0.00943726, 0.137638, 2, 1111
5, -2.202, -1.205, -1.6493, 0.23, 4.37, -5.75, -8.28, -2.19928, -1.20027, -1.6242, 0.204569, 0.00945441, 0.137694, 2, 1111
5, -2.202, -1.206, -1.6577, 0.46, 5.52, -5.75, -8.74, -2.19945, -1.20143, -1.62848, 0.203884, 0.0106344, 0.151142, 2, 1111
5, -2.202, -1.206, -1.6577, 0.46, 5.52, -5.75, -8.74, -2.19951, -1.20186, -1.62848, 0.203753, 0.0107567, 0.151457, 2, 1111
5, -2.206, -1.217, -1.6709, 23.46, 8.05, -6.21, -8.05, -2.20241, -1.20623, -1.65202, 0.199942, 0.0214608, 0.228856, 2, 1111
5, -2.206, -1.217, -1.6709, 23.46, 8.05, -6.21, -8.05, -2.2027, -1.20672, -1.65202, 0.19974, 0.0221023, 0.228856, 2, 1111
5, -2.204, -1.229, -1.6193, 16.79, 9.43, -8.05, -3.91, -2.20809, -1.21369, -1.67621, 0.191401, 0.0385689, 0.403166, 2, 1111
5, -2.204, -1.229, -1.6193, 16.79, 9.43, -8.05, -3.91, -2.21141, -1.21823, -1.67621, 0.184449, 0.0459256, 0.585686, 2, 1111
5, -2.204, -1.229, -1.6193, 16.79, 9.43, -8.05, -3.91, -2.21232, -1.22508, -1.6423, 0.182814, 0.0436812, 0.603001, 2, 1111
5, -2.204, -1.229, -1.6193, 16.79, 9.43, -8.05, -3.91, -2.21241, -1.22734, -1.6423, 0.180489, 0.0442913, 0.67286, 2, 1111
5, -2.204, -1.229, -1.6193, 16.79, 9.43, -8.05, -3.91, -2.21049, -1.23428, -1.62082, 0.180932, 0.038238, 0.629673, 2, 1111
5, -2.204, -1.229, -1.6193, 16.79, 9.43, -8.05, -3.91, -2.20934, -1.23699, -1.62082, 0.181039, 0.0361766, 0.60961, 2, 1111
5, -2.204, -1.229, -1.6193, 16.79, 9.43, -8.05, -3.91, -2.2076, -1.24291, -1.60314, 0.182055, 0.030242, 0.538647, 2, 1111
5, -2.204, -1.229, -1.6193, 16.79, 9.43, -8.05, -3.91, -2.20539, -1.24957, -1.58186, 0.1838, 0.0216896, 0.428825, 2, 1111
5, -2.204, -1.229, -1.6193, 16.79, 9.43, -8.05, -3.91, -2.20423, -1.25265, -1.58186, 0.185256, 0.0186322, 0.336103, 2, 1111
5, -2.204, -1.229, -1.6193, 16.79, 9.43, -8.05, -3.91, -2.20136, -1.25441, -1.56679, 0.189497, 0.00488517, 0.152059, 2, 1111
5, -2.204, -1.229, -1.6193, 16.79, 9.43, -8.05, -3.91, -2.20026, -1.25462, -1.56679, 0.191112, 0.000313189, 0.0754863, 2, 1111
5, -2.204, -1.229, -1.6193, 16.79, 9.43, -8.05, -3.91, -2.19954, -1.25665, -1.56044, 0.193337, -0.004053, -0.058966, 2, 1111
5, -2.204, -1.229, -1.6193, 16.79, 9.43, -8.05, -3.91, -2.19895, -1.25801, -1.56044, 0.193179, -0.0068547, -0.0732794, 2, 1111
5, -2.204, -1.229, -1.6193, 16.79, 9.43, -8.05, -3.91, -2.19849, -1.26075, -1.53876, 0.195088, -0.0137609, -0.218589, 2, 1111
5, -2.204, -1.229, -1.6193, 16.79, 9.43, -8.05, -3.91, -2.19826, -1.26212, -1.53876, -0.091021, 0.170994, 6.17884, 2, 1111
5, -2.204, -1.229, -1.6193, 16.79, 9.43, -8.05, -3.91, -2.19786, -1.26483, -1.52601, 0.0183563, 0.301601, 4.52956, 2, 1111
5, -2.204, -1.229, -1.6193, 16.79, 9.43, -8.05, -3.91, -2.19779, -1.26567, -1.52601, 0.0182361, 0.301524, 4.53083, 2, 1111
5, -2.204, -1.229, -1.6193, 16.79, 9.43, -8.05, -3.91, -2.1978, -1.26931, -1.51618, 0.0208099, 0.302982, 4.50618, 2, 1111
5, -2.204, -1.229, -1.6193, 16.79, 9.43, -8.05, -3.91, -2.19788, -1.27079, -1.51618, 0.020594, 0.302832, 4.50869, 2, 1111
5, -2.204, -1.229, -1.6193, 16.79, 9.43, -8.05, -3.91, -2.19755, -1.27595, -1.5168, 0.0196889, 0.302769, 4.51055, 2, 1111
5, -2.183, -1.287, -1.2407, 22.31, 9.2, 9.2, 21.39, -2.19742, -1.27781, -1.5168, 0.0194027, 0.302325, 4.51758, 2, 1111
5, -2.178, -1.285, -1.1295, 23.46, 8.97, 10.58, 25.31, -2.19736, -1.28149, -1.41851, 0.0515535, 0.318018, 4.22523, 2, 1111
5, -2.173, -1.282, -1.0406, 23.7, 8.28, 6.9, 23, -2.19736, -1.28294, -1.41851, 0.0512842, 0.317684, 4.2309, 2, 1111
5, -2.167, -1.278, -0.947, 23.23, 4.14, 1.38, 22.31, -2.19481, -1.28386, -1.24618, 0.115905, 0.33622, 3.71626, 2, 1111
5, -2.167, -1.278, -0.947, 23.23, 4.14, 1.38, 22.31, -2.19462, -1.28413, -1.24618, 0.115864, 0.336234, 3.71626, 2, 1111
5, -2.151, -1.269, -0.7153, 24.62, 4.83, -0.92, 14.49, -2.18879, -1.28304, -1.07556, 0.187638, 0.341046, 3.20498, 2, 1111
5, -2.151, -1.269, -0.7153, 24.62, 4.83, -0.92, 14.49, -2.18879, -1.28304, -1.07556, 0.187638, 0.341046, 3.20498, 2, 1111
5, -2.14, -1.262, -0.5805, 24.39, 7.36, -2.3, 12.19, -2.17873, -1.2803, -0.947392, 0.245103, 0.334442, 2.81893, 2, 1111
5, -2.136, -1.26, -0.5439, 25.77, 5.98, -3.22, 12.88, -2.17189, -1.27835, -0.821477, 0.30254, 0.318766, 2.44119, 2, 1111
