ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.053, -1.231, -0.3993, 0, 0, 0, 0, -2.12677, -1.26724, -0.370843, 0.496762, 0.184402, 1.06633, 1, 2222
5, -2.053, -1.231, -0.3993, 0, 0, 0, 0, -2.12677, -1.26724, -0.371665, 0.496458, 0.184754, 1.06879, 1, 2222
5, -2.053, -1.231, -0.3993, 0, 0, 0, 0, -2.12677, -1.26724, -0.368767, 0.497528, 0.183512, 1.0601, 1, 2222
5, -2.053, -1.231, -0.3993, 0, 0, 0, 0, -2.12677, -1.26724, -0.368767, 0.497528, 0.183512, 1.0601, 1, 2222
5, -2.052, -1.232, -0.3984, 7.59, 5.06, -4.37, -4.83, -2.12677, -1.26724, -0.368767, 0.497528, 0.183512, 1.0601, 1, 2222
5, -2.05, -1.232, -0.3948, 4.83, 7.59, -7.82, -9.66, -2.12677, -1.26724, -0.374283, 0.49549, 0.185871, 1.07665, 1, 2222
5, -2.043, -1.234, -0.3807, 24.16, 10.35, -14.95, -11.27, -2.12677, -1.26724, -0.374283, 0.49549, 0.185871, 1.07665, 1, 2222
5, -2.029, -1.234, -0.358, 34.05, 14.72, -17.71, -10.35, -2.12746, -1.26697, -0.370853, 0.496781, 0.184345, 1.06636, 1, 2222
5, -2.023, -1.233, -0.3494, 33.13, 14.95, -20.24, -10.58, -2.12764, -1.26689, -0.370853, 0.496803, 0.184334, 1.06611, 1, 2222
5, -2.01, -1.233, -0.3219, 23, 15.87, -15.87, -9.66, -2.12365, -1.26825, -0.34573, 0.505867, 0.173715, 0.990599, 1, 2222
5, -2.01, -1.233, -0.3219, 23, 15.87, -15.87, -9.66, -2.12332, -1.26836, -0.34573, 0.505781, 0.173712, 0.99185, 1, 2222
5, -1.991, -1.233, -0.2756, 24.39, 12.88, -15.64, -11.96, -2.11447, -1.2684, -0.324947, 0.513153, 0.16438, 0.930143, 1, 2222
5, -1.985, -1.232, -0.2639, 25.54, 13.8, -17.48, -11.96, -2.10427, -1.26824, -0.27371, 0.530697, 0.140392, 0.77633, 1, 2222
5, -1.97, -1.231, -0.2371, 27.38, 13.11, -18.86, -11.27, -2.09786, -1.26816, -0.27371, 0.53074, 0.140356, 0.775828, 1, 2222
5, -1.964, -1.23, -0.2278, 27.15, 13.34, -17.94, -12.42, -2.08625, -1.26753, -0.21987, 0.547985, 0.113541, 0.614041, 1, 2222
5, -1.958, -1.229, -0.2165, 26.69, 13.8, -17.25, -11.96, -2.08237, -1.26727, -0.21987, 0.548091, 0.113474, 0.612669, 1, 2222
5, -1.947, -1.228, -0.1973, 25.31, 14.49, -17.02, -13.34, -2.07012, -1.26598, -0.195412, 0.55555, 0.100507, 0.538845, 1, 2222
5, -1.941, -1.228, -0.1889, 24.62, 14.26, -17.02, -13.57, -2.06443, -1.26531, -0.195412, 0.555757, 0.100334, 0.536216, 1, 2222
5, -1.928, -1.227, -0.1701, 23, 13.57, -17.02, -14.03, -2.05687, -1.26462, -0.195412, 0.555866, 0.100124, 0.53515, 1, 2222
5, -1.922, -1.227, -0.1629, 22.77, 13.8, -16.56, -14.95, -2.0451, -1.26315, -0.164882, 0.564866, 0.0835601, 0.440839, 1, 2222
5, -1.917, -1.226, -0.1577, 24.62, 14.49, -16.56, -16.56, -2.0393, -1.26243, -0.164882, 0.564979, 0.083345, 0.439606, 1, 2222
5, -1.902, -1.226, -0.1467, 22.31, 15.64, -17.25, -15.18, -2.02709, -1.26109, -0.127508, 0.575242, 0.0625538, 0.324954, 1, 2222
5, -1.896, -1.226, -0.1421, 22.31, 14.72, -17.02, -16.1, -2.02254, -1.2606, -0.127508, 0.57526, 0.0623871, 0.324954, 1, 2222
5, -1.885, -1.226, -0.1324, 21.62, 15.87, -16.1, -17.48, -2.00933, -1.25804, -0.111987, 0.579339, 0.0529272, 0.277519, 1, 2222
5, -1.877, -1.226, -0.1252, 23.23, 15.64, -15.64, -18.4, -2.00709, -1.25736, -0.111987, 0.579633, 0.0527447, 0.273315, 1, 2222
5, -1.865, -1.227, -0.1176, 21.62, 16.1, -15.87, -17.71, -1.996, -1.2567, -0.0984529, 0.583086, 0.0448461, 0.231044, 1, 2222
5, -1.86, -1.227, -0.1138, 21.39, 16.56, -17.25, -17.02, -1.99097, -1.2565, -0.0984529, 0.583092, 0.0447576, 0.231044, 1, 2222
5, -1.854, -1.227, -0.1117, 21.62, 16.56, -17.94, -18.17, -1.97905, -1.25623, -0.0827594, 0.586907, 0.0356368, 0.182673, 1, 2222
5, -1.839, -1.227, -0.1077, 22.31, 15.87, -18.4, -20.47, -1.97622, -1.2563, -0.0827594, 0.586927, 0.03564, 0.182378, 1, 2222
5, -1.833, -1.228, -0.1049, 22.54, 15.87, -17.94, -18.63, -1.9715, -1.2561, -0.0827594, 0.586992, 0.0355537, 0.181467, 1, 2222
5, -1.821, -1.228, -0.0998, 23, 17.25, -17.25, -20.01, -1.95664, -1.25555, -0.0786158, 0.587952, 0.0329006, 0.16924, 1, 2222
5, -1.813, -1.229, -0.0979, 22.08, 17.71, -16.56, -17.94, -1.94589, -1.25469, -0.0578208, 0.592688, 0.0204805, 0.105821, 1, 2222
5, -1.801, -1.229, -0.0948, 22.08, 15.87, -17.25, -20.01, -1.93839, -1.25414, -0.0578208, 0.592743, 0.0202585, 0.105101, 1, 2222
5, -1.801, -1.229, -0.0948, 22.08, 15.87, -17.25, -20.01, -1.9372, -1.25406, -0.0578208, 0.592872, 0.0202309, 0.103156, 1, 2222
5, -1.786, -1.23, -0.0893, 21.85, 17.25, -17.25, -19.55, -1.92113, -1.25339, -0.0561471, 0.5933, 0.0189259, 0.0973097, 1, 2222
5, -1.768, -1.231, -0.0828, 22.77, 17.48, -18.17, -20.01, -1.90669, -1.25232, -0.0515793, 0.594409, 0.0158016, 0.0818337, 1, 2222
5, -1.762, -1.231, -0.081, 22.31, 16.79, -17.94, -19.09, -1.90257, -1.25196, -0.0515793, 0.594565, 0.0156624, 0.079522, 1, 2222
5, -1.747, -1.232, -0.0777, 21.39, 17.02, -17.02, -19.78, -1.88874, -1.25137, -0.0511913, 0.594728, 0.0151403, 0.0772425, 1, 2222
5, -1.747, -1.232, -0.0777, 21.39, 17.02, -17.02, -19.78, -1.88261, -1.25114, -0.0511913, 0.594813, 0.0150187, 0.0760037, 1, 2222
5, -1.747, -1.232, -0.0777, 21.39, 17.02, -17.02, -19.78, -1.87196, -1.25135, -0.03838, 0.597521, 0.007407, 0.0370038, 1, 2222
5, -1.724, -1.233, -0.0745, 21.39, 17.25, -17.48, -20.47, -1.86854, -1.25145, -0.03838, 0.597527, 0.00741008, 0.0369102, 1, 2222
5, -1.702, -1.234, -0.0726, 21.16, 17.71, -17.48, -20.24, -1.84927, -1.25044, -0.02667, 0.599864, -7.47518e-05, 0.00207184, 1, 2222
5, -1.69, -1.235, -0.0719, 19.32, 16.33, -15.41, -20.01, -1.83658, -1.25087, -0.0316633, 0.598872, 0.0029471, 0.0170517, 1, 2222
5, -1.682, -1.236, -0.07, 19.09, 17.71, -15.64, -20.7, -1.82773, -1.25114, -0.0316633, 0.59904, 0.00295905, 0.014494, 1, 2222
5, -1.676, -1.236, -0.0694, 21.16, 18.17, -17.02, -21.39, -1.81831, -1.25128, -0.0316633, 0.599025, 0.00292074, 0.0147136, 1, 2222
5, -1.67, -1.237, -0.0691, 21.62, 17.71, -17.71, -22.08, -1.8132, -1.25073, -0.0341183, 0.59853, 0.00416053, 0.0221291, 1, 2222
5, -1.658, -1.238, -0.0683, 19.78, 17.02, -17.48, -20.24, -1.8052, -1.25064, -0.0341183, 0.598598, 0.00405999, 0.0211053, 1, 2222
5, -1.646, -1.238, -0.067, 21.85, 17.71, -17.25, -21.16, -1.79618, -1.25096, -0.0406341, 0.597309, 0.0079677, 0.0401121, 1, 2222
5, -1.637, -1.239, -0.0684, 20.47, 16.79, -17.71, -21.39, -1.78819, -1.25102, -0.0406341, 0.597321, 0.00791405, 0.0399405, 1, 2222
5, -1.625, -1.24, -0.0668, 21.62, 17.02, -17.48, -20.7, -1.77874, -1.25268, -0.027341, 0.600001, 0.000446211, -1.71773e-05, 1, 2222
5, -1.619, -1.24, -0.0657, 21.85, 16.33, -17.94, -20.24, -1.77175, -1.25321, -0.027341, 0.599883, 0.000562576, 0.00177962, 1, 2222
5, -1.599, -1.241, -0.0632, 21.16, 16.79, -17.25, -20.01, -1.75513, -1.25441, -0.024827, 0.600311, -0.000686688, -0.00472862, 1, 2222
5, -1.593, -1.241, -0.0635, 21.62, 17.25, -17.94, -21.62, -1.74155, -1.25456, -0.0183386, 0.601482, -0.00465859, -0.0228086, 1, 2222
5, -1.577, -1.242, -0.0637, 20.24, 16.1, -17.25, -20.93, -1.73605, -1.25456, -0.0183386, 0.601507, -0.0047108, -0.0231995, 1, 2222
5, -1.571, -1.243, -0.0629, 20.24, 16.56, -17.71, -20.47, -1.72095, -1.25351, -0.0266609, 0.599901, -0.000207009, 0.00149946, 1, 2222
5, -1.559, -1.243, -0.0625, 21.85, 17.48, -18.17, -22.08, -1.71393, -1.25298, -0.0266609, 0.600093, -0.000458652, -0.00142241, 1, 2222
5, -1.553, -1.244, -0.0634, 21.39, 17.25, -17.25, -21.62, -1.7035, -1.2513, -0.0240232, 0.600684, -0.00273791, -0.0104947, 1, 2222
5, -1.547, -1.244, -0.0635, 21.39, 17.48, -17.25, -20.93, -1.70188, -1.25087, -0.0240232, 0.600683, -0.00290628, -0.0104947, 1, 2222
5, -1.52, -1.246, -0.0671, 21.62, 17.25, -16.79, -21.39, -1.67313, -1.25041, -0.0255173, 0.600655, -0.00247044, -0.0100323, 1, 2222
5, -1.505, -1.247, -0.0656, 18.86, 18.4, -16.1, -20.93, -1.66831, -1.25024, -0.0255173, 0.600818, -0.00258243, -0.0125211, 1, 2222
5, -1.487, -1.249, -0.0676, 20.47, 17.94, -17.02, -21.62, -1.64929, -1.25157, -0.0347791, 0.599012, 0.00324693, 0.0148909, 1, 2222
5, -1.475, -1.25, -0.0689, 21.16, 17.48, -17.25, -21.39, -1.64045, -1.25193, -0.0347791, 0.59892, 0.00328429, 0.0162876, 1, 2222
5, -1.466, -1.25, -0.0698, 20.24, 16.56, -14.72, -20.7, -1.62619, -1.25077, -0.027147, 0.600556, -0.00187347, -0.00849355, 1, 2222
5, -1.455, -1.251, -0.0727, 20.93, 16.79, -17.94, -21.16, -1.6155, -1.25058, -0.027147, 0.600629, -0.0020616, -0.0096207, 1, 2222
5, -1.449, -1.252, -0.0727, 22.31, 17.48, -19.09, -23.46, -1.60631, -1.25235, -0.038528, 0.598269, 0.00530671, 0.0259614, 1, 2222
5, -1.433, -1.253, -0.0724, 21.39, 15.87, -16.79, -19.78, -1.59787, -1.25273, -0.038528, 0.598218, 0.00535709, 0.0267377, 1, 2222
5, -1.427, -1.253, -0.0719, 20.24, 16.33, -16.56, -18.86, -1.58867, -1.25313, -0.0377354, 0.598362, 0.00493025, 0.0246007, 1, 2222
5, -1.421, -1.254, -0.0714, 20.93, 17.25, -17.02, -21.85, -1.58355, -1.25335, -0.0377354, 0.598362, 0.00495746, 0.0246007, 1, 2222
5, -1.409, -1.255, -0.0694, 20.01, 16.1, -16.1, -19.32, -1.57165, -1.25443, -0.038365, 0.598222, 0.00560969, 0.0266463, 1, 2222
5, -1.401, -1.255, -0.0692, 21.62, 18.17, -17.94, -22.31, -1.56619, -1.25494, -0.038365, 0.598135, 0.00574487, 0.027944, 1, 2222
5, -1.401, -1.255, -0.0692, 21.62, 18.17, -17.94, -22.31, -1.55742, -1.25444, -0.0329708, 0.599178, 0.00223151, 0.0124382, 1, 2222
5, -1.367, -1.257, -0.0685, 21.85, 17.71, -17.71, -21.85, -1.54098, -1.25405, -0.0385896, 0.598134, 0.00525231, 0.0280291, 1, 2222
5, -1.361, -1.257, -0.0678, 21.85, 15.87, -16.56, -20.7, -1.53296, -1.25392, -0.0385896, 0.598135, 0.00510891, 0.0280291, 1, 2222
5, -1.349, -1.258, -0.0655, 20.24, 17.94, -17.02, -20.24, -1.51925, -1.25422, -0.028412, 0.60028, -0.00102933, -0.00427076, 1, 2222
5, -1.343, -1.259, -0.0653, 22.08, 18.63, -17.48, -21.16, -1.51183, -1.25436, -0.028412, 0.600328, -0.00106143, -0.00499811, 1, 2222
5, -1.329, -1.259, -0.065, 21.16, 16.1, -17.02, -20.93, -1.49971, -1.25473, -0.0314351, 0.599737, 0.000756617, 0.00398552, 1, 2222
5, -1.323, -1.26, -0.0651, 21.85, 17.02, -18.17, -22.08, -1.4927, -1.25494, -0.0314351, 0.59791, 0.000753734, 0.00359882, 1, 2222
5, -1.311, -1.261, -0.0656, 20.47, 17.02, -17.02, -22.54, -1.48147, -1.25493, -0.0307788, 0.594879, 0.000219258, 0.00189719, 1, 2222
5, -1.305, -1.261, -0.0653, 20.93, 17.02, -16.79, -21.62, -1.47706, -1.25493, -0.0307788, 0.593708, 0.000161834, 0.000943277, 1, 2222
5, -1.295, -1.262, -0.0655, 20.93, 17.25, -17.71, -20.47, -1.46492, -1.25475, -0.0339141, 0.589702, 0.00178781, 0.0103494, 1, 2222
5, -1.283, -1.263, -0.0659, 20.47, 17.02, -16.79, -20.7, -1.45939, -1.25464, -0.0339141, 0.588179, 0.00167116, 0.0100154, 1, 2222
5, -1.277, -1.263, -0.0656, 21.62, 17.02, -17.71, -21.39, -1.44864, -1.25496, -0.0294463, 0.586116, -0.000956833, -0.00469992, 1, 2222
