ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.454, -1.496, -0.0198, 26.92, 21.62, -17.94, -17.94, -2.47273, -1.49317, 0.0210496, 0.587828, 0.0334905, 0.170611, 1, 1111
5, -2.431, -1.493, 0.007, 36.35, 20.93, -26.23, -20.93, -2.4687, -1.49234, 0.0228133, 0.588232, 0.0323511, 0.165444, 1, 1111
5, -2.422, -1.491, 0.018, 36.35, 22.08, -23.46, -20.93, -2.46668, -1.49191, 0.0228133, 0.588236, 0.0322867, 0.165444, 1, 1111
5, -2.415, -1.489, 0.0317, 27.38, 18.86, -14.26, -14.03, -2.46519, -1.49149, 0.0228133, 0.588283, 0.0322174, 0.164779, 1, 1111
5, -2.382, -1.486, 0.0522, 22.54, 15.41, -18.4, -20.93, -2.447, -1.48632, 0.0952756, 0.60339, -0.0116355, -0.0532554, 1, 1111
5, -2.373, -1.484, 0.0519, 22.08, 16.33, -18.86, -20.7, -2.44216, -1.4851, 0.0952756, 0.603701, -0.0118513, -0.0580534, 1, 1111
5, -2.355, -1.483, 0.0514, 21.39, 16.56, -17.71, -20.93, -2.41905, -1.4796, 0.119239, 0.607979, -0.0274571, -0.130776, 1, 1111
5, -2.355, -1.483, 0.0514, 21.39, 16.56, -17.71, -20.93, -2.40713, -1.47716, 0.117869, 0.608051, -0.0270169, -0.131564, 1, 1111
5, -2.334, -1.482, 0.0502, 20.7, 17.94, -17.71, -22.54, -2.40331, -1.47644, 0.117869, 0.608191, -0.027135, -0.133765, 1, 1111
5, -2.306, -1.481, 0.0453, 21.62, 18.4, -17.25, -23.93, -2.38469, -1.4713, 0.113394, 0.607385, -0.025334, -0.120334, 1, 1111
5, -2.3, -1.481, 0.0437, 20.24, 17.94, -16.56, -22.08, -2.3725, -1.46834, 0.119991, 0.608804, -0.0299506, -0.145081, 1, 1111
5, -2.3, -1.481, 0.0437, 20.24, 17.94, -16.56, -22.08, -2.3725, -1.46834, 0.119991, 0.608804, -0.0299506, -0.145081, 1, 1111
5, -2.294, -1.481, 0.0427, 20.47, 17.71, -17.02, -22.54, -2.35643, -1.46519, 0.120115, 0.608955, -0.0305515, -0.147841, 1, 1111
