ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.426, -1.15, -0.3457, 0, 0, 0, 0, -2.48069, -1.27047, 0.123977, -0.0177655, -1, 2.41816, 3, 27
5, -2.479, -1.272, 0.1332, 0.46, 16.56, 15.41, 0.46, -2.48069, -1.27047, 0.123977, -0.0177655, -1, 2.41816, 3, 27
5, -2.479, -1.272, 0.1311, 1.38, 27.84, 27.61, 0.69, -2.48069, -1.27047, 0.122551, -0.0177655, -1, 2.42387, 3, 27
5, -2.476, -1.29, 0.1618, -3.68, 44.4, 46.93, -6.9, -2.48069, -1.27047, 0.122551, -0.0177655, -1, 2.42387, 3, 27
5, -2.476, -1.29, 0.1618, -3.68, 44.4, 46.93, -6.9, -2.48069, -1.27047, 0.136394, -0.0177655, -1, 2.3685, 3, 27
5, -2.455, -1.346, 0.2689, 1.15, 40.03, 26.69, -5.75, -2.47573, -1.28226, 0.260948, -0.0236967, -1, 2.00399, 3, 27
5, -2.442, -1.373, 0.3672, -1.84, 40.95, 35.89, -9.43, -2.4735, -1.28939, 0.260948, -0.0262918, -1, 2.11965, 3, 27
5, -2.442, -1.373, 0.3672, -1.84, 40.95, 35.89, -9.43, -2.4735, -1.28939, 0.260948, -0.0262918, -1, 2.11965, 3, 27
5, -2.454, -1.325, 0.4556, -1.15, 37.27, 35.43, -14.03, -2.46145, -1.31979, 0.546334, -0.0378038, -1, 0.992883, 3, 27
5, -2.464, -1.309, 0.3613, -0.46, 36.58, 35.89, -8.28, -2.45658, -1.33156, 0.546334, -0.0414914, -1, 1.39567, 3, 27
5, -2.456, -1.323, 0.4411, 1.38, 35.43, 34.51, -14.26, -2.45054, -1.34144, 0.674925, -0.0460603, -1, 1.17195, 3, 27
5, -2.454, -1.331, 0.5653, -0.69, 38.65, 34.74, -13.57, -2.44694, -1.34877, 0.674925, -0.0482893, -1, 1.17195, 3, 27
5, -2.4, -1.379, 0.8963, -43.94, 32.9, 33.36, -15.64, -2.42997, -1.36913, 0.939846, -0.059861, -1, 0.353929, 3, 27
5, -2.438, -1.357, 0.8143, -59.36, 31.52, 34.74, -17.48, -2.40995, -1.38902, 1.07565, -0.0719545, -1, 0.585388, 3, 27
5, -2.418, -1.389, 0.8645, -74.09, 25.54, 35.2, -23.23, -2.39875, -1.39418, 1.19741, -0.0800604, -1, 0.22478, 3, 27
5, -2.4, -1.397, 1.0812, -64.42, 21.16, 42.1, -26.69, -2.38696, -1.40434, 1.19741, -0.0858939, -1, 0.500923, 3, 27
5, -2.378, -1.421, 1.0816, -61.2, 20.01, 38.42, -22.54, -2.3824, -1.40515, 1.27948, -0.0894612, -1, 0.172629, 3, 27
5, -2.366, -1.418, 1.1861, -31.98, 23.7, 37.04, -17.02, -2.37477, -1.41086, 1.27948, -0.0930356, -1, 0.225689, 3, 27
5, -2.357, -1.423, 1.1707, -21.62, 28.53, 38.65, -15.87, -2.36637, -1.41569, 1.2989, -0.0973647, -1, 0.338093, 3, 27
