ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.478, -1.135, -0.8201, -8.05, 26.46, 26, -11.5, -1.91877, -1.18269, -2.67043, 0.00471155, -0.7, 2.02944, 3, 10
5, -2.478, -1.135, -0.8201, -8.05, 26.46, 26, -11.5, -1.91877, -1.18269, -2.67043, 0.00471155, -0.7, 2.02944, 3, 10
5, -2.477, -1.152, -0.772, -8.05, 25.31, 26, -6.67, -1.91837, -1.18262, -2.67323, 0.00511269, -0.7, 2.04063, 3, 10
5, -2.477, -1.152, -0.772, -8.05, 25.31, 26, -6.67, -1.91837, -1.18262, -2.67323, 0.00511269, -0.7, 2.03946, 3, 10
5, -2.477, -1.152, -0.772, -8.05, 25.31, 26, -6.67, -1.91837, -1.18262, -2.67323, 0.00511269, -0.7, 2.03946, 3, 10
5, -2.477, -1.159, -0.7522, -7.36, 27.15, 25.54, -8.05, -1.91806, -1.18233, -2.66859, 0.00550939, -0.7, 2.02089, 3, 10
5, -2.477, -1.159, -0.7522, -7.36, 27.15, 25.54, -8.05, -1.91806, -1.18233, -2.66859, 0.00550939, -0.7, 2.02279, 3, 10
5, -2.477, -1.159, -0.7522, -7.36, 27.15, 25.54, -8.05, -1.91806, -1.18233, -2.66859, 0.00550939, -0.7, 2.02279, 3, 10
5, -2.476, -1.166, -0.7318, -7.36, 28.99, 26.23, -8.74, -1.918, -1.18263, -2.67009, 0.00544519, -0.7, 2.02881, 3, 10
5, -2.476, -1.166, -0.7318, -7.36, 28.99, 26.23, -8.74, -1.918, -1.18263, -2.67009, 0.00544519, -0.7, 2.02492, 3, 10
5, -2.476, -1.166, -0.7318, -7.36, 28.99, 26.23, -8.74, -1.918, -1.18263, -2.67009, 0.00544519, -0.7, 2.02492, 3, 10
5, -2.476, -1.166, -0.7318, -7.36, 28.99, 26.23, -8.74, -1.918, -1.18263, -2.67009, 0.00544519, -0.7, 2.02492, 3, 10
5, -2.475, -1.173, -0.7114, -6.9, 25.77, 25.77, -6.67, -1.91778, -1.18276, -2.66061, 0.00560672, -0.7, 1.98699, 3, 10
5, -2.475, -1.173, -0.7114, -6.9, 25.77, 25.77, -6.67, -1.91778, -1.18276, -2.66061, 0.00560672, -0.7, 1.98428, 3, 10
5, -2.475, -1.173, -0.7114, -6.9, 25.77, 25.77, -6.67, -1.91778, -1.18276, -2.66061, 0.00560672, -0.7, 1.98428, 3, 10
5, -2.474, -1.18, -0.6913, -7.36, 26.69, 27.38, -7.59, -1.92118, -1.18021, -2.55252, 0.00346227, -0.7, 1.5519, 3, 10
5, -2.474, -1.18, -0.6913, -7.36, 26.69, 27.38, -7.59, -1.92118, -1.18021, -2.55252, 0.00346227, -0.7, 1.60017, 3, 10
