ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.197, -1.278, -1.6239, 0, 0, 0, 0, -2.19998, -1.2961, -1.61221, -0.0279645, 0.705008, 4.83271, 2, 17
5, -2.197, -1.278, -1.6239, 0, 0, 0, 0, -2.19999, -1.29637, -1.60933, -0.0260782, 0.70667, 4.82305, 2, 17
5, -2.197, -1.278, -1.6239, 0, 0, 0, 0, -2.19999, -1.29654, -1.60933, -0.0261293, 0.70663, 4.82328, 2, 17
5, -2.196, -1.277, -1.6212, 0.23, 0.23, 2.3, 14.26, -2.2, -1.2966, -1.60933, -0.0261512, 0.706617, 4.82335, 2, 17
5, -2.197, -1.294, -1.5981, 2.3, 0.69, 5.06, 21.16, -2.20066, -1.29625, -1.61262, -0.0283003, 0.704985, 4.83277, 2, 17
5, -2.19, -1.291, -1.5621, 22.77, 2.99, 7.13, 42.33, -2.20075, -1.2962, -1.61487, -0.0298215, 0.703824, 4.83945, 2, 17
5, -2.193, -1.295, -1.5845, 37.96, 2.07, 3.68, 41.87, -2.20077, -1.29618, -1.61487, -0.0298155, 0.703829, 4.83942, 2, 17
5, -2.185, -1.294, -1.5583, 42.56, 2.3, 2.3, 43.25, -2.20017, -1.29437, -1.57619, -0.00205145, 0.723878, 4.72128, 2, 17
5, -2.185, -1.294, -1.5583, 42.56, 2.3, 2.3, 43.25, -2.19991, -1.29357, -1.57619, -0.00178974, 0.724053, 4.72021, 2, 17
5, -2.185, -1.294, -1.5583, 42.56, 2.3, 2.3, 43.25, -2.19638, -1.29258, -1.47865, 0.0736709, 0.768856, 4.42626, 2, 17
5, -2.185, -1.294, -1.5583, 42.56, 2.3, 2.3, 43.25, -2.19494, -1.29228, -1.47865, 0.0737878, 0.768931, 4.42574, 2, 17
5, -2.172, -1.292, -1.4311, 38.88, 0.23, -2.99, 39.8, -2.18926, -1.2894, -1.37665, 0.162676, 0.806666, 4.11889, 2, 17
5, -2.164, -1.291, -1.39, 38.88, 0, -2.53, 34.74, -2.18652, -1.28805, -1.37665, 0.163315, 0.807254, 4.11461, 2, 17
5, -2.149, -1.289, -1.2968, 41.41, -0.46, -7.13, 29.91, -2.17733, -1.28739, -1.24303, 0.291333, 0.840767, 3.71189, 2, 17
5, -2.141, -1.288, -1.2503, 45.55, 0.46, -8.74, 32.44, -2.17341, -1.28656, -1.24303, 0.291685, 0.840712, 3.71151, 2, 17
5, -2.132, -1.287, -1.2119, 38.19, 1.15, -9.89, 29.91, -2.16146, -1.28769, -1.10444, 0.435696, 0.85339, 3.296, 2, 17
5, -2.152, -1.284, -1.0483, 43.25, 1.38, -20.24, 20.47, -2.15524, -1.2875, -1.10444, 0.435771, 0.853316, 3.2962, 2, 17
5, -2.143, -1.283, -1.007, 43.02, 4.83, -17.94, 15.64, -2.14465, -1.28396, -0.956748, 0.600827, 0.838889, 2.84781, 2, 17
5, -2.133, -1.283, -0.9092, 53.38, 3.45, -27.38, 11.5, -2.13777, -1.28281, -0.956748, 0.601299, 0.83855, 2.84781, 2, 17
5, -2.112, -1.281, -0.834, 51.77, 12.42, -26.92, 7.36, -2.12697, -1.28273, -0.813325, 0.764255, 0.795143, 2.41577, 2, 17
5, -2.122, -1.282, -0.783, 54.07, 12.42, -31.98, 7.36, -2.12072, -1.2821, -0.813325, 0.764635, 0.795032, 2.41465, 2, 17
5, -2.1, -1.28, -0.7187, 58.21, 11.27, -31.52, -1.84, -2.10189, -1.28004, -0.687923, 0.907323, 0.731361, 2.03552, 2, 17
5, -2.099, -1.279, -0.6606, 51.77, 11.73, -35.89, -4.6, -2.09175, -1.27898, -0.687923, 0.907943, 0.731028, 2.03385, 2, 17
5, -2.077, -1.277, -0.6073, 55.22, 13.11, -40.26, -8.28, -2.07652, -1.27619, -0.585721, 1.02148, 0.660888, 1.72375, 2, 17
5, -2.069, -1.275, -0.5466, 60.74, 15.64, -40.72, -12.65, -2.05831, -1.27288, -0.477086, 1.13672, 0.568733, 1.3927, 2, 17
