ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.031, -1.297, -3.1135, 0, 0, 0, 0, -2.05231, -1.29821, -3.12067, 0.221991, -0.0019604, -0.0264924, 1, 15
5, -2.031, -1.297, -3.1135, 0, 0, 0, 0, -2.05231, -1.29821, -3.11655, 0.222281, -0.00287974, -0.0388641, 1, 15
5, -2.031, -1.297, -3.1135, 0, 1.38, -1.84, -1.84, -2.05231, -1.29821, -3.11655, 0.222281, -0.00287974, -0.0388641, 1, 15
5, -2.032, -1.297, -3.1133, 0, 2.76, -2.76, -4.37, -2.05231, -1.29821, -3.12293, 0.22183, -0.0014572, -0.0197067, 1, 15
5, -2.034, -1.296, -3.1196, 2.99, 3.22, -4.6, -7.13, -2.05231, -1.29821, -3.12293, 0.22183, -0.0014572, -0.0197067, 1, 15
5, -2.035, -1.296, -3.1263, 6.9, 4.37, -6.44, -8.74, -2.05231, -1.29821, -3.12179, 0.221911, -0.00171006, -0.0231178, 1, 15
5, -2.052, -1.298, -3.1217, 13.34, 9.89, -7.13, -13.34, -2.05231, -1.29821, -3.12179, 0.221911, -0.00171006, -0.0231178, 1, 15
5, -2.058, -1.297, -3.1251, 11.27, 10.81, -10.81, -10.35, -2.05231, -1.29821, -3.13302, 0.221099, 0.000777538, 0.01055, 1, 15
5, -2.062, -1.297, -3.1234, 9.43, 11.5, -9.2, -11.96, -2.05231, -1.29821, -3.13302, 0.221099, 0.000777538, 0.01055, 1, 15
5, -2.065, -1.297, -3.123, 13.8, 9.43, -9.43, -11.5, -2.05759, -1.29748, -3.13405, 0.219541, 0.00223113, 0.0136499, 1, 15
5, -2.074, -1.297, -3.1204, 13.34, 10.58, -10.35, -11.73, -2.05962, -1.29719, -3.13405, 0.218563, 0.00271891, 0.0304871, 1, 15
5, -2.078, -1.297, -3.1207, 12.42, 9.2, -9.66, -11.04, -2.06644, -1.29559, -3.13705, 0.216225, 0.00616231, 0.0463092, 1, 15
5, -2.084, -1.298, -3.1198, 12.65, 9.66, -10.12, -11.96, -2.07134, -1.29458, -3.13705, 0.213882, 0.00803924, 0.0854752, 1, 15
5, -2.072, -1.295, -3.1362, 11.04, 9.43, -9.2, -10.81, -2.07722, -1.29524, -3.13476, 0.211886, 0.00675583, 0.102548, 1, 15
5, -2.076, -1.295, -3.135, 12.19, 8.05, -8.97, -10.58, -2.08189, -1.29499, -3.13476, 0.210734, 0.00749203, 0.0956204, 1, 15
5, -2.079, -1.295, -3.1347, 12.19, 8.28, -9.43, -8.97, -2.08872, -1.29575, -3.13117, 0.208883, 0.00580258, 0.0958514, 1, 15
5, -2.085, -1.295, -3.132, 10.81, 7.59, -8.74, -8.51, -2.09396, -1.29588, -3.13117, 0.207715, 0.00590752, 0.0833158, 1, 15
5, -2.088, -1.295, -3.1304, 10.81, 8.05, -7.82, -9.43, -2.10034, -1.29601, -3.13129, 0.205877, 0.00612466, 0.085988, 1, 15
5, -2.094, -1.296, -3.1266, 11.5, 8.05, -7.82, -9.43, -2.10711, -1.29616, -3.13129, 0.20391, 0.00631979, 0.0896766, 1, 15
5, -2.098, -1.297, -3.1229, 11.27, 8.51, -7.82, -8.51, -2.11091, -1.29768, -3.12898, 0.202994, 0.00272237, 0.0865123, 1, 15
5, -2.108, -1.296, -3.1268, 10.35, 8.51, -7.82, -8.28, -2.11591, -1.2983, -3.12898, 0.202699, 0.0015305, 0.0379128, 1, 15
5, -2.111, -1.296, -3.1248, 9.89, 8.05, -7.82, -9.89, -2.12087, -1.29892, -3.12898, 0.201715, 0.000203528, 0.0200429, 1, 15
5, -2.116, -1.296, -3.1227, 9.89, 8.05, -7.59, -8.74, -2.12186, -1.29906, -3.11077, 0.202837, -0.0038122, -0.0448565, 1, 15
5, -2.116, -1.296, -3.1227, 9.89, 8.05, -7.59, -8.74, -2.12515, -1.29947, -3.11077, 0.20189, -0.00480221, -0.0448565, 1, 15
5, -2.126, -1.296, -3.1249, 8.05, 7.59, -8.51, -8.74, -2.13011, -1.30015, -3.11959, 0.200718, -0.00484617, -0.0551984, 1, 15
5, -2.13, -1.3, -3.1202, 9.2, 7.82, -7.82, -11.27, -2.13406, -1.30017, -3.12226, 0.19988, -0.00439485, -0.0673794, 1, 15
5, -2.133, -1.3, -3.1216, 11.04, 7.59, -8.05, -10.58, -2.13796, -1.30036, -3.12226, 0.198765, -0.00500297, -0.0673794, 1, 15
5, -2.138, -1.3, -3.1237, 10.12, 8.97, -8.51, -10.35, -2.1418, -1.30063, -3.12226, 0.197661, -0.00594728, -0.067564, 1, 15
5, -2.143, -1.3, -3.1242, 10.81, 8.28, -8.97, -11.73, -2.14669, -1.30223, -3.11853, 0.196512, -0.0127827, -0.093002, 1, 15
5, -2.146, -1.3, -3.1238, 10.81, 9.2, -8.51, -9.66, -2.15097, -1.30292, -3.11853, 0.196796, -0.0162755, -0.175033, 1, 15
5, -2.152, -1.3, -3.1258, 8.51, 8.05, -7.82, -10.12, -2.1566, -1.30251, -3.12283, 0.196042, -0.0150293, -0.211051, 1, 15
5, -2.157, -1.3, -3.1262, 5.52, 1.61, -2.76, -3.68, -2.16218, -1.30292, -3.12283, 0.194274, -0.0186602, -0.217672, 1, 15
5, -2.158, -1.302, -3.1238, 5.98, 0.23, -2.07, -2.76, -2.1651, -1.3015, -3.12047, -0.1064, -0.0609381, -7.86006, 1, 15
5, -2.159, -1.302, -3.1188, -1.84, -6.44, -4.6, -5.75, -2.16924, -1.30132, -3.12047, -0.0157007, 0.000322148, 9.3636, 1, 15
5, -2.159, -1.302, -3.1188, -1.84, -6.44, -4.6, -5.75, -2.17253, -1.30143, -3.12439, -0.0164583, 0.000272303, 9.37511, 1, 15
