ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, BEHAVIOR, LABEL, TIMESTAMP, PCKT
5, -1.99, -0.988, 0.02, 13.8, 6.67, -8.51, -8.05, -1.99517, -0.989935, 0.0217264, 0, 0, 2022-08-25.19:12:19, 154
5, -1.987, -0.987, 0.0184, 22.54, 9.89, -8.74, -17.71, -1.99518, -0.989701, 0.0170996, 0, 0, 2022-08-25.19:12:19, 156
5, -1.978, -0.987, 0.0108, 27.84, 19.78, -14.26, -26.92, -1.99525, -0.989643, 0.0170996, 0, 0, 2022-08-25.19:12:19, 158
5, -1.97, -0.987, 0.0017, 30.14, 18.17, -21.85, -30.83, -1.99517, -0.989556, 0.0170996, 0, 0, 2022-08-25.19:12:19, 160
5, -1.965, -0.987, -0.0018, 28.53, 16.79, -19.78, -23.93, -1.99484, -0.989665, 0.0196555, 0, 0, 2022-08-25.19:12:19, 161
5, -1.954, -0.986, -0.0132, 30.37, 18.63, -22.31, -26.69, -1.99475, -0.989652, 0.0196555, 0, 0, 2022-08-25.19:12:19, 163
5, -1.945, -0.986, -0.0236, 33.59, 28.53, -24.85, -31.98, -1.99468, -0.989642, 0.0196555, 0, 0, 2022-08-25.19:12:19, 165
5, -1.93, -0.987, -0.0514, 36.35, 27.38, -27.38, -37.04, -1.99451, -0.989767, 0.0196555, 0, 0, 2022-08-25.19:12:19, 167
5, -1.925, -0.987, -0.0596, 35.66, 24.85, -27.84, -34.05, -1.99007, -0.98994, -0.00798368, 0, 0, 2022-08-25.19:12:19, 168
5, -1.915, -0.987, -0.075, 34.05, 22.08, -27.15, -30.37, -1.98871, -0.990007, -0.00798368, 0, 0, 2022-08-25.19:12:19, 170
5, -1.9, -0.988, -0.0954, 36.12, 26, -28.99, -34.05, -1.98723, -0.990053, -0.00798368, 0, 0, 2022-08-25.19:12:19, 172
5, -1.89, -0.988, -0.1085, 36.12, 31.06, -33.13, -34.97, -1.97976, -0.993091, -0.0470555, 0, 0, 2022-08-25.19:12:19, 174
5, -1.885, -0.989, -0.1155, 34.28, 29.68, -32.9, -32.67, -1.97647, -0.994048, -0.0470555, 0, 0, 2022-08-25.19:12:19, 175
5, -1.869, -0.99, -0.1308, 34.74, 25.54, -26, -31.52, -1.97445, -0.995188, -0.0470555, 0, 0, 2022-08-25.19:12:19, 177
5, -1.859, -0.991, -0.1388, 37.5, 29.22, -31.75, -34.74, -1.97207, -0.996006, -0.0470555, 0, 0, 2022-08-25.19:12:19, 179
5, -1.853, -0.992, -0.1394, 32.9, 30.83, -32.44, -32.9, -1.95888, -0.999351, -0.0884536, 0, 0, 2022-08-25.19:12:19, 180
5, -1.837, -0.994, -0.1454, 32.21, 30.37, -31.06, -30.6, -1.957, -0.999698, -0.0884536, 0, 0, 2022-08-25.19:12:19, 182
5, -1.827, -0.995, -0.1433, 37.27, 28.76, -27.15, -31.52, -1.95228, -1.001, -0.0884536, 0, 0, 2022-08-25.19:12:19, 184
5, -1.816, -0.996, -0.1434, 38.65, 29.91, -31.52, -30.6, -1.93902, -1.00631, -0.133564, 0, 0, 2022-08-25.19:12:19, 186
5, -1.806, -0.997, -0.1425, 38.42, 30.6, -32.44, -30.6, -1.93196, -1.00869, -0.133564, 0, 0, 2022-08-25.19:12:19, 187
5, -1.795, -0.997, -0.1385, 37.73, 29.45, -32.67, -31.06, -1.93285, -1.00889, -0.133564, 0, 0, 2022-08-25.19:12:19, 189
5, -1.784, -0.998, -0.1335, 34.97, 30.6, -30.83, -31.52, -1.91739, -1.01438, -0.138124, 0, 0, 2022-08-25.19:12:19, 191
5, -1.769, -0.999, -0.1191, 38.65, 30.37, -26.69, -30.6, -1.90926, -1.01729, -0.138124, 0, 0, 2022-08-25.19:12:19, 193
5, -1.758, -1, -0.1158, 40.26, 31.06, -30.14, -30.83, -1.9093, -1.01724, -0.138124, 0, 0, 2022-08-25.19:12:19, 195
