ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, BEHAVIOR, LABEL, TIMESTAMP, PCKT
5, -1.994, -0.995, 0.0205, 13.8, 6.21, -6.67, -10.58, -1.99952, -0.995048, 0.0274796, 0, 0, 2022-08-25.19:29:14, 33
5, -1.992, -0.994, 0.0198, 17.48, 6.67, -7.82, -14.95, -1.9995, -0.994981, 0.0274796, 0, 0, 2022-08-25.19:29:14, 34
5, -1.987, -0.994, 0.0167, 24.85, 13.34, -15.64, -23.7, -1.99949, -0.994941, 0.0274796, 0, 0, 2022-08-25.19:29:14, 36
5, -1.977, -0.994, 0.0122, 28.99, 18.63, -16.1, -25.31, -1.99948, -0.994891, 0.0274796, 0, 0, 2022-08-25.19:29:14, 38
5, -1.969, -0.995, 0.0011, 31.52, 24.85, -20.01, -29.45, -1.99891, -0.994898, 0.024883, 0, 0, 2022-08-25.19:29:14, 40
5, -1.956, -0.995, -0.0184, 29.22, 20.01, -26, -30.37, -1.99876, -0.994862, 0.024883, 0, 0, 2022-08-25.19:29:14, 42
5, -1.948, -0.996, -0.0282, 31.06, 24.16, -21.62, -28.07, -1.99864, -0.994834, 0.024883, 0, 0, 2022-08-25.19:29:14, 44
5, -1.943, -0.996, -0.0375, 32.21, 23.46, -23.7, -31.29, -1.99815, -0.995032, 0.025594, 0, 0, 2022-08-25.19:29:14, 45
5, -1.934, -0.997, -0.0515, 34.51, 25.54, -28.76, -31.98, -1.99787, -0.995095, 0.025594, 0, 0, 2022-08-25.19:29:14, 47
5, -1.918, -0.998, -0.0762, 34.51, 27.15, -28.99, -31.29, -1.99767, -0.995123, 0.025594, 0, 0, 2022-08-25.19:29:14, 49
5, -1.913, -0.999, -0.0826, 37.96, 28.3, -29.22, -34.74, -1.99742, -0.995158, 0.025594, 0, 0, 2022-08-25.19:29:14, 50
5, -1.903, -1, -0.0997, 36.81, 25.77, -28.99, -33.59, -1.99076, -0.996008, -0.00271904, 0, 0, 2022-08-25.19:29:14, 52
5, -1.888, -1.001, -0.1269, 36.58, 27.61, -29.22, -32.9, -1.98938, -0.996185, -0.00271904, 0, 0, 2022-08-25.19:29:14, 54
5, -1.878, -1.003, -0.1419, 34.05, 29.68, -33.59, -33.13, -1.98766, -0.996407, -0.00271904, 0, 0, 2022-08-25.19:29:14, 56
5, -1.863, -1.006, -0.1526, 32.67, 27.38, -29.22, -33.59, -1.97843, -0.99951, -0.0518969, 0, 0, 2022-08-25.19:29:14, 58
5, -1.852, -1.008, -0.1612, 35.66, 27.38, -28.07, -31.52, -1.97553, -1.00027, -0.0518969, 0, 0, 2022-08-25.19:29:14, 60
5, -1.847, -1.009, -0.1655, 38.65, 28.76, -30.14, -32.67, -1.97184, -1.00124, -0.0518969, 0, 0, 2022-08-25.19:29:14, 61
5, -1.831, -1.012, -0.1742, 36.35, 28.76, -32.21, -31.29, -1.96321, -1.00335, -0.0992793, 0, 0, 2022-08-25.19:29:14, 63
5, -1.821, -1.014, -0.1753, 35.43, 29.22, -31.29, -30.37, -1.95892, -1.00442, -0.0992793, 0, 0, 2022-08-25.19:29:14, 65
5, -1.811, -1.015, -0.1715, 38.88, 29.45, -31.06, -30.37, -1.95384, -1.00571, -0.0992793, 0, 0, 2022-08-25.19:29:14, 67
5, -1.806, -1.016, -0.1721, 39.57, 29.22, -31.75, -29.91, -1.94886, -1.00697, -0.0992793, 0, 0, 2022-08-25.19:29:14, 68
5, -1.784, -1.019, -0.1651, 37.04, 27.84, -30.83, -29.22, -1.9351, -1.01352, -0.14348, 0, 0, 2022-08-25.19:29:14, 71
5, -1.769, -1.021, -0.1545, 36.58, 28.53, -28.76, -29.68, -1.92982, -1.0154, -0.14348, 0, 0, 2022-08-25.19:29:14, 73
5, -1.764, -1.022, -0.149, 37.27, 28.3, -28.76, -29.22, -1.92313, -1.01778, -0.14348, 0, 0, 2022-08-25.19:29:14, 74
5, -1.754, -1.023, -0.1423, 40.26, 28.53, -30.83, -29.22, -1.91109, -1.02106, -0.157579, 0, 0, 2022-08-25.19:29:14, 76
5, -1.738, -1.024, -0.133, 38.19, 28.3, -31.29, -28.99, -1.90285, -1.02374, -0.157579, 0, 0, 2022-08-25.19:29:14, 78
5, -1.728, -1.025, -0.124, 35.89, 29.91, -30.6, -28.53, -1.8946, -1.02643, -0.157579, 0, 0, 2022-08-25.19:29:14, 80
5, -1.718, -1.027, -0.1127, 37.5, 30.14, -28.53, -28.76, -1.88754, -1.02818, -0.148821, 0, 0, 2022-08-25.19:29:14, 82
5, -1.707, -1.028, -0.1024, 39.34, 31.52, -29.68, -29.68, -1.8792, -1.03076, -0.148821, 0, 0, 2022-08-25.19:29:14, 83
5, -1.697, -1.029, -0.0928, 37.96, 29.68, -26.46, -27.38, -1.87088, -1.03332, -0.148821, 0, 0, 2022-08-25.19:29:14, 85
5, -1.682, -1.03, -0.0826, 36.81, 28.99, -26.46, -28.3, -1.84164, -1.04045, -0.114423, 0, 0, 2022-08-25.19:29:14, 87
5, -1.677, -1.031, -0.0755, 35.66, 27.84, -26.69, -27.38, -1.82426, -1.04498, -0.114423, 0, 0, 2022-08-25.19:29:14, 88
5, -1.662, -1.032, -0.0664, 37.04, 27.38, -26.46, -28.99, -1.80864, -1.04917, -0.114423, 0, 0, 2022-08-25.19:29:14, 91
5, -1.652, -1.032, -0.0595, 38.42, 28.53, -29.68, -30.37, -1.79661, -1.05241, -0.114423, 0, 0, 2022-08-25.19:29:14, 92
5, -1.642, -1.033, -0.0514, 37.04, 26.46, -28.76, -29.68, -1.79846, -1.05014, -0.0766966, 0, 0, 2022-08-25.19:29:14, 94
5, -1.632, -1.033, -0.0453, 36.12, 26.46, -27.84, -30.37, -1.78935, -1.05224, -0.0766966, 0, 0, 2022-08-25.19:29:14, 96
5, -1.627, -1.033, -0.0459, 34.97, 26.23, -28.07, -31.06, -1.77812, -1.05483, -0.0766966, 0, 0, 2022-08-25.19:29:14, 97
5, -1.612, -1.034, -0.0369, 36.58, 26.46, -28.99, -30.83, -1.77541, -1.05306, -0.0546492, 0, 0, 2022-08-25.19:29:14, 99
5, -1.601, -1.034, -0.0341, 37.96, 26.23, -30.6, -31.29, -1.76816, -1.05422, -0.0546492, 0, 0, 2022-08-25.19:29:15, 101
5, -1.591, -1.034, -0.0305, 38.42, 26.92, -30.83, -31.29, -1.75902, -1.05569, -0.0546492, 0, 0, 2022-08-25.19:29:15, 102
5, -1.575, -1.034, -0.0258, 36.58, 25.77, -30.6, -31.98, -1.75164, -1.05687, -0.0546492, 0, 0, 2022-08-25.19:29:15, 105
5, -1.555, -1.034, -0.017, 37.27, 26.23, -29.91, -32.9, -1.73249, -1.05603, -0.0316911, 0, 0, 2022-08-25.19:29:15, 108
