ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, BEHAVIOR, LABEL, TIMESTAMP, PCKT
5, -1.998, -0.992, 0.0111, 9.89, 6.21, -7.82, -9.66, -2.00097, -0.992708, 0.013519, 0, 0, 2022-08-25.19:27:20, 49
5, -1.993, -0.992, 0.0109, 19.09, 7.59, -6.44, -17.94, -2.00089, -0.992705, 0.013519, 0, 0, 2022-08-25.19:27:20, 51
5, -1.99, -0.992, 0.0106, 25.31, 13.34, -13.34, -25.31, -2.00083, -0.992703, 0.013519, 0, 0, 2022-08-25.19:27:20, 52
5, -1.983, -0.992, 0.01, 28.76, 19.09, -20.01, -28.53, -2.00078, -0.992732, 0.013519, 0, 0, 2022-08-25.19:27:20, 54
5, -1.975, -0.992, 0.0093, 25.54, 17.02, -20.24, -21.39, -2.00075, -0.992741, 0.0142137, 0, 0, 2022-08-25.19:27:20, 56
5, -1.965, -0.991, 0.0052, 30.6, 15.18, -17.94, -27.38, -2.00071, -0.992747, 0.0142137, 0, 0, 2022-08-25.19:27:20, 58
5, -1.96, -0.992, 0.0007, 31.29, 22.31, -19.32, -30.6, -2.00065, -0.992753, 0.0142137, 0, 0, 2022-08-25.19:27:20, 59
5, -1.951, -0.993, -0.0073, 36.12, 33.13, -28.3, -37.27, -1.99955, -0.993057, 0.00850514, 0, 0, 2022-08-25.19:27:20, 61
5, -1.935, -0.994, -0.0288, 32.9, 24.62, -26, -30.14, -1.99927, -0.993128, 0.00850514, 0, 0, 2022-08-25.19:27:20, 63
5, -1.927, -0.994, -0.0451, 34.05, 18.17, -25.77, -28.53, -1.99891, -0.993217, 0.00850514, 0, 0, 2022-08-25.19:27:20, 65
5, -1.922, -0.994, -0.0518, 35.2, 25.31, -28.76, -30.6, -1.99857, -0.993304, 0.00850514, 0, 0, 2022-08-25.19:27:20, 66
5, -1.906, -0.996, -0.0808, 37.27, 34.74, -33.59, -36.12, -1.99472, -0.993816, -0.0171791, 0, 0, 2022-08-25.19:27:20, 68
5, -1.895, -0.998, -0.1025, 37.96, 32.9, -28.07, -34.97, -1.99338, -0.994027, -0.0171791, 0, 0, 2022-08-25.19:27:20, 70
5, -1.88, -0.999, -0.142, 34.05, 18.17, -28.53, -33.36, -1.99229, -0.994198, -0.0171791, 0, 0, 2022-08-25.19:27:20, 72
5, -1.876, -1, -0.149, 30.6, 23.23, -31.29, -31.75, -1.99093, -0.994412, -0.0171791, 0, 0, 2022-08-25.19:27:20, 73
5, -1.866, -1.002, -0.16, 34.51, 28.3, -32.21, -33.13, -1.98331, -0.9958, -0.0536482, 0, 0, 2022-08-25.19:27:20, 75
5, -1.85, -1.004, -0.1783, 38.42, 26.23, -28.99, -32.44, -1.98095, -0.996211, -0.0536482, 0, 0, 2022-08-25.19:27:20, 77
5, -1.84, -1.006, -0.188, 37.27, 27.38, -27.38, -31.52, -1.97798, -0.99673, -0.0536482, 0, 0, 2022-08-25.19:27:20, 79
5, -1.83, -1.008, -0.197, 36.35, 27.84, -32.21, -30.6, -1.97564, -0.997139, -0.0536482, 0, 0, 2022-08-25.19:27:20, 81
5, -1.82, -1.01, -0.1991, 36.81, 27.84, -30.83, -29.91, -1.96802, -1.00031, -0.131008, 0, 0, 2022-08-25.19:27:20, 82
5, -1.81, -1.012, -0.1982, 36.35, 25.77, -29.45, -28.53, -1.96391, -1.00147, -0.131008, 0, 0, 2022-08-25.19:27:20, 84
5, -1.799, -1.013, -0.1954, 40.49, 29.68, -33.36, -30.6, -1.96057, -1.00242, -0.131008, 0, 0, 2022-08-25.19:27:20, 86
5, -1.789, -1.015, -0.1889, 39.8, 28.76, -31.98, -29.22, -1.95642, -1.00359, -0.131008, 0, 0, 2022-08-25.19:27:20, 87
5, -1.778, -1.016, -0.1843, 37.5, 26.69, -29.68, -27.61, -1.94806, -1.00728, -0.182844, 0, 0, 2022-08-25.19:27:20, 89
5, -1.768, -1.018, -0.1765, 37.5, 27.84, -30.83, -27.61, -1.94378, -1.00874, -0.182844, 0, 0, 2022-08-25.19:27:20, 91
5, -1.753, -1.019, -0.1592, 39.8, 28.53, -30.6, -28.07, -1.93854, -1.01052, -0.182844, 0, 0, 2022-08-25.19:27:20, 93
5, -1.748, -1.02, -0.1542, 38.65, 29.68, -30.14, -27.61, -1.93978, -1.01004, -0.182844, 0, 0, 2022-08-25.19:27:20, 94
5, -1.737, -1.021, -0.1428, 39.11, 29.91, -29.22, -27.38, -1.92345, -1.01569, -0.193806, 0, 0, 2022-08-25.19:27:20, 96
5, -1.722, -1.023, -0.1279, 40.26, 29.68, -29.45, -27.15, -1.91812, -1.0175, -0.193806, 0, 0, 2022-08-25.19:27:20, 98
5, -1.711, -1.024, -0.1197, 37.04, 28.76, -30.37, -27.38, -1.91156, -1.01974, -0.193806, 0, 0, 2022-08-25.19:27:20, 100
5, -1.706, -1.024, -0.1153, 34.97, 28.53, -29.45, -26.92, -1.89201, -1.02678, -0.170605, 0, 0, 2022-08-25.19:27:20, 101
5, -1.691, -1.026, -0.0964, 37.27, 28.07, -26.23, -27.38, -1.88145, -1.03048, -0.170605, 0, 0, 2022-08-25.19:27:20, 103
5, -1.681, -1.026, -0.0871, 38.42, 28.53, -26.46, -28.76, -1.87291, -1.03348, -0.170605, 0, 0, 2022-08-25.19:27:20, 105
5, -1.666, -1.028, -0.0703, 35.43, 28.53, -28.3, -28.76, -1.86241, -1.03716, -0.170605, 0, 0, 2022-08-25.19:27:20, 107
5, -1.657, -1.029, -0.0614, 36.35, 29.68, -24.85, -29.91, -1.851, -1.04043, -0.12746, 0, 0, 2022-08-25.19:27:20, 109
5, -1.652, -1.029, -0.0597, 35.66, 29.45, -26, -29.68, -1.83974, -1.04419, -0.12746, 0, 0, 2022-08-25.19:27:20, 110
5, -1.637, -1.03, -0.0497, 37.27, 29.45, -29.68, -31.06, -1.82791, -1.04813, -0.12746, 0, 0, 2022-08-25.19:27:20, 112
5, -1.626, -1.031, -0.0451, 36.81, 26.92, -28.99, -30.83, -1.81877, -1.05118, -0.12746, 0, 0, 2022-08-25.19:27:20, 114
