ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, BEHAVIOR, LABEL, TIMESTAMP, PCKT
5, -2.003, -0.993, 0.0002, 39.57, 25.77, -25.54, -40.26, -2.00265, -0.993938, -0.00359046, 0, 0, 2022-09-08.18:05:53, 26
5, -1.986, -0.993, -0.0086, 43.94, 37.04, -35.43, -45.09, -2.00271, -0.993955, 0.00119517, 0, 0, 2022-09-08.18:05:53, 28
5, -1.973, -0.993, -0.0165, 45.78, 37.5, -34.28, -40.49, -2.00266, -0.993967, 0.00119517, 0, 0, 2022-09-08.18:05:53, 30
5, -1.955, -0.992, -0.0399, 46.7, 26, -34.51, -36.81, -2.00262, -0.993977, 0.00119517, 0, 0, 2022-09-08.18:05:53, 32
5, -1.942, -0.991, -0.0596, 49.93, 39.34, -39.8, -46.47, -2.00043, -0.994468, -0.0204751, 0, 0, 2022-09-08.18:05:53, 34
5, -1.92, -0.994, -0.0946, 53.38, 49.24, -42.56, -57.06, -1.99979, -0.994614, -0.0204751, 0, 0, 2022-09-08.18:05:53, 37
5, -1.898, -0.997, -0.1404, 50.39, 33.59, -40.03, -51.77, -1.99915, -0.994758, -0.0204751, 0, 0, 2022-09-08.18:05:53, 39
5, -1.884, -0.998, -0.1637, 51.77, 40.72, -38.88, -49.93, -1.99864, -0.994874, -0.0204751, 0, 0, 2022-09-08.18:05:53, 41
5, -1.877, -1, -0.1847, 53.84, 41.64, -41.64, -52, -1.99145, -0.997024, -0.0779725, 0, 0, 2022-09-08.18:05:53, 42
5, -1.855, -1.003, -0.2395, 52.92, 38.42, -45.32, -52, -1.98961, -0.997547, -0.0779725, 0, 0, 2022-09-08.18:05:53, 44
5, -1.833, -1.009, -0.2898, 54.07, 43.48, -42.56, -54.53, -1.98496, -0.998867, -0.0779725, 0, 0, 2022-09-08.18:05:54, 47
5, -1.812, -1.016, -0.3469, 47.86, 40.72, -45.55, -50.85, -1.97714, -1.00164, -0.170014, 0, 0, 2022-09-08.18:05:54, 49
5, -1.798, -1.02, -0.3779, 50.62, 40.95, -44.4, -49.93, -1.97174, -1.00336, -0.170014, 0, 0, 2022-09-08.18:05:54, 51
5, -1.77, -1.031, -0.4477, 55.22, 42.56, -47.63, -53.15, -1.96785, -1.0046, -0.170014, 0, 0, 2022-09-08.18:05:54, 54
5, -1.763, -1.034, -0.4621, 56.83, 42.33, -50.62, -54.07, -1.95059, -1.01257, -0.273018, 0, 0, 2022-09-08.18:05:54, 55
5, -1.749, -1.04, -0.4894, 57.52, 38.42, -46.7, -48.78, -1.94319, -1.01554, -0.273018, 0, 0, 2022-09-08.18:05:54, 57
5, -1.729, -1.048, -0.53, 52.92, 34.74, -44.86, -46.93, -1.93587, -1.01848, -0.273018, 0, 0, 2022-09-08.18:05:54, 59
5, -1.722, -1.051, -0.5416, 54.3, 37.5, -46.93, -47.16, -1.92827, -1.02343, -0.39422, 0, 0, 2022-09-08.18:05:54, 60
5, -1.702, -1.061, -0.573, 55.68, 40.03, -48.32, -46.01, -1.92104, -1.02713, -0.39422, 0, 0, 2022-09-08.18:05:54, 63
5, -1.683, -1.07, -0.6035, 53.61, 33.36, -44.86, -44.4, -1.91343, -1.03077, -0.39422, 0, 0, 2022-09-08.18:05:54, 65
5, -1.67, -1.076, -0.6193, 48.09, 31.75, -41.87, -41.64, -1.90728, -1.03372, -0.39422, 0, 0, 2022-09-08.18:05:54, 67
5, -1.652, -1.086, -0.634, 52.92, 33.13, -49.93, -43.94, -1.89977, -1.04168, -0.499732, 0, 0, 2022-09-08.18:05:54, 69
