ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, BEHAVIOR, LABEL, TIMESTAMP, PCKT
5, -1.998, -0.996, -0.0153, 40.03, 29.68, -31.06, -38.88, -2.0029, -0.996301, -0.017354, 0, 0, 2022-09-12.18:24:26, 170
5, -1.932, -1, -0.081, 47.63, 37.96, -45.32, -49.24, -2.00287, -0.996623, -0.0156339, 0, 0, 2022-09-12.18:24:26, 179
5, -1.919, -1.001, -0.0914, 51.77, 32.67, -30.83, -52.46, -2.00285, -0.996668, -0.0156339, 0, 0, 2022-09-12.18:24:26, 181
5, -1.883, -1.008, -0.1442, 54.76, 51.31, -49.01, -53.84, -2.00282, -0.996774, -0.0156339, 0, 0, 2022-09-12.18:24:26, 185
5, -1.875, -1.009, -0.1556, 52.46, 48.09, -45.32, -43.25, -1.9897, -0.998817, -0.0463503, 0, 0, 2022-09-12.18:24:26, 186
5, -1.798, -1.03, -0.3336, 56.14, 45.09, -46.01, -54.99, -1.97432, -1.00398, -0.0982654, 0, 0, 2022-09-12.18:24:26, 195
5, -1.785, -1.034, -0.372, 51.08, 25.77, -41.18, -46.7, -1.97114, -1.00495, -0.0982654, 0, 0, 2022-09-12.18:24:26, 197
5, -1.753, -1.049, -0.4544, 53.15, 44.4, -47.16, -51.31, -1.95826, -1.00936, -0.184157, 0, 0, 2022-09-12.18:24:26, 201
5, -1.746, -1.052, -0.4719, 54.76, 41.41, -48.32, -51.77, -1.95468, -1.01053, -0.184157, 0, 0, 2022-09-12.18:24:26, 202
5, -1.715, -1.069, -0.5484, 52.23, 38.42, -43.71, -47.16, -1.94649, -1.01321, -0.184157, 0, 0, 2022-09-12.18:24:26, 206
5, -1.675, -1.095, -0.6375, 46.47, 33.59, -44.4, -44.63, -1.88738, -1.0387, -0.399259, 0, 0, 2022-09-12.18:24:26, 212
5, -1.669, -1.099, -0.6426, 51.08, 31.52, -44.63, -44.63, -1.87789, -1.04258, -0.399259, 0, 0, 2022-09-12.18:24:26, 213
5, -1.658, -1.106, -0.6538, 57.52, 33.82, -47.63, -44.86, -1.88101, -1.04647, -0.504672, 0, 0, 2022-09-12.18:24:26, 215
5, -1.641, -1.118, -0.6728, 54.76, 29.45, -44.17, -40.72, -1.87258, -1.05098, -0.504672, 0, 0, 2022-09-12.18:24:26, 217
5, -1.63, -1.124, -0.6868, 47.16, 25.77, -44.63, -39.11, -1.8642, -1.05547, -0.504672, 0, 0, 2022-09-12.18:24:26, 219
5, -1.615, -1.134, -0.6941, 57.06, 27.15, -47.86, -40.26, -1.85759, -1.05901, -0.504672, 0, 0, 2022-09-12.18:24:26, 221
5, -1.604, -1.141, -0.7008, 57.29, 26, -48.55, -33.13, -1.85544, -1.0652, -0.596536, 0, 0, 2022-09-12.18:24:26, 223
5, -1.574, -1.156, -0.7, 54.99, 24.85, -47.16, -16.33, -1.83565, -1.07878, -0.596536, 0, 0, 2022-09-12.18:24:26, 228
5, -1.564, -1.159, -0.6873, 56.6, 20.7, -46.93, -13.8, -1.80032, -1.10261, -0.671235, 0, 0, 2022-09-12.18:24:26, 230
5, -1.544, -1.165, -0.6679, 49.93, 15.64, -43.02, -18.17, -1.77582, -1.11925, -0.671235, 0, 0, 2022-09-12.18:24:26, 233
5, -1.539, -1.166, -0.6627, 50.16, 12.65, -44.17, -15.18, -1.76235, -1.1284, -0.671235, 0, 0, 2022-09-12.18:24:26, 234
5, -1.507, -1.169, -0.5857, 54.3, 6.9, -43.71, -10.35, -1.7408, -1.14012, -0.689061, 0, 0, 2022-09-12.18:24:26, 240
5, -1.488, -1.17, -0.5364, 47.16, 8.74, -40.49, -8.74, -1.7257, -1.14529, -0.648897, 0, 0, 2022-09-12.18:24:26, 243
5, -1.48, -1.17, -0.5055, 51.08, 3.22, -41.87, -4.37, -1.71768, -1.14966, -0.648897, 0, 0, 2022-09-12.18:24:26, 245
5, -1.475, -1.169, -0.491, 52.92, 2.07, -43.25, -3.22, -1.70755, -1.15517, -0.648897, 0, 0, 2022-09-12.18:24:26, 246
5, -1.458, -1.167, -0.4357, 47.4, 11.73, -33.59, -12.19, -1.6972, -1.1608, -0.648897, 0, 0, 2022-09-12.18:24:26, 249
5, -1.401, -1.159, -0.2662, 48.32, 8.28, -43.71, -13.57, -1.64348, -1.17432, -0.496668, 0, 0, 2022-09-12.18:24:26, 4
5, -1.367, -1.151, -0.1618, 48.32, 23.7, -37.73, -15.87, -1.61717, -1.17758, -0.404704, 0, 0, 2022-09-12.18:24:26, 10
5, -1.363, -1.151, -0.1541, 47.63, 22.31, -42.1, -16.56, -1.60969, -1.17937, -0.404704, 0, 0, 2022-09-12.18:24:26, 11
5, -1.338, -1.144, -0.092, 57.75, 16.1, -47.63, -16.56, -1.56002, -1.17881, -0.228962, 0, 0, 2022-09-12.18:24:27, 15
5, -1.328, -1.141, -0.0667, 56.83, 18.17, -48.32, -19.78, -1.54798, -1.1799, -0.228962, 0, 0, 2022-09-12.18:24:27, 17
5, -1.301, -1.135, -0.005, 55.22, 28.76, -46.7, -23.7, -1.53948, -1.17682, -0.127639, 0, 0, 2022-09-12.18:24:27, 21
5, -1.296, -1.134, 0.0035, 57.52, 28.99, -46.7, -26.46, -1.52836, -1.17702, -0.127639, 0, 0, 2022-09-12.18:24:27, 22
5, -1.284, -1.131, 0.0226, 59.36, 27.84, -38.88, -31.06, -1.51728, -1.17723, -0.127639, 0, 0, 2022-09-12.18:24:27, 24
5, -1.267, -1.127, 0.0366, 54.99, 19.32, -37.96, -30.14, -1.51883, -1.17233, -0.0462881, 0, 0, 2022-09-12.18:24:27, 26
5, -1.24, -1.12, 0.0616, 53.84, 23.7, -46.7, -36.35, -1.49381, -1.16943, -0.0462881, 0, 0, 2022-09-12.18:24:27, 31
5, -1.222, -1.116, 0.0706, 49.24, 25.54, -39.11, -34.97, -1.49066, -1.1667, 0.0320978, 0, 0, 2022-09-12.18:24:27, 33
5, -1.21, -1.114, 0.0669, 54.3, 26.46, -44.17, -40.95, -1.48293, -1.16529, 0.0320978, 0, 0, 2022-09-12.18:24:27, 35
5, -1.192, -1.111, 0.0604, 51.08, 26.92, -45.78, -42.79, -1.47199, -1.1633, 0.0320978, 0, 0, 2022-09-12.18:24:27, 37
5, -1.179, -1.109, 0.0604, 52, 29.22, -42.33, -40.95, -1.46277, -1.16235, 0.0930483, 0, 0, 2022-09-12.18:24:27, 39
5, -1.173, -1.108, 0.058, 49.01, 27.15, -37.73, -40.26, -1.45522, -1.16112, 0.0930483, 0, 0, 2022-09-12.18:24:27, 40
5, -1.149, -1.106, 0.0527, 48.78, 31.06, -39.8, -44.63, -1.44872, -1.16006, 0.0930483, 0, 0, 2022-09-12.18:24:27, 43
5, -1.116, -1.104, 0.0422, 50.85, 33.13, -40.95, -46.93, -1.42812, -1.15578, 0.109843, 0, 0, 2022-09-12.18:24:27, 47
5, -1.103, -1.103, 0.0399, 51.54, 36.35, -41.18, -49.7, -1.41979, -1.15425, 0.109843, 0, 0, 2022-09-12.18:24:27, 49
5, -1.063, -1.102, 0.0278, 50.85, 37.27, -41.87, -48.55, -1.36365, -1.14495, 0.0938423, 0, 0, 2022-09-12.18:24:27, 54
5, -1.023, -1.102, 0.0141, 49.24, 37.96, -39.8, -48.78, -1.33231, -1.14, 0.0885708, 0, 0, 2022-09-12.18:24:27, 59
5, -1.016, -1.102, 0.0115, 48.09, 36.81, -38.65, -49.01, -1.31951, -1.1379, 0.0885708, 0, 0, 2022-09-12.18:24:27, 60
5, -0.983, -1.104, -0.0001, 46.24, 39.8, -39.34, -47.16, -1.2961, -1.13406, 0.0885708, 0, 0, 2022-09-12.18:24:27, 64
5, -0.976, -1.104, -0.0024, 44.86, 38.42, -39.57, -47.86, -1.29238, -1.13543, 0.0730628, 0, 0, 2022-09-12.18:24:27, 65
5, -0.964, -1.105, -0.0039, 45.55, 39.34, -37.73, -47.86, -1.2813, -1.13401, 0.0730628, 0, 0, 2022-09-12.18:24:27, 67
5, -0.938, -1.107, -0.0101, 44.4, 36.81, -35.2, -44.4, -1.27232, -1.13285, 0.0730628, 0, 0, 2022-09-12.18:24:27, 70
5, -0.931, -1.107, -0.0123, 45.09, 36.81, -37.04, -46.24, -1.26241, -1.13524, 0.0609809, 0, 0, 2022-09-12.18:24:27, 71
