ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, BEHAVIOR, LABEL, TIMESTAMP, PCKT
0, 0.556, -2.479, 1.5428, 53.84, 32.44, -36.12, -52.92, 0.556559, -2.48725, 1.5522, 2, 0, 2022-11-25.17:28:44, 189
0, 0.562, -2.426, 1.5274, 66.72, 36.35, -46.47, -65.34, 0.556558, -2.48718, 1.55319, 2, 0, 2022-11-25.17:28:44, 194
0, 0.564, -2.406, 1.5271, 68.79, 44.86, -54.76, -65.34, 0.556558, -2.48715, 1.55319, 2, 0, 2022-11-25.17:28:44, 195
0, 0.567, -2.366, 1.5361, 61.66, 42.79, -50.85, -51.08, 0.556569, -2.48712, 1.55319, 2, 0, 2022-11-25.17:28:44, 199
0, 0.568, -2.348, 1.5334, 66.26, 46.7, -45.09, -50.39, 0.555587, -2.48618, 1.55159, 2, 0, 2022-11-25.17:28:44, 200
0, 0.574, -2.305, 1.4965, 74.78, 49.93, -58.9, -72.02, 0.555319, -2.4859, 1.55159, 2, 0, 2022-11-25.17:28:44, 204
0, 0.577, -2.283, 1.4863, 75.7, 47.16, -60.74, -73.63, 0.55458, -2.48516, 1.55159, 2, 0, 2022-11-25.17:28:44, 205
0, 0.584, -2.238, 1.4746, 76.39, 54.3, -52, -75.93, 0.554237, -2.48481, 1.55159, 2, 0, 2022-11-25.17:28:44, 209
0, 0.591, -2.203, 1.4596, 75.47, 54.99, -60.28, -74.55, 0.55543, -2.47463, 1.5286, 2, 0, 2022-11-25.17:28:44, 211
0, 0.593, -2.192, 1.4569, 75.7, 54.99, -60.51, -75.24, 0.555834, -2.47073, 1.5286, 2, 0, 2022-11-25.17:28:44, 212
0, 0.597, -2.169, 1.4477, 75.93, 52.92, -57.06, -75.24, 0.555984, -2.46798, 1.5286, 2, 0, 2022-11-25.17:28:44, 214
0, 0.602, -2.146, 1.4414, 75.47, 53.84, -58.9, -74.78, 0.55618, -2.46439, 1.5286, 2, 0, 2022-11-25.17:28:44, 215
0, 0.607, -2.123, 1.4358, 75.7, 55.22, -61.66, -70.17, 0.556331, -2.46162, 1.5286, 2, 0, 2022-11-25.17:28:44, 217
0, 0.61, -2.102, 1.4208, 66.49, 53.38, -58.67, -50.39, 0.558488, -2.45044, 1.48531, 2, 0, 2022-11-25.17:28:44, 219
0, 0.615, -2.072, 1.3933, 66.03, 56.83, -61.43, -57.98, 0.559298, -2.44393, 1.48531, 2, 0, 2022-11-25.17:28:44, 221
0, 0.62, -2.05, 1.3743, 68.33, 54.07, -66.95, -65.11, 0.559937, -2.4388, 1.48531, 2, 0, 2022-11-25.17:28:44, 223
0, 0.627, -2.017, 1.363, 69.94, 51.31, -68.1, -69.02, 0.560623, -2.43422, 1.48531, 2, 0, 2022-11-25.17:28:44, 225
0, 0.63, -2.007, 1.3635, 69.71, 53.84, -59.36, -68.56, 0.561391, -2.42829, 1.48531, 2, 0, 2022-11-25.17:28:44, 226
0, 0.633, -1.996, 1.3595, 69.48, 54.76, -55.45, -65.57, 0.561988, -2.42369, 1.48531, 2, 0, 2022-11-25.17:28:44, 227
0, 0.639, -1.976, 1.3406, 70.63, 53.38, -54.76, -60.51, 0.563054, -2.40477, 1.45538, 2, 0, 2022-11-25.17:28:44, 229
0, 0.651, -1.934, 1.3041, 70.4, 54.53, -66.03, -64.19, 0.563872, -2.39605, 1.45538, 2, 0, 2022-11-25.17:28:44, 232
0, 0.657, -1.913, 1.2939, 65.8, 55.22, -68.33, -62.81, 0.564541, -2.38893, 1.45538, 2, 0, 2022-11-25.17:28:44, 234
0, 0.663, -1.892, 1.2898, 66.49, 55.22, -65.8, -62.35, 0.563225, -2.40193, 1.45538, 2, 0, 2022-11-25.17:28:44, 235
0, 0.667, -1.882, 1.2862, 67.41, 53.15, -61.43, -61.66, 0.574246, -2.3537, 1.36421, 2, 0, 2022-11-25.17:28:44, 236
0, 0.67, -1.872, 1.2812, 69.25, 52.46, -57.75, -61.43, 0.577346, -2.33893, 1.36421, 2, 0, 2022-11-25.17:28:44, 237
0, 0.684, -1.831, 1.2547, 73.4, 57.52, -63.04, -63.96, 0.580021, -2.32904, 1.36421, 2, 0, 2022-11-25.17:28:44, 240
0, 0.692, -1.81, 1.2451, 68.79, 57.98, -67.87, -66.26, 0.583094, -2.31516, 1.36421, 2, 0, 2022-11-25.17:28:44, 242
0, 0.706, -1.768, 1.2467, 69.94, 49.24, -63.27, -59.82, 0.586184, -2.3012, 1.36421, 2, 0, 2022-11-25.17:28:44, 245
0, 0.709, -1.758, 1.2462, 71.1, 48.55, -60.28, -58.44, 0.600328, -2.24977, 1.29195, 2, 0, 2022-11-25.17:28:44, 246
0, 0.716, -1.738, 1.2413, 75.24, 49.01, -59.36, -58.67, 0.606214, -2.22619, 1.29195, 2, 0, 2022-11-25.17:28:44, 248
0, 0.725, -1.707, 1.2305, 77.54, 48.78, -65.11, -57.52, 0.612074, -2.20272, 1.29195, 2, 0, 2022-11-25.17:28:44, 250
0, 0.728, -1.696, 1.2276, 75.93, 48.32, -66.95, -57.52, 0.605658, -2.22903, 1.29195, 2, 0, 2022-11-25.17:28:44, 251
0, 0.731, -1.686, 1.2253, 73.17, 45.09, -66.72, -57.06, 0.608123, -2.21932, 1.29195, 2, 0, 2022-11-25.17:28:44, 252
0, 0.743, -1.646, 1.2276, 69.02, 43.48, -62.35, -55.45, 0.615986, -2.19433, 1.24319, 2, 0, 2022-11-25.17:28:44, 255
0, 0.745, -1.636, 1.2288, 69.71, 43.25, -63.5, -54.76, 0.617153, -2.19133, 1.24319, 2, 0, 2022-11-25.17:28:44, 0
0, 0.751, -1.616, 1.2316, 75.47, 43.25, -66.26, -54.76, 0.622961, -2.17132, 1.24319, 2, 0, 2022-11-25.17:28:44, 2
0, 0.766, -1.555, 1.2377, 69.02, 42.56, -60.05, -52.46, 0.632732, -2.13967, 1.21945, 2, 0, 2022-11-25.17:28:45, 7
0, 0.773, -1.526, 1.2439, 70.86, 41.18, -64.42, -52.92, 0.637975, -2.12215, 1.21945, 2, 0, 2022-11-25.17:28:45, 9
0, 0.778, -1.506, 1.2508, 72.94, 40.95, -66.49, -51.54, 0.642181, -2.10809, 1.21945, 2, 0, 2022-11-25.17:28:45, 11
0, 0.779, -1.496, 1.2547, 73.4, 40.72, -65.8, -51.54, 0.649269, -2.08426, 1.21945, 2, 0, 2022-11-25.17:28:45, 12
0, 0.786, -1.466, 1.2666, 72.48, 42.56, -60.74, -52.69, 0.653802, -2.06908, 1.21945, 2, 0, 2022-11-25.17:28:45, 14
0, 0.791, -1.446, 1.272, 73.4, 41.41, -60.51, -52.23, 0.664597, -2.02453, 1.22817, 2, 0, 2022-11-25.17:28:45, 16
0, 0.795, -1.426, 1.2785, 76.16, 40.72, -65.11, -50.62, 0.666613, -2.01496, 1.22817, 2, 0, 2022-11-25.17:28:45, 18
0, 0.798, -1.406, 1.2857, 75.93, 39.34, -66.49, -49.7, 0.670978, -1.99854, 1.22817, 2, 0, 2022-11-25.17:28:45, 19
0, 0.801, -1.386, 1.2962, 72.25, 40.72, -67.41, -48.55, 0.676405, -1.97814, 1.22817, 2, 0, 2022-11-25.17:28:45, 21
0, 0.802, -1.376, 1.3019, 71.33, 41.41, -66.95, -48.09, 0.683388, -1.95782, 1.24269, 2, 0, 2022-11-25.17:28:45, 22
0, 0.803, -1.366, 1.3091, 72.71, 36.58, -66.26, -49.93, 0.690967, -1.93115, 1.24269, 2, 0, 2022-11-25.17:28:45, 23
0, 0.808, -1.306, 1.3394, 75.7, 31.29, -64.19, -45.09, 0.695324, -1.91582, 1.24269, 2, 0, 2022-11-25.17:28:45, 28
0, 0.809, -1.277, 1.3449, 71.33, 31.52, -65.57, -44.86, 0.695725, -1.90398, 1.29207, 2, 0, 2022-11-25.17:28:45, 30
0, 0.809, -1.267, 1.3485, 70.17, 32.21, -65.57, -45.32, 0.700258, -1.88547, 1.29207, 2, 0, 2022-11-25.17:28:45, 31
0, 0.81, -1.248, 1.3599, 69.71, 31.06, -65.34, -46.01, 0.703945, -1.87043, 1.29207, 2, 0, 2022-11-25.17:28:45, 33
0, 0.81, -1.229, 1.3751, 71.56, 29.91, -65.57, -46.01, 0.708696, -1.84748, 1.29207, 2, 0, 2022-11-25.17:28:45, 34
0, 0.81, -1.199, 1.403, 74.09, 38.19, -61.89, -44.4, 0.714149, -1.81142, 1.33411, 2, 0, 2022-11-25.17:28:45, 37
0, 0.81, -1.17, 1.4182, 75.47, 34.51, -57.52, -43.94, 0.719236, -1.786, 1.33411, 2, 0, 2022-11-25.17:28:45, 39
0, 0.81, -1.161, 1.4197, 75.7, 34.97, -59.36, -43.94, 0.71879, -1.7835, 1.33411, 2, 0, 2022-11-25.17:28:45, 40
0, 0.81, -1.151, 1.422, 72.48, 34.05, -61.66, -43.94, 0.721734, -1.76777, 1.33411, 2, 0, 2022-11-25.17:28:45, 41
0, 0.808, -1.113, 1.4477, 72.25, 32.44, -66.03, -44.4, 0.724708, -1.74549, 1.35566, 2, 0, 2022-11-25.17:28:45, 44
0, 0.807, -1.103, 1.4583, 73.86, 32.9, -66.72, -45.09, 0.726341, -1.73448, 1.35566, 2, 0, 2022-11-25.17:28:45, 45
0, 0.805, -1.073, 1.4854, 76.62, 40.72, -60.51, -46.47, 0.72866, -1.72059, 1.35566, 2, 0, 2022-11-25.17:28:45, 48
0, 0.804, -1.053, 1.495, 74.09, 40.49, -61.43, -46.01, 0.731615, -1.70289, 1.35566, 2, 0, 2022-11-25.17:28:45, 49
0, 0.804, -1.043, 1.5013, 73.17, 39.8, -62.81, -45.09, 0.726408, -1.73303, 1.35566, 2, 0, 2022-11-25.17:28:45, 50
0, 0.803, -1.034, 1.5085, 74.78, 39.57, -63.04, -45.55, 0.731956, -1.66725, 1.4388, 2, 0, 2022-11-25.17:28:45, 51
0, 0.801, -1.014, 1.5211, 76.85, 38.42, -64.42, -45.09, 0.734086, -1.64616, 1.4388, 2, 0, 2022-11-25.17:28:45, 53
0, 0.797, -0.975, 1.5457, 71.1, 38.65, -60.74, -46.24, 0.734189, -1.63717, 1.4388, 2, 0, 2022-11-25.17:28:45, 56
0, 0.794, -0.955, 1.5575, 71.79, 40.26, -64.65, -45.09, 0.735817, -1.6188, 1.4388, 2, 0, 2022-11-25.17:28:45, 58
0, 0.79, -0.926, 1.5776, 74.78, 40.72, -66.72, -45.55, 0.734738, -1.58384, 1.49994, 2, 0, 2022-11-25.17:28:45, 60
0, 0.788, -0.916, 1.5843, 77.31, 39.57, -66.72, -45.55, 0.734049, -1.57, 1.49994, 2, 0, 2022-11-25.17:28:45, 61
0, 0.782, -0.875, 1.6168, 73.86, 42.33, -60.28, -49.47, 0.734474, -1.55163, 1.49994, 2, 0, 2022-11-25.17:28:45, 64
0, 0.779, -0.856, 1.6275, 70.17, 44.63, -60.05, -49.24, 0.734817, -1.53685, 1.49994, 2, 0, 2022-11-25.17:28:45, 66
0, 0.778, -0.846, 1.6376, 70.4, 44.4, -61.89, -50.62, 0.732579, -1.52058, 1.54484, 2, 0, 2022-11-25.17:28:45, 67
0, 0.773, -0.815, 1.6621, 75.47, 44.17, -65.34, -53.15, 0.732414, -1.50618, 1.54484, 2, 0, 2022-11-25.17:28:45, 69
0, 0.769, -0.794, 1.6794, 74.78, 45.78, -63.73, -55.45, 0.732207, -1.48821, 1.54484, 2, 0, 2022-11-25.17:28:45, 71
0, 0.767, -0.784, 1.6878, 74.78, 45.55, -57.52, -56.14, 0.732287, -1.51884, 1.54484, 2, 0, 2022-11-25.17:28:45, 72
0, 0.765, -0.774, 1.6946, 75.24, 45.55, -54.53, -55.91, 0.726704, -1.46117, 1.63676, 2, 0, 2022-11-25.17:28:45, 73
0, 0.759, -0.733, 1.7042, 72.02, 43.48, -60.74, -59.13, 0.725135, -1.44223, 1.63676, 2, 0, 2022-11-25.17:28:45, 76
0, 0.755, -0.712, 1.7113, 72.02, 43.48, -64.65, -62.35, 0.723892, -1.42721, 1.63676, 2, 0, 2022-11-25.17:28:45, 78
0, 0.749, -0.68, 1.7252, 72.94, 44.4, -65.34, -62.58, 0.72138, -1.40666, 1.63676, 2, 0, 2022-11-25.17:28:45, 80
0, 0.747, -0.67, 1.7287, 72.94, 44.86, -63.04, -62.12, 0.715246, -1.37062, 1.69632, 2, 0, 2022-11-25.17:28:45, 81
0, 0.745, -0.659, 1.7309, 73.86, 45.55, -60.51, -62.35, 0.712656, -1.35661, 1.69632, 2, 0, 2022-11-25.17:28:45, 82
0, 0.737, -0.606, 1.73, 73.17, 47.63, -60.51, -70.17, 0.710762, -1.34302, 1.69632, 2, 0, 2022-11-25.17:28:45, 86
0, 0.735, -0.595, 1.7291, 74.09, 47.86, -60.05, -71.56, 0.705768, -1.31136, 1.727, 2, 0, 2022-11-25.17:28:45, 87
0, 0.734, -0.583, 1.7282, 73.4, 49.01, -59.82, -74.32, 0.703943, -1.29983, 1.727, 2, 0, 2022-11-25.17:28:45, 88
0, 0.728, -0.528, 1.7175, 68.56, 52.92, -56.37, -68.79, 0.70196, -1.28658, 1.727, 2, 0, 2022-11-25.17:28:45, 92
0, 0.728, -0.518, 1.7123, 67.87, 54.07, -57.29, -70.86, 0.691364, -1.24255, 1.75191, 2, 0, 2022-11-25.17:28:45, 93
