ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, BEHAVIOR, LABEL, TIMESTAMP, PCKT, CHANGE_STATE
0,0.464,-2.705,1.5509,2.53,2.3,-0.92,-0.69,0.464598,-2.70505,1.54635,2,0, 2022-12-15.11:13:17,93,
0,0.464,-2.704,1.5527,2.53,1.61,-0.92,-1.38,0.464506,-2.70505,1.54635,2,0, 2022-12-15.11:13:17,95,
0,0.464,-2.703,1.5542,2.53,2.3,-1.61,-1.38,0.464132,-2.70445,1.54766,2,0, 2022-12-15.11:13:17,97,
0,0.464,-2.703,1.5549,3.45,3.91,-1.84,-2.53,0.46395,-2.7042,1.54766,2,0, 2022-12-15.11:13:17,98,
0,0.464,-2.702,1.5578,4.14,4.37,-2.07,-3.45,0.463773,-2.70401,1.54766,2,0, 2022-12-15.11:13:17,100,
0,0.465,-2.701,1.5596,5.52,4.37,-2.99,-4.83,0.463597,-2.70381,1.54766,2,0, 2022-12-15.11:13:17,102,
0,0.465,-2.698,1.5606,6.9,5.06,-4.14,-5.98,0.46433,-2.70394,1.54793,2,0, 2022-12-15.11:13:17,104,
0,0.465,-2.697,1.5593,8.97,5.29,-5.06,-7.13,0.464503,-2.70387,1.54793,2,0, 2022-12-15.11:13:17,106,
0,0.465,-2.695,1.5559,8.51,6.21,-5.98,-8.74,0.464584,-2.70377,1.54793,2,0, 2022-12-15.11:13:17,108,
0,0.466,-2.692,1.5526,8.74,6.67,-5.75,-9.66,0.464599,-2.70391,1.54793,2,0, 2022-12-15.11:13:17,109,
0,0.466,-2.689,1.5473,9.89,7.82,-6.9,-10.35,0.46513,-2.70266,1.56177,2,0, 2022-12-15.11:13:17,112,
0,0.466,-2.687,1.5456,8.74,8.28,-7.59,-11.04,0.465534,-2.70172,1.56177,2,0, 2022-12-15.11:13:17,113,
0,0.467,-2.685,1.5433,8.28,8.74,-8.28,-11.96,0.465693,-2.70138,1.56177,2,0, 2022-12-15.11:13:17,114,
0,0.469,-2.679,1.5397,12.88,10.81,-7.59,-12.88,0.465981,-2.69959,1.55759,2,0, 2022-12-15.11:13:17,118,
0,0.47,-2.671,1.5328,13.11,11.5,-10.35,-14.49,0.466079,-2.69901,1.55759,2,0, 2022-12-15.11:13:17,122,
0,0.472,-2.665,1.5309,13.57,14.95,-11.27,-16.1,0.466255,-2.69831,1.55759,2,0, 2022-12-15.11:13:17,124,
0,0.472,-2.663,1.5306,14.49,15.87,-11.27,-16.1,0.466395,-2.69775,1.55759,2,0, 2022-12-15.11:13:17,125,
0,0.474,-2.659,1.5279,15.64,15.18,-11.04,-18.63,0.468671,-2.69321,1.54498,2,0, 2022-12-15.11:13:17,127,
0,0.475,-2.652,1.5249,17.02,14.95,-11.73,-19.09,0.469251,-2.69184,1.54498,2,0, 2022-12-15.11:13:17,129,
0,0.476,-2.65,1.5233,17.94,15.87,-11.27,-20.47,0.46999,-2.69009,1.54498,2,0, 2022-12-15.11:13:17,130,
0,0.477,-2.645,1.52,15.87,16.56,-12.42,-20.47,0.471221,-2.68758,1.54498,2,0, 2022-12-15.11:13:17,132,
0,0.479,-2.638,1.5159,18.4,17.25,-14.26,-20.01,0.473634,-2.68048,1.53192,2,0, 2022-12-15.11:13:17,134,
0,0.481,-2.633,1.5138,20.24,18.63,-14.26,-21.62,0.475017,-2.67685,1.53192,2,0, 2022-12-15.11:13:17,136,
0,0.482,-2.628,1.5112,18.17,18.4,-14.72,-21.85,0.47502,-2.67641,1.53192,2,0, 2022-12-15.11:13:17,138,
0,0.484,-2.623,1.5103,17.94,18.4,-14.26,-21.85,0.476064,-2.67354,1.53192,2,0, 2022-12-15.11:13:17,139,
0,0.484,-2.62,1.5103,17.48,19.55,-14.03,-21.85,0.478459,-2.66785,1.51976,2,0, 2022-12-15.11:13:17,140,
0,0.487,-2.612,1.5105,19.55,22.31,-16.1,-23.7,0.479279,-2.66589,1.51976,2,0, 2022-12-15.11:13:17,143,
0,0.49,-2.604,1.5105,20.93,22.77,-14.95,-24.39,0.480625,-2.66248,1.51976,2,0, 2022-12-15.11:13:17,145,
0,0.491,-2.601,1.5101,20.24,22.31,-14.49,-25.08,0.481683,-2.6598,1.51976,2,0, 2022-12-15.11:13:17,146,
0,0.493,-2.595,1.51,21.62,21.62,-15.18,-25.08,0.48303,-2.65639,1.51976,2,0, 2022-12-15.11:13:17,148,
0,0.496,-2.586,1.5103,23,21.62,-15.18,-25.31,0.486029,-2.6478,1.51248,2,0, 2022-12-15.11:13:17,150,
0,0.497,-2.583,1.5092,23.23,22.31,-15.18,-26,0.487513,-2.64385,1.51248,2,0, 2022-12-15.11:13:17,151,
0,0.498,-2.58,1.5081,24.39,21.85,-16.1,-25.31,0.489352,-2.63895,1.51248,2,0, 2022-12-15.11:13:17,152,
0,0.501,-2.567,1.5047,23.93,24.62,-17.48,-26,0.491571,-2.63274,1.51248,2,0, 2022-12-15.11:13:17,155,
0,0.503,-2.561,1.5025,20.93,25.08,-18.4,-27.61,0.495193,-2.62202,1.50759,2,0, 2022-12-15.11:13:17,157,
0,0.507,-2.551,1.5031,21.62,26,-17.94,-28.99,0.49772,-2.61492,1.50759,2,0, 2022-12-15.11:13:17,159,
0,0.508,-2.548,1.5036,22.54,26.69,-17.71,-28.53,0.498066,-2.61364,1.50759,2,0, 2022-12-15.11:13:17,160,
0,0.509,-2.545,1.504,23,26.46,-16.56,-28.76,0.500919,-2.60551,1.50759,2,0, 2022-12-15.11:13:17,161,
0,0.511,-2.541,1.5034,23.46,25.77,-17.02,-28.3,0.503858,-2.59758,1.51587,2,0, 2022-12-15.11:13:17,162,
0,0.515,-2.528,1.5008,23.7,25.31,-17.94,-28.3,0.505022,-2.5944,1.51587,2,0, 2022-12-15.11:13:17,165,
0,0.517,-2.525,1.5004,23.23,26.46,-17.48,-28.76,0.506634,-2.5899,1.51587,2,0, 2022-12-15.11:13:17,166,
