ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, BEHAVIOR, LABEL, TIMESTAMP, PCKT
0, 0.569, -2.514, 1.5999, 0, 0, 0, 0, 0.57028, -2.51811, 1.60207, 2, 0, 844432, 234
0, 0.569, -2.514, 1.5999, 0, 0, 0, 0, 0.570028, -2.51816, 1.60207, 2, 0, 844443, 236
0, 0.569, -2.514, 1.5999, 0, 0, 0, 0, 0.570685, -2.51842, 1.60289, 2, 0, 844454, 238
0, 0.569, -2.514, 1.5999, 0, 0, 0, 0, 0.570648, -2.51853, 1.60289, 2, 0, 844461, 239
0, 0.569, -2.514, 1.5999, 0, 0, 0, 0, 0.570611, -2.51864, 1.60289, 2, 0, 844473, 241
0, 0.569, -2.514, 1.5999, 0, 0, 0, 0, 0.571232, -2.5184, 1.60488, 2, 0, 844484, 243
0, 0.569, -2.514, 1.5999, 0.23, 0, 0, 0, 0.571375, -2.51841, 1.60488, 2, 0, 844495, 244
0, 0.569, -2.513, 1.5996, 1.38, 0.92, -2.76, -1.15, 0.57149, -2.51841, 1.60488, 2, 0, 844507, 247
0, 0.569, -2.513, 1.599, 1.61, 0.92, -2.3, -1.61, 0.57154, -2.51811, 1.60488, 2, 0, 844514, 248
0, 0.569, -2.513, 1.5985, 1.61, 1.38, -2.07, -1.38, 0.57111, -2.51784, 1.61053, 2, 0, 844521, 249
0, 0.569, -2.512, 1.5973, 1.38, 1.15, -1.38, -2.07, 0.570769, -2.51756, 1.61053, 2, 0, 844547, 253
0, 0.569, -2.511, 1.5967, 2.3, 1.84, -1.84, -2.99, 0.570684, -2.51745, 1.61053, 2, 0, 844557, 255
0, 0.569, -2.51, 1.5964, 3.22, 2.76, -2.76, -3.68, 0.570963, -2.51755, 1.60234, 2, 0, 844563, 0
0, 0.569, -2.509, 1.5964, 4.14, 2.99, -3.45, -4.37, 0.571106, -2.51764, 1.60234, 2, 0, 844579, 2
0, 0.569, -2.507, 1.5948, 5.98, 4.83, -4.83, -6.9, 0.571138, -2.51762, 1.60234, 2, 0, 844591, 5
0, 0.569, -2.506, 1.5943, 6.21, 4.37, -5.29, -7.59, 0.571503, -2.5179, 1.60536, 2, 0, 844598, 6
0, 0.569, -2.504, 1.593, 7.59, 5.29, -6.44, -8.05, 0.571609, -2.51795, 1.60536, 2, 0, 844611, 8
0, 0.569, -2.502, 1.5914, 8.05, 5.75, -6.67, -8.97, 0.57171, -2.51804, 1.60536, 2, 0, 844616, 9
0, 0.569, -2.501, 1.5902, 8.05, 6.44, -6.9, -9.2, 0.571836, -2.51811, 1.60536, 2, 0, 844623, 10
0, 0.57, -2.498, 1.5876, 8.74, 6.9, -8.05, -10.35, 0.57143, -2.5153, 1.61007, 2, 0, 844641, 12
0, 0.57, -2.492, 1.5834, 12.42, 8.74, -8.74, -13.34, 0.571301, -2.51424, 1.61007, 2, 0, 844653, 15
0, 0.57, -2.491, 1.5826, 13.34, 8.28, -9.2, -12.42, 0.572172, -2.50953, 1.59671, 2, 0, 844671, 16
0, 0.571, -2.482, 1.57, 16.1, 11.96, -13.34, -15.18, 0.572474, -2.50805, 1.59671, 2, 0, 844682, 20
0, 0.571, -2.48, 1.5677, 16.79, 13.57, -14.03, -16.33, 0.572751, -2.50623, 1.59671, 2, 0, 844694, 21
0, 0.571, -2.471, 1.5586, 17.25, 12.19, -14.26, -17.71, 0.573021, -2.50445, 1.59671, 2, 0, 844705, 24
0, 0.572, -2.466, 1.5552, 18.86, 17.48, -16.56, -19.32, 0.57238, -2.49956, 1.58981, 2, 0, 844717, 26
0, 0.572, -2.464, 1.5535, 19.09, 18.17, -16.79, -20.01, 0.572422, -2.49683, 1.58981, 2, 0, 844726, 27
0, 0.573, -2.456, 1.5463, 18.63, 16.79, -17.48, -21.39, 0.572454, -2.49467, 1.58981, 2, 0, 844737, 29
0, 0.574, -2.453, 1.5463, 19.32, 17.71, -17.02, -23.23, 0.572318, -2.49723, 1.58981, 2, 0, 844742, 30
0, 0.575, -2.447, 1.5463, 22.77, 20.01, -17.02, -24.85, 0.573299, -2.49132, 1.56777, 2, 0, 844753, 32
0, 0.576, -2.438, 1.545, 23.93, 18.63, -17.94, -26.23, 0.573445, -2.48985, 1.56777, 2, 0, 844767, 34
0, 0.578, -2.428, 1.5447, 25.08, 22.31, -21.16, -23, 0.575844, -2.48033, 1.55295, 2, 0, 844788, 37
0, 0.578, -2.425, 1.5437, 24.85, 20.24, -20.7, -24.62, 0.576451, -2.47735, 1.55295, 2, 0, 844795, 38
0, 0.579, -2.418, 1.5403, 26.92, 20.93, -21.16, -26, 0.577234, -2.4735, 1.55295, 2, 0, 844809, 39
0, 0.581, -2.403, 1.5366, 32.21, 24.16, -24.62, -27.84, 0.57779, -2.47203, 1.55295, 2, 0, 844821, 43
0, 0.582, -2.391, 1.5274, 31.06, 23.7, -25.77, -27.84, 0.579328, -2.46372, 1.54864, 2, 0, 844832, 45
0, 0.582, -2.383, 1.5211, 30.83, 23.93, -26.46, -31.52, 0.580303, -2.45897, 1.54864, 2, 0, 844843, 47
0, 0.583, -2.379, 1.5192, 30.6, 26.46, -27.84, -32.44, 0.580328, -2.45831, 1.54864, 2, 0, 844850, 48
0, 0.585, -2.367, 1.5151, 32.44, 26.23, -27.38, -34.51, 0.581597, -2.44749, 1.54748, 2, 0, 844862, 50
0, 0.586, -2.358, 1.5141, 33.36, 28.07, -27.84, -33.13, 0.582547, -2.44132, 1.54748, 2, 0, 844873, 52
0, 0.588, -2.345, 1.5104, 34.97, 26.92, -28.07, -33.13, 0.582624, -2.43956, 1.54748, 2, 0, 844885, 54
0, 0.589, -2.34, 1.5083, 36.81, 27.15, -28.76, -34.28, 0.583372, -2.43435, 1.54748, 2, 0, 844892, 55
