X, Y, Z, Vx, Vy, Vz, T
9.803521314566235878e-01, -2.445920622761520224e+00, 1.011072094793804013e+02, 4.979624421826684411e-01, -2.497879890902988453e+00, 1.689273653583273000e+00, 7.216081619262695312e+00
6.340329215801614460e-01, -2.525707564116621562e+00, 1.070798898646475692e+02, 4.990932759324717694e-01, -2.497066469541783906e+00, 1.684397555516632172e+00, 7.259069204330444336e+00
5.478268179033106700e-01, -2.421460032710951005e+00, 9.734159646942171662e+01, 4.982048848760933790e-01, -2.495844716073540415e+00, 1.682467089804827953e+00, 7.302117347717285156e+00
5.379558566779488737e-01, -2.380607077181361664e+00, 9.397765542927547244e+01, 4.986803245218805469e-01, -2.490742266400541638e+00, 1.670792328439795416e+00, 7.347158670425415039e+00
5.346739671585288844e-01, -2.341018558982439934e+00, 9.474337337313207286e+01, 5.000000000000000000e-01, -2.490000000000000213e+00, 1.644700000000000051e+00, 7.392858028411865234e+00
5.325204610776916869e-01, -2.312444293885041358e+00, 9.293679498442104148e+01, 5.018613040529322777e-01, -2.479300223693627014e+00, 1.624477256454878615e+00, 7.437724351882934570e+00
5.313487634281424121e-01, -2.294217268295191126e+00, 9.276954739814290463e+01, 5.058118592209482900e-01, -2.463049207746846658e+00, 1.617013666501123437e+00, 7.480486631393432617e+00
5.292430314326467267e-01, -2.274105730165594252e+00, 9.199317169654270288e+01, 5.069539692895470573e-01, -2.440889624260674129e+00, 1.597940173816337239e+00, 7.522790431976318359e+00
5.294521585180805845e-01, -2.219623256420646840e+00, 9.108255000120486500e+01, 5.115234663999186360e-01, -2.424646117023380842e+00, 1.564780565286481906e+00, 7.564629793167114258e+00
5.299965582143455478e-01, -2.167208079916413066e+00, 9.011931899995970241e+01, 5.188486517067505410e-01, -2.399590281779181211e+00, 1.551288171324176624e+00, 7.606878042221069336e+00
5.318387760169070999e-01, -2.125378963771181517e+00, 8.966368239340924617e+01, 5.290000000000000258e-01, -2.378000000000000114e+00, 1.538799999999999946e+00, 7.648088216781616211e+00
5.297919400034045712e-01, -2.087325779329130881e+00, 8.980906699451088571e+01, 5.352114598416183311e-01, -2.344984320557452762e+00, 1.526126997330259583e+00, 7.690058946609497070e+00
5.302133911093500629e-01, -2.029797667095324609e+00, 9.059492447591712505e+01, 5.423986713074816501e-01, -2.308153473620547125e+00, 1.512778814807780314e+00, 7.733139038085937500e+00
5.301221823014325985e-01, -1.969523084859788886e+00, 9.106587251051773535e+01, 5.431167431344113838e-01, -2.267769935250546709e+00, 1.525107712406913896e+00, 7.774929285049438477e+00
5.288970152565204419e-01, -1.933735537311808361e+00, 9.097912745152301284e+01, 5.597595722625996473e-01, -2.219309251316010645e+00, 1.511719101091302919e+00, 7.817094802856445312e+00
5.330381001641103511e-01, -1.877860930070907930e+00, 9.064132836857716313e+01, 5.647390279630749577e-01, -2.182897745490974817e+00, 1.517668753413776939e+00, 7.859289407730102539e+00
5.412815523609662005e-01, -1.832984443894213555e+00, 9.119055360097355845e+01, 5.681491211251253892e-01, -2.153653883901663235e+00, 1.535414150570428626e+00, 7.901198387145996094e+00
5.462150928976442499e-01, -1.781539204691030776e+00, 9.013673226649892456e+01, 5.767633962298440720e-01, -2.110043633018862774e+00, 1.542024498402243093e+00, 7.943421840667724609e+00
5.488176168727287862e-01, -1.737177168124703464e+00, 8.838499006300064309e+01, 5.778352391883080363e-01, -2.071233604143241092e+00, 1.538245437530603388e+00, 7.987253189086914062e+00
5.482200500609152316e-01, -1.693529643956529940e+00, 8.854088513568125052e+01, 5.785343500334979572e-01, -2.033305916834533100e+00, 1.553080726708933934e+00, 8.029572486877441406e+00
5.357410064510527148e-01, -1.667685523018820337e+00, 8.789650741611175988e+01, 5.835901011580344466e-01, -1.985380255599069610e+00, 1.537244439668028262e+00, 8.071894407272338867e+00
5.328227516154133703e-01, -1.638600992004599410e+00, 8.691255446880120417e+01, 5.801741279415598695e-01, -1.945463624164725625e+00, 1.546021670303800555e+00, 8.113834381103515625e+00
5.313154388034047049e-01, -1.622093628393390441e+00, 8.992599207072417755e+01, 5.859999999999999654e-01, -1.903999999999999915e+00, 1.550400000000000000e+00, 8.156736135482788086e+00
5.260523649086921161e-01, -1.588210559486306295e+00, 8.871184542173038778e+01, 5.848332539351648318e-01, -1.863821046480878207e+00, 1.553171283297650307e+00, 8.198935270309448242e+00
5.260931116492680859e-01, -1.550859061450661436e+00, 8.887040822420452457e+01, 5.842453778477378901e-01, -1.817211992613004368e+00, 1.560642828863608056e+00, 8.241292476654052734e+00
5.185951620345140567e-01, -1.524706294808578333e+00, 8.842464630252993629e+01, 5.847185365803527768e-01, -1.786083788388260318e+00, 1.558500195550924117e+00, 8.284086227416992188e+00
5.021058172652228535e-01, -1.500705640414379705e+00, 8.798948499048434257e+01, 5.820840756708345332e-01, -1.743109389216987770e+00, 1.570061676167056719e+00, 8.326515197753906250e+00
5.110861140252744850e-01, -1.446281342633563449e+00, 8.852588368793402651e+01, 5.820027643277274620e-01, -1.699203465437965521e+00, 1.571740169855758484e+00, 8.369064807891845703e+00
5.035319215338741605e-01, -1.427999670638248064e+00, 8.776139743647337355e+01, 5.829999999999999627e-01, -1.665000000000000036e+00, 1.556499999999999995e+00, 8.412482023239135742e+00
5.020187738923471699e-01, -1.389515368861282907e+00, 8.778347443153067786e+01, 5.828952564924265722e-01, -1.627992458159817746e+00, 1.563599900152719435e+00, 8.454576015472412109e+00
4.916150201908102702e-01, -1.361889277999936088e+00, 8.762014599184115582e+01, 5.825687300414623682e-01, -1.580982445732923125e+00, 1.561888256543636277e+00, 8.497238159179687500e+00
4.915736635779970887e-01, -1.324081456292207637e+00, 8.756905406277985549e+01, 5.878174990276724410e-01, -1.548017128173172718e+00, 1.562169833774243788e+00, 8.539184331893920898e+00
4.885766845521689050e-01, -1.285176883395945824e+00, 8.746832753445514186e+01, 5.865131318153238293e-01, -1.505281154194094029e+00, 1.571074016302005605e+00, 8.581633329391479492e+00
4.849346149050661192e-01, -1.249294313029038817e+00, 8.767365090488962664e+01, 5.868573550809423889e-01, -1.451280867034030475e+00, 1.577512788006982136e+00, 8.624100446701049805e+00
4.834936499513399211e-01, -1.230536144724907910e+00, 8.754895616032901273e+01, 5.899999999999999689e-01, -1.413000000000000034e+00, 1.567199999999999926e+00, 8.666702747344970703e+00
4.755924037793727299e-01, -1.196103940478912886e+00, 8.735744127764864686e+01, 5.887971708577269814e-01, -1.380068654969209829e+00, 1.575502978189981862e+00, 8.708944797515869141e+00
4.755608999748891508e-01, -1.162963908703908533e+00, 8.741360960866278162e+01, 5.888168802355874254e-01, -1.341088651404172438e+00, 1.576244855589803207e+00, 8.751327514648437500e+00
4.780606184201750541e-01, -1.117570408988931563e+00, 8.731731749244713114e+01, 5.905642075445826089e-01, -1.295638073719892924e+00, 1.573805619209837969e+00, 8.793824195861816406e+00
4.779317944500348081e-01, -1.074294222198070248e+00, 8.711462512895579380e+01, 5.862136966551583228e-01, -1.252439839069695582e+00, 1.584054907300332715e+00, 8.835930347442626953e+00
4.816138490216972934e-01, -1.035927983418119425e+00, 8.709683737999901609e+01, 5.871735767378244431e-01, -1.210636374304781659e+00, 1.573985845266737682e+00, 8.877995491027832031e+00
4.810578686919332880e-01, -9.986362311411490778e-01, 8.685183334119783183e+01, 5.848668675311077259e-01, -1.172947263178598876e+00, 1.585145138721498759e+00, 8.920441150665283203e+00
4.927350229480608745e-01, -1.045290027608306582e+00, 8.799217263136887368e+01, 5.879774306703685616e-01, -1.139989738020880550e+00, 1.570088427016580912e+00, 8.962847232818603516e+00
4.923394069076654223e-01, -1.007174962581950828e+00, 8.747801006618534814e+01, 5.867286794206550971e-01, -1.090916994319433897e+00, 1.572349005582037940e+00, 9.004905223846435547e+00
4.921296417515341748e-01, -9.691758337869333939e-01, 8.713435799582872221e+01, 5.861797597258840975e-01, -1.043862400189764283e+00, 1.576443636183734842e+00, 9.047214746475219727e+00
5.261367270283161535e-01, -9.797256371967969502e-01, 8.885865060842479579e+01, 5.859547791888872759e-01, -1.001541082679996642e+00, 1.584535181753781607e+00, 9.089401960372924805e+00
5.373619832055273049e-01, -9.454701305190129634e-01, 8.741568503885892483e+01, 5.876675320895434762e-01, -9.712784517892245617e-01, 1.581588488558698824e+00, 9.131335735321044922e+00
5.398178685792920373e-01, -9.044625003967891042e-01, 8.689938721861969384e+01, 5.896399024164806768e-01, -9.252189466383314853e-01, 1.574707694946776870e+00, 9.173607826232910156e+00
5.405407147130634193e-01, -8.536193983377672323e-01, 8.682717969491548615e+01, 5.948867493742585610e-01, -8.920311824074583784e-01, 1.560213015279116266e+00, 9.216275930404663086e+00
5.344020235504394201e-01, -7.961704300457093098e-01, 8.682824200419696581e+01, 5.947646258152312626e-01, -8.519160100464877594e-01, 1.561484900750013782e+00, 9.259990215301513672e+00
5.381964235091009074e-01, -7.678113057526766427e-01, 8.681236865342587805e+01, 5.995275311914869398e-01, -8.086612936361451398e-01, 1.555818025070037303e+00, 9.302350521087646484e+00
5.386542540586870542e-01, -7.345523992516134193e-01, 8.725390494843627209e+01, 6.012775193696897613e-01, -7.616594884184296754e-01, 1.547986256575887287e+00, 9.344926357269287109e+00
5.407799715014866004e-01, -7.026851948433703310e-01, 8.704623154116298167e+01, 6.019339871117532770e-01, -7.286513383118431442e-01, 1.554068331881265808e+00, 9.387175321578979492e+00
5.474926771750655563e-01, -6.737140725858328238e-01, 8.701954114755537262e+01, 6.109999999999999876e-01, -6.840000000000000524e-01, 1.572000000000000064e+00, 9.429322719573974609e+00
5.467498218768213070e-01, -6.361451060744168773e-01, 8.677822184313424714e+01, 6.124708379719272511e-01, -6.401277708552355339e-01, 1.575477861678882041e+00, 9.471404314041137695e+00
5.363677237034677470e-01, -6.560543699504428616e-01, 8.757436198231550861e+01, 6.139162043460011375e-01, -5.979393126132207525e-01, 1.571578058539331302e+00, 9.513432741165161133e+00
5.641590899961833605e-01, -5.923972414577569623e-01, 8.424148849757953883e+01, 6.163802608063737587e-01, -5.679863381713996517e-01, 1.579797657998476268e+00, 9.556412696838378906e+00
5.681932482940882378e-01, -5.568643304124559767e-01, 8.427437733193042391e+01, 6.167717833426115126e-01, -5.200584531793943643e-01, 1.582284699255231741e+00, 9.598291635513305664e+00
5.699760127288420186e-01, -5.134537202326330263e-01, 8.432833906993596429e+01, 6.136374672317395085e-01, -4.939042657245244494e-01, 1.571686117098541446e+00, 9.640217304229736328e+00
5.731463375839173091e-01, -4.614047481887438296e-01, 8.562048898146882436e+01, 6.087419289068569661e-01, -4.769622351015365136e-01, 1.575199999999999934e+00, 9.682277679443359375e+00
5.742231054866532292e-01, -4.285108609685079895e-01, 8.565344702377210240e+01, 6.097567327195776432e-01, -4.379574196662275876e-01, 1.575198263196702753e+00, 9.724155187606811523e+00
5.745897690460056717e-01, -3.966947473423867443e-01, 8.507211194430428236e+01, 6.092065414153348124e-01, -3.942587462265759179e-01, 1.584284165054869131e+00, 9.766523361206054688e+00
5.629861850605865081e-01, -3.578497663414733632e-01, 8.769432080093132242e+01, 6.094697048717170329e-01, -3.547150204335338675e-01, 1.583908170376475466e+00, 9.808674335479736328e+00
5.614678580247275397e-01, -3.339753613151927314e-01, 8.802353709114200342e+01, 6.086948282586243097e-01, -3.114335485954304317e-01, 1.574807549864770673e+00, 9.850258588790893555e+00
5.651048118588818392e-01, -2.955205579012266104e-01, 8.772553842059579665e+01, 6.069093118203970905e-01, -2.778636878056747750e-01, 1.587098258943300033e+00, 9.892129898071289062e+00
5.612923444913539006e-01, -2.651659824524595921e-01, 8.794860614913336860e+01, 6.069999999999999840e-01, -2.340000000000000135e-01, 1.573600000000000110e+00, 9.934120893478393555e+00
5.612194137075383615e-01, -2.211949479953444764e-01, 8.806901390158209608e+01, 6.055835497379269405e-01, -1.910854004786494698e-01, 1.579181781443239174e+00, 9.975837230682373047e+00
5.572906899750097454e-01, -1.941301395935438601e-01, 8.771257231400521448e+01, 6.066416373671994489e-01, -1.477900685609990494e-01, 1.577046879971637727e+00, 1.001789999008178711e+01
5.560290934834773990e-01, -1.541764735780029594e-01, 8.762666768506869630e+01, 6.064559399173240495e-01, -1.158623438860194033e-01, 1.575432499560501132e+00, 1.005972290039062500e+01
5.546343811607785668e-01, -1.186300110749645836e-01, 8.767615419520217301e+01, 6.061472323256229533e-01, -7.606284201620945595e-02, 1.586869525390793179e+00, 1.010144042968750000e+01
5.484723067787476980e-01, -7.669022630439571719e-02, 8.866450693435592711e+01, 6.064056779674608100e-01, -2.923939706974542502e-02, 1.579345755680769070e+00, 1.014348340034484863e+01
5.464351392247799311e-01, -3.521876967799156960e-02, 8.853948326335876118e+01, 6.049367070841091820e-01, 1.588133643778066872e-02, 1.581750857675170874e+00, 1.018586945533752441e+01
5.458392074880297207e-01, 2.302509813469697745e-03, 8.834729351680121567e+01, 6.067681560454293299e-01, 4.621024056052815132e-02, 1.583599999999999897e+00, 1.022804021835327148e+01
5.430924554049467723e-01, 3.935291322484869847e-02, 8.814691365852665683e+01, 6.071596341850383771e-01, 9.422437674315142786e-02, 1.572113667882516053e+00, 1.027032089233398438e+01
5.344789284513931094e-01, 7.731203392277091746e-02, 8.873130857792760651e+01, 6.079871573938420148e-01, 1.346584713850641768e-01, 1.575319962361287462e+00, 1.031222963333129883e+01
5.300254006509137472e-01, 1.134834713639393949e-01, 8.879497331304482088e+01, 6.066669191151997653e-01, 1.649377236890396947e-01, 1.589743345741959191e+00, 1.035413861274719238e+01
5.284845877109456413e-01, 1.515661632814027937e-01, 8.880945672707501615e+01, 6.074722521980939760e-01, 2.111738019378674447e-01, 1.582031214572787059e+00, 1.039620685577392578e+01
5.252172907569572224e-01, 1.897214741522610659e-01, 8.875094301696699972e+01, 6.070047161934905011e-01, 2.201092845750432514e-01, 1.574191173179492420e+00, 1.043814420700073242e+01
5.210507128939857457e-01, 2.310511387603806366e-01, 8.864801895743018179e+01, 6.029999999999999805e-01, 2.330000000000000127e-01, 1.567099999999999937e+00, 1.047995233535766602e+01
