X, Y, Z, Vx, Vy, Vz, T
4.979144376177217501e-01, -2.495229019690863304e+00, 9.596462463343415550e+01, 4.979624421826684411e-01, -2.497879890902988453e+00, 1.689273653583273000e+00, 7.216081619262695312e+00
4.984180935987168048e-01, -2.490536642735491135e+00, 9.521275393521632679e+01, 4.990932759324717694e-01, -2.497066469541783906e+00, 1.684397555516632172e+00, 7.259069204330444336e+00
4.983581945967451854e-01, -2.480551121775354417e+00, 9.413522295112852589e+01, 4.982048848760933790e-01, -2.495844716073540415e+00, 1.682467089804827953e+00, 7.302117347717285156e+00
4.989728304450957164e-01, -2.463433380592316535e+00, 9.280481994008579250e+01, 4.986803245218805469e-01, -2.490742266400541638e+00, 1.670792328439795416e+00, 7.347158670425415039e+00
4.993232600972134505e-01, -2.443956385684473265e+00, 9.150955927048792660e+01, 5.000000000000000000e-01, -2.490000000000000213e+00, 1.644700000000000051e+00, 7.392858028411865234e+00
5.003555511500631381e-01, -2.416937097993401284e+00, 8.979184656668397224e+01, 5.018613040529322777e-01, -2.479300223693627014e+00, 1.624477256454878615e+00, 7.437724351882934570e+00
5.041880984248280351e-01, -2.384301787225407754e+00, 8.914150560707034288e+01, 5.058118592209482900e-01, -2.463049207746846658e+00, 1.617013666501123437e+00, 7.480486631393432617e+00
5.052121819807668945e-01, -2.354675267704055219e+00, 8.840060000800426110e+01, 5.069539692895470573e-01, -2.440889624260674129e+00, 1.597940173816337239e+00, 7.522790431976318359e+00
5.064323782474685620e-01, -2.311960763901226734e+00, 8.744237954536669122e+01, 5.115234663999186360e-01, -2.424646117023380842e+00, 1.564780565286481906e+00, 7.564629793167114258e+00
5.081758503285794815e-01, -2.266794123180537746e+00, 8.642748611928392677e+01, 5.188486517067505410e-01, -2.399590281779181211e+00, 1.551288171324176624e+00, 7.606878042221069336e+00
5.095266763597250392e-01, -2.230774259631076006e+00, 8.648386765774799301e+01, 5.290000000000000258e-01, -2.378000000000000114e+00, 1.538799999999999946e+00, 7.648088216781616211e+00
5.114540045966688986e-01, -2.185372147281420929e+00, 8.658649246362018914e+01, 5.352114598416183311e-01, -2.344984320557452762e+00, 1.526126997330259583e+00, 7.690058946609497070e+00
5.129741483362251220e-01, -2.139956107895563786e+00, 8.735505040205404725e+01, 5.423986713074816501e-01, -2.308153473620547125e+00, 1.512778814807780314e+00, 7.733139038085937500e+00
5.128084856142162140e-01, -2.100076336113683606e+00, 8.777348030366557907e+01, 5.431167431344113838e-01, -2.267769935250546709e+00, 1.525107712406913896e+00, 7.774929285049438477e+00
5.118577777237437454e-01, -2.055495173753406402e+00, 8.836197878670520822e+01, 5.597595722625996473e-01, -2.219309251316010645e+00, 1.511719101091302919e+00, 7.817094802856445312e+00
5.105670269258196781e-01, -2.016291586523296875e+00, 8.841418158627725177e+01, 5.647390279630749577e-01, -2.182897745490974817e+00, 1.517668753413776939e+00, 7.859289407730102539e+00
5.092006584093193844e-01, -1.976652833751743055e+00, 8.865334866196667463e+01, 5.681491211251253892e-01, -2.153653883901663235e+00, 1.535414150570428626e+00, 7.901198387145996094e+00
5.075291360034676069e-01, -1.932464683660636062e+00, 8.870343665586693760e+01, 5.767633962298440720e-01, -2.110043633018862774e+00, 1.542024498402243093e+00, 7.943421840667724609e+00
5.058443838351672772e-01, -1.892741949963595127e+00, 8.892663719541353373e+01, 5.778352391883080363e-01, -2.071233604143241092e+00, 1.538245437530603388e+00, 7.987253189086914062e+00
5.048297818914558865e-01, -1.848658459624488160e+00, 8.908252306225838879e+01, 5.785343500334979572e-01, -2.033305916834533100e+00, 1.553080726708933934e+00, 8.029572486877441406e+00
5.033963165215969982e-01, -1.804298826343891271e+00, 8.918571270795416694e+01, 5.835901011580344466e-01, -1.985380255599069610e+00, 1.537244439668028262e+00, 8.071894407272338867e+00
5.021581709411540029e-01, -1.759516837343131801e+00, 8.934032880172082969e+01, 5.801741279415598695e-01, -1.945463624164725625e+00, 1.546021670303800555e+00, 8.113834381103515625e+00
5.007284714044487606e-01, -1.724145885667550671e+00, 8.956060495121668907e+01, 5.859999999999999654e-01, -1.903999999999999915e+00, 1.550400000000000000e+00, 8.156736135482788086e+00
4.991234393188506702e-01, -1.679365665450867739e+00, 8.960111150165735694e+01, 5.848332539351648318e-01, -1.863821046480878207e+00, 1.553171283297650307e+00, 8.198935270309448242e+00
4.978294349187719070e-01, -1.639475780200593258e+00, 8.967590171552700440e+01, 5.842453778477378901e-01, -1.817211992613004368e+00, 1.560642828863608056e+00, 8.241292476654052734e+00
4.967955681005210011e-01, -1.594982345736862817e+00, 8.954359534157140388e+01, 5.847185365803527768e-01, -1.786083788388260318e+00, 1.558500195550924117e+00, 8.284086227416992188e+00
4.956539835773923208e-01, -1.550141253216551274e+00, 8.971261941889927982e+01, 5.820840756708345332e-01, -1.743109389216987770e+00, 1.570061676167056719e+00, 8.326515197753906250e+00
4.951853469915242223e-01, -1.504933409461288063e+00, 8.996878630168134805e+01, 5.820027643277274620e-01, -1.699203465437965521e+00, 1.571740169855758484e+00, 8.369064807891845703e+00
4.943950528943693024e-01, -1.470312161470009871e+00, 8.998736303161722105e+01, 5.829999999999999627e-01, -1.665000000000000036e+00, 1.556499999999999995e+00, 8.412482023239135742e+00
4.936696623173529308e-01, -1.425510328941663962e+00, 9.006565960336736509e+01, 5.828952564924265722e-01, -1.627992458159817746e+00, 1.563599900152719435e+00, 8.454576015472412109e+00
4.924129802400429856e-01, -1.380593705674591609e+00, 9.023663046372516305e+01, 5.825687300414623682e-01, -1.580982445732923125e+00, 1.561888256543636277e+00, 8.497238159179687500e+00
4.911715870897125913e-01, -1.340772616880039569e+00, 9.028733767242052011e+01, 5.878174990276724410e-01, -1.548017128173172718e+00, 1.562169833774243788e+00, 8.539184331893920898e+00
4.896771567602706265e-01, -1.295868729737168934e+00, 9.029603311753885464e+01, 5.865131318153238293e-01, -1.505281154194094029e+00, 1.571074016302005605e+00, 8.581633329391479492e+00
4.884652801499733688e-01, -1.250291407079724637e+00, 9.063129238098733254e+01, 5.868573550809423889e-01, -1.451280867034030475e+00, 1.577512788006982136e+00, 8.624100446701049805e+00
4.871554622956622560e-01, -1.215643261386937235e+00, 9.051999618308430229e+01, 5.899999999999999689e-01, -1.413000000000000034e+00, 1.567199999999999926e+00, 8.666702747344970703e+00
4.859427795684558848e-01, -1.170772769665078483e+00, 9.065252666380013125e+01, 5.887971708577269814e-01, -1.380068654969209829e+00, 1.575502978189981862e+00, 8.708944797515869141e+00
4.843898993991301860e-01, -1.131211569251278082e+00, 9.071441677551203497e+01, 5.888168802355874254e-01, -1.341088651404172438e+00, 1.576244855589803207e+00, 8.751327514648437500e+00
4.831970919374732887e-01, -1.085680329391329080e+00, 9.081502435077847224e+01, 5.905642075445826089e-01, -1.295638073719892924e+00, 1.573805619209837969e+00, 8.793824195861816406e+00
4.817267807380689604e-01, -1.040138254917830851e+00, 9.063409719762026384e+01, 5.862136966551583228e-01, -1.252439839069695582e+00, 1.584054907300332715e+00, 8.835930347442626953e+00
4.809004029115344081e-01, -1.000581663242490427e+00, 9.044937121917304523e+01, 5.871735767378244431e-01, -1.210636374304781659e+00, 1.573985845266737682e+00, 8.877995491027832031e+00
4.800696507768636434e-01, -9.604228571421200567e-01, 9.026830092221592849e+01, 5.848668675311077259e-01, -1.172947263178598876e+00, 1.585145138721498759e+00, 8.920441150665283203e+00
4.792475278995596555e-01, -9.202043390350241880e-01, 9.040451862835146812e+01, 5.879774306703685616e-01, -1.139989738020880550e+00, 1.570088427016580912e+00, 8.962847232818603516e+00
4.775965536612120643e-01, -8.751161130910316555e-01, 9.033783613871702300e+01, 5.867286794206550971e-01, -1.090916994319433897e+00, 1.572349005582037940e+00, 9.004905223846435547e+00
4.763829210847291273e-01, -8.294441360212553294e-01, 9.061753488567768500e+01, 5.861797597258840975e-01, -1.043862400189764283e+00, 1.576443636183734842e+00, 9.047214746475219727e+00
4.759831329799840138e-01, -7.948366617821229774e-01, 9.060297078106722779e+01, 5.859547791888872759e-01, -1.001541082679996642e+00, 1.584535181753781607e+00, 9.089401960372924805e+00
4.749268246835567364e-01, -7.499444797237374560e-01, 8.989292693334294881e+01, 5.876675320895434762e-01, -9.712784517892245617e-01, 1.581588488558698824e+00, 9.131335735321044922e+00
4.738032211976523911e-01, -7.048012549498142709e-01, 8.933638461897783145e+01, 5.896399024164806768e-01, -9.252189466383314853e-01, 1.574707694946776870e+00, 9.173607826232910156e+00
4.733653419109140059e-01, -6.597712945865108480e-01, 8.924555202310735069e+01, 5.948867493742585610e-01, -8.920311824074583784e-01, 1.560213015279116266e+00, 9.216275930404663086e+00
4.724590132663829545e-01, -6.193393913641292992e-01, 8.938207773795471667e+01, 5.947646258152312626e-01, -8.519160100464877594e-01, 1.561484900750013782e+00, 9.259990215301513672e+00
4.718674879645012865e-01, -5.747830505082607289e-01, 8.940254960912513127e+01, 5.995275311914869398e-01, -8.086612936361451398e-01, 1.555818025070037303e+00, 9.302350521087646484e+00
