ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.414, -1.393, 1.2485, -0.69, -92.95, 11.04, 80.99, -2.35064, -1.37021, 1.16576, 0.400473, -0.862038, -1.40199, 0, 3
5, -2.496, -1.428, 1.2866, 2.3, -52.69, 10.12, 32.9, -2.3519, -1.37085, 1.17767, 0.388788, -0.863077, -1.44964, 0, 3
5, -2.51, -1.435, 1.2985, -1.15, -17.94, 9.2, 22.08, -2.35829, -1.3767, 1.23418, 0.335011, -0.86597, -1.66974, 0, 3
5, -2.513, -1.438, 1.3128, -0.92, 0, 8.74, 11.27, -2.35986, -1.37806, 1.23418, 0.335662, -0.866225, -1.66398, 0, 3
5, -2.507, -1.439, 1.356, 0.46, 26.46, 8.74, -9.66, -2.36804, -1.38481, 1.30624, 0.267867, -0.864854, -1.9511, 0, 3
5, -2.494, -1.435, 1.374, 1.38, 29.68, 9.2, -32.21, -2.37579, -1.39318, 1.37583, 0.204989, -0.859345, -2.21792, 0, 3
5, -2.494, -1.435, 1.374, 1.38, 29.68, 9.2, -32.21, -2.37889, -1.39625, 1.37583, 0.206347, -0.860326, -2.20247, 0, 3
5, -2.452, -1.422, 1.3301, -2.53, 20.93, 11.73, -27.61, -2.3855, -1.40157, 1.49636, 0.0986665, -0.839526, -2.68208, 0, 3
5, -2.436, -1.418, 1.3075, 0.69, 20.93, 12.19, -29.45, -2.38827, -1.40401, 1.49636, 0.0994815, -0.83943, -2.68208, 0, 3
5, -2.429, -1.417, 1.3043, 1.84, 18.17, 11.04, -22.31, -2.38393, -1.40133, 1.55176, 0.0509134, -0.826584, -2.89078, 0, 3
5, -2.411, -1.414, 1.2834, -0.92, 20.7, 14.26, -39.11, -2.38385, -1.40174, 1.55176, 0.0510332, -0.826203, -2.89533, 0, 3
5, -2.411, -1.414, 1.2834, -0.92, 20.7, 14.26, -39.11, -2.37606, -1.39896, 1.60374, 0.00704052, -0.810657, -3.10325, 0, 3
5, -2.397, -1.412, 1.2726, 2.07, 15.87, 11.04, -18.4, -2.3756, -1.39884, 1.60374, 0.00700646, -0.810714, -3.10256, 0, 3
5, -2.365, -1.409, 1.2325, 0, 14.72, 12.19, -27.15, -2.35783, -1.39177, 1.67442, -0.0509047, -0.785492, -3.38973, 0, 3
5, -2.352, -1.408, 1.214, -4.37, 11.5, 12.42, -26.92, -2.35135, -1.38894, 1.67442, -0.0517046, -0.784507, -3.40106, 0, 3
5, -2.341, -1.412, 1.1655, -38.65, 9.2, 13.11, -26.92, -2.34483, -1.38609, 1.67442, -0.0525479, -0.784034, -3.40612, 0, 3
5, -2.333, -1.418, 1.1138, -49.01, 7.59, 11.04, -25.08, -2.33843, -1.38133, 1.68869, -0.0648092, -0.777833, -3.47018, 0, 3
5, -2.317, -1.434, 0.9795, -64.42, 7.36, 15.87, -28.99, -2.3317, -1.37777, 1.68869, -0.0658726, -0.777222, -3.4765, 0, 3
5, -2.31, -1.444, 0.9171, -57.06, 8.51, 15.87, -28.07, -2.32831, -1.3744, 1.67216, -0.0544775, -0.783553, -3.41037, 0, 3
5, -2.294, -1.468, 0.7561, -67.64, 9.2, 14.72, -27.38, -2.32229, -1.3707, 1.67216, -0.0555888, -0.782459, -3.42269, 0, 3
5, -2.294, -1.468, 0.7561, -67.64, 9.2, 14.72, -27.38, -2.32393, -1.37196, 1.60773, -0.00482212, -0.805954, -3.16067, 0, 3
5, -2.28, -1.496, 0.5746, -42.33, 10.12, 15.18, -27.84, -2.32044, -1.36991, 1.60773, -0.00549063, -0.805394, -3.16742, 0, 3
5, -2.276, -1.505, 0.5301, -36.58, 11.73, 18.4, -26.69, -2.30339, -1.367, 1.4554, 0.123112, -0.84622, -2.56256, 0, 3
