ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.282, -1.302, 2.7837, -46.93, -39.11, -35.89, -14.03, -2.28646, -1.29546, 2.94332, -0.0266154, -0.00390831, -12.0049, 0, 0
5, -2.282, -1.302, 2.7837, -46.93, -39.11, -35.89, -14.03, -2.28671, -1.29547, 2.94332, -0.0271917, -0.00399995, -11.9844, 0, 0
5, -2.278, -1.306, 2.4522, -44.4, -42.56, -49.24, -41.41, -2.28676, -1.2982, 2.9517, -0.0262277, -0.00447884, -12.0157, 0, 0
5, -2.279, -1.307, 2.3209, -43.02, -47.86, -44.4, -36.12, -2.28669, -1.29954, 2.9517, -0.0296135, -0.0055302, -11.8898, 0, 0
5, -2.277, -1.307, 2.0559, -45.09, -42.33, -37.27, -49.47, -2.28592, -1.30198, 2.8306, -0.0444518, -0.0154237, -11.2832, 0, 0
5, -2.275, -1.307, 1.7896, -44.17, -41.41, -36.81, -39.34, -2.28569, -1.30358, 2.8306, -0.0460891, -0.016967, -11.2091, 0, 0
5, -2.274, -1.307, 1.6168, -42.33, -39.34, -37.27, -37.96, -2.28313, -1.30432, 2.56653, -0.0637675, -0.0462042, -10.1389, 0, 0
5, -2.274, -1.308, 1.4976, -40.72, -39.34, -39.11, -37.04, -2.2821, -1.30568, 2.56653, -0.0628849, -0.0472271, -10.1389, 0, 0
5, -2.274, -1.309, 1.2618, -43.02, -37.73, -34.74, -36.12, -2.28052, -1.30587, 2.18095, -0.063646, -0.106811, -8.48657, 0, 0
5, -2.274, -1.31, 1.145, -40.03, -34.97, -32.21, -33.13, -2.27946, -1.3067, 2.18095, -0.0625632, -0.107769, -8.47044, 0, 0
5, -2.274, -1.313, 0.9028, -28.3, -21.62, -19.78, -22.77, -2.2784, -1.30768, 1.78116, -0.0191899, -0.169507, -6.80341, 0, 0
5, -2.273, -1.314, 0.8213, -32.21, -22.77, -22.77, -28.53, -2.27718, -1.30871, 1.78116, -0.0166212, -0.16898, -6.82263, 0, 0
5, -2.272, -1.315, 0.7369, -31.29, -25.31, -19.78, -28.76, -2.2751, -1.30985, 1.38793, 0.0666526, -0.205768, -5.11924, 0, 0
5, -2.271, -1.318, 0.593, -25.77, -16.56, -14.49, -25.31, -2.27339, -1.31103, 1.38793, 0.0711424, -0.206365, -5.03016, 0, 0
5, -2.271, -1.318, 0.593, -25.77, -16.56, -14.49, -25.31, -2.27316, -1.31097, 1.08246, 0.151043, -0.204045, -3.73338, 0, 0
5, -2.271, -1.318, 0.593, -25.77, -16.56, -14.49, -25.31, -2.27194, -1.31174, 1.08246, 0.153526, -0.201929, -3.72684, 0, 0
5, -2.271, -1.318, 0.593, -25.77, -16.56, -14.49, -25.31, -2.27219, -1.3119, 1.08246, 0.154756, -0.202879, -3.67562, 0, 0
5, -2.271, -1.318, 0.593, -25.77, -16.56, -14.49, -25.31, -2.27108, -1.31417, 0.857256, 0.222763, -0.173056, -2.68574, 0, 0
5, -2.271, -1.318, 0.593, -25.77, -16.56, -14.49, -25.31, -2.27029, -1.31527, 0.857256, 0.226907, -0.170123, -2.62252, 0, 0
5, -2.271, -1.318, 0.593, -25.77, -16.56, -14.49, -25.31, -2.26975, -1.31793, 0.694918, 0.272301, -0.129297, -1.97316, 0, 0
5, -2.271, -1.318, 0.593, -25.77, -16.56, -14.49, -25.31, -2.26921, -1.31928, 0.694918, 0.278303, -0.12535, -1.83222, 0, 0
5, -2.271, -1.318, 0.593, -25.77, -16.56, -14.49, -25.31, -2.26574, -1.32162, 0.613534, 0.302082, -0.0920779, -1.40377, 0, 0
5, -2.271, -1.318, 0.593, -25.77, -16.56, -14.49, -25.31, -2.26408, -1.32348, 0.613534, 0.309898, -0.0832167, -1.20229, 0, 0
5, -2.271, -1.318, 0.593, -25.77, -16.56, -14.49, -25.31, -2.26086, -1.32266, 0.518072, 0.329036, -0.0536585, -0.686742, 0, 0
5, -2.271, -1.318, 0.593, -25.77, -16.56, -14.49, -25.31, -2.25859, -1.32363, 0.518072, 0.3302, -0.0447609, -0.661988, 0, 0
5, -2.271, -1.318, 0.593, -25.77, -16.56, -14.49, -25.31, -2.25265, -1.32386, 0.448441, 0.334304, -0.00768486, -0.275934, 0, 0
5, -2.271, -1.318, 0.593, -25.77, -16.56, -14.49, -25.31, -2.24863, -1.32461, 0.448441, 0.327827, 0.00657527, -0.0919344, 0, 0
5, -2.271, -1.318, 0.593, -25.77, -16.56, -14.49, -25.31, -2.2398, -1.32389, 0.387771, 0.30948, 0.0476416, 0.3229, 0, 0
5, -2.271, -1.318, 0.593, -25.77, -16.56, -14.49, -25.31, -2.23401, -1.32409, 0.387771, 0.294512, 0.068487, 0.65051, 0, 0
5, -2.271, -1.318, 0.593, -25.77, -16.56, -14.49, -25.31, -2.23075, -1.32291, 0.347296, 0.276196, 0.0833438, 1.12509, 0, 0
5, -2.271, -1.318, 0.593, -25.77, -16.56, -14.49, -25.31, -2.22539, -1.32264, 0.347296, 0.921406, 0.176205, 0.753061, 0, 0
5, -2.198, -1.341, 0.0271, 14.49, 11.04, -8.28, -6.21, -2.22179, -1.32169, 0.361944, 0.891779, -0.32773, -1.40719, 0, 0
5, -2.191, -1.338, 0.0548, 14.95, 10.58, -11.73, -10.35, -2.21719, -1.32118, 0.361944, 0.891572, -0.327866, -1.40898, 0, 0
5, -2.185, -1.337, 0.0578, 24.85, 19.55, -24.62, -21.62, -2.21337, -1.31903, 0.370797, 0.885518, -0.335537, -1.44535, 0, 0
5, -2.185, -1.337, 0.0578, 24.85, 19.55, -24.62, -21.62, -2.20851, -1.31776, 0.370797, 0.884968, -0.335891, -1.45008, 0, 0
5, -2.14, -1.345, 0.0065, 27.38, 33.59, -22.08, -48.32, -2.20362, -1.31649, 0.370797, 0.884779, -0.336387, -1.45008, 0, 0
5, -2.14, -1.345, 0.0065, 27.38, 33.59, -22.08, -48.32, -2.20371, -1.31413, 0.393286, 0.869593, -0.354279, -1.54225, 0, 0
5, -2.131, -1.347, 0.0039, 21.85, 30.37, -15.87, -29.68, -2.19768, -1.31125, 0.393286, 0.868736, -0.355236, -1.5475, 0, 0
5, -2.131, -1.347, 0.0039, 21.85, 30.37, -15.87, -29.68, -2.19247, -1.30661, 0.450602, 0.828773, -0.397882, -1.78142, 0, 0
5, -2.131, -1.347, 0.0039, 21.85, 30.37, -15.87, -29.68, -2.18951, -1.30451, 0.450602, 0.827787, -0.398382, -1.78959, 0, 0
5, -2.131, -1.347, 0.0039, 21.85, 30.37, -15.87, -29.68, -2.17616, -1.29601, 0.490132, 0.79736, -0.427317, -1.96013, 0, 0
5, -2.131, -1.347, 0.0039, 21.85, 30.37, -15.87, -29.68, -2.17312, -1.29417, 0.490132, 0.796437, -0.427693, -1.96786, 0, 0
5, -2.131, -1.347, 0.0039, 21.85, 30.37, -15.87, -29.68, -2.15869, -1.28818, 0.473645, 0.806716, -0.419082, -1.90621, 0, 0
5, -2.131, -1.347, 0.0039, 21.85, 30.37, -15.87, -29.68, -2.14994, -1.28373, 0.473645, 0.804917, -0.420289, -1.91884, 0, 0
5, -2.131, -1.347, 0.0039, 21.85, 30.37, -15.87, -29.68, -2.13861, -1.28325, 0.424886, 0.83885, -0.387479, -1.72443, 0, 0
5, -2.021, -1.412, -0.2532, 13.57, 26.69, -17.02, -39.57, -2.1287, -1.28003, 0.424886, 0.837571, -0.388462, -1.73353, 0, 0
5, -2.008, -1.425, -0.2917, 12.65, 31.29, -16.79, -46.01, -2.11455, -1.27887, 0.377448, 0.869243, -0.354706, -1.54423, 0, 0
5, -2.008, -1.425, -0.2917, 12.65, 31.29, -16.79, -46.01, -2.10471, -1.27671, 0.377448, 0.868222, -0.35538, -1.55263, 0, 0
5, -2.008, -1.425, -0.2917, 12.65, 31.29, -16.79, -46.01, -2.1052, -1.27742, 0.377448, 0.867957, -0.354926, -1.5577, 0, 0
5, -2.008, -1.425, -0.2917, 12.65, 31.29, -16.79, -46.01, -2.08588, -1.27538, 0.307488, 0.912166, -0.301566, -1.27786, 0, 0
