ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.336, -1.265, 0.5805, 70.63, 50.85, 9.66, 66.95, -2.34136, -1.29361, -0.0640581, 0.145924, 0.00667889, 0.244829, 1, 0
5, -2.338, -1.256, 0.7367, 77.54, 46.24, -4.37, 61.89, -2.34135, -1.29366, -0.0640581, 0.218276, 0.0113423, 0.244829, 1, 0
5, -2.345, -1.237, 1.0129, 64.42, 36.58, 4.6, 53.61, -2.34139, -1.29193, 0.0365657, 0.292515, -0.0141956, -0.157156, 1, 0
5, -2.358, -1.222, 1.2702, 69.48, 28.76, -14.26, 50.39, -2.34141, -1.29114, 0.0365657, 0.389512, -0.0180868, -0.1602, 1, 0
5, -2.374, -1.212, 1.4364, 55.22, 6.44, -16.33, 42.79, -2.3392, -1.29068, 0.275227, 0.444113, -0.129447, -1.11605, 1, 0
5, -2.387, -1.204, 1.5534, 45.09, 12.42, -2.3, 2.53, -2.33836, -1.29008, 0.275227, 0.514295, -0.149525, -1.11605, 1, 0
5, -2.391, -1.198, 1.5857, 40.26, 10.35, -15.64, -19.78, -2.33356, -1.28758, 0.539216, 0.520043, -0.316679, -2.1728, 1, 0
5, -2.393, -1.19, 1.5946, 40.03, 12.65, -20.7, -30.83, -2.33098, -1.2861, 0.539216, 0.582848, -0.354918, -2.17397, 1, 0
5, -2.393, -1.19, 1.5946, 40.03, 12.65, -20.7, -30.83, -2.32968, -1.28517, 0.539216, 0.645941, -0.393086, -2.17888, 1, 0
5, -2.393, -1.157, 1.603, 15.18, 16.79, -22.08, -41.18, -2.32404, -1.27848, 0.817394, 0.538485, -0.584853, -3.29415, 1, 0
5, -2.39, -1.15, 1.5709, 1.61, 17.71, -19.32, -38.65, -2.32132, -1.27598, 0.817394, 0.537356, -0.584906, -3.30298, 1, 0
5, -2.381, -1.141, 1.5121, -5.06, 18.4, -12.19, -44.17, -2.32063, -1.26735, 1.07816, 0.337371, -0.649579, -4.35115, 1, 0
5, -2.375, -1.136, 1.4716, 1.61, 18.86, -6.21, -52, -2.32087, -1.26413, 1.07816, 0.324732, -0.62807, -4.36412, 1, 0
5, -2.358, -1.124, 1.3971, -2.99, 19.09, -10.12, -34.97, -2.31826, -1.25295, 1.16256, 0.256671, -0.628093, -4.71133, 1, 0
5, -2.353, -1.12, 1.3652, -0.46, 5.98, -5.75, -38.42, -2.31652, -1.24634, 1.16256, 0.254348, -0.627542, -4.72818, 1, 0
5, -2.348, -1.118, 1.3293, 0.23, 2.53, -2.76, -38.65, -2.31649, -1.23427, 1.15612, 0.255563, -0.62832, -4.71386, 1, 0
5, -2.339, -1.112, 1.2648, -0.46, 9.89, -3.22, -34.97, -2.31531, -1.226, 1.15612, 0.252698, -0.627709, -4.73382, 1, 0
5, -2.331, -1.108, 1.2228, 0, 10.81, -0.46, -40.49, -2.31349, -1.23102, 1.05609, 0.330103, -0.626562, -4.35014, 1, 0
5, -2.325, -1.106, 1.1944, 0, 11.5, -6.67, -34.28, -2.31203, -1.22712, 1.05609, 0.329323, -0.627671, -4.34261, 1, 0
5, -2.325, -1.106, 1.1944, 0, 11.5, -6.67, -34.28, -2.30564, -1.22509, 0.94922, 0.413039, -0.618089, -3.92196, 1, 0
5, -2.325, -1.106, 1.1944, 0, 11.5, -6.67, -34.28, -2.30229, -1.22157, 0.94922, 0.412066, -0.618738, -3.92196, 1, 0
5, -2.325, -1.106, 1.1944, 0, 11.5, -6.67, -34.28, -2.29493, -1.22013, 0.891987, 0.457362, -0.609155, -3.69875, 1, 0
5, -2.325, -1.106, 1.1944, 0, 11.5, -6.67, -34.28, -2.28997, -1.21728, 0.891987, 0.456249, -0.609343, -3.70504, 1, 0
5, -2.325, -1.106, 1.1944, 0, 11.5, -6.67, -34.28, -2.28101, -1.2164, 0.801615, 0.525498, -0.58446, -3.34636, 1, 0
5, -2.325, -1.106, 1.1944, 0, 11.5, -6.67, -34.28, -2.27418, -1.21424, 0.801615, 0.527844, -0.588059, -3.35238, 1, 0
5, -2.244, -1.086, 0.8313, -1.15, 20.01, -9.2, -43.25, -2.26455, -1.21384, 0.720925, 0.59132, -0.560924, -3.03145, 1, 0
5, -2.244, -1.086, 0.8313, -1.15, 20.01, -9.2, -43.25, -2.25597, -1.21227, 0.720925, 0.591756, -0.562204, -3.03568, 1, 0
5, -2.22, -1.085, 0.7382, 0, 22.31, -11.27, -40.72, -2.23906, -1.211, 0.628669, 0.659966, -0.521412, -2.66872, 1, 0
5, -2.22, -1.085, 0.7382, 0, 22.31, -11.27, -40.72, -2.23692, -1.21094, 0.628669, 0.664015, -0.52441, -2.67214, 1, 0
5, -2.182, -1.087, 0.5954, 0.69, 26.92, -13.8, -41.64, -2.21737, -1.20995, 0.54984, 0.724287, -0.485401, -2.35854, 1, 0
5, -2.162, -1.091, 0.5216, 0.23, 25.77, -13.11, -41.18, -2.21187, -1.20957, 0.54984, 0.724155, -0.485598, -2.35854, 1, 0
5, -2.145, -1.094, 0.4588, -1.84, 26.69, -15.87, -43.94, -2.19787, -1.21182, 0.466991, 0.785685, -0.436481, -2.03141, 1, 0
5, -2.145, -1.094, 0.4588, -1.84, 26.69, -15.87, -43.94, -2.17805, -1.21471, 0.347711, 0.86892, -0.353979, -1.5512, 1, 0
5, -2.115, -1.103, 0.3436, 2.07, 26.69, -17.48, -44.63, -2.16708, -1.21593, 0.347711, 0.869358, -0.353786, -1.54716, 1, 0
5, -2.081, -1.115, 0.2266, 13.34, 29.68, -18.4, -41.41, -2.15041, -1.22185, 0.243389, 0.935172, -0.268623, -1.12865, 1, 0
5, -2.069, -1.118, 0.2069, 22.31, 30.83, -17.94, -43.02, -2.12899, -1.22895, 0.147521, 0.988118, -0.180705, -0.745179, 1, 0
5, -2.059, -1.119, 0.1968, 25.31, 31.98, -21.85, -44.4, -2.11486, -1.23312, 0.147521, 0.989705, -0.179209, -0.729449, 1, 0
5, -2.059, -1.119, 0.1968, 25.31, 31.98, -21.85, -44.4, -2.09395, -1.24414, 0.0253081, 1.01783, -0.0529551, -0.233678, 1, 0
5, -2.059, -1.119, 0.1968, 25.31, 31.98, -21.85, -44.4, -2.07699, -1.25071, 0.0253081, 1.01546, -0.0498332, -0.202912, 1, 0
5, -2.059, -1.119, 0.1968, 25.31, 31.98, -21.85, -44.4, -2.08397, -1.25071, -0.0614225, 0.987166, 0.0373089, 0.147569, 1, 0
5, -1.992, -1.117, 0.1635, 35.89, 30.37, -31.29, -35.66, -2.07464, -1.25526, -0.0614225, 0.986407, 0.0393417, 0.155835, 1, 0
5, -1.982, -1.116, 0.1612, 32.67, 30.37, -31.52, -36.81, -2.06449, -1.26178, -0.0806113, 0.978729, 0.0608584, 0.235796, 1, 0
5, -1.957, -1.113, 0.1629, 38.42, 31.52, -24.62, -36.58, -2.05444, -1.26723, -0.0806113, 0.97857, 0.0633641, 0.235796, 1, 0
5, -1.947, -1.111, 0.1684, 37.04, 29.45, -28.99, -33.59, -2.05368, -1.26733, -0.0806113, 0.976935, 0.0633019, 0.255698, 1, 0
5, -1.937, -1.109, 0.169, 34.74, 28.99, -31.06, -33.36, -2.03296, -1.27599, -0.115123, 0.961638, 0.099705, 0.40401, 1, 0
5, -1.917, -1.105, 0.1745, 37.04, 25.08, -28.76, -33.13, -2.02179, -1.28117, -0.115123, 0.960631, 0.102023, 0.413253, 1, 0
5, -1.893, -1.098, 0.1799, 36.58, 25.77, -29.68, -29.91, -1.9995, -1.2876, -0.113419, 0.960227, 0.103352, 0.416415, 1, 0
5, -1.884, -1.095, 0.1822, 37.04, 24.62, -29.22, -29.45, -1.98093, -1.29216, -0.123226, 0.954813, 0.114423, 0.466651, 1, 0
5, -1.865, -1.089, 0.1936, 40.26, 27.61, -29.22, -29.22, -1.96493, -1.29725, -0.123226, 0.953783, 0.116776, 0.47564, 1, 0
5, -1.852, -1.085, 0.2041, 38.42, 25.77, -28.3, -28.53, -1.9377, -1.3012, -0.118629, 0.954749, 0.114397, 0.467453, 1, 0
5, -1.835, -1.078, 0.2145, 36.81, 24.62, -29.91, -28.07, -1.92052, -1.30519, -0.118629, 0.95373, 0.116288, 0.477004, 1, 0
5, -1.835, -1.078, 0.2145, 36.81, 24.62, -29.91, -28.07, -1.90357, -1.30912, -0.118629, 0.953485, 0.118281, 0.477004, 1, 0
5, -1.794, -1.062, 0.2388, 38.65, 24.39, -29.91, -28.07, -1.90278, -1.30378, -0.0801045, 0.968814, 0.0797122, 0.339585, 1, 0
5, -1.794, -1.062, 0.2388, 38.65, 24.39, -29.91, -28.07, -1.88805, -1.30484, -0.0801045, 0.96966, 0.0803442, 0.328698, 1, 0
5, -1.794, -1.062, 0.2388, 38.65, 24.39, -29.91, -28.07, -1.87548, -1.30575, -0.0801045, 0.96962, 0.0808279, 0.328698, 1, 0
5, -1.794, -1.062, 0.2388, 38.65, 24.39, -29.91, -28.07, -1.85517, -1.30558, -0.067392, 0.974552, 0.0687227, 0.280161, 1, 0
5, -1.737, -1.04, 0.2632, 36.35, 26.46, -28.99, -32.67, -1.83852, -1.30626, -0.067392, 0.974481, 0.0691057, 0.2807, 1, 0
5, -1.728, -1.037, 0.2664, 37.5, 26.46, -29.22, -31.52, -1.82558, -1.3061, -0.0485336, 0.981676, 0.0509679, 0.206849, 1, 0
5, -1.728, -1.037, 0.2664, 37.5, 26.46, -29.22, -31.52, -1.8211, -1.30621, -0.0485336, 0.981672, 0.0510379, 0.206849, 1, 0
5, -1.728, -1.037, 0.2664, 37.5, 26.46, -29.22, -31.52, -1.79535, -1.30452, -0.0350526, 0.986658, 0.0370864, 0.153852, 1, 0
5, -1.666, -1.015, 0.2833, 34.51, 25.31, -27.61, -31.52, -1.75978, -1.3015, -0.0319141, 0.987856, 0.0323797, 0.141298, 1, 0
5, -1.666, -1.015, 0.2833, 34.51, 25.31, -27.61, -31.52, -1.73808, -1.30007, -0.0319141, 0.988761, 0.0316042, 0.130597, 1, 0
5, -1.666, -1.015, 0.2833, 34.51, 25.31, -27.61, -31.52, -1.74046, -1.30069, -0.0192923, 0.993223, 0.0195554, 0.0801097, 1, 0
5, -1.666, -1.015, 0.2833, 34.51, 25.31, -27.61, -31.52, -1.72698, -1.29999, -0.0192923, 0.993539, 0.0191617, 0.076363, 1, 0
5, -1.616, -0.998, 0.2911, 35.66, 26.69, -28.99, -34.51, -1.71339, -1.29892, -0.00449054, 0.998443, 0.00385595, 0.0188575, 1, 0
5, -1.606, -0.995, 0.2916, 36.35, 27.84, -28.53, -34.97, -1.69946, -1.29804, -0.00449054, 0.998798, 0.00333369, 0.0145597, 1, 0
5, -1.582, -0.987, 0.2944, 34.05, 28.53, -28.3, -31.29, -1.69792, -1.29732, -0.00449054, 0.998997, 0.00290726, 0.0121466, 1, 0
5, -1.582, -0.987, 0.2944, 34.05, 28.53, -28.3, -31.29, -1.67517, -1.29551, -0.00829037, 0.998071, 0.00560154, 0.0232815, 1, 0
5, -1.582, -0.987, 0.2944, 34.05, 28.53, -28.3, -31.29, -1.66129, -1.29434, -0.00829037, 0.998347, 0.00487599, 0.0199624, 1, 0
5, -1.539, -0.974, 0.2949, 34.51, 27.38, -28.76, -34.97, -1.64635, -1.2934, -0.00916865, 0.998257, 0.00515257, 0.0210487, 1, 0
5, -1.521, -0.969, 0.2954, 34.51, 28.99, -28.53, -35.2, -1.62564, -1.29226, -0.012277, 0.997372, 0.00749612, 0.031632, 1, 0
5, -1.511, -0.966, 0.2958, 35.43, 29.22, -29.68, -34.74, -1.60818, -1.29112, -0.012277, 0.997756, 0.00674048, 0.0270221, 1, 0
5, -1.486, -0.958, 0.2952, 35.43, 27.61, -29.68, -35.2, -1.59052, -1.28997, -0.012277, 0.997761, 0.00595653, 0.0270221, 1, 0
5, -1.476, -0.955, 0.2948, 34.74, 27.15, -27.61, -34.51, -1.56831, -1.28944, -0.0046659, 1.00054, -0.00206767, -0.00656526, 1, 0
5, -1.457, -0.949, 0.297, 34.97, 29.68, -28.76, -33.59, -1.54866, -1.28844, -0.0046659, 1.00071, -0.00279862, -0.00867239, 1, 0
5, -1.448, -0.946, 0.2982, 35.66, 26.92, -28.76, -34.05, -1.55906, -1.28952, -0.00479564, 1.00094, -0.00192877, -0.0115156, 1, 0
5, -1.435, -0.942, 0.2977, 34.74, 28.53, -28.53, -35.89, -1.5492, -1.28922, -0.00479564, 1.00065, -0.00216254, -0.00797272, 1, 0
5, -1.415, -0.936, 0.2967, 34.28, 29.68, -28.99, -35.43, -1.54787, -1.2894, -0.00479564, 1.00065, -0.00205337, -0.00797272, 1, 0
5, -1.415, -0.936, 0.2967, 34.28, 29.68, -28.99, -35.43, -1.52406, -1.28926, 0.00226185, 1.00301, -0.00933764, -0.0371443, 1, 0
5, -1.415, -0.936, 0.2967, 34.28, 29.68, -28.99, -35.43, -1.51187, -1.28913, 0.00226185, 1.003, -0.00947912, -0.0369975, 1, 0
5, -1.371, -0.923, 0.2961, 34.74, 29.22, -28.3, -35.43, -1.49367, -1.28917, -0.00596706, 1.0004, -0.0012844, -0.0049295, 1, 0
5, -1.361, -0.92, 0.2958, 35.43, 27.15, -28.3, -35.2, -1.48144, -1.2891, -0.00596706, 1.0004, -0.00139, -0.0049295, 1, 0
5, -1.342, -0.914, 0.2945, 32.44, 28.07, -27.84, -33.13, -1.46411, -1.28863, 0.000169635, 1.00257, -0.00795715, -0.0316068, 1, 0
5, -1.329, -0.91, 0.2951, 35.43, 29.91, -28.53, -35.43, -1.45542, -1.28835, 0.000169635, 1.00256, -0.00819635, -0.0316068, 1, 0
5, -1.31, -0.904, 0.2939, 33.59, 26.69, -27.38, -34.97, -1.42997, -1.2884, -0.00115253, 1.00222, -0.00697792, -0.0273079, 1, 0
5, -1.3, -0.902, 0.2931, 34.74, 28.76, -28.99, -34.74, -1.41244, -1.28824, -0.00115253, 1.00222, -0.00719063, -0.0273079, 1, 0
5, -1.291, -0.899, 0.2936, 34.97, 30.14, -28.99, -34.28, -1.38939, -1.28852, -0.00601954, 1.00069, -0.00224431, -0.00838136, 1, 0
5, -1.265, -0.891, 0.2918, 35.43, 26.69, -28.07, -36.35, -1.37032, -1.28851, -0.00601954, 1.00077, -0.00237026, -0.00935047, 1, 0
