ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.247, -1.29, 1.704, -20.47, -2.07, 4.37, -7.59, -2.262, -1.28879, 1.80006, -0.0731331, -0.169142, -1.01427, 0, 1
5, -2.247, -1.29, 1.704, -20.47, -2.07, 4.37, -7.59, -2.26142, -1.2885, 1.77144, -0.0698032, -0.171915, -0.96016, 0, 1
5, -2.235, -1.295, 1.6061, -21.85, -3.45, 4.14, -8.51, -2.26101, -1.28827, 1.77144, -0.0704739, -0.171136, -0.974516, 0, 1
5, -2.235, -1.295, 1.6061, -21.85, -3.45, 4.14, -8.51, -2.26121, -1.28862, 1.77144, -0.0694271, -0.171599, -0.974516, 0, 1
5, -2.21, -1.311, 1.4245, -18.17, -0.69, 8.97, -6.44, -2.24915, -1.29609, 1.54298, -0.0101409, -0.196348, -0.389974, 0, 1
5, -2.199, -1.32, 1.3574, -17.02, 0.23, 7.82, -6.67, -2.23515, -1.30825, 1.46817, 0.0614954, -0.177686, 0.0832784, 0, 1
5, -2.196, -1.322, 1.3421, -16.33, 0.46, 8.05, -6.44, -2.2248, -1.31674, 1.46817, 0.282628, -0.38196, 1.5822, 0, 1
5, -2.192, -1.325, 1.3225, -14.72, 0.92, 7.82, -6.21, -2.22695, -1.31627, 1.4362, 0.0808582, -0.565998, 0.358096, 0, 1
5, -2.186, -1.328, 1.2991, -14.26, 5.29, 8.51, -6.21, -2.2214, -1.3212, 1.4362, 0.0821405, -0.565934, 0.356583, 0, 1
5, -2.186, -1.328, 1.2991, -14.26, 5.29, 8.51, -6.21, -2.22038, -1.32151, 1.378, 0.112588, -0.54843, 0.508613, 0, 1
5, -2.178, -1.333, 1.278, -9.66, 8.28, 9.43, -8.28, -2.21709, -1.32427, 1.378, 0.113288, -0.548328, 0.508089, 0, 1
5, -2.148, -1.338, 1.2826, -4.6, 15.64, 11.5, -9.66, -2.19928, -1.33359, 1.31954, 0.14441, -0.528916, 0.655521, 0, 1
5, -2.126, -1.339, 1.3141, -3.22, 19.78, 11.96, -12.19, -2.18666, -1.33645, 1.35404, 0.128191, -0.539155, 0.580625, 0, 1
5, -2.126, -1.339, 1.3141, -3.22, 19.78, 11.96, -12.19, -2.18512, -1.33687, 1.35404, 0.128236, -0.538865, 0.584074, 0, 1
5, -2.101, -1.337, 1.3615, 0.46, 19.78, 12.65, -11.73, -2.17237, -1.33804, 1.35532, 0.127949, -0.539193, 0.580872, 0, 1
5, -2.059, -1.33, 1.4562, 0, 22.77, 13.8, -13.8, -2.14123, -1.33548, 1.46488, 0.0703312, -0.571341, 0.308555, 0, 1
5, -2.041, -1.325, 1.4956, -2.76, 22.77, 12.42, -14.26, -2.13086, -1.33339, 1.503, 0.0486149, -0.581143, 0.213253, 0, 1
5, -1.993, -1.31, 1.5924, 0, 22.08, 14.49, -11.5, -2.08866, -1.32081, 1.61887, -0.0231062, -0.605953, -0.0810221, 0, 1
5, -1.981, -1.306, 1.6216, 0.23, 21.39, 14.72, -13.11, -2.06259, -1.30944, 1.63829, -0.0384592, -0.610461, -0.147911, 0, 1
5, -1.981, -1.306, 1.6216, 0.23, 21.39, 14.72, -13.11, -2.06373, -1.3091, 1.63829, -0.038563, -0.610454, -0.147911, 0, 1
5, -1.952, -1.295, 1.6925, 0, 20.24, 15.41, -10.81, -2.04865, -1.30232, 1.66987, -0.0605025, -0.615803, -0.23785, 0, 1
5, -1.948, -1.293, 1.7041, 0, 19.78, 14.72, -12.42, -2.04981, -1.30291, 1.66987, -0.060395, -0.616525, -0.246831, 0, 1
5, -1.941, -1.291, 1.7193, -1.61, 18.4, 15.64, -10.35, -2.0395, -1.29904, 1.70769, -0.0838714, -0.606746, -0.341385, 0, 1
5, -1.932, -1.287, 1.7418, -0.46, 17.48, 16.1, -10.58, -2.03738, -1.29855, 1.70769, -0.0840229, -0.606766, -0.340877, 0, 1
5, -1.925, -1.284, 1.7605, -0.46, 17.94, 15.41, -8.51, -2.02565, -1.29343, 1.7523, -0.110837, -0.593089, -0.457458, 0, 1
5, -1.921, -1.283, 1.7734, -0.69, 18.17, 17.02, -10.58, -2.01771, -1.29014, 1.7523, -0.111773, -0.5927, -0.46011, 0, 1
5, -1.906, -1.281, 1.7664, -20.93, 15.41, 16.33, -11.27, -2.01823, -1.28985, 1.78178, -0.12795, -0.58309, -0.538488, 0, 1
5, -1.895, -1.281, 1.7467, -30.6, 15.41, 19.55, -11.96, -2.01276, -1.28743, 1.78178, -0.128649, -0.582881, -0.539168, 0, 1
5, -1.886, -1.281, 1.7276, -33.13, 14.95, 21.16, -13.11, -2.00851, -1.28506, 1.81128, -0.144988, -0.572786, -0.615942, 0, 1
5, -1.867, -1.283, 1.6853, -29.68, 10.58, 14.95, -14.03, -2.00332, -1.28258, 1.81128, -0.145639, -0.572344, -0.619342, 0, 1
5, -1.86, -1.284, 1.6636, -28.3, 8.97, 17.48, -12.42, -1.99824, -1.28111, 1.82792, -0.154648, -0.566317, -0.664089, 0, 1
5, -1.848, -1.286, 1.6313, -27.84, 8.05, 18.86, -11.96, -1.99271, -1.27884, 1.82792, -0.155257, -0.565958, -0.666442, 0, 1
5, -1.841, -1.288, 1.6119, -27.15, 8.97, 15.87, -12.42, -1.98494, -1.27936, 1.75326, -0.115308, -0.59044, -0.479802, 0, 1
5, -1.825, -1.292, 1.5685, -28.76, 6.44, 19.32, -11.73, -1.97838, -1.27811, 1.75326, -0.115658, -0.590138, -0.482708, 0, 1
5, -1.825, -1.292, 1.5685, -28.76, 6.44, 19.32, -11.73, -1.96625, -1.27948, 1.68334, -0.0754468, -0.610406, -0.309255, 0, 1
5, -1.807, -1.299, 1.5137, -29.45, 7.82, 20.93, -8.74, -1.95841, -1.27928, 1.68334, -0.0755508, -0.610528, -0.307562, 0, 1
5, -1.8, -1.302, 1.5009, -25.08, 8.74, 21.39, -9.66, -1.95138, -1.28261, 1.61168, -0.0303694, -0.60941, -0.128837, 0, 1
5, -1.784, -1.308, 1.4701, -24.16, 10.35, 18.17, -11.73, -1.9428, -1.28385, 1.61168, -0.0299872, -0.609034, -0.12384, 0, 1
5, -1.778, -1.311, 1.4567, -23.46, 10.35, 19.78, -10.12, -1.94171, -1.28537, 1.61168, -0.0295052, -0.608923, -0.12214, 0, 1
5, -1.761, -1.317, 1.4321, -22.08, 13.57, 20.7, -11.04, -1.9274, -1.2893, 1.57547, -0.00615735, -0.60208, -0.0267616, 0, 1
5, -1.755, -1.319, 1.4239, -20.47, 12.65, 19.32, -10.35, -1.92016, -1.29119, 1.57547, -0.00557557, -0.601865, -0.023964, 0, 1
5, -1.746, -1.322, 1.4148, -18.86, 14.26, 19.55, -10.58, -1.91472, -1.29344, 1.51777, 0.0292786, -0.589782, 0.120286, 0, 1
5, -1.703, -1.337, 1.3822, -15.41, 15.64, 18.4, -10.81, -1.88166, -1.30588, 1.48134, 0.0538994, -0.580533, 0.215073, 0, 1
5, -1.687, -1.341, 1.3775, -14.49, 17.71, 17.71, -11.27, -1.85308, -1.31775, 1.47036, 0.0636306, -0.576068, 0.258893, 0, 1
5, -1.672, -1.344, 1.3764, -13.11, 17.71, 16.56, -11.73, -1.83263, -1.32611, 1.47036, 0.0661714, -0.5745, 0.275027, 0, 1
5, -1.666, -1.345, 1.3762, -12.65, 17.25, 17.02, -12.65, -1.83311, -1.3234, 1.45425, 0.0741408, -0.570165, 0.317279, 0, 1
5, -1.657, -1.347, 1.3772, -11.73, 18.63, 17.25, -11.96, -1.81933, -1.32817, 1.45425, 0.0756175, -0.569421, 0.324186, 0, 1
5, -1.645, -1.349, 1.3799, -10.58, 18.4, 16.56, -12.19, -1.82192, -1.32459, 1.44854, 0.0775148, -0.567481, 0.345339, 0, 1
5, -1.636, -1.35, 1.3814, -10.35, 17.48, 17.02, -13.8, -1.81251, -1.32688, 1.44854, 0.078322, -0.567731, 0.34081, 0, 1
5, -1.595, -1.354, 1.3975, -8.28, 20.7, 14.72, -14.26, -1.78144, -1.33018, 1.4752, 0.0649356, -0.574558, 0.276077, 0, 1
5, -1.567, -1.354, 1.4159, -6.9, 19.55, 14.49, -11.96, -1.7557, -1.3321, 1.47984, 0.063089, -0.575235, 0.270135, 0, 1
5, -1.562, -1.354, 1.4207, -7.13, 20.01, 14.95, -14.03, -1.73696, -1.33369, 1.47984, 0.0637291, -0.575165, 0.270135, 0, 1
5, -1.547, -1.354, 1.4326, -6.44, 20.7, 15.18, -12.65, -1.73436, -1.33277, 1.4941, 0.0554724, -0.578574, 0.237909, 0, 1
5, -1.539, -1.354, 1.4385, -7.82, 18.4, 16.1, -13.11, -1.72103, -1.33349, 1.4941, 0.055773, -0.578249, 0.241655, 0, 1
5, -1.533, -1.354, 1.4424, -7.13, 19.55, 14.72, -14.03, -1.72239, -1.33158, 1.51372, 0.0440635, -0.583224, 0.191545, 0, 1
5, -1.528, -1.354, 1.4447, -6.9, 18.17, 15.64, -12.42, -1.7138, -1.33136, 1.51372, 0.0440607, -0.583465, 0.188496, 0, 1
5, -1.513, -1.354, 1.4554, -8.05, 19.09, 14.95, -11.96, -1.71012, -1.33062, 1.52353, 0.0382325, -0.585822, 0.163887, 0, 1
5, -1.513, -1.354, 1.4554, -8.05, 19.09, 14.95, -11.96, -1.7025, -1.33021, 1.52353, 0.0381381, -0.585828, 0.163887, 0, 1
5, -1.5, -1.354, 1.4651, -6.44, 19.09, 15.18, -12.65, -1.69513, -1.33001, 1.55186, 0.0217111, -0.59235, 0.091911, 0, 1
5, -1.485, -1.354, 1.4754, -8.28, 19.55, 15.64, -11.96, -1.68846, -1.32971, 1.55186, 0.0216483, -0.592384, 0.0915083, 0, 1
5, -1.479, -1.354, 1.4799, -7.82, 18.86, 15.18, -12.65, -1.6878, -1.32941, 1.55186, 0.0215463, -0.592392, 0.0914553, 0, 1
5, -1.471, -1.353, 1.4838, -8.05, 17.94, 15.18, -12.65, -1.67387, -1.32787, 1.56274, 0.0146949, -0.594776, 0.0639009, 0, 1
5, -1.466, -1.353, 1.4865, -7.82, 19.32, 15.18, -12.42, -1.66955, -1.32747, 1.56274, 0.0145823, -0.594929, 0.0619981, 0, 1
5, -1.426, -1.353, 1.5014, -10.12, 17.71, 16.1, -12.42, -1.63875, -1.32257, 1.58862, -0.00243393, -0.600266, -0.00342995, 0, 1
5, -1.402, -1.354, 1.5077, -11.5, 18.17, 15.41, -11.96, -1.6151, -1.32024, 1.60148, -0.0109492, -0.603267, -0.0426665, 0, 1
5, -1.39, -1.354, 1.5099, -10.58, 17.02, 16.33, -12.42, -1.59806, -1.31836, 1.60148, -0.011581, -0.603502, -0.045796, 0, 1
5, -1.34, -1.357, 1.511, -13.11, 15.64, 16.79, -11.5, -1.57805, -1.31909, 1.6161, -0.020138, -0.606335, -0.0845221, 0, 1
5, -1.331, -1.358, 1.5108, -12.88, 17.02, 18.4, -12.19, -1.56052, -1.31871, 1.6161, -0.0202001, -0.606216, -0.0830391, 0, 1
5, -1.325, -1.358, 1.5094, -12.42, 17.94, 17.02, -11.96, -1.54733, -1.31874, 1.6144, -0.019084, -0.605787, -0.0771427, 0, 1
5, -1.31, -1.359, 1.5092, -11.96, 16.56, 18.17, -11.5, -1.53108, -1.31844, 1.6144, -0.0191232, -0.605785, -0.0771427, 0, 1
5, -1.304, -1.36, 1.5079, -12.19, 17.48, 17.71, -12.88, -1.54205, -1.31783, 1.6144, -0.0194187, -0.60592, -0.078963, 0, 1
5, -1.295, -1.36, 1.5069, -14.03, 17.71, 17.71, -12.19, -1.53087, -1.31718, 1.60508, -0.013939, -0.604365, -0.0573558, 0, 1
5, -1.289, -1.361, 1.5064, -13.11, 17.25, 17.25, -11.27, -1.52368, -1.31674, 1.60508, -0.0140825, -0.604416, -0.0580388, 0, 1
5, -1.246, -1.364, 1.5006, -12.65, 17.25, 17.94, -13.11, -1.49574, -1.3151, 1.59674, -0.00954128, -0.601875, -0.0396281, 0, 1
5, -1.216, -1.366, 1.496, -12.88, 16.56, 16.56, -12.19, -1.46966, -1.31507, 1.61755, -0.0218451, -0.598258, -0.0916478, 0, 1
5, -1.206, -1.367, 1.4948, -13.8, 15.41, 18.17, -10.35, -1.45114, -1.31485, 1.61755, -0.0216638, -0.592981, -0.0912458, 0, 1
5, -1.144, -1.375, 1.4807, -13.34, 15.87, 17.25, -10.58, -1.42621, -1.31682, 1.59998, -0.0101371, -0.582889, -0.0473714, 0, 1
5, -1.134, -1.376, 1.4792, -13.11, 16.1, 17.25, -10.81, -1.39502, -1.3187, 1.59185, -0.00437402, -0.572335, -0.0228152, 0, 1
5, -1.122, -1.377, 1.4771, -12.65, 16.1, 16.56, -11.5, -1.39134, -1.31898, 1.59185, -0.00423056, -0.570954, -0.0181153, 0, 1
5, -1.114, -1.378, 1.4766, -12.19, 16.79, 17.48, -11.5, -1.37235, -1.31992, 1.59956, -0.00808338, -0.567018, -0.0374052, 0, 1
5, -1.108, -1.379, 1.477, -12.42, 17.48, 17.94, -11.73, -1.37503, -1.31967, 1.59956, -0.0082122, -0.567751, -0.0371924, 0, 1
5, -1.099, -1.38, 1.475, -12.88, 15.64, 17.25, -12.65, -1.36875, -1.32061, 1.59745, -0.00655488, -0.565434, -0.0294039, 0, 1
5, -1.058, -1.385, 1.473, -12.19, 15.64, 15.64, -10.12, -1.34005, -1.32383, 1.59573, -0.00398696, -0.557062, -0.0246978, 0, 1
5, -1.039, -1.387, 1.4705, -12.42, 14.72, 15.87, -11.27, -1.31391, -1.32477, 1.58899, 0.000364141, -0.548523, -0.00783145, 0, 1
5, -1.039, -1.387, 1.4705, -12.42, 14.72, 15.87, -11.27, -1.29399, -1.32567, 1.58899, 0.000894581, -0.542415, -0.000379384, 0, 1
5, -1.018, -1.389, 1.4692, -10.81, 15.64, 14.95, -11.27, -1.29754, -1.32497, 1.59657, -0.00355579, -0.544576, -0.0169408, 0, 1
