ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.231, -1.496, 0.7209, -0.69, -3.68, -4.14, -4.14, -2.30336, -1.28838, 0.808914, 0.129225, -0.170009, -0.542632, 0, 0
5, -2.231, -1.495, 0.7147, 0.23, -0.23, -2.76, -2.07, -2.30338, -1.28839, 0.803207, 0.130459, -0.169582, -0.519011, 0, 0
5, -2.302, -1.287, 0.8045, -0.46, 0.23, -1.84, -2.99, -2.30338, -1.28839, 0.803207, 0.130464, -0.169587, -0.518632, 0, 0
5, -2.301, -1.287, 0.7988, 0.46, 1.84, -1.38, -2.76, -2.30357, -1.28892, 0.807202, 0.130542, -0.169236, -0.534298, 0, 0
5, -2.3, -1.287, 0.7949, -0.92, 1.61, -2.07, -3.22, -2.30364, -1.2891, 0.807202, 0.13109, -0.169332, -0.511128, 0, 0
5, -2.3, -1.287, 0.7901, 0.92, 1.15, -2.3, -4.83, -2.30354, -1.28883, 0.790995, 0.134175, -0.168539, -0.435509, 0, 0
5, -2.29, -1.286, 0.7488, -0.69, 4.83, -1.84, -7.59, -2.30182, -1.2871, 0.76222, 0.135319, -0.166456, -0.337043, 0, 0
5, -2.289, -1.286, 0.7431, -0.69, 4.37, -0.92, -7.13, -2.30047, -1.28631, 0.76222, 0.13403, -0.168095, -0.414866, 0, 0
5, -2.285, -1.286, 0.7327, 0.23, 6.67, -0.69, -8.51, -2.29694, -1.28475, 0.75393, 0.130976, -0.16847, -0.453068, 0, 0
5, -2.285, -1.286, 0.7327, 0.23, 6.67, -0.69, -8.51, -2.29686, -1.28486, 0.75393, 0.130493, -0.167508, -0.513406, 0, 0
5, -2.285, -1.286, 0.7327, 0.23, 6.67, -0.69, -8.51, -2.28927, -1.28508, 0.711315, 0.134823, -0.162059, -0.32385, 0, 0
5, -2.285, -1.286, 0.7327, 0.23, 6.67, -0.69, -8.51, -2.28329, -1.286, 0.724264, 0.131982, -0.163213, -0.426484, 0, 0
5, -2.285, -1.286, 0.7327, 0.23, 6.67, -0.69, -8.51, -2.2791, -1.28647, 0.724264, 0.130788, -0.162686, -0.423188, 0, 0
5, -2.285, -1.286, 0.7327, 0.23, 6.67, -0.69, -8.51, -2.27792, -1.28764, 0.723743, 0.132457, -0.160581, -0.434546, 0, 0
5, -2.285, -1.286, 0.7327, 0.23, 6.67, -0.69, -8.51, -2.2751, -1.2883, 0.723743, 0.132364, -0.159577, -0.434546, 0, 0
5, -2.285, -1.286, 0.7327, 0.23, 6.67, -0.69, -8.51, -2.27233, -1.28893, 0.686492, 0.136607, -0.151886, -0.230242, 0, 0
5, -2.249, -1.294, 0.663, 0, 7.13, 0, -10.35, -2.26894, -1.28969, 0.686492, 0.136158, -0.150386, -0.204217, 0, 0
5, -2.249, -1.294, 0.663, 0, 7.13, 0, -10.35, -2.26913, -1.28947, 0.686492, 0.135658, -0.150615, -0.190312, 0, 0
5, -2.249, -1.294, 0.663, 0, 7.13, 0, -10.35, -2.26628, -1.28958, 0.673818, 0.135742, -0.148331, -0.139615, 0, 0
5, -2.226, -1.299, 0.6322, 1.38, 8.74, 0.23, -8.97, -2.25492, -1.29067, 0.659043, 0.133669, -0.145388, -0.118051, 0, 0
5, -2.223, -1.299, 0.63, 1.61, 8.28, -0.23, -8.74, -2.24711, -1.29274, 0.654386, 0.135359, -0.141415, -0.151527, 0, 0
5, -2.219, -1.3, 0.628, 2.3, 7.13, 0, -8.28, -2.24077, -1.29418, 0.654386, 0.134876, -0.137798, -0.0818856, 0, 0
5, -2.215, -1.301, 0.627, 2.76, 7.82, 0, -9.2, -2.24162, -1.29453, 0.654386, 0.136566, -0.136441, -0.0818856, 0, 0
5, -2.213, -1.301, 0.6265, 1.84, 8.51, -0.23, -8.28, -2.23659, -1.29518, 0.650998, 0.466341, -0.059119, 2.63455, 0, 0
5, -2.209, -1.302, 0.6228, 0.46, 8.74, 0.23, -8.05, -2.23648, -1.29489, 0.650998, 0.455712, -0.3488, 0.529702, 0, 0
5, -2.206, -1.303, 0.6218, 1.38, 11.5, -0.23, -9.66, -2.23011, -1.29492, 0.653267, 0.455333, -0.350148, 0.51916, 0, 0
5, -2.202, -1.303, 0.623, 4.14, 11.73, -0.23, -10.35, -2.22923, -1.29457, 0.653267, 0.455293, -0.350232, 0.518757, 0, 0
5, -2.178, -1.304, 0.6582, 7.82, 18.86, -0.46, -15.41, -2.2171, -1.29561, 0.648888, 0.456294, -0.347503, 0.536293, 0, 0
5, -2.167, -1.304, 0.6737, 10.12, 20.7, 0, -17.02, -2.21241, -1.29617, 0.648888, 0.45638, -0.347389, 0.536293, 0, 0
5, -2.162, -1.304, 0.6802, 10.58, 20.93, -0.69, -18.4, -2.20371, -1.2966, 0.663498, 0.453513, -0.355653, 0.479838, 0, 0
5, -2.154, -1.304, 0.6905, 10.12, 24.62, -0.69, -17.94, -2.19875, -1.29699, 0.663498, 0.453531, -0.355538, 0.480995, 0, 0
5, -2.129, -1.303, 0.7235, 11.73, 24.62, -1.38, -21.16, -2.18977, -1.29641, 0.693327, 0.447103, -0.372758, 0.362807, 0, 0
5, -2.12, -1.302, 0.7339, 11.96, 25.54, -0.69, -22.77, -2.17831, -1.29538, 0.706244, 0.444096, -0.380451, 0.308678, 0, 0
5, -2.094, -1.3, 0.7623, 11.27, 26.23, 0.46, -23.93, -2.15948, -1.29376, 0.722304, 0.44002, -0.389991, 0.243902, 0, 0
5, -2.084, -1.299, 0.7729, 11.27, 26.92, -0.69, -21.62, -2.15533, -1.29346, 0.722304, 0.440084, -0.390161, 0.24066, 0, 0
5, -2.084, -1.299, 0.7729, 11.27, 26.92, -0.69, -21.62, -2.12846, -1.28948, 0.765025, 0.428306, -0.415286, 0.0693481, 0, 0
5, -2.041, -1.295, 0.8137, 9.66, 26.23, 0.69, -23.23, -2.11719, -1.28775, 0.765025, 0.427954, -0.415648, 0.0693481, 0, 0
5, -2.033, -1.294, 0.8211, 8.74, 25.31, -0.23, -21.62, -2.09771, -1.28583, 0.785312, 0.422255, -0.427923, -0.0239193, 0, 0
5, -2.027, -1.294, 0.8249, 9.66, 26.69, 0.23, -25.08, -2.09366, -1.28576, 0.798668, 0.418431, -0.435576, -0.081018, 0, 0
5, -2.027, -1.294, 0.8249, 9.66, 26.69, 0.23, -25.08, -2.0836, -1.28472, 0.798668, 0.418195, -0.435794, -0.0808935, 0, 0
5, -2.005, -1.291, 0.8372, 10.35, 27.61, -0.69, -25.54, -2.07235, -1.28361, 0.819974, 0.411454, -0.447989, -0.167618, 0, 0
5, -1.997, -1.29, 0.8419, 9.89, 25.54, 0, -23.46, -2.06076, -1.28243, 0.819974, 0.411289, -0.448365, -0.170985, 0, 0
5, -1.991, -1.29, 0.8453, 8.97, 25.31, 0.69, -23.23, -2.06274, -1.2826, 0.819974, 0.411414, -0.448417, -0.173461, 0, 0
5, -1.991, -1.29, 0.8453, 8.97, 25.31, 0.69, -23.23, -2.04817, -1.28148, 0.827482, 0.408761, -0.452848, -0.203709, 0, 0
5, -1.991, -1.29, 0.8453, 8.97, 25.31, 0.69, -23.23, -2.04577, -1.2814, 0.827482, 0.408806, -0.452946, -0.205803, 0, 0
5, -1.991, -1.29, 0.8453, 8.97, 25.31, 0.69, -23.23, -2.03138, -1.27907, 0.828615, 0.407993, -0.45418, -0.213367, 0, 0
5, -1.991, -1.29, 0.8453, 8.97, 25.31, 0.69, -23.23, -2.02738, -1.27813, 0.828615, 0.407855, -0.454471, -0.215888, 0, 0
5, -1.991, -1.29, 0.8453, 8.97, 25.31, 0.69, -23.23, -2.01387, -1.27622, 0.844806, 0.402202, -0.463992, -0.28486, 0, 0
5, -1.991, -1.29, 0.8453, 8.97, 25.31, 0.69, -23.23, -2.00403, -1.27478, 0.844806, 0.401941, -0.464421, -0.287972, 0, 0
5, -1.991, -1.29, 0.8453, 8.97, 25.31, 0.69, -23.23, -1.99776, -1.27387, 0.842508, 0.402545, -0.463427, -0.280755, 0, 0
5, -1.909, -1.283, 0.851, 4.6, 23, 0.69, -23.93, -1.9885, -1.27251, 0.842508, 0.4022, -0.463726, -0.280755, 0, 0
5, -1.903, -1.283, 0.8483, 5.29, 24.16, -0.23, -23.46, -1.98231, -1.27205, 0.838112, 0.403646, -0.461539, -0.266576, 0, 0
5, -1.86, -1.283, 0.8271, 3.22, 22.31, 0.23, -25.31, -1.95298, -1.26857, 0.836311, 0.403347, -0.461373, -0.260055, 0, 0
5, -1.846, -1.283, 0.8192, 2.53, 22.77, -0.23, -23.46, -1.93706, -1.2669, 0.836311, 0.402887, -0.461775, -0.260055, 0, 0
5, -1.837, -1.283, 0.8115, 2.99, 22.77, 0, -24.85, -1.91441, -1.26572, 0.833035, 0.403867, -0.460609, -0.255329, 0, 0
5, -1.824, -1.284, 0.8028, 2.99, 23.93, -0.23, -24.85, -1.90844, -1.26589, 0.813279, 0.410423, -0.449806, -0.180687, 0, 0
