ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.241, -1.296, -0.3095, 1.84, 5.98, -10.35, -11.04, -2.24746, -1.29479, -0.302404, 0.861053, 0.266437, 0.750265, 2, 2
5, -2.241, -1.296, -0.3095, 1.84, 5.98, -10.35, -11.04, -2.24213, -1.29503, -0.310281, 0.856407, 0.272504, 0.77016, 2, 2
5, -2.241, -1.296, -0.3095, 1.84, 5.98, -10.35, -11.04, -2.23876, -1.29503, -0.310281, 0.856407, 0.272503, 0.770157, 2, 2
5, -2.241, -1.296, -0.3095, 1.84, 5.98, -10.35, -11.04, -2.23357, -1.29722, -0.306345, 0.858445, 0.270355, 0.760317, 2, 2
5, -2.241, -1.296, -0.3095, 1.84, 5.98, -10.35, -11.04, -2.22949, -1.29798, -0.306345, 0.858048, 0.270549, 0.762755, 2, 2
5, -2.241, -1.296, -0.3095, 1.84, 5.98, -10.35, -11.04, -2.22241, -1.2988, -0.308507, 0.856683, 0.272502, 0.768161, 2, 2
5, -2.241, -1.296, -0.3095, 1.84, 5.98, -10.35, -11.04, -2.21794, -1.29947, -0.308507, 0.85648, 0.272721, 0.769128, 2, 2
5, -2.125, -1.304, -0.2534, 38.88, 19.55, -29.68, -22.31, -2.20593, -1.29946, -0.278934, 0.873403, 0.249912, 0.696112, 2, 2
5, -2.116, -1.304, -0.2448, 38.65, 21.16, -31.75, -21.85, -2.19788, -1.29998, -0.278934, 0.873216, 0.250081, 0.697125, 2, 2
5, -2.107, -1.303, -0.2364, 40.95, 22.08, -31.52, -21.39, -2.18622, -1.29943, -0.246758, 0.891143, 0.224223, 0.616539, 2, 2
5, -2.092, -1.302, -0.2193, 40.26, 20.93, -31.06, -21.62, -2.17654, -1.29953, -0.246758, 0.891059, 0.224244, 0.617122, 2, 2
5, -2.082, -1.301, -0.2091, 42.79, 22.08, -32.67, -23, -2.16225, -1.29804, -0.226935, 0.901927, 0.207405, 0.566745, 2, 2
5, -2.059, -1.298, -0.1848, 40.95, 21.85, -32.67, -22.54, -2.14968, -1.29745, -0.226935, 0.901971, 0.207149, 0.566859, 2, 2
5, -2.059, -1.298, -0.1848, 40.95, 21.85, -32.67, -22.54, -2.14787, -1.29736, -0.226935, 0.902273, 0.20718, 0.564569, 2, 2
5, -1.984, -1.288, -0.1114, 42.33, 22.31, -31.52, -24.39, -2.08851, -1.28963, -0.11758, 0.955654, 0.108077, 0.290883, 2, 2
5, -1.942, -1.28, -0.074, 41.87, 23, -31.29, -26.23, -2.03207, -1.28208, -0.0920585, 0.966778, 0.0806621, 0.227079, 2, 2
5, -1.917, -1.276, -0.0549, 40.03, 23.23, -30.6, -27.38, -1.98793, -1.2763, -0.0920585, 0.968318, 0.0777659, 0.217201, 2, 2
5, -1.907, -1.274, -0.048, 39.57, 23.7, -30.6, -28.3, -2.00557, -1.27747, -0.0603345, 0.982169, 0.0482644, 0.126577, 2, 2
5, -1.894, -1.272, -0.039, 38.42, 24.16, -30.83, -27.61, -1.98202, -1.27397, -0.0603345, 0.983278, 0.0464472, 0.118819, 2, 2
5, -1.884, -1.271, -0.0332, 39.11, 25.08, -30.83, -28.07, -1.98212, -1.27285, -0.032806, 0.992991, 0.0189801, 0.051915, 2, 2
5, -1.859, -1.268, -0.0205, 38.42, 24.16, -29.22, -28.99, -1.96516, -1.2699, -0.032806, 0.993656, 0.0173787, 0.047084, 2, 2
5, -1.849, -1.266, -0.0149, 38.19, 25.77, -29.91, -28.53, -1.95678, -1.26831, -0.0122061, 1.00079, -0.00399203, -0.00604062, 2, 2
5, -1.836, -1.265, -0.0077, 37.96, 24.62, -31.06, -30.37, -1.94293, -1.26584, -0.0122061, 1.00139, -0.00537917, -0.010677, 2, 2
5, -1.81, -1.262, -0.0005, 36.58, 26.23, -28.76, -31.29, -1.94001, -1.26542, -0.0122061, 1.00162, -0.00562486, -0.0124348, 2, 2
