ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.158, -1.266, -0.9091, 3.68, 2.3, -5.29, -2.76, -2.16475, -1.26811, -0.606293, 0.668626, 0.449196, 1.77473, 2, 30
5, -2.164, -1.268, -0.6062, 2.76, 5.29, -12.88, -8.05, -2.16446, -1.26849, -0.610458, 0.665542, 0.451327, 1.78717, 2, 30
5, -2.161, -1.268, -0.6133, 31.29, 7.13, -18.86, -10.58, -2.16438, -1.26859, -0.610458, 0.665473, 0.451326, 1.7877, 2, 30
5, -2.14, -1.269, -0.5776, 50.62, 14.03, -27.84, -11.04, -2.1644, -1.26856, -0.60373, 0.670333, 0.448053, 1.76759, 2, 30
5, -2.13, -1.269, -0.5448, 58.67, 14.49, -29.22, -10.81, -2.16442, -1.26853, -0.60373, 0.670341, 0.448046, 1.76757, 2, 30
5, -2.111, -1.268, -0.4966, 38.88, 16.79, -23.7, -8.51, -2.16408, -1.26898, -0.609242, 0.666218, 0.450824, 1.78464, 2, 30
5, -2.152, -1.267, -0.5737, 42.56, 14.72, -32.9, -7.13, -2.16398, -1.26911, -0.609242, 0.666172, 0.450849, 1.78486, 2, 30
5, -2.142, -1.267, -0.5528, 43.71, 14.72, -32.44, -6.67, -2.15723, -1.2717, -0.573332, 0.691132, 0.433513, 1.68041, 2, 30
5, -2.142, -1.267, -0.5528, 43.71, 14.72, -32.44, -6.67, -2.15425, -1.27277, -0.573332, 0.690771, 0.433744, 1.68207, 2, 30
5, -2.137, -1.271, -0.5129, 41.87, 16.56, -27.84, -8.97, -2.14113, -1.27412, -0.511901, 0.733482, 0.400529, 1.49906, 2, 30
5, -2.135, -1.272, -0.4927, 37.27, 12.19, -24.85, -9.43, -2.13737, -1.27397, -0.511901, 0.733518, 0.400461, 1.49908, 2, 30
