ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.199, -1.295, -1.6442, 0, 0, 0, 0, -2.20117, -1.32162, -1.63951, -0.0215454, 0.273797, 4.94802, 2, 1
5, -2.2, -1.32, -1.6299, 1.84, 2.76, 5.52, 8.28, -2.20103, -1.32195, -1.63717, -0.0209821, 0.274307, 4.94094, 2, 1
5, -2.2, -1.319, -1.5939, 13.8, 5.52, 9.66, 13.11, -2.20099, -1.32205, -1.63717, -0.020991, 0.274272, 4.94146, 2, 1
5, -2.196, -1.318, -1.4937, 24.62, 12.88, 13.34, 29.22, -2.20095, -1.32215, -1.63717, -0.0210038, 0.274262, 4.94161, 2, 1
5, -2.196, -1.318, -1.4937, 24.62, 12.88, 13.34, 29.22, -2.20114, -1.32169, -1.62918, -0.0188652, 0.276028, 4.91716, 2, 1
5, -2.196, -1.318, -1.4937, 24.62, 12.88, 13.34, 29.22, -2.20117, -1.32162, -1.62918, -0.0188564, 0.276036, 4.91705, 2, 1
5, -2.196, -1.318, -1.4937, 24.62, 12.88, 13.34, 29.22, -2.20081, -1.32032, -1.56374, -0.000630079, 0.289588, 4.72073, 2, 1
5, -2.196, -1.318, -1.4937, 24.62, 12.88, 13.34, 29.22, -2.20072, -1.31988, -1.56374, -0.00057305, 0.289689, 4.7192, 2, 1
5, -2.196, -1.318, -1.4937, 24.62, 12.88, 13.34, 29.22, -2.19955, -1.31877, -1.37646, 0.0603473, 0.321055, 4.15668, 2, 1
5, -2.196, -1.318, -1.4937, 24.62, 12.88, 13.34, 29.22, -2.19902, -1.31838, -1.37646, 0.0604206, 0.321136, 4.15527, 2, 1
5, -2.196, -1.318, -1.4937, 24.62, 12.88, 13.34, 29.22, -2.19477, -1.31799, -1.19179, 0.131629, 0.338556, 3.60057, 2, 1
5, -2.196, -1.318, -1.4937, 24.62, 12.88, 13.34, 29.22, -2.19282, -1.31748, -1.19179, 0.13172, 0.338564, 3.59996, 2, 1
5, -2.158, -1.298, -0.7205, 23.93, 6.44, 0.69, 19.32, -2.18933, -1.31833, -1.03267, 0.199461, 0.340614, 3.12192, 2, 1
5, -2.155, -1.296, -0.6793, 21.39, 5.06, -0.92, 17.48, -2.18672, -1.31828, -1.03267, 0.199424, 0.340544, 3.12312, 2, 1
5, -2.152, -1.293, -0.6409, 23.23, 5.29, 0, 15.18, -2.18253, -1.31653, -0.899178, 0.25945, 0.33152, 2.72261, 2, 1
5, -2.152, -1.293, -0.6409, 23.23, 5.29, 0, 15.18, -2.17909, -1.31575, -0.899178, 0.259672, 0.331569, 2.71995, 2, 1
5, -2.152, -1.293, -0.6409, 23.23, 5.29, 0, 15.18, -2.17832, -1.31431, -0.899178, 0.259933, 0.33145, 2.71892, 2, 1
5, -2.152, -1.293, -0.6409, 23.23, 5.29, 0, 15.18, -2.17132, -1.31175, -0.76729, 0.320419, 0.312385, 2.31928, 2, 1
5, -2.129, -1.282, -0.4315, 24.62, 7.82, -7.82, 5.75, -2.17012, -1.31144, -0.76729, 0.32056, 0.312433, 2.31723, 2, 1
5, -2.125, -1.28, -0.403, 25.77, 8.05, -9.89, 5.06, -2.16294, -1.30956, -0.667078, 0.365989, 0.29085, 2.01529, 2, 1
5, -2.115, -1.276, -0.3413, 25.77, 8.28, -11.27, 1.61, -2.15857, -1.30821, -0.667078, 0.366265, 0.290699, 2.01343, 2, 1
5, -2.11, -1.274, -0.319, 26.23, 8.51, -12.42, -0.23, -2.15244, -1.30702, -0.580266, 0.40452, 0.267074, 1.753, 2, 1
5, -2.106, -1.272, -0.2988, 25.08, 9.2, -11.27, -0.23, -2.14952, -1.30627, -0.580266, 0.404716, 0.267002, 1.75111, 2, 1
