ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -0.962, -2.314, -1.2106, 0, 0, 0, 0, -2.19786, -1.28384, -1.61629, -0.0179608, 0.470679, 4.82681, 2, 10
5, -0.962, -2.314, -1.2106, 0, 0, 0, 0, -2.19801, -1.28364, -1.61715, -0.0183122, 0.470381, 4.8294, 2, 10
5, -0.962, -2.314, -1.2106, 0, 0, 0, 0, -2.19801, -1.28364, -1.61715, -0.0183134, 0.470412, 4.82912, 2, 10
5, -0.962, -2.314, -1.2106, 0, 0, 0, 0, -2.19801, -1.28364, -1.61715, -0.0183134, 0.470412, 4.82912, 2, 10
5, -0.962, -2.314, -1.2106, 0, 0, 0, 0, -2.19801, -1.28364, -1.61715, -0.0183134, 0.470412, 4.82912, 2, 10
5, -0.962, -2.314, -1.2106, 0, 0, 0, 0, -2.19801, -1.28364, -1.61715, -0.0183134, 0.470412, 4.82912, 2, 10
5, -0.962, -2.314, -1.2106, 0, 0, 0, 0, -2.19801, -1.28364, -1.61715, -0.0183134, 0.470412, 4.82912, 2, 10
5, -0.962, -2.314, -1.2106, 0, 0, 0, 0, -2.19801, -1.28364, -1.61715, -0.0183134, 0.470412, 4.82912, 2, 10
5, -0.962, -2.314, -1.2106, 0, 0, 0, 0, -2.19764, -1.28225, -1.54727, 0.0156066, 0.493704, 4.61759, 2, 10
5, -0.962, -2.314, -1.2106, 0, 0, 0, 0, -2.19764, -1.28225, -1.54727, 0.0156066, 0.493704, 4.61759, 2, 10
5, -0.962, -2.314, -1.2106, 0, 0, 0, 0, -2.19764, -1.28225, -1.54727, 0.0156066, 0.493704, 4.61759, 2, 10
5, -2.144, -1.251, -0.9542, 26.92, 1.38, 0.92, 22.77, -2.19764, -1.28225, -1.54727, 0.0156066, 0.493704, 4.61759, 2, 10
5, -2.144, -1.251, -0.9542, 26.92, 1.38, 0.92, 22.77, -2.19764, -1.28225, -1.54727, 0.0156066, 0.493704, 4.61759, 2, 10
5, -2.139, -1.249, -0.9051, 28.53, 1.15, 0, 23, -2.19764, -1.28225, -1.54727, 0.0156066, 0.493704, 4.61759, 2, 10
5, -2.133, -1.244, -0.8287, 28.3, 1.61, 0, 23, -2.19121, -1.27471, -1.21198, 0.218684, 0.563221, 3.61172, 2, 10
5, -2.128, -1.241, -0.7793, 27.84, 1.15, 0.23, 25.08, -2.19121, -1.27471, -1.21198, 0.219097, 0.564283, 3.60132, 2, 10
5, -2.113, -1.225, -0.5775, 30.6, 1.15, -0.92, 22.77, -2.19121, -1.27471, -1.21198, 0.219097, 0.564283, 3.60132, 2, 10
5, -2.108, -1.22, -0.5134, 31.29, 1.61, -4.14, 21.62, -2.19121, -1.27471, -1.21198, 0.219097, 0.564283, 3.60132, 2, 10
5, -2.108, -1.22, -0.5134, 31.29, 1.61, -4.14, 21.62, -2.19121, -1.27471, -1.21198, 0.219097, 0.564283, 3.60132, 2, 10
5, -2.108, -1.22, -0.5134, 31.29, 1.61, -4.14, 21.62, -2.19121, -1.27471, -1.21198, 0.219097, 0.564283, 3.60132, 2, 10
5, -2.108, -1.22, -0.5134, 31.29, 1.61, -4.14, 21.62, -2.19121, -1.27471, -1.21198, 0.219097, 0.564283, 3.60132, 2, 10
5, -2.082, -1.191, -0.2591, 26.69, 2.76, -10.12, 14.72, -2.16083, -1.27119, -0.781247, 0.537742, 0.519261, 2.30375, 2, 10
5, -2.078, -1.187, -0.2254, 31.06, 0.69, -10.12, 13.57, -2.16083, -1.27119, -0.781247, 0.537742, 0.519261, 2.30375, 2, 10
5, -2.078, -1.187, -0.2254, 31.06, 0.69, -10.12, 13.57, -2.16083, -1.27119, -0.781247, 0.537742, 0.519261, 2.30375, 2, 10
5, -2.078, -1.187, -0.2254, 31.06, 0.69, -10.12, 13.57, -2.16083, -1.27119, -0.781247, 0.537742, 0.519261, 2.30375, 2, 10
5, -2.055, -1.161, -0.0489, 35.43, 9.66, -21.85, -1.38, -2.16083, -1.27119, -0.781247, 0.537742, 0.519261, 2.30375, 2, 10
5, -2.049, -1.156, -0.0276, 35.89, 8.05, -23, -2.3, -2.16083, -1.27119, -0.781247, 0.537742, 0.519261, 2.30375, 2, 10
5, -2.044, -1.151, -0.0069, 39.11, 8.74, -25.08, -2.3, -2.11959, -1.26069, -0.463946, 0.768742, 0.366993, 1.35184, 2, 10
5, -2.034, -1.142, 0.0313, 36.12, 7.59, -23.23, 0, -2.11959, -1.26069, -0.463946, 0.770289, 0.367731, 1.3362, 2, 10
5, -2.029, -1.136, 0.0543, 36.81, 8.97, -23.46, 0, -2.11959, -1.26069, -0.463946, 0.770289, 0.367731, 1.3362, 2, 10
5, -2.024, -1.131, 0.0781, 39.34, 8.74, -24.16, -0.23, -2.11959, -1.26069, -0.463946, 0.770289, 0.367731, 1.3362, 2, 10
5, -2.018, -1.125, 0.1029, 40.72, 9.89, -24.39, -4.14, -2.11959, -1.26069, -0.463946, 0.770289, 0.367731, 1.3362, 2, 10
5, -2.013, -1.119, 0.1246, 40.72, 11.73, -26.23, -9.2, -2.11959, -1.26069, -0.463946, 0.770289, 0.367731, 1.3362, 2, 10
