ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -1.977, -0.145, 2.563, 0.46, -0.23, -0.46, -0.23, -2.19917, -1.30147, 3.09725, -0.0476289, -0.00214544, -9.28973, 1, 30
5, -1.977, -0.145, 2.563, 0.46, -0.23, -0.46, -0.23, -2.19906, -1.30154, 3.09471, -0.0484582, -0.00230776, -9.28211, 1, 30
5, -1.977, -0.145, 2.563, 0.46, -0.23, -0.46, -0.23, -2.19906, -1.30154, 3.09471, -0.0484683, -0.00230824, -9.28201, 1, 30
5, -1.977, -0.145, 2.563, 0.46, -0.23, -0.46, -0.23, -2.19957, -1.30153, 3.10158, -0.0462256, -0.00188295, -9.30263, 1, 30
5, -1.977, -0.145, 2.563, 0.46, -0.23, -0.46, -0.23, -2.19957, -1.30153, 3.10158, -0.046224, -0.00188288, -9.30264, 1, 30
5, -1.977, -0.145, 2.563, 0.46, -0.23, -0.46, -0.23, -2.19971, -1.30152, 3.07261, -0.0556495, -0.00388328, -9.21575, 1, 30
5, -1.977, -0.145, 2.563, 0.46, -0.23, -0.46, -0.23, -2.19971, -1.30152, 3.07261, -0.0556474, -0.00388314, -9.21577, 1, 30
5, -1.977, -0.145, 2.563, 0.46, -0.23, -0.46, -0.23, -2.19995, -1.3025, 2.91891, -0.103666, -0.0235982, -8.75465, 1, 30
5, -1.977, -0.145, 2.563, 0.46, -0.23, -0.46, -0.23, -2.19995, -1.3025, 2.91891, -0.103809, -0.0236307, -8.75331, 1, 30
5, -1.977, -0.145, 2.563, 0.46, -0.23, -0.46, -0.23, -2.2015, -1.30399, 2.60153, -0.180609, -0.108723, -7.80119, 1, 30
5, -1.977, -0.145, 2.563, 0.46, -0.23, -0.46, -0.23, -2.2015, -1.30399, 2.60153, -0.180609, -0.108723, -7.80119, 1, 30
5, -1.977, -0.145, 2.563, 0.46, -0.23, -0.46, -0.23, -2.20159, -1.30438, 2.21214, -0.202306, -0.272086, -6.63097, 1, 30
5, -1.977, -0.145, 2.563, 0.46, -0.23, -0.46, -0.23, -2.20159, -1.30438, 2.21214, -0.202306, -0.272086, -6.63097, 1, 30
5, -1.977, -0.145, 2.563, 0.46, -0.23, -0.46, -0.23, -2.19934, -1.30506, 1.85912, -0.128422, -0.436686, -5.57139, 1, 30
5, -1.977, -0.145, 2.563, 0.46, -0.23, -0.46, -0.23, -2.19934, -1.30506, 1.85912, -0.128422, -0.436686, -5.57139, 1, 30
5, -1.977, -0.145, 2.563, 0.46, -0.23, -0.46, -0.23, -2.19657, -1.30625, 1.52029, 0.0302179, -0.565872, -4.55396, 1, 30
5, -1.977, -0.145, 2.563, 0.46, -0.23, -0.46, -0.23, -2.19657, -1.30625, 1.52029, 0.0302179, -0.565872, -4.55396, 1, 30
