ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.166, -1.273, -0.9226, 0.92, 4.6, -2.3, 0.46, -2.16619, -1.274, -0.923695, 0.257311, 0.332155, 2.73497, 1, 30
5, -2.166, -1.273, -0.9226, 0.92, 4.6, -2.3, 0.46, -2.16619, -1.274, -0.923695, 0.257307, 0.33215, 2.73507, 1, 30
5, -2.166, -1.273, -0.9226, 0.92, 4.6, -2.3, 0.46, -2.16625, -1.2737, -0.940288, 0.249845, 0.333719, 2.78485, 1, 30
5, -2.166, -1.273, -0.9226, 0.92, 4.6, -2.3, 0.46, -2.16625, -1.2737, -0.940288, 0.249861, 0.33374, 2.78444, 1, 30
5, -2.166, -1.273, -0.9226, 0.92, 4.6, -2.3, 0.46, -2.16718, -1.27331, -0.939597, 0.250231, 0.333633, 2.78237, 1, 30
5, -2.166, -1.273, -0.9226, 0.92, 4.6, -2.3, 0.46, -2.16718, -1.27331, -0.939597, 0.250252, 0.333661, 2.78185, 1, 30
5, -2.166, -1.273, -0.9226, 0.92, 4.6, -2.3, 0.46, -2.16678, -1.27324, -0.906089, 0.265442, 0.330232, 2.68132, 1, 30
5, -2.166, -1.273, -0.9226, 0.92, 4.6, -2.3, 0.46, -2.16678, -1.27324, -0.906089, 0.265447, 0.330237, 2.68122, 1, 30
5, -2.166, -1.273, -0.9226, 0.92, 4.6, -2.3, 0.46, -2.16678, -1.27324, -0.906089, 0.265447, 0.330237, 2.68122, 1, 30
5, -2.166, -1.273, -0.9226, 0.92, 4.6, -2.3, 0.46, -2.16334, -1.27488, -0.842404, 0.294067, 0.322055, 2.49238, 1, 30
5, -2.166, -1.273, -0.9226, 0.92, 4.6, -2.3, 0.46, -2.16334, -1.27488, -0.842404, 0.294067, 0.322055, 2.49238, 1, 30
5, -2.166, -1.273, -0.9226, 0.92, 4.6, -2.3, 0.46, -2.15592, -1.27812, -0.777147, 0.323062, 0.311386, 2.30099, 1, 30
5, -2.166, -1.273, -0.9226, 0.92, 4.6, -2.3, 0.46, -2.15592, -1.27812, -0.777147, 0.323062, 0.311386, 2.30099, 1, 30
5, -2.166, -1.273, -0.9226, 0.92, 4.6, -2.3, 0.46, -2.14987, -1.28029, -0.777147, 0.322757, 0.311702, 2.30099, 1, 30
5, -2.166, -1.273, -0.9226, 0.92, 4.6, -2.3, 0.46, -2.14987, -1.28029, -0.777147, 0.322618, 0.311568, 2.30393, 1, 30
5, -2.166, -1.273, -0.9226, 0.92, 4.6, -2.3, 0.46, -2.1329, -1.2831, -0.601665, 0.400436, 0.270291, 1.77749, 1, 30
5, -2.166, -1.273, -0.9226, 0.92, 4.6, -2.3, 0.46, -2.1329, -1.2831, -0.601665, 0.400232, 0.270153, 1.78123, 1, 30
