ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.131, -1.271, -0.5501, 0, 0, 0, 0, -2.11867, -1.25806, -0.164081, 0.942662, 0.136968, 0.432869, 2, 12
5, -2.116, -1.257, -0.1544, 11.27, 5.75, -8.74, -5.52, -2.11867, -1.25806, -0.164081, 0.942662, 0.136968, 0.432869, 2, 12
5, -2.112, -1.256, -0.1512, 24.85, 10.12, -14.72, -12.42, -2.11867, -1.25806, -0.169328, 0.940225, 0.141655, 0.44861, 2, 12
5, -2.097, -1.254, -0.1384, 46.01, 28.3, -36.81, -27.15, -2.11867, -1.25806, -0.169328, 0.940225, 0.141655, 0.44861, 2, 12
5, -2.086, -1.253, -0.1264, 46.01, 34.05, -34.51, -24.62, -2.11867, -1.25806, -0.161965, 0.943639, 0.135072, 0.426521, 2, 12
5, -2.069, -1.252, -0.1019, 39.57, 23.93, -26.23, -30.6, -2.11867, -1.25806, -0.161965, 0.943639, 0.135072, 0.426521, 2, 12
5, -2.111, -1.258, -0.158, 48.09, 32.67, -33.13, -37.73, -2.11867, -1.25806, -0.161965, 0.943639, 0.135072, 0.426521, 2, 12
5, -2.099, -1.259, -0.1494, 47.63, 31.52, -35.2, -37.5, -2.11153, -1.25713, -0.123764, 0.960652, 0.099749, 0.311918, 2, 12
5, -2.073, -1.259, -0.13, 28.76, 25.31, -25.77, -20.7, -2.10434, -1.25675, -0.107941, 0.967472, 0.0847622, 0.262996, 2, 12
5, -2.073, -1.259, -0.13, 28.76, 25.31, -25.77, -20.7, -2.10074, -1.25647, -0.107941, 0.967567, 0.0846067, 0.262254, 2, 12
5, -2.046, -1.259, -0.1178, 37.96, 28.07, -28.07, -29.45, -2.09854, -1.25652, -0.107941, 0.967631, 0.084616, 0.261662, 2, 12
5, -2.036, -1.259, -0.1121, 31.06, 24.39, -26.69, -29.91, -2.08257, -1.25542, -0.0716047, 0.982151, 0.0493491, 0.151565, 2, 12
5, -2.021, -1.26, -0.1102, 37.04, 26.92, -29.68, -31.52, -2.07873, -1.2551, -0.0716047, 0.982248, 0.0491621, 0.150764, 2, 12
5, -2.068, -1.254, -0.067, 37.96, 27.38, -31.75, -32.21, -2.06139, -1.25393, -0.0466058, 0.991485, 0.0240592, 0.0750299, 2, 12
5, -2.068, -1.254, -0.067, 37.96, 27.38, -31.75, -32.21, -2.05469, -1.25348, -0.0466058, 0.991759, 0.0237762, 0.072596, 2, 12
5, -2.068, -1.254, -0.067, 37.96, 27.38, -31.75, -32.21, -2.03398, -1.25223, -0.0296088, 0.997707, 0.00611381, 0.0207487, 2, 12
5, -2.023, -1.253, -0.0514, 37.04, 28.3, -29.22, -34.74, -2.03207, -1.25215, -0.0296088, 0.997708, 0.00604994, 0.0207487, 2, 12
5, -2.023, -1.253, -0.0514, 37.04, 28.3, -29.22, -34.74, -2.00976, -1.25184, -0.0120931, 1.0037, -0.01191, -0.0344062, 2, 12
5, -2.023, -1.253, -0.0514, 37.04, 28.3, -29.22, -34.74, -2.00307, -1.25197, -0.0120931, 1.00375, -0.0119238, -0.0348809, 2, 12
5, -1.994, -1.25, -0.0104, 34.74, 27.61, -28.07, -32.21, -1.98271, -1.25105, -0.00282314, 1.00677, -0.0220129, -0.0639344, 2, 12
