ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.16, -1.306, 2.9902, 0, 0, 0, 0, -2.17857, -1.30486, 2.98718, -0.0500082, -0.0078982, -8.95483, 1, 11
5, -2.16, -1.306, 2.9902, 0, 0, 0, 0, -2.17851, -1.30482, 2.98718, -0.0500083, -0.00789725, -8.95483, 1, 11
5, -2.16, -1.306, 2.9902, 0, 0, 0, 0, -2.17878, -1.3045, 2.9871, -0.0500145, -0.00789492, -8.95474, 1, 11
5, -2.179, -1.307, 2.5908, -45.09, -41.18, -42.1, -43.48, -2.17886, -1.30436, 2.9871, -0.0499829, -0.00788661, -8.95523, 1, 11
5, -2.179, -1.307, 2.5908, -45.09, -41.18, -42.1, -43.48, -2.17903, -1.30434, 2.91829, -0.0625537, -0.0143364, -8.7488, 1, 11
5, -2.179, -1.307, 2.5908, -45.09, -41.18, -42.1, -43.48, -2.17917, -1.30421, 2.91829, -0.0625409, -0.0143295, -8.74901, 1, 11
5, -2.179, -1.307, 2.5908, -45.09, -41.18, -42.1, -43.48, -2.17934, -1.3042, 2.65277, -0.10279, -0.0549259, -7.95237, 1, 11
5, -2.179, -1.307, 2.5908, -45.09, -41.18, -42.1, -43.48, -2.17949, -1.30412, 2.65277, -0.102792, -0.0549221, -7.95237, 1, 11
5, -2.179, -1.307, 2.5908, -45.09, -41.18, -42.1, -43.48, -2.17966, -1.30405, 2.65277, -0.102779, -0.0549112, -7.95263, 1, 11
5, -2.179, -1.307, 2.5908, -45.09, -41.18, -42.1, -43.48, -2.17804, -1.30401, 2.23727, -0.122419, -0.156236, -6.70623, 1, 11
5, -2.179, -1.307, 2.5908, -45.09, -41.18, -42.1, -43.48, -2.17734, -1.30404, 2.23727, -0.122415, -0.156235, -6.70628, 1, 11
5, -2.179, -1.307, 2.5908, -45.09, -41.18, -42.1, -43.48, -2.1746, -1.30403, 1.83218, -0.0714429, -0.269071, -5.49097, 1, 11
5, -2.179, -1.307, 2.5908, -45.09, -41.18, -42.1, -43.48, -2.17234, -1.30526, 1.44343, 0.045956, -0.352095, -4.32472, 1, 11
5, -2.179, -1.307, 2.5908, -45.09, -41.18, -42.1, -43.48, -2.17069, -1.30576, 1.44343, 0.0460531, -0.352194, -4.32302, 1, 11
5, -2.179, -1.307, 2.5908, -45.09, -41.18, -42.1, -43.48, -2.16998, -1.30656, 1.44343, 0.0461904, -0.35223, -4.32222, 1, 11
5, -2.179, -1.307, 2.5908, -45.09, -41.18, -42.1, -43.48, -2.1677, -1.31001, 1.1224, 0.183235, -0.376419, -3.35799, 1, 11
5, -2.179, -1.307, 2.5908, -45.09, -41.18, -42.1, -43.48, -2.16607, -1.3116, 1.1224, 0.183665, -0.376597, -3.3527, 1, 11
5, -2.179, -1.307, 2.5908, -45.09, -41.18, -42.1, -43.48, -2.16447, -1.31649, 0.881638, 0.299427, -0.357825, -2.62908, 1, 11
5, -2.179, -1.307, 2.5908, -45.09, -41.18, -42.1, -43.48, -2.16383, -1.31804, 0.881638, 0.3, -0.357989, -2.62156, 1, 11
5, -2.179, -1.307, 2.5908, -45.09, -41.18, -42.1, -43.48, -2.16066, -1.32261, 0.653662, 0.409997, -0.307303, -1.93253, 1, 11
5, -2.179, -1.307, 2.5908, -45.09, -41.18, -42.1, -43.48, -2.16, -1.32329, 0.653662, 0.410311, -0.307336, -1.92841, 1, 11
5, -2.179, -1.307, 2.5908, -45.09, -41.18, -42.1, -43.48, -2.15836, -1.32879, 0.504347, 0.478116, -0.255643, -1.47948, 1, 11
5, -2.179, -1.307, 2.5908, -45.09, -41.18, -42.1, -43.48, -2.15689, -1.33209, 0.504347, 0.479036, -0.255187, -1.4704, 1, 11
5, -2.179, -1.307, 2.5908, -45.09, -41.18, -42.1, -43.48, -2.15361, -1.33457, 0.370755, 0.533759, -0.197689, -1.06852, 1, 11
5, -2.179, -1.307, 2.5908, -45.09, -41.18, -42.1, -43.48, -2.15045, -1.33891, 0.370755, 0.534686, -0.196791, -1.06004, 1, 11
5, -2.179, -1.307, 2.5908, -45.09, -41.18, -42.1, -43.48, -2.1421, -1.34347, 0.273112, 0.570606, -0.147415, -0.762102, 1, 11
5, -2.179, -1.307, 2.5908, -45.09, -41.18, -42.1, -43.48, -2.13955, -1.34504, 0.273112, 0.57109, -0.147079, -0.756259, 1, 11
5, -2.179, -1.307, 2.5908, -45.09, -41.18, -42.1, -43.48, -2.12972, -1.35053, 0.190039, 0.597864, -0.100364, -0.50526, 1, 11
5, -2.179, -1.307, 2.5908, -45.09, -41.18, -42.1, -43.48, -2.12376, -1.35434, 0.190039, 0.598665, -0.0993524, -0.495774, 1, 11
