ID, ROBOT_X, ROBOT_Y, ROBOT_W, GYRO_W, ODM_W, BOTH_W, VIS_W, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.16, -1.34, 0.3845, 0.37, 0.38, 0.38, 0.36816, -2.16039, -1.34117, 0.36816, -0.0266952, 0.0635033, 5.91775, 2, 1234
5, -2.162, -1.343, 0.5997, 0.54, 0.59, 0.57, 0.36816, -2.16039, -1.3409, 0.36816, -0.0268886, 0.0634005, 5.91775, 2, 1234
5, -2.162, -1.343, 0.5997, 0.54, 0.59, 0.57, 0.36816, -2.16039, -1.34089, 0.36816, -0.0269139, 0.0634198, 5.91642, 2, 1234
5, -2.17, -1.324, 1.3035, 1.13, 1.3, 1.22, 0.528689, -2.16381, -1.34305, 0.528689, -0.0134564, 0.0782378, 5.42414, 2, 1234
5, -2.171, -1.324, 1.3756, 1.2, 1.37, 1.29, 0.767615, -2.16936, -1.34408, 0.767615, 0.0165339, 0.10235, 4.27417, 2, 1234
5, -2.174, -1.324, 1.5252, 1.36, 1.52, 1.44, 1.05937, -2.17001, -1.34066, 1.05937, 0.0514525, 0.114045, 3.24444, 2, 1234
5, -2.175, -1.324, 1.5715, 1.4, 1.57, 1.48, 1.05937, -2.1709, -1.33916, 1.05937, 0.0509269, 0.113939, 3.24444, 2, 1234
5, -2.177, -1.324, 1.6498, 1.47, 1.64, 1.56, 1.28652, -2.1711, -1.33827, 1.28652, 0.0802194, 0.107817, 2.78526, 2, 1234
5, -2.179, -1.323, 1.7212, 1.54, 1.72, 1.63, 1.28652, -2.17152, -1.3375, 1.28652, 0.0802262, 0.108443, 2.75337, 2, 1234
5, -2.179, -1.322, 1.7474, 1.56, 1.74, 1.65, 1.4454, -2.17206, -1.33633, 1.4454, 0.102057, 0.10115, 2.32539, 2, 1234
5, -2.18, -1.322, 1.7706, 1.59, 1.77, 1.68, 1.4454, -2.17234, -1.33572, 1.4454, 0.101649, 0.101418, 2.32363, 2, 1234
5, -2.181, -1.321, 1.8156, 1.63, 1.81, 1.72, 1.4454, -2.17279, -1.33496, 1.4454, 0.100856, 0.10112, 2.35157, 2, 1234
