ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.182, -1.301, 3.0974, -10.35, -13.8, -12.65, -14.03, -2.18178, -1.30305, 3.09549, -0.02905, -0.00138087, -9.28249, 2, 2222
5, -2.182, -1.302, 3.0705, -8.28, -24.39, -22.08, -21.62, -2.18153, -1.30312, 3.09549, -0.0290641, -0.0013825, -9.28227, 2, 2222
5, -2.183, -1.303, 3.0283, -27.15, -28.76, -34.05, -28.3, -2.18154, -1.30312, 3.09655, -0.0288648, -0.00134255, -9.28533, 2, 2222
5, -2.183, -1.303, 3.0283, -27.15, -28.76, -34.05, -28.3, -2.1815, -1.30313, 3.09655, -0.0288634, -0.00134263, -9.28535, 2, 2222
5, -2.183, -1.303, 3.0283, -27.15, -28.76, -34.05, -28.3, -2.18203, -1.30299, 3.00761, -0.0460165, -0.00626685, -9.0185, 2, 2222
5, -2.183, -1.303, 3.0283, -27.15, -28.76, -34.05, -28.3, -2.1823, -1.30292, 3.00761, -0.0460012, -0.00626318, -9.01874, 2, 2222
5, -2.183, -1.303, 3.0283, -27.15, -28.76, -34.05, -28.3, -2.1825, -1.30287, 3.00761, -0.0459943, -0.0062611, -9.01885, 2, 2222
5, -2.179, -1.305, 2.1762, -36.58, -35.66, -35.43, -33.13, -2.18281, -1.30352, 2.76803, -0.0872081, -0.034345, -8.29937, 2, 2222
5, -2.179, -1.305, 2.0703, -37.27, -34.51, -34.74, -34.97, -2.18301, -1.30367, 2.76803, -0.0872214, -0.034357, -8.29912, 2, 2222
5, -2.179, -1.305, 1.9652, -36.58, -33.59, -33.13, -34.51, -2.18475, -1.3042, 2.41265, -0.122037, -0.109402, -7.23225, 2, 2222
5, -2.178, -1.306, 1.7023, -36.81, -34.05, -20.93, -33.36, -2.18547, -1.30448, 2.41265, -0.122042, -0.109435, -7.23187, 2, 2222
5, -2.176, -1.307, 1.6016, -33.82, -31.06, -14.26, -18.63, -2.18095, -1.30339, 2.05536, -0.108832, -0.207521, -6.16114, 2, 2222
5, -2.175, -1.311, 1.4327, -31.75, -20.93, -14.72, -25.54, -2.17983, -1.30319, 2.05536, -0.108851, -0.207511, -6.16114, 2, 2222
5, -2.172, -1.313, 1.3181, -27.84, -15.64, -14.49, -21.85, -2.17922, -1.30398, 1.70861, -0.041037, -0.299897, -5.12145, 2, 2222
5, -2.17, -1.315, 1.252, -26.46, -16.79, -9.89, -21.16, -2.17845, -1.30411, 1.70861, -0.0410285, -0.29997, -5.12037, 2, 2222
5, -2.166, -1.318, 1.1378, -25.31, -12.42, -7.36, -14.95, -2.17834, -1.30482, 1.40221, 0.0617366, -0.357936, -4.20092, 2, 2222
5, -2.164, -1.321, 1.0744, -23.93, -9.89, -4.37, -12.88, -2.1781, -1.30522, 1.40221, 0.0618136, -0.357996, -4.19982, 2, 2222
5, -2.161, -1.325, 0.9985, -17.71, -4.6, -4.83, -18.17, -2.17744, -1.30912, 1.18559, 0.154155, -0.375666, -3.54936, 2, 2222
5, -2.159, -1.326, 0.9655, -18.17, -2.99, -4.6, -19.78, -2.17716, -1.31094, 1.18559, 0.154623, -0.375915, -3.54315, 2, 2222
5, -2.156, -1.328, 0.9339, -18.17, -0.69, -4.14, -20.01, -2.17491, -1.31437, 1.03903, 0.223322, -0.373938, -3.10098, 2, 2222
