ID, ROBOT_X, ROBOT_Y, ROBOT_W, GYRO_W, ODM_W, BOTH_W, VIS_W, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.171, -0.771, 0.0184, 0.37, 0.01, 0.19, 0.400346, -2.12882, -1.34502, 0.400346, 0.524558, -0.209031, -1.13725, 1, 1234
5, -2.127, -1.345, 0.3956, 0.39, 0.39, 0.39, 0.400346, -2.12875, -1.34502, 0.400346, 0.524537, -0.20902, -1.13762, 1, 1234
5, -2.124, -1.346, 0.3763, 0.39, 0.37, 0.38, 0.399609, -2.12871, -1.34493, 0.399609, 0.524812, -0.208708, -1.13549, 1, 1234
5, -2.12, -1.347, 0.3565, 0.37, 0.35, 0.36, 0.399609, -2.12865, -1.34491, 0.399609, 0.524807, -0.208712, -1.13554, 1, 1234
5, -2.11, -1.35, 0.3114, 0.34, 0.31, 0.32, 0.394114, -2.12871, -1.34492, 0.394114, 0.526957, -0.206217, -1.11904, 1, 1234
5, -2.105, -1.351, 0.2882, 0.33, 0.28, 0.3, 0.394114, -2.12869, -1.34491, 0.394114, 0.526955, -0.20622, -1.11906, 1, 1234
5, -2.09, -1.358, 0.228, 0.27, 0.22, 0.25, 0.370995, -2.12675, -1.34529, 0.370995, 0.53594, -0.195454, -1.04912, 1, 1234
5, -2.085, -1.36, 0.2017, 0.25, 0.2, 0.22, 0.370995, -2.12584, -1.34546, 0.370995, 0.535976, -0.195411, -1.04884, 1, 1234
5, -2.08, -1.361, 0.1805, 0.23, 0.18, 0.2, 0.321195, -2.11884, -1.34444, 0.321195, 0.554354, -0.171617, -0.899435, 1, 1234
5, -2.075, -1.363, 0.1584, 0.21, 0.15, 0.18, 0.321195, -2.11884, -1.34444, 0.321195, 0.554276, -0.171593, -0.900669, 1, 1234
5, -2.05, -1.361, 0.1714, 0.17, 0.17, 0.17, 0.243324, -2.1052, -1.34572, 0.243324, 0.581025, -0.130912, -0.667055, 1, 1234
5, -2.043, -1.36, 0.1778, 0.17, 0.17, 0.17, 0.243324, -2.10018, -1.34606, 0.243324, 0.581054, -0.130786, -0.667055, 1, 1234
5, -2.036, -1.36, 0.1782, 0.18, 0.17, 0.17, 0.243324, -2.09871, -1.34617, 0.243324, 0.581211, -0.130782, -0.664741, 1, 1234
5, -2.002, -1.36, 0.1615, 0.17, 0.16, 0.16, 0.177392, -2.0793, -1.35114, 0.177392, 0.601705, -0.0926652, -0.466196, 1, 1234
5, -1.993, -1.361, 0.149, 0.16, 0.14, 0.15, 0.186461, -2.06165, -1.35159, 0.186461, 0.599642, -0.0976586, -0.485296, 1, 1234
5, -1.981, -1.362, 0.1322, 0.14, 0.13, 0.13, 0.186461, -2.0489, -1.3519, 0.186461, 0.599672, -0.0974729, -0.485296, 1, 1234
5, -1.975, -1.362, 0.1239, 0.13, 0.12, 0.12, 0.16591, -2.03785, -1.35216, 0.16591, 0.605734, -0.0855591, -0.42135, 1, 1234
5, -1.96, -1.363, 0.1075, 0.11, 0.1, 0.11, 0.16591, -2.03197, -1.35231, 0.16591, 0.605807, -0.0854787, -0.420422, 1, 1234
5, -1.954, -1.363, 0.1028, 0.1, 0.1, 0.1, 0.16591, -2.02194, -1.35267, 0.16591, 0.605833, -0.085294, -0.420422, 1, 1234
5, -1.948, -1.363, 0.0986, 0.1, 0.09, 0.1, 0.126856, -2.01303, -1.35268, 0.126856, 0.616394, -0.0622774, -0.302963, 1, 1234
5, -1.936, -1.364, 0.0911, 0.09, 0.09, 0.09, 0.126856, -2.00352, -1.35291, 0.126856, 0.61646, -0.0621332, -0.302173, 1, 1234
5, -1.93, -1.364, 0.0875, 0.09, 0.08, 0.09, 0.111886, -1.99791, -1.35372, 0.111886, 0.614656, -0.0523734, -0.25676, 1, 1234
5, -1.92, -1.364, 0.0815, 0.09, 0.08, 0.08, 0.111886, -1.98945, -1.35418, 0.111886, 0.614574, -0.0521554, -0.25523, 1, 1234
5, -1.908, -1.365, 0.0752, 0.08, 0.07, 0.07, 0.105083, -1.9793, -1.3537, 0.105083, 0.6135, -0.0479241, -0.233723, 1, 1234
5, -1.896, -1.365, 0.0693, 0.07, 0.06, 0.07, 0.105083, -1.97036, -1.35381, 0.105083, 0.613523, -0.0478155, -0.23395, 1, 1234
5, -1.889, -1.365, 0.0667, 0.07, 0.06, 0.07, 0.0915814, -1.96379, -1.3545, 0.0915814, 0.611437, -0.0390837, -0.192908, 1, 1234
5, -1.881, -1.365, 0.0638, 0.07, 0.06, 0.06, 0.0915814, -1.95703, -1.35491, 0.0915814, 0.611449, -0.0388987, -0.192908, 1, 1234
5, -1.868, -1.365, 0.0578, 0.06, 0.05, 0.06, 0.0722803, -1.94422, -1.35429, 0.0722803, 0.608177, -0.0269999, -0.13347, 1, 1234
5, -1.862, -1.365, 0.0551, 0.06, 0.05, 0.05, 0.0722803, -1.93714, -1.35397, 0.0722803, 0.608116, -0.0270337, -0.132559, 1, 1234
5, -1.85, -1.366, 0.0507, 0.05, 0.05, 0.05, 0.0544317, -1.92564, -1.35427, 0.0544317, 0.605043, -0.0158894, -0.0798715, 1, 1234
5, -1.84, -1.365, 0.0484, 0.05, 0.04, 0.05, 0.0544317, -1.92001, -1.35441, 0.0544317, 0.605033, -0.0157954, -0.0796752, 1, 1234
5, -1.828, -1.365, 0.0477, 0.05, 0.04, 0.05, 0.0544317, -1.91145, -1.35449, 0.0544317, 0.604961, -0.0156909, -0.0785447, 1, 1234
5, -1.821, -1.365, 0.0474, 0.05, 0.04, 0.05, 0.0636546, -1.90108, -1.35498, 0.0636546, 0.606588, -0.0210826, -0.105753, 1, 1234
5, -1.815, -1.365, 0.047, 0.05, 0.04, 0.05, 0.0636546, -1.89164, -1.3552, 0.0636546, 0.606514, -0.0209224, -0.104558, 1, 1234
5, -1.801, -1.365, 0.0442, 0.05, 0.04, 0.04, 0.0526492, -1.88097, -1.35489, 0.0526492, 0.604479, -0.0141929, -0.0706537, 1, 1234
5, -1.795, -1.365, 0.0431, 0.05, 0.04, 0.04, 0.0526492, -1.87128, -1.35493, 0.0526492, 0.604476, -0.0140879, -0.070571, 1, 1234
5, -1.783, -1.364, 0.0412, 0.04, 0.04, 0.04, 0.0624633, -1.86656, -1.35469, 0.0624633, 0.606209, -0.0201156, -0.0994966, 1, 1234
5, -1.777, -1.364, 0.0395, 0.04, 0.03, 0.04, 0.0624633, -1.85823, -1.35464, 0.0624633, 0.606215, -0.0200549, -0.0995543, 1, 1234
5, -1.767, -1.364, 0.038, 0.04, 0.03, 0.04, 0.0580772, -1.84925, -1.35395, 0.0580772, 0.605405, -0.0175086, -0.0860522, 1, 1234
5, -1.755, -1.364, 0.0364, 0.04, 0.03, 0.03, 0.0580772, -1.84083, -1.35365, 0.0580772, 0.60545, -0.0175257, -0.086737, 1, 1234
5, -1.743, -1.364, 0.034, 0.04, 0.03, 0.03, 0.0586246, -1.83052, -1.35372, 0.0586246, 0.605557, -0.0177406, -0.0884576, 1, 1234
5, -1.735, -1.364, 0.0324, 0.03, 0.03, 0.03, 0.0586246, -1.82151, -1.35356, 0.0586246, 0.605558, -0.017704, -0.0884576, 1, 1234
5, -1.729, -1.364, 0.0313, 0.03, 0.03, 0.03, 0.0507102, -1.80917, -1.35459, 0.0507102, 0.604087, -0.0124121, -0.0640955, 1, 1234
5, -1.716, -1.364, 0.0304, 0.03, 0.03, 0.03, 0.0507102, -1.80279, -1.35508, 0.0507102, 0.60408, -0.0121839, -0.0639136, 1, 1234
5, -1.71, -1.364, 0.0292, 0.03, 0.02, 0.03, 0.0423999, -1.79275, -1.35501, 0.0423999, 0.602347, -0.00706329, -0.0363252, 1, 1234
5, -1.695, -1.363, 0.0278, 0.03, 0.02, 0.03, 0.0423999, -1.7849, -1.35505, 0.0423999, 0.602279, -0.00696714, -0.0352663, 1, 1234
5, -1.688, -1.363, 0.027, 0.03, 0.02, 0.02, 0.0358224, -1.77364, -1.35422, 0.0358224, 0.601002, -0.00316206, -0.0153643, 1, 1234
5, -1.677, -1.363, 0.0254, 0.03, 0.02, 0.02, 0.0358224, -1.76844, -1.35385, 0.0358224, 0.600956, -0.00323515, -0.0146691, 1, 1234
5, -1.671, -1.363, 0.0255, 0.03, 0.02, 0.02, 0.0358224, -1.75981, -1.35354, 0.0358224, 0.601051, -0.00324897, -0.0161215, 1, 1234
5, -1.665, -1.363, 0.0255, 0.02, 0.02, 0.02, 0.0363973, -1.75697, -1.35235, 0.0363973, 0.601165, -0.00397437, -0.0179124, 1, 1234
5, -1.632, -1.362, 0.0242, 0.02, 0.02, 0.02, 0.0382011, -1.73903, -1.3525, 0.0382011, 0.601641, -0.00482569, -0.0252444, 1, 1234
5, -1.632, -1.362, 0.0242, 0.02, 0.02, 0.02, 0.0331834, -1.71895, -1.35181, 0.0331834, 0.600597, -0.00183432, -0.00912847, 1, 1234
5, -1.61, -1.361, 0.0208, 0.02, 0.02, 0.02, 0.0331834, -1.70639, -1.35146, 0.0331834, 0.600599, -0.00182335, -0.00915438, 1, 1234
5, -1.604, -1.361, 0.0214, 0.02, 0.02, 0.02, 0.0209625, -1.69865, -1.35262, 0.0209625, 0.598157, 0.00598534, 0.0275708, 1, 1234
5, -1.598, -1.361, 0.0222, 0.02, 0.02, 0.02, 0.0209625, -1.69127, -1.35302, 0.0209625, 0.597959, 0.00620369, 0.030548, 1, 1234
5, -1.584, -1.361, 0.022, 0.02, 0.02, 0.02, 0.0230984, -1.68108, -1.35295, 0.0230984, 0.598392, 0.00501945, 0.0241404, 1, 1234
5, -1.578, -1.361, 0.0225, 0.02, 0.02, 0.02, 0.0230984, -1.67363, -1.35296, 0.0230984, 0.598315, 0.00510697, 0.0252893, 1, 1234
5, -1.572, -1.36, 0.0237, 0.02, 0.02, 0.02, 0.0332175, -1.66357, -1.3523, 0.0332175, 0.600331, -0.00107361, -0.00504537, 1, 1234
5, -1.56, -1.359, 0.0247, 0.02, 0.02, 0.02, 0.0332175, -1.65575, -1.35193, 0.0332175, 0.600279, -0.00111898, -0.00425784, 1, 1234
5, -1.55, -1.359, 0.0251, 0.02, 0.02, 0.02, 0.0332175, -1.64671, -1.35166, 0.0332175, 0.600367, -0.00111275, -0.00560148, 1, 1234
5, -1.538, -1.359, 0.0256, 0.02, 0.02, 0.02, 0.0183887, -1.63867, -1.35105, 0.0183887, 0.597392, 0.0076191, 0.0389216, 1, 1234
5, -1.527, -1.359, 0.0266, 0.02, 0.02, 0.02, 0.0183887, -1.63093, -1.35072, 0.0183887, 0.597431, 0.00758657, 0.0383299, 1, 1234
