ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -1.939, -1.43, 2.7885, 0, 0, 0, 0, -1.89155, -1.41248, 2.91102, 0.0283206, -0.7, 1.85724, 3, 22
5, -1.939, -1.43, 2.7885, 0, 0, 0, 0, -1.8913, -1.41261, 2.91102, 0.0286001, -0.7, 1.85724, 3, 22
5, -1.939, -1.43, 2.7885, 0, 0, 0, 0, -1.89108, -1.41273, 2.91102, 0.0288408, -0.7, 1.85684, 3, 22
5, -1.887, -1.379, 2.9471, -5.75, 26.69, 22.77, -9.2, -1.88978, -1.41343, 2.91102, 0.0303067, -0.7, 1.85357, 3, 22
5, -1.89, -1.407, 2.916, -7.36, 28.99, 27.15, -9.66, -1.88948, -1.41359, 2.91102, 0.0306441, -0.7, 1.85306, 3, 22
5, -1.887, -1.389, 2.9193, -8.28, 27.38, 20.7, -9.66, -1.88927, -1.4137, 2.91102, 0.0308736, -0.7, 1.85261, 3, 22
5, -1.883, -1.387, 2.9333, -9.66, 28.53, 28.53, -7.82, -1.88839, -1.41417, 2.91102, 0.0318675, -0.7, 1.85092, 3, 22
5, -1.883, -1.387, 2.9333, -9.66, 28.53, 28.53, -7.82, -1.88835, -1.41419, 2.91102, 0.031905, -0.7, 1.85092, 3, 22
5, -1.882, -1.386, 2.9639, -7.82, 26.92, 28.07, -9.43, -1.88752, -1.41463, 2.91102, 0.0328437, -0.7, 1.84922, 3, 22
5, -1.886, -1.411, 2.9204, -6.67, 26, 25.31, -8.51, -1.88724, -1.41478, 2.91102, 0.0331515, -0.7, 1.8487, 3, 22
5, -1.885, -1.404, 2.9388, -7.59, 25.77, 24.39, -7.36, -1.88704, -1.41489, 2.91102, 0.0333794, -0.7, 1.84832, 3, 22
5, -1.882, -1.386, 2.9908, -7.13, 25.77, 27.61, -11.73, -1.88673, -1.41505, 2.91102, 0.0337296, -0.7, 1.8478, 3, 22
5, -1.881, -1.378, 3.0149, -9.2, 29.22, 27.61, -8.05, -1.88649, -1.41518, 2.91102, 0.0340029, -0.7, 1.84728, 3, 22
5, -1.881, -1.378, 3.0149, -9.2, 29.22, 27.61, -8.05, -1.88624, -1.41531, 2.91102, 0.0342798, -0.7, 1.84682, 3, 22
5, -1.882, -1.393, 2.9718, -7.59, 29.22, 25.08, -11.04, -1.88599, -1.41545, 2.91102, 0.0345602, -0.7, 1.84682, 3, 22
5, -1.886, -1.415, 2.911, -5.52, 24.62, 24.85, -10.35, -1.88578, -1.41556, 2.91102, 0.0347962, -0.7, 1.84635, 3, 22
5, -1.879, -1.322, 3.1917, 0, 0.23, 0.46, 0.69, -1.93084, -1.18598, -2.70159, -0.00768628, -0.7, -0.835944, 3, 22
5, -1.93, -1.185, -2.7015, 0, 0.69, -0.46, 0.92, -1.93084, -1.18598, -2.70159, -0.00768628, -0.7, -0.835944, 3, 22
5, -1.93, -1.184, -2.7015, 0, 6.9, 5.29, -2.53, -1.93084, -1.18598, -2.70922, -0.00768628, -0.7, 2.20661, 3, 22
5, -1.933, -1.18, -2.6887, 0.23, 11.27, 10.12, -7.13, -1.93084, -1.18598, -2.70922, -0.00768628, -0.7, 2.20661, 3, 22
5, -1.936, -1.177, -2.6746, 1.61, 22.31, 15.87, -7.82, -1.93084, -1.18598, -2.7015, -0.00768628, -0.7, 2.17573, 3, 22
5, -1.936, -1.173, -2.6955, -7.82, 31.98, 31.06, -8.51, -1.93084, -1.18598, -2.7015, -0.00768628, -0.7, 2.17573, 3, 22
5, -1.963, -1.112, -2.6914, -9.43, 24.62, 29.91, -8.51, -1.94024, -1.17221, -2.66757, -0.0105121, -0.7, 2.04003, 3, 22
5, -1.93, -1.183, -2.6889, -5.06, 10.12, 12.19, -4.83, -1.94624, -1.16183, -2.66757, -0.0110626, -0.7, 2.24326, 3, 22
5, -1.934, -1.174, -2.6629, -6.44, 14.72, 15.18, -5.52, -1.94424, -1.15242, -2.64639, -0.00471546, -0.7, 2.44598, 3, 22
