ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.161, -1.305, 2.9862, 0, 0, 0, 0, -2.18467, -1.30413, 2.97179, -0.132019, -0.022892, -8.9097, 1, 13
5, -2.161, -1.305, 2.9862, 0, 0, 0, 0, -2.18467, -1.30413, 2.9768, -0.129696, -0.0218209, -8.92472, 1, 13
5, -2.161, -1.305, 2.9862, 0, 0, 0, 0, -2.18467, -1.30413, 2.97599, -0.130072, -0.0219924, -8.92229, 1, 13
5, -2.161, -1.305, 2.9862, 0, 0, 0, 0, -2.18467, -1.30413, 2.97599, -0.130072, -0.0219924, -8.92229, 1, 13
5, -2.161, -1.305, 2.9862, 0, 0, 0, 0, -2.18467, -1.30413, 2.97595, -0.130091, -0.0220009, -8.92217, 1, 13
5, -2.162, -1.306, 2.9808, 0.46, -16.56, -14.95, -14.49, -2.18467, -1.30413, 2.97595, -0.130091, -0.0220009, -8.92217, 1, 13
5, -2.185, -1.305, 2.9631, -4.6, -28.3, -31.29, -22.77, -2.18467, -1.30413, 2.97496, -0.130553, -0.0222127, -8.91919, 1, 13
5, -2.188, -1.31, 2.8906, -43.94, -34.74, -40.26, -37.5, -2.18467, -1.30413, 2.97496, -0.130553, -0.0222127, -8.91919, 1, 13
5, -2.182, -1.303, 2.938, -74.78, -51.31, -42.56, -34.05, -2.18536, -1.30414, 2.96544, -0.134954, -0.0242851, -8.89064, 1, 13
5, -2.171, -1.302, 2.755, -88.35, -59.82, -38.88, -44.63, -2.18569, -1.30414, 2.96544, -0.134954, -0.0242853, -8.89064, 1, 13
5, -2.182, -1.301, 2.8418, -57.98, -50.85, -34.74, -41.64, -2.18839, -1.30475, 2.80871, -0.202491, -0.070503, -8.42046, 1, 13
5, -2.176, -1.301, 2.573, -52.92, -51.08, -33.36, -39.34, -2.18981, -1.30503, 2.80871, -0.202625, -0.0705779, -8.41954, 1, 13
5, -2.187, -1.304, 2.7404, -48.09, -48.32, -28.53, -39.11, -2.18884, -1.306, 2.51654, -0.290307, -0.21069, -7.54272, 1, 13
5, -2.181, -1.304, 2.403, -48.55, -41.18, -23.23, -38.88, -2.18931, -1.30657, 2.51654, -0.29043, -0.210894, -7.54138, 1, 13
5, -2.185, -1.305, 2.4509, -47.63, -39.57, -11.04, -25.08, -2.18757, -1.30687, 2.073, -0.276522, -0.507303, -6.21008, 1, 13
5, -2.176, -1.309, 2.2067, -46.24, -27.38, -16.79, -24.39, -2.18718, -1.30728, 2.073, -0.276511, -0.507512, -6.209, 1, 13
5, -2.181, -1.306, 1.9254, -43.48, -21.39, -6.9, -31.29, -2.18404, -1.30976, 1.63286, -0.0457927, -0.794185, -4.88558, 1, 13
5, -2.174, -1.306, 1.8281, -46.93, -11.73, 0.46, -30.14, -2.18297, -1.31065, 1.63286, -0.0454644, -0.794203, -4.88558, 1, 13
5, -2.177, -1.311, 1.5598, -45.09, -5.75, -0.92, -23.23, -2.17815, -1.3155, 1.21464, 0.356053, -0.93663, -3.62929, 1, 13
5, -2.163, -1.317, 1.4154, -34.05, -0.69, 9.89, -29.22, -2.17822, -1.3195, 0.888655, 0.74216, -0.897218, -2.64159, 1, 13
5, -2.176, -1.316, 1.2145, -35.66, 6.9, -1.38, -34.28, -2.17784, -1.32221, 0.888655, 0.743817, -0.896945, -2.63643, 1, 13
5, -2.155, -1.322, 1.0714, -30.37, 16.79, 5.98, -46.47, -2.1771, -1.3245, 0.888655, 0.744761, -0.896162, -2.63643, 1, 13
5, -2.145, -1.325, 1.0193, -26.23, 17.02, 2.3, -48.78, -2.17359, -1.33151, 0.641011, 1.04343, -0.75522, -1.88928, 1, 13
5, -2.157, -1.33, 0.7912, -14.03, 36.35, -8.05, -57.29, -2.17108, -1.34014, 0.427123, 1.28112, -0.554738, -1.23225, 1, 13
5, -2.145, -1.333, 0.7423, -3.68, 35.89, -7.82, -63.27, -2.16927, -1.34551, 0.427123, 1.28442, -0.552374, -1.21952, 1, 13
5, -2.147, -1.339, 0.579, 12.19, 42.79, -11.73, -58.9, -2.16614, -1.35457, 0.261321, 1.44005, -0.346507, -0.714632, 1, 13
5, -2.16, -1.353, 0.2475, 20.01, 49.01, -20.47, -70.4, -2.16412, -1.36046, 0.261321, 1.44279, -0.342983, -0.703443, 1, 13
5, -2.133, -1.363, 0.2179, 23.46, 43.94, -20.93, -52.69, -2.15607, -1.36742, 0.118779, 1.53788, -0.134936, -0.266357, 1, 13
5, -2.121, -1.366, 0.205, 31.98, 41.18, -21.16, -53.61, -2.15208, -1.3732, 0.118779, 1.53704, -0.130623, -0.259019, 1, 13
5, -2.135, -1.367, 0.0967, 54.76, 57.52, -48.55, -66.95, -2.13865, -1.38667, 0.0343388, 1.49937, 0.00924004, 0.00368764, 1, 13
5, -2.13, -1.384, 0.0351, 40.95, 43.02, -35.89, -50.16, -2.13177, -1.39456, 0.0343388, 1.49609, 0.0149442, 0.0233305, 1, 13
5, -2.103, -1.386, 0.0262, 54.99, 43.71, -42.56, -55.22, -2.11999, -1.40346, -0.0207756, 1.46354, 0.101937, 0.200206, 1, 13
5, -2.122, -1.401, -0.0207, 62.58, 50.62, -51.08, -57.52, -2.11216, -1.41094, -0.0207756, 1.46152, 0.107254, 0.210202, 1, 13
5, -2.088, -1.4, -0.0254, 48.32, 42.33, -40.72, -53.15, -2.09256, -1.41902, -0.0498112, 1.4408, 0.154217, 0.310049, 1, 13
5, -2.068, -1.401, -0.0146, 46.7, 40.03, -34.51, -47.86, -2.08147, -1.42619, -0.0498112, 1.43861, 0.159418, 0.319889, 1, 13
5, -2.066, -1.416, -0.0472, 51.31, 39.11, -46.7, -46.7, -2.06462, -1.43487, -0.0647497, 1.42378, 0.186118, 0.389952, 1, 13
5, -2.06, -1.433, -0.0642, 55.68, 41.87, -41.41, -46.7, -2.05235, -1.44211, -0.0647497, 1.42305, 0.191666, 0.389952, 1, 13
5, -2.032, -1.432, -0.0531, 61.89, 40.26, -49.47, -49.01, -2.02656, -1.44777, -0.0583901, 1.42323, 0.187775, 0.392003, 1, 13
5, -2.016, -1.431, -0.046, 58.67, 38.19, -50.85, -44.63, -2.01133, -1.45392, -0.0583901, 1.42078, 0.192643, 0.402797, 1, 13
5, -2, -1.443, -0.0378, 57.52, 39.8, -39.57, -46.01, -1.98818, -1.45903, -0.0309677, 1.43697, 0.15985, 0.329501, 1, 13
5, -1.986, -1.443, -0.0299, 58.21, 38.65, -44.86, -46.24, -1.96691, -1.46152, -0.0110084, 1.44797, 0.13497, 0.278316, 1, 13
5, -1.967, -1.453, -0.0139, 62.58, 38.65, -50.16, -47.16, -1.94159, -1.46743, -0.0110084, 1.44599, 0.140744, 0.286956, 1, 13
5, -1.947, -1.466, -0.011, 53.84, 40.49, -37.96, -45.55, -1.92638, -1.46732, 0.00848958, 1.45798, 0.114171, 0.228462, 1, 13
5, -1.911, -1.463, 0.0136, 58.9, 39.11, -47.16, -47.86, -1.90388, -1.47087, 0.00848958, 1.4561, 0.118227, 0.237904, 1, 13
5, -1.896, -1.46, 0.0239, 61.43, 40.03, -48.32, -48.78, -1.88181, -1.4702, 0.0522359, 1.48118, 0.0562543, 0.10798, 1, 13
5, -1.878, -1.466, 0.0242, 48.78, 39.34, -37.5, -45.78, -1.85653, -1.47235, 0.0522359, 1.48046, 0.0597441, 0.111526, 1, 13
5, -1.856, -1.47, 0.0559, 54.76, 41.18, -45.32, -51.31, -1.8439, -1.46987, 0.0899829, 1.49925, 0.00282588, 0.00454116, 1, 13
5, -1.841, -1.469, 0.0618, 49.93, 38.88, -42.1, -49.47, -1.82064, -1.47029, 0.0899829, 1.49832, 0.00491589, 0.0101606, 1, 13
5, -1.816, -1.469, 0.0914, 50.62, 39.11, -41.87, -49.01, -1.79968, -1.47046, 0.114389, 1.51056, -0.0301458, -0.0660576, 1, 13
5, -1.787, -1.464, 0.0975, 55.91, 40.03, -46.47, -55.45, -1.76772, -1.46814, 0.145626, 1.52364, -0.0774609, -0.155795, 1, 13
5, -1.772, -1.462, 0.102, 51.54, 40.26, -44.63, -51.77, -1.74616, -1.46736, 0.145626, 1.52318, -0.0763389, -0.152632, 1, 13
5, -1.744, -1.462, 0.1519, 55.22, 43.48, -44.86, -55.22, -1.7273, -1.46531, 0.163752, 1.53, -0.104716, -0.204284, 1, 13
5, -1.723, -1.459, 0.1558, 55.68, 45.32, -44.63, -57.75, -1.70879, -1.46415, 0.163752, 1.53016, -0.104186, -0.205006, 1, 13
5, -1.693, -1.462, 0.1488, 49.01, 44.86, -41.64, -51.54, -1.68654, -1.45847, 0.155079, 1.52637, -0.0938279, -0.177932, 1, 13
5, -1.677, -1.46, 0.1482, 50.62, 45.09, -42.79, -56.6, -1.66742, -1.45561, 0.155079, 1.52733, -0.0948578, -0.184182, 1, 13
5, -1.671, -1.46, 0.1621, 52.46, 46.47, -42.33, -59.36, -1.63871, -1.45146, 0.16681, 1.5321, -0.114579, -0.221276, 1, 13
5, -1.643, -1.452, 0.1668, 47.86, 43.25, -40.26, -50.16, -1.61837, -1.44847, 0.16681, 1.53241, -0.115651, -0.223653, 1, 13
5, -1.628, -1.45, 0.1625, 50.85, 45.78, -42.33, -53.15, -1.59478, -1.44406, 0.171263, 1.53423, -0.124816, -0.23905, 1, 13
5, -1.597, -1.446, 0.1598, 52.69, 45.32, -43.02, -58.21, -1.5753, -1.44086, 0.171263, 1.53446, -0.126233, -0.241135, 1, 13
5, -1.574, -1.441, 0.1699, 51.31, 46.01, -42.1, -55.91, -1.54922, -1.4357, 0.167584, 1.53359, -0.123284, -0.234423, 1, 13
