ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -2.153, -1.293, 0.5086, 0.23, 4.37, -7.59, -15.41, -2.16353, -1.29367, 0.56078, 0.446541, -0.282268, -2.2544, 2, 0
5, -2.146, -1.293, 0.4635, 0, 7.36, -8.74, -20.24, -2.1628, -1.2935, 0.56078, 0.446499, -0.282291, -2.25486, 2, 0
5, -2.141, -1.293, 0.4362, -0.23, 8.28, -10.35, -21.85, -2.16174, -1.29326, 0.56078, 0.446452, -0.282332, -2.25522, 2, 0
5, -2.141, -1.293, 0.4362, -0.23, 8.28, -10.35, -21.85, -2.15877, -1.29319, 0.518223, 0.465317, -0.267274, -2.08529, 2, 0
5, -2.141, -1.293, 0.4362, -0.23, 8.28, -10.35, -21.85, -2.1582, -1.29331, 0.518223, 0.465316, -0.267241, -2.08564, 2, 0
5, -2.141, -1.293, 0.4362, -0.23, 8.28, -10.35, -21.85, -2.15186, -1.29311, 0.454849, 0.492496, -0.242813, -1.83212, 2, 0
5, -2.141, -1.293, 0.4362, -0.23, 8.28, -10.35, -21.85, -2.14889, -1.293, 0.454849, 0.492472, -0.242834, -1.83236, 2, 0
5, -2.141, -1.293, 0.4362, -0.23, 8.28, -10.35, -21.85, -2.14205, -1.29298, 0.40801, 0.511767, -0.223214, -1.64501, 2, 0
5, -2.096, -1.305, 0.2089, 1.61, 14.72, -14.03, -28.3, -2.13757, -1.29289, 0.40801, 0.511752, -0.223236, -1.6451, 2, 0
5, -2.091, -1.307, 0.1863, 2.76, 15.41, -13.8, -31.29, -2.13173, -1.29396, 0.352498, 0.533703, -0.198048, -1.42324, 2, 0
5, -2.091, -1.307, 0.1863, 2.76, 15.41, -13.8, -31.29, -2.12871, -1.29415, 0.352498, 0.533804, -0.198033, -1.42141, 2, 0
5, -2.091, -1.307, 0.1863, 2.76, 15.41, -13.8, -31.29, -2.09411, -1.30171, 0.120774, 0.610666, -0.0736077, -0.494085, 2, 0
5, -2.091, -1.307, 0.1863, 2.76, 15.41, -13.8, -31.29, -2.07588, -1.30571, 0.120774, 0.61156, -0.0725167, -0.478715, 2, 0
5, -2.021, -1.339, -0.0892, 7.82, 17.25, -14.72, -29.22, -2.06369, -1.31143, 0.0627658, 0.610781, -0.0349918, -0.23891, 2, 0
5, -2.016, -1.342, -0.1059, 9.43, 18.17, -14.49, -28.99, -2.05016, -1.31547, 0.0627658, 0.610225, -0.0337301, -0.226229, 2, 0
5, -2.007, -1.347, -0.1301, 10.81, 16.56, -15.18, -28.53, -2.05191, -1.3165, 0.000507473, 0.598398, 0.00450898, 0.032145, 2, 0
5, -2.002, -1.35, -0.1438, 11.73, 16.79, -15.18, -27.84, -2.04215, -1.31999, 0.000507473, 0.59829, 0.00555148, 0.0341601, 2, 0
5, -1.989, -1.356, -0.1723, 13.8, 16.79, -16.1, -26.46, -2.03531, -1.32321, -0.0636136, 0.584019, 0.0438935, 0.290645, 2, 0
5, -1.984, -1.358, -0.1824, 14.72, 18.86, -15.18, -26.46, -2.02705, -1.32646, -0.0636136, 0.583606, 0.0448317, 0.297564, 2, 0
5, -1.97, -1.364, -0.2022, 14.95, 18.17, -14.95, -24.16, -2.02799, -1.32638, -0.0636136, 0.583351, 0.0447833, 0.302782, 2, 0
5, -1.97, -1.364, -0.2022, 14.95, 18.17, -14.95, -24.16, -2.01466, -1.33281, -0.103047, 0.572844, 0.0686838, 0.467458, 2, 0
5, -1.956, -1.37, -0.2148, 18.17, 17.48, -16.1, -22.54, -2.0092, -1.33528, -0.103047, 0.572421, 0.0693721, 0.474301, 2, 0
5, -1.917, -1.38, -0.2204, 21.62, 16.33, -17.25, -19.32, -1.97205, -1.34998, -0.169349, 0.552492, 0.108942, 0.747615, 2, 0
5, -1.869, -1.389, -0.1868, 20.01, 16.1, -13.34, -15.64, -1.91999, -1.36427, -0.156103, 0.555609, 0.106602, 0.694631, 2, 0
5, -1.864, -1.39, -0.1814, 20.93, 15.18, -14.03, -15.41, -1.91557, -1.36463, -0.156103, 0.553786, 0.106407, 0.731692, 2, 0
5, -1.852, -1.391, -0.1674, 20.7, 15.64, -13.8, -15.18, -1.89486, -1.36848, -0.142095, 0.556025, 0.100158, 0.710246, 2, 0
