ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, BEHAVIOR, LABEL, TIMESTAMP, PCKT, CHANGE_STATE
5, -2.076, -0.942, 2.9573, 0, 0, 0, 0.23, -2.00105, -1.00229, 3.10865, 2, 0, 2022-09-12.17:00:49, 163, 0
5, -2.076, -0.942, 2.9573, 0, 0, 0, 0, -2.00105, -1.00212, 3.10838, 2, 0, 2022-09-12.17:00:49, 164, 0
5, -1.93, -1, 3.1144, -22.31, -18.17, 21.16, 20.93, -1.86012, -1.0256, 3.11462, 2, 0, 2022-09-12.17:00:50, 167, 1
5, -1.051, -0.995, 3.1062, -78.46, -55.45, 68.56, 73.17, -1.03675, -1.12201, 3.08454, 2, 0, 2022-09-12.17:00:51, 170, 1
5, -0.655, -0.976, 3.0898, -69.94, -48.09, 60.97, 63.5, -0.660894, -1.14471, 3.11918, 2, 0, 2022-09-12.17:00:51, 171, 1
5, -0.313, -0.958, -3.1209, -53.61, -40.95, 48.78, 54.3, -0.38464, -1.15209, -3.0868, 2, 0, 2022-09-12.17:00:51, 172, 1
5, 0.066, -0.819, -2.9999, -23.46, -9.2, 20.47, 12.88, -0.111684, -1.06499, -3.0256, 2, 0, 2022-09-12.17:00:51, 174, 1
5, 0.149, -0.769, -3.0385, -17.25, -7.13, 16.33, 8.97, -0.0424479, -1.02767, -3.08388, 2, 0, 2022-09-12.17:00:52, 175, 1
5, 0.249, -0.707, -2.6645, 9.43, 10.58, 10.58, 9.89, 0.0132137, -0.997896, -2.37807, 2, 0, 2022-09-12.17:00:52, 177, 0
5, 0.245, -0.709, -2.2165, 6.21, 6.67, 5.75, 5.29, 0.0125832, -0.99729, -2.05156, 2, 0, 2022-09-12.17:00:52, 178, 0
5, 0.246, -0.709, -1.7078, 1.38, 1.61, 1.38, 1.15, 0.0116084, -0.998484, -1.67719, 2, 0, 2022-09-12.17:00:53, 181, 0
5, 0.246, -0.71, -1.6906, 0, 0, 0, 0, 0.0111993, -0.998207, -1.67805, 2, 0, 2022-09-12.17:00:53, 182, 0
5, 0.246, -0.71, -1.6906, 0, 0, 0, 0, 0.0112737, -0.998579, -1.67227, 2, 0, 2022-09-12.17:00:53, 184, 0
5, 0.246, -0.71, -1.6906, 0, 0, 0, 0, 0.0124628, -0.998608, -1.67563, 2, 0, 2022-09-12.17:00:54, 185, 0
5, 0.245, -0.638, -1.6676, -25.31, -15.41, 20.47, 22.77, 0.0462272, -0.875499, -1.62532, 2, 0, 2022-09-12.17:00:54, 188, 1
5, 0.248, -0.453, -1.6303, -43.25, -31.52, 38.88, 40.03, 0.0633259, -0.680197, -1.60846, 2, 0, 2022-09-12.17:00:54, 189, 1
5, 0.225, 0.644, -1.6562, -67.87, -48.55, 57.98, 64.65, 0.109099, 0.343848, -1.61327, 2, 0, 2022-09-12.17:00:55, 192, 1
5, 0.114, 1.403, -1.4657, -19.78, -4.14, 19.09, 9.2, 0.03922, 0.965653, -1.47001, 2, 0, 2022-09-12.17:00:56, 195, 1
5, 0.063, 1.456, -1.4876, -11.5, -1.38, 12.19, 3.45, 0.000901969, 1.00348, -1.37786, 2, 0, 2022-09-12.17:00:56, 196, 0
5, 0.034, 1.481, -0.1738, 0, 0, 0, 0.23, -0.00345429, 1.00812, -0.114241, 2, 0, 2022-09-12.17:00:57, 202, 0
5, 0.034, 1.481, -0.1736, 0, 0, 0, 0, -0.00406249, 1.00821, -0.110931, 2, 0, 2022-09-12.17:00:57, 203, 0
5, 0.034, 1.481, -0.1738, 0, 0, 0, 0, -0.00388431, 1.00789, -0.114976, 2, 0, 2022-09-12.17:00:57, 204, 0
5, 0.034, 1.481, -0.1744, -0.23, 0, 0, 0.23, -0.00396986, 1.00785, -0.117034, 2, 0, 2022-09-12.17:00:58, 206, 0
5, 0.034, 1.481, -0.1747, 0, 0, 0, -0.23, -0.00401293, 1.00856, -0.112745, 2, 0, 2022-09-12.17:00:58, 207, 0
