ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, BEHAVIOR, LABEL, TIMESTAMP, PCKT, CHANGE_STATE
0, 0, 0, 0, 0, 0, 0, 0, 0.51549, 0.16422, -0.014659, 2, 0, 2022-09-23.17:18:59, 219, 1
0, 0, 0, 0, 0, 0, 0, 0, 0.512597, 0.163742, -0.011948, 2, 0, 2022-09-23.17:18:59, 220, 1
0, 0, 0, 0, 4.83, 4.14, -3.45, -5.06, 0.556543, 0.162124, -0.0112217, 2, 0, 2022-09-23.17:18:59, 221, 1
0, 0, 0, 0, 26.23, 19.55, -20.93, -23.23, 0.702523, 0.170517, -0.0173635, 2, 0, 2022-09-23.17:18:59, 222, 1
0, 0, 0, 0, 43.25, 36.81, -36.58, -43.02, 0.918224, 0.178781, -0.00108271, 2, 0, 2022-09-23.17:18:59, 223, 1
0, 0, 0, 0, 41.41, 34.97, -34.51, -41.87, 1.17011, 0.182417, -0.0262313, 2, 0, 2022-09-23.17:19:00, 224, 1
0, 0, 0, 0, 39.57, 32.67, -31.75, -40.49, 1.38683, 0.180942, -0.03446, 2, 0, 2022-09-23.17:19:00, 225, 1
0, 0, 0, 0, 35.89, 28.53, -28.76, -35.2, 1.58111, 0.181093, -0.046005, 2, 0, 2022-09-23.17:19:00, 226, 1
0, 0, 0, 0, 32.9, 25.54, -26.46, -30.83, 1.75303, 0.181377, -0.0270261, 2, 0, 2022-09-23.17:19:00, 227, 1
0, 0, 0, 0, 28.07, 22.08, -23, -28.3, 1.89937, 0.182897, -0.0285784, 2, 0, 2022-09-23.17:19:00, 228, 1
0, 0, 0, 0, 22.08, 17.71, -17.71, -20.24, 2.0166, 0.185101, -0.0342897, 2, 0, 2022-09-23.17:19:01, 229, 1
0, 0, 0, 0, 19.55, 14.95, -15.64, -17.94, 2.115, 0.185396, -0.0276322, 2, 0, 2022-09-23.17:19:01, 230, 1
0, 0, 0, 0, 15.18, 11.96, -11.96, -14.49, 2.20078, 0.18388, -0.0231, 2, 0, 2022-09-23.17:19:01, 231, 1
0, 0.002, 0, 0, 14.95, 11.96, -12.42, -14.03, 2.27563, 0.183552, -0.0260859, 2, 0, 2022-09-23.17:19:01, 232, 1
0, 0, 0, 0, 11.96, 9.2, -10.35, -11.5, 2.33562, 0.184804, -0.0217063, 2, 0, 2022-09-23.17:19:01, 233, 1
0, 0, 0, 0, 7.59, 5.98, -6.67, -7.13, 2.42645, 0.184527, -0.0181144, 2, 0, 2022-09-23.17:19:02, 235, 1
0, 0, 0, 0, 6.21, 4.6, -4.83, -5.75, 2.45755, 0.182697, -0.0120143, 2, 0, 2022-09-23.17:19:02, 236, 0
0, 0, 0, 0, 4.37, 4.14, -3.45, -5.52, 2.48075, 0.180858, -0.00723252, 2, 0, 2022-09-23.17:19:02, 237, 0
0, 0, 0, 0, 6.67, 6.67, 6.67, 6.9, 2.49953, 0.189178, 0.760092, 2, 0, 2022-09-23.17:19:03, 240, 0
0, 0, 0, 0, 6.9, 7.36, 7.36, 7.36, 2.49566, 0.193435, 1.15667, 2, 0, 2022-09-23.17:19:03, 241, 0
0, 0, 0, 0.0097, 6.67, 6.44, 7.13, 6.9, 2.49547, 0.192951, 1.54405, 2, 0, 2022-09-23.17:19:03, 242, 0
0, 0, 0, 0, 3.91, 3.45, -2.99, -3.91, 2.48345, 0.225291, 1.87781, 2, 0, 2022-09-23.17:19:04, 244, 0
0, 0, 0, 0, 17.25, 18.63, -17.94, -26.69, 2.47982, 0.357205, 1.70051, 2, 0, 2022-09-23.17:19:04, 245, 0
0, 0, 0, 0, 30.37, 40.72, -25.31, -47.86, 2.51077, 0.575211, 1.58918, 2, 0, 2022-09-23.17:19:04, 246, 0
0, 0, 0, 0, 43.71, 46.01, -35.89, -54.99, 2.55358, 0.835309, 1.52492, 2, 0, 2022-09-23.17:19:04, 247, 0
0, 0, 0, 0, 40.95, 31.06, -32.9, -39.57, 2.58582, 1.27837, 1.53471, 2, 0, 2022-09-23.17:19:05, 249, 0
0, 0, 0, 0, 22.54, 16.79, -17.48, -19.55, 2.56244, 1.71709, 1.60468, 2, 0, 2022-09-23.17:19:05, 252, 0
0, 0, 0, 0, 18.4, 14.72, -14.72, -18.86, 2.56534, 1.81584, 1.59137, 2, 0, 2022-09-23.17:19:05, 253, 0
0, 0, 0, 0, 17.48, 14.26, -14.49, -17.94, 2.57006, 1.90966, 1.57119, 2, 0, 2022-09-23.17:19:06, 254, 0
0, 0, 0, 0, 9.89, 8.97, -9.66, -10.58, 2.56868, 1.97004, 1.57657, 2, 0, 2022-09-23.17:19:06, 255, 0
0, 0, 0, 0, 10.12, 8.05, -8.05, -10.12, 2.56528, 2.02242, 1.59238, 2, 0, 2022-09-23.17:19:06, 0, 0
0, 0, 0, 0, 8.97, 7.13, -6.9, -8.28, 2.56608, 2.06757, 1.58699, 2, 0, 2022-09-23.17:19:06, 1, 0
0, 0, 0, 0, 6.21, 4.83, -4.83, -5.52, 2.56658, 2.10296, 1.58319, 2, 0, 2022-09-23.17:19:06, 2, 0
0, 0, 0, -0.0005, 5.98, 4.14, -4.83, -6.67, 2.56521, 2.1324, 1.59128, 2, 0, 2022-09-23.17:19:07, 3, 0
0, 0, 0, 0, 4.37, 3.68, -3.45, -4.6, 2.56663, 2.15831, 1.58146, 2, 0, 2022-09-23.17:19:07, 4, 0
0, 0, 0, 0, 3.91, 3.22, -2.76, -4.14, 2.56533, 2.1759, 1.66873, 2, 0, 2022-09-23.17:19:07, 5, 0
0, 0, 0, 0, 6.9, 7.13, 6.67, 6.9, 2.56088, 2.17381, 2.1199, 2, 0, 2022-09-23.17:19:07, 6, 0
0, 0, 0, 0, 7.13, 7.36, 7.13, 6.9, 2.5564, 2.17302, 2.52195, 2, 0, 2022-09-23.17:19:07, 7, 0
0, 0, 0, 0.0085, 6.44, 6.21, 6.67, 6.21, 2.55599, 2.16956, 2.85443, 2, 0, 2022-09-23.17:19:08, 8, 0
0, 0, 0, 0, 5.98, 5.98, 6.9, 7.59, 2.55364, 2.16756, -3.05554, 2, 0, 2022-09-23.17:19:08, 9, 0
0, 0, 0, 0, 0.69, 0.69, 0.69, 0.69, 2.54179, 2.16515, -3.01009, 2, 0, 2022-09-23.17:19:08, 10, 0
0, 0, 0, 0, 13.57, 9.89, -12.19, -14.72, 2.44231, 2.15769, -3.04906, 2, 0, 2022-09-23.17:19:08, 11, 0
0, 0, 0, 0, 31.98, 29.68, -26.69, -34.97, 2.26022, 2.15655, -3.09375, 2, 0, 2022-09-23.17:19:08, 12, 0
0, 0, 0, 0, 44.17, 42.56, -36.81, -48.32, 2.00859, 2.17486, -3.13634, 2, 0, 2022-09-23.17:19:09, 13, 0
0, 0, 0, 0, 41.64, 37.04, -34.28, -43.94, 1.76692, 2.18904, 3.13113, 2, 0, 2022-09-23.17:19:09, 14, 0
