ID, ROBOT_X, ROBOT_Y, ANGLE
5, 1.02189, -0.738694, -0.149165
5, 1.02174, -0.739227, -0.150833
5, 1.02199, -0.7394, -0.150833
5, 1.02175, -0.739159, -0.150903
5, 1.02182, -0.739182, -0.150903
5, 1.02082, -0.737696, -0.148717
5, 1.02052, -0.737193, -0.148717
5, 1.02022, -0.73913, -0.157284
5, 1.01987, -0.739566, -0.157284
5, 1.02129, -0.739442, -0.144221
5, 1.0216, -0.739661, -0.144221
5, 1.02158, -0.739426, -0.150936
5, 1.02178, -0.739483, -0.150936
5, 1.02061, -0.739021, -0.157071
5, 1.02029, -0.73888, -0.157071
5, 1.02023, -0.739435, -0.150964
5, 1.02, -0.739548, -0.150964
5, 1.02104, -0.73938, -0.158212
5, 1.02125, -0.739389, -0.158212
5, 1.0207, -0.738734, -0.146334
5, 1.02065, -0.738528, -0.146334
5, 1.02211, -0.738305, -0.145631
5, 1.02263, -0.738064, -0.145631
5, 1.02071, -0.73865, -0.151843
5, 1.02037, -0.738706, -0.151843
5, 1.02079, -0.739505, -0.150942
5, 1.02071, -0.739794, -0.150942
5, 1.02073, -0.738877, -0.14881
5, 1.02068, -0.738779, -0.14881
5, 1.02126, -0.739472, -0.152703
5, 1.02142, -0.739624, -0.152703
5, 1.02249, -0.737677, -0.154709
5, 1.02292, -0.737177, -0.154709
5, 1.02171, -0.739684, -0.153466
5, 1.02161, -0.740181, -0.153466
5, 1.02073, -0.737838, -0.148906
5, 1.02034, -0.737318, -0.148906
5, 1.02072, -0.738716, -0.150896
5, 1.02059, -0.738873, -0.150896
5, 1.02202, -0.737606, -0.152131
5, 1.02238, -0.737312, -0.152131
5, 1.02182, -0.738403, -0.146416
5, 1.02188, -0.738552, -0.146416
5, 1.02159, -0.739399, -0.149984
5, 1.02154, -0.739775, -0.149984
5, 1.02119, -0.737424, -0.153961
5, 1.02105, -0.73693, -0.153961
5, 1.02023, -0.739508, -0.152916
5, 1.01988, -0.740009, -0.152916
5, 1.02022, -0.740406, -0.153124
5, 1.0201, -0.740858, -0.153124
5, 1.02057, -0.739504, -0.149299
5, 1.02063, -0.739387, -0.149299
5, 1.0207, -0.739378, -0.151557
5, 1.02076, -0.739299, -0.151557
5, 1.02124, -0.739448, -0.152062
5, 1.02143, -0.739443, -0.152062
5, 1.02011, -0.739302, -0.154806
5, 1.01985, -0.739258, -0.154806
5, 1.0213, -0.73756, -0.147785
5, 1.02156, -0.737023, -0.147785
5, 1.01999, -0.739398, -0.153631
5, 1.01969, -0.739761, -0.153631
5, 1.0216, -0.739487, -0.139818
5, 1.02203, -0.739662, -0.139818
5, 1.02182, -0.739097, -0.157168
5, 1.02204, -0.739021, -0.157168
5, 1.0214, -0.737602, -0.146897
5, 1.02133, -0.73712, -0.146897
5, 1.0195, -0.739374, -0.155527
5, 1.01884, -0.739773, -0.155527
5, 1.02042, -0.738965, -0.148915
5, 1.02048, -0.738972, -0.148915
5, 1.02155, -0.739368, -0.152791
5, 1.02175, -0.739172, -0.154651
5, 1.02196, -0.739081, -0.154651
5, 1.02221, -0.739044, -0.154651
5, 1.01966, -0.739274, -0.157669
5, 1.01909, -0.739316, -0.157669
5, 1.02125, -0.739595, -0.145883
5, 1.02178, -0.73962, -0.151783
5, 1.02211, -0.739652, -0.151783
5, 1.02122, -0.739118, -0.151848
5, 1.02085, -0.738864, -0.151848
5, 1.02104, -0.738743, -0.151533
5, 1.02111, -0.738598, -0.151533
5, 1.0211, -0.738491, -0.151533
5, 1.02099, -0.738353, -0.143957
5, 1.02133, -0.737865, -0.143957
5, 1.02152, -0.738915, -0.153095
5, 1.02168, -0.739431, -0.153095
5, 1.02061, -0.738322, -0.151294
5, 1.02006, -0.737766, -0.151294
5, 1.02023, -0.738544, -0.146863
5, 1.02022, -0.738891, -0.146863
5, 1.02059, -0.73872, -0.153446
5, 1.02068, -0.738754, -0.153446
5, 1.02118, -0.737846, -0.147611
5, 1.02152, -0.737296, -0.147611
5, 1.02144, -0.737839, -0.152542
5, 1.02151, -0.738017, -0.152542
5, 1.02082, -0.739111, -0.149979
5, 1.02058, -0.739623, -0.149979
5, 1.02081, -0.73897, -0.156877
5, 1.02087, -0.738748, -0.156877
5, 1.02174, -0.738644, -0.148155
5, 1.02227, -0.738559, -0.148155
5, 1.02111, -0.738561, -0.152061
5, 1.02086, -0.738515, -0.152061
5, 1.02205, -0.737588, -0.149721
5, 1.02235, -0.737232, -0.149721
5, 1.02074, -0.737506, -0.15537
5, 1.02025, -0.737389, -0.15537
5, 1.02043, -0.738402, -0.155798
5, 1.0202, -0.738769, -0.155798
5, 1.02009, -0.739731, -0.149495
5, 1.01994, -0.740455, -0.149495
5, 1.02001, -0.73922, -0.155983
5, 1.01993, -0.73907, -0.155983
5, 1.02199, -0.739542, -0.142994
5, 1.02282, -0.739651, -0.142994
5, 1.02164, -0.738217, -0.151159
5, 1.02167, -0.73774, -0.151159
5, 1.02194, -0.738603, -0.155739
5, 1.02204, -0.738653, -0.155739
5, 1.02138, -0.739781, -0.148902
5, 1.02119, -0.740267, -0.148902
5, 1.02102, -0.739556, -0.153583
5, 1.02083, -0.739591, -0.153583
5, 1.02092, -0.739019, -0.15266
5, 1.02084, -0.738835, -0.15266
5, 1.0212, -0.738781, -0.153853
5, 1.02128, -0.738651, -0.153853
5, 1.01975, -0.738657, -0.148457
5, 1.01928, -0.738583, -0.148457
5, 1.02026, -0.739663, -0.148733
5, 1.02031, -0.739989, -0.148733
5, 1.02148, -0.738465, -0.152997
5, 1.02191, -0.738148, -0.152997
5, 1.02144, -0.739769, -0.154828
5, 1.02155, -0.740105, -0.154828
5, 1.02219, -0.738693, -0.150254
5, 1.02253, -0.738364, -0.150254
5, 1.02108, -0.739849, -0.148469
5, 1.02078, -0.740166, -0.148469
5, 1.02072, -0.739474, -0.153555
5, 1.02048, -0.739436, -0.153555
5, 1.02201, -0.739041, -0.150506
5, 1.02246, -0.73886, -0.150506
