ID," ROBOT_X"," ROBOT_Y"," ANGLE"
5," 1.0206"," -0.738619"," -0.155999"
5," 1.02048"," -0.738524"," -0.155999"
5," 1.02093"," -0.737975"," -0.157543"
5," 1.02101"," -0.737722"," -0.157543"
5," 1.01657"," -0.740477"," -0.168023"
5," 1.01529"," -0.741149"," -0.168023"
5," 1.0119"," -0.74177"," -0.282098"
5," 1.01002"," -0.742406"," -0.282098"
5," 1.01092"," -0.739558"," -0.464587"
5," 1.00999"," -0.739121"," -0.464587"
5," 1.00755"," -0.737798"," -0.643169"
5," 1.0062"," -0.737116"," -0.643169"
5," 0.999561"," -0.736109"," -0.818161"
5," 0.996734"," -0.735372"," -0.818161"
5," 0.991154"," -0.734242"," -0.961694"
5," 0.987187"," -0.733318"," -0.961694"
5," 0.981874"," -0.73126"," -1.09826"
5," 0.977269"," -0.729906"," -1.09826"
5," 0.972527"," -0.728011"," -1.23015"
5," 0.965194"," -0.727479"," -1.3429"
5," 0.960244"," -0.726952"," -1.3429"
5," 0.954391"," -0.726027"," -1.3429"
5," 0.949128"," -0.72428"," -1.44913"
5," 0.941124"," -0.724173"," -1.54017"
5," 0.934971"," -0.723868"," -1.54017"
5," 0.928464"," -0.724683"," -1.65765"
5," 0.923756"," -0.72502"," -1.65765"
5," 0.917446"," -0.72518"," -1.65765"
5," 0.909103"," -0.728943"," -1.73783"
5," 0.899669"," -0.730528"," -1.80724"
5," 0.891595"," -0.731924"," -1.80724"
5," 0.884496"," -0.733755"," -1.90312"
5," 0.878341"," -0.735181"," -1.90312"
5," 0.871608"," -0.736635"," -1.90312"
5," 0.859328"," -0.740138"," -1.94818"
5," 0.849601"," -0.74359"," -2.01303"
5," 0.841133"," -0.746335"," -2.01303"
5," 0.830288"," -0.749541"," -2.07175"
5," 0.822758"," -0.751781"," -2.07175"
5," 0.814881"," -0.754142"," -2.07175"
5," 0.807289"," -0.757431"," -2.1162"
5," 0.796509"," -0.759489"," -2.16994"
5," 0.788378"," -0.761316"," -2.16994"
5," 0.777437"," -0.766348"," -2.20593"
5," 0.769418"," -0.769724"," -2.20593"
5," 0.761145"," -0.772803"," -2.20593"
5," 0.753297"," -0.772631"," -2.25488"
5," 0.74409"," -0.776887"," -2.29195"
5," 0.736002"," -0.780145"," -2.29195"
5," 0.723573"," -0.782987"," -2.33455"
5," 0.715039"," -0.785157"," -2.33455"
5," 0.706783"," -0.787569"," -2.36802"
5," 0.699618"," -0.789625"," -2.36802"
5," 0.689235"," -0.792829"," -2.40188"
5," 0.679995"," -0.795622"," -2.40188"
5," 0.671225"," -0.79916"," -2.4255"
5," 0.663063"," -0.802167"," -2.4255"
5," 0.65384"," -0.805475"," -2.44745"
5," 0.644612"," -0.808753"," -2.44745"
5," 0.636512"," -0.810558"," -2.46894"
5," 0.628495"," -0.812986"," -2.46894"
5," 0.618502"," -0.817699"," -2.50243"
5," 0.612596"," -0.820326"," -2.50243"
5," 0.604282"," -0.8233"," -2.5151"
5," 0.595916"," -0.826403"," -2.5151"
5," 0.587571"," -0.82968"," -2.53173"
5," 0.578603"," -0.833116"," -2.53173"
5," 0.570015"," -0.836895"," -2.54909"
5," 0.5632"," -0.839777"," -2.54909"
5," 0.557567"," -0.841605"," -2.56279"
5," 0.550923"," -0.844146"," -2.56279"
5," 0.545559"," -0.849413"," -2.57134"
5," 0.538543"," -0.853557"," -2.57134"
5," 0.531278"," -0.854922"," -2.58638"
5," 0.525761"," -0.856665"," -2.58638"
5," 0.520798"," -0.861082"," -2.60207"
5," 0.515187"," -0.864905"," -2.60207"
5," 0.505073"," -0.867868"," -2.61904"
5," 0.498468"," -0.870723"," -2.61904"
5," 0.493071"," -0.874001"," -2.61037"
5," 0.487241"," -0.876865"," -2.61037"
5," 0.477893"," -0.879603"," -2.62274"
5," 0.467986"," -0.882045"," -2.6223"
5," 0.460884"," -0.884188"," -2.6223"
5," 0.45249"," -0.887656"," -2.64723"
5," 0.4464"," -0.889978"," -2.64723"
5," 0.439679"," -0.892401"," -2.64723"
5," 0.4383"," -0.893101"," -2.63838"
5," 0.433371"," -0.894553"," -2.66554"
5," 0.428722"," -0.896131"," -2.66554"
5," 0.42428"," -0.890021"," -2.68435"
5," 0.42095"," -0.887156"," -2.68435"
5," 0.420661"," -0.897456"," -2.54115"
5," 0.419388"," -0.902792"," -2.54115"
5," 0.420269"," -0.896577"," -2.356"
5," 0.419526"," -0.89616"," -2.356"
5," 0.423086"," -0.898387"," -2.18418"
5," 0.424871"," -0.899516"," -2.18418"
5," 0.431788"," -0.897024"," -2.00781"
5," 0.436724"," -0.895709"," -2.00781"
5," 0.43756"," -0.893326"," -1.84231"
5," 0.439553"," -0.891523"," -1.84231"
5," 0.440045"," -0.891848"," -1.71452"
5," 0.44108"," -0.891584"," -1.71452"
5," 0.450654"," -0.885882"," -1.56898"
5," 0.455826"," -0.882957"," -1.56898"
5," 0.462656"," -0.880546"," -1.4665"
5," 0.467902"," -0.878111"," -1.4665"
5," 0.472181"," -0.880114"," -1.36292"
5," 0.476773"," -0.879439"," -1.36292"
5," 0.486033"," -0.879546"," -1.26831"
5," 0.49218"," -0.879201"," -1.26831"
5," 0.498784"," -0.881174"," -1.18053"
5," 0.504744"," -0.881717"," -1.18053"
5," 0.513764"," -0.880849"," -1.09812"
5," 0.52131"," -0.880847"," -1.09812"
5," 0.528962"," -0.883763"," -1.03583"
5," 0.53697"," -0.88498"," -1.03583"
5," 0.544611"," -0.886455"," -0.968563"
5," 0.552926"," -0.88785"," -0.968563"
5," 0.568556"," -0.88948"," -0.907863"
5," 0.578675"," -0.890824"," -0.907863"
5," 0.58831"," -0.892024"," -0.841991"
5," 0.597847"," -0.893262"," -0.841991"
5," 0.609319"," -0.893304"," -0.781131"
5," 0.620599"," -0.894166"," -0.781131"
5," 0.63151"," -0.893602"," -0.736359"
5," 0.642912"," -0.89391"," -0.736359"
5," 0.654664"," -0.893913"," -0.688064"
5," 0.664789"," -0.894076"," -0.688064"
5," 0.680716"," -0.894125"," -0.625876"
5," 0.694206"," -0.894258"," -0.625876"
5," 0.705331"," -0.894727"," -0.595903"
5," 0.718554"," -0.895001"," -0.595903"
5," 0.732118"," -0.894571"," -0.564597"
5," 0.744274"," -0.894575"," -0.564597"
5," 0.760016"," -0.891991"," -0.51025"
5," 0.775139"," -0.890953"," -0.51025"
5," 0.786363"," -0.891773"," -0.48581"
5," 0.798833"," -0.891473"," -0.48581"
5," 0.814739"," -0.890831"," -0.443466"
5," 0.827587"," -0.890432"," -0.443466"
5," 0.842411"," -0.889025"," -0.414909"
5," 0.855343"," -0.888295"," -0.414909"
5," 0.870822"," -0.888767"," -0.379471"
5," 0.884403"," -0.888478"," -0.379471"
5," 0.89888"," -0.888912"," -0.347802"
5," 0.913988"," -0.88888"," -0.347802"
